ENSP00000262384	ENSTGUP00000008915
ENSP00000376792	ENSTGUP00000011134
ENSP00000450731	ENSTGUP00000011872
ENSP00000328677	ENSTGUP00000000608
ENSP00000362217	ENSTGUP00000002501
ENSP00000304994	ENSTGUP00000012858
ENSP00000258418	ENSTGUP00000005573
ENSP00000382492	ENSTGUP00000007980
ENSP00000384371	ENSTGUP00000009713
ENSP00000401112	ENSTGUP00000010818
ENSP00000399518	ENSTGUP00000003302
ENSP00000243440	ENSTGUP00000003141
ENSP00000286639	ENSTGUP00000012583
ENSP00000248846	ENSTGUP00000004112
ENSP00000369071	ENSTGUP00000012306
ENSP00000261435	ENSTGUP00000008981
ENSP00000449535	ENSTGUP00000007998
ENSP00000308179	ENSTGUP00000013749
ENSP00000338258	ENSTGUP00000016119
ENSP00000249014	ENSTGUP00000010914
ENSP00000346442	ENSTGUP00000012493
ENSP00000412130	ENSTGUP00000008216
ENSP00000384491	ENSTGUP00000012597
ENSP00000380713	ENSTGUP00000010168
ENSP00000432695	ENSTGUP00000007592
ENSP00000411471	ENSTGUP00000010481
ENSP00000343885	ENSTGUP00000003915
ENSP00000307746	ENSTGUP00000001133
ENSP00000316527	ENSTGUP00000004839
ENSP00000335246	ENSTGUP00000012468
ENSP00000360266	ENSTGUP00000009991
ENSP00000410768	ENSTGUP00000013101
ENSP00000378710	ENSTGUP00000012991
ENSP00000368547	ENSTGUP00000008910
ENSP00000278919	ENSTGUP00000000754
ENSP00000370607	ENSTGUP00000003006
ENSP00000351132	ENSTGUP00000005048
ENSP00000321971	ENSTGUP00000003749
ENSP00000268482	ENSTGUP00000008499
ENSP00000393099	ENSTGUP00000011284
ENSP00000282251	ENSTGUP00000014305
ENSP00000406885	ENSTGUP00000007154
ENSP00000433126	ENSTGUP00000008479
ENSP00000253577	ENSTGUP00000006009
ENSP00000265316	ENSTGUP00000005938
ENSP00000347444	ENSTGUP00000001541
ENSP00000387361	ENSTGUP00000005583
ENSP00000420617	ENSTGUP00000011056
ENSP00000378402	ENSTGUP00000003881
ENSP00000357040	ENSTGUP00000004526
ENSP00000347672	ENSTGUP00000013788
ENSP00000378338	ENSTGUP00000006560
ENSP00000387471	ENSTGUP00000009981
ENSP00000419765	ENSTGUP00000006978
ENSP00000453872	ENSTGUP00000006175
ENSP00000269439	ENSTGUP00000001625
ENSP00000306983	ENSTGUP00000005713
ENSP00000365388	ENSTGUP00000001169
ENSP00000335060	ENSTGUP00000008121
ENSP00000216144	ENSTGUP00000010816
ENSP00000295304	ENSTGUP00000007502
ENSP00000398105	ENSTGUP00000011115
ENSP00000428054	ENSTGUP00000005060
ENSP00000452796	ENSTGUP00000003789
ENSP00000379390	ENSTGUP00000005552
ENSP00000367841	ENSTGUP00000006971
ENSP00000422037	ENSTGUP00000008431
ENSP00000265978	ENSTGUP00000000598
ENSP00000413196	ENSTGUP00000005125
ENSP00000383986	ENSTGUP00000002774
ENSP00000258484	ENSTGUP00000012309
ENSP00000315070	ENSTGUP00000000932
ENSP00000318868	ENSTGUP00000007312
ENSP00000333667	ENSTGUP00000016200
ENSP00000229328	ENSTGUP00000009543
ENSP00000254101	ENSTGUP00000017528
ENSP00000265087	ENSTGUP00000000328
ENSP00000290271	ENSTGUP00000004675
ENSP00000313432	ENSTGUP00000007406
ENSP00000430493	ENSTGUP00000000713
ENSP00000256079	ENSTGUP00000011802
ENSP00000344789	ENSTGUP00000008480
ENSP00000361795	ENSTGUP00000005143
ENSP00000300574	ENSTGUP00000005582
ENSP00000272091	ENSTGUP00000004323
ENSP00000264705	ENSTGUP00000014953
ENSP00000262105	ENSTGUP00000011243
ENSP00000331897	ENSTGUP00000016641
ENSP00000407182	ENSTGUP00000015734
ENSP00000336587	ENSTGUP00000009055
ENSP00000268383	ENSTGUP00000009249
ENSP00000326534	ENSTGUP00000011402
ENSP00000420200	ENSTGUP00000013920
ENSP00000411532	ENSTGUP00000002410
ENSP00000396995	ENSTGUP00000008835
ENSP00000421566	ENSTGUP00000010891
ENSP00000186436	ENSTGUP00000010574
ENSP00000386787	ENSTGUP00000005318
ENSP00000379457	ENSTGUP00000008905
ENSP00000261942	ENSTGUP00000000544
ENSP00000316476	ENSTGUP00000004143
ENSP00000375857	ENSTGUP00000003941
ENSP00000231572	ENSTGUP00000001551
ENSP00000217372	ENSTGUP00000006528
ENSP00000279907	ENSTGUP00000009133
ENSP00000313851	ENSTGUP00000012155
ENSP00000379680	ENSTGUP00000010022
ENSP00000218516	ENSTGUP00000006757
ENSP00000468424	ENSTGUP00000002107
ENSP00000367407	ENSTGUP00000001407
ENSP00000354387	ENSTGUP00000000781
ENSP00000168977	ENSTGUP00000001037
ENSP00000299866	ENSTGUP00000004969
ENSP00000261448	ENSTGUP00000013787
ENSP00000293373	ENSTGUP00000015315
ENSP00000254029	ENSTGUP00000003252
ENSP00000379894	ENSTGUP00000003656
ENSP00000418648	ENSTGUP00000009878
ENSP00000354612	ENSTGUP00000007069
ENSP00000356438	ENSTGUP00000003584
ENSP00000244571	ENSTGUP00000008149
ENSP00000353463	ENSTGUP00000014304
ENSP00000357644	ENSTGUP00000015900
ENSP00000325941	ENSTGUP00000007086
ENSP00000394700	ENSTGUP00000013360
ENSP00000389039	ENSTGUP00000003325
ENSP00000308430	ENSTGUP00000008344
ENSP00000361731	ENSTGUP00000004310
ENSP00000402935	ENSTGUP00000003288
ENSP00000349860	ENSTGUP00000004031
ENSP00000313854	ENSTGUP00000008710
ENSP00000308976	ENSTGUP00000002976
ENSP00000341819	ENSTGUP00000008141
ENSP00000347626	ENSTGUP00000003561
ENSP00000319664	ENSTGUP00000001004
ENSP00000327436	ENSTGUP00000013089
ENSP00000382163	ENSTGUP00000004875
ENSP00000370896	ENSTGUP00000013472
ENSP00000336721	ENSTGUP00000000720
ENSP00000344424	ENSTGUP00000011784
ENSP00000264047	ENSTGUP00000009998
ENSP00000404676	ENSTGUP00000001378
ENSP00000249344	ENSTGUP00000001934
ENSP00000358810	ENSTGUP00000000877
ENSP00000403396	ENSTGUP00000002816
ENSP00000343000	ENSTGUP00000001111
ENSP00000423933	ENSTGUP00000013163
ENSP00000253814	ENSTGUP00000000166
ENSP00000312837	ENSTGUP00000009882
ENSP00000262305	ENSTGUP00000003875
ENSP00000368341	ENSTGUP00000006146
ENSP00000348538	ENSTGUP00000008548
ENSP00000222511	ENSTGUP00000001474
ENSP00000359859	ENSTGUP00000008060
ENSP00000280800	ENSTGUP00000009340
ENSP00000240617	ENSTGUP00000009789
ENSP00000298596	ENSTGUP00000003914
ENSP00000273668	ENSTGUP00000004539
ENSP00000225171	ENSTGUP00000003577
ENSP00000362935	ENSTGUP00000007246
ENSP00000399259	ENSTGUP00000015415
ENSP00000386722	ENSTGUP00000013879
ENSP00000324549	ENSTGUP00000010875
ENSP00000266068	ENSTGUP00000007199
ENSP00000294409	ENSTGUP00000000745
ENSP00000259457	ENSTGUP00000007356
ENSP00000286692	ENSTGUP00000001443
ENSP00000258534	ENSTGUP00000011649
ENSP00000254663	ENSTGUP00000007451
ENSP00000323927	ENSTGUP00000016353
ENSP00000366460	ENSTGUP00000001263
ENSP00000195654	ENSTGUP00000012927
ENSP00000382104	ENSTGUP00000004933
ENSP00000256925	ENSTGUP00000010709
ENSP00000306881	ENSTGUP00000012396
ENSP00000415436	ENSTGUP00000017024
ENSP00000384198	ENSTGUP00000010202
ENSP00000326170	ENSTGUP00000005067
ENSP00000265056	ENSTGUP00000008281
ENSP00000402758	ENSTGUP00000003872
ENSP00000404700	ENSTGUP00000009925
ENSP00000457991	ENSTGUP00000008615
ENSP00000262719	ENSTGUP00000002089
ENSP00000272771	ENSTGUP00000011043
ENSP00000302530	ENSTGUP00000007573
ENSP00000364976	ENSTGUP00000000454
ENSP00000379042	ENSTGUP00000013500
ENSP00000366620	ENSTGUP00000003853
ENSP00000400252	ENSTGUP00000003020
ENSP00000362092	ENSTGUP00000001496
ENSP00000358423	ENSTGUP00000012773
ENSP00000367498	ENSTGUP00000002817
ENSP00000419465	ENSTGUP00000011767
ENSP00000315680	ENSTGUP00000011210
ENSP00000360107	ENSTGUP00000013671
ENSP00000307041	ENSTGUP00000007979
ENSP00000370047	ENSTGUP00000004611
ENSP00000357928	ENSTGUP00000012430
ENSP00000263966	ENSTGUP00000010966
ENSP00000309477	ENSTGUP00000001559
ENSP00000356634	ENSTGUP00000017694
ENSP00000438468	ENSTGUP00000003313
ENSP00000405423	ENSTGUP00000000270
ENSP00000295448	ENSTGUP00000008698
ENSP00000370031	ENSTGUP00000012801
ENSP00000341874	ENSTGUP00000010734
ENSP00000369162	ENSTGUP00000002412
ENSP00000357835	ENSTGUP00000011795
ENSP00000298251	ENSTGUP00000000767
ENSP00000312379	ENSTGUP00000003023
ENSP00000298492	ENSTGUP00000011806
ENSP00000366225	ENSTGUP00000007716
ENSP00000365529	ENSTGUP00000001194
ENSP00000345060	ENSTGUP00000017421
ENSP00000321636	ENSTGUP00000007369
ENSP00000381773	ENSTGUP00000008929
ENSP00000262419	ENSTGUP00000001970
ENSP00000281772	ENSTGUP00000011735
ENSP00000367453	ENSTGUP00000001409
ENSP00000419494	ENSTGUP00000010244
ENSP00000233099	ENSTGUP00000009033
ENSP00000350734	ENSTGUP00000017824
ENSP00000262198	ENSTGUP00000006871
ENSP00000379346	ENSTGUP00000008921
ENSP00000415203	ENSTGUP00000000154
ENSP00000367880	ENSTGUP00000001828
ENSP00000226218	ENSTGUP00000006113
ENSP00000399679	ENSTGUP00000003717
ENSP00000436785	ENSTGUP00000013011
ENSP00000353557	ENSTGUP00000012246
ENSP00000265245	ENSTGUP00000009359
ENSP00000451261	ENSTGUP00000012778
ENSP00000269214	ENSTGUP00000010627
ENSP00000216259	ENSTGUP00000010206
ENSP00000345206	ENSTGUP00000009542
ENSP00000341243	ENSTGUP00000005159
ENSP00000266395	ENSTGUP00000009485
ENSP00000328412	ENSTGUP00000016157
ENSP00000228476	ENSTGUP00000007227
ENSP00000357920	ENSTGUP00000012428
ENSP00000273480	ENSTGUP00000008670
ENSP00000298198	ENSTGUP00000013855
ENSP00000389948	ENSTGUP00000014220
ENSP00000264779	ENSTGUP00000002678
ENSP00000371517	ENSTGUP00000002006
ENSP00000359526	ENSTGUP00000009695
ENSP00000307854	ENSTGUP00000007593
ENSP00000353739	ENSTGUP00000011277
ENSP00000264864	ENSTGUP00000009698
ENSP00000303149	ENSTGUP00000010239
ENSP00000335261	ENSTGUP00000005565
ENSP00000223023	ENSTGUP00000004444
ENSP00000233202	ENSTGUP00000005512
ENSP00000295049	ENSTGUP00000010846
ENSP00000260270	ENSTGUP00000011608
ENSP00000462647	ENSTGUP00000010475
ENSP00000280258	ENSTGUP00000013304
ENSP00000440870	ENSTGUP00000012906
ENSP00000263780	ENSTGUP00000013933
ENSP00000258198	ENSTGUP00000010090
ENSP00000273130	ENSTGUP00000003852
ENSP00000262065	ENSTGUP00000009783
ENSP00000251588	ENSTGUP00000007017
ENSP00000361721	ENSTGUP00000000860
ENSP00000356623	ENSTGUP00000011276
ENSP00000216117	ENSTGUP00000011179
ENSP00000459214	ENSTGUP00000004224
ENSP00000304292	ENSTGUP00000009383
ENSP00000340836	ENSTGUP00000000778
ENSP00000361345	ENSTGUP00000005036
ENSP00000361302	ENSTGUP00000005119
ENSP00000265174	ENSTGUP00000004074
ENSP00000349393	ENSTGUP00000011124
ENSP00000216446	ENSTGUP00000011892
ENSP00000390849	ENSTGUP00000003935
ENSP00000476668	ENSTGUP00000001380
ENSP00000397644	ENSTGUP00000006523
ENSP00000398076	ENSTGUP00000006798
ENSP00000280193	ENSTGUP00000006624
ENSP00000297904	ENSTGUP00000008337
ENSP00000288266	ENSTGUP00000007428
ENSP00000452746	ENSTGUP00000003766
ENSP00000387261	ENSTGUP00000001634
ENSP00000365725	ENSTGUP00000005149
ENSP00000040738	ENSTGUP00000010151
ENSP00000344829	ENSTGUP00000008794
ENSP00000012049	ENSTGUP00000016917
ENSP00000386414	ENSTGUP00000007091
ENSP00000362109	ENSTGUP00000017720
ENSP00000309092	ENSTGUP00000005419
ENSP00000350949	ENSTGUP00000006308
ENSP00000453129	ENSTGUP00000007530
ENSP00000465930	ENSTGUP00000008588
ENSP00000367276	ENSTGUP00000012406
ENSP00000278174	ENSTGUP00000016266
ENSP00000362836	ENSTGUP00000000944
ENSP00000355747	ENSTGUP00000004463
ENSP00000398089	ENSTGUP00000008529
ENSP00000460825	ENSTGUP00000009165
ENSP00000261883	ENSTGUP00000009374
ENSP00000352463	ENSTGUP00000009969
ENSP00000323074	ENSTGUP00000007562
ENSP00000358541	ENSTGUP00000000992
ENSP00000355741	ENSTGUP00000004484
ENSP00000296657	ENSTGUP00000007792
ENSP00000301190	ENSTGUP00000003378
ENSP00000371472	ENSTGUP00000013544
ENSP00000359698	ENSTGUP00000009935
ENSP00000330382	ENSTGUP00000010592
ENSP00000346508	ENSTGUP00000008778
ENSP00000373610	ENSTGUP00000009216
ENSP00000230122	ENSTGUP00000012464
ENSP00000392812	ENSTGUP00000005305
ENSP00000475670	ENSTGUP00000016109
ENSP00000473983	ENSTGUP00000004783
ENSP00000340691	ENSTGUP00000004857
ENSP00000362314	ENSTGUP00000004718
ENSP00000454646	ENSTGUP00000006133
ENSP00000299709	ENSTGUP00000006992
ENSP00000345361	ENSTGUP00000007470
ENSP00000359370	ENSTGUP00000007891
ENSP00000363329	ENSTGUP00000002712
ENSP00000259392	ENSTGUP00000003164
ENSP00000273986	ENSTGUP00000003814
ENSP00000269391	ENSTGUP00000008255
ENSP00000262370	ENSTGUP00000004270
ENSP00000456348	ENSTGUP00000004495
ENSP00000281631	ENSTGUP00000002438
ENSP00000308258	ENSTGUP00000006933
ENSP00000430548	ENSTGUP00000012327
ENSP00000229583	ENSTGUP00000005969
ENSP00000350509	ENSTGUP00000011321
ENSP00000386862	ENSTGUP00000003192
ENSP00000383185	ENSTGUP00000002722
ENSP00000330278	ENSTGUP00000011857
ENSP00000282406	ENSTGUP00000003761
ENSP00000361522	ENSTGUP00000009391
ENSP00000411124	ENSTGUP00000013151
ENSP00000216468	ENSTGUP00000012664
ENSP00000203407	ENSTGUP00000007861
ENSP00000394085	ENSTGUP00000008044
ENSP00000328835	ENSTGUP00000013112
ENSP00000281047	ENSTGUP00000013514
ENSP00000362987	ENSTGUP00000005737
ENSP00000415491	ENSTGUP00000017427
ENSP00000359699	ENSTGUP00000006792
ENSP00000317039	ENSTGUP00000003226
ENSP00000360437	ENSTGUP00000008717
ENSP00000323635	ENSTGUP00000009763
ENSP00000379441	ENSTGUP00000003843
ENSP00000276201	ENSTGUP00000003529
ENSP00000265271	ENSTGUP00000000088
ENSP00000267229	ENSTGUP00000012960
ENSP00000256257	ENSTGUP00000017582
ENSP00000265840	ENSTGUP00000013028
ENSP00000326342	ENSTGUP00000002391
ENSP00000362123	ENSTGUP00000004534
ENSP00000261441	ENSTGUP00000001630
ENSP00000334040	ENSTGUP00000002791
ENSP00000247225	ENSTGUP00000013342
ENSP00000315137	ENSTGUP00000008010
ENSP00000279146	ENSTGUP00000007996
ENSP00000363614	ENSTGUP00000001232
ENSP00000403130	ENSTGUP00000009520
ENSP00000342518	ENSTGUP00000013436
ENSP00000355577	ENSTGUP00000010529
ENSP00000261416	ENSTGUP00000006145
ENSP00000326604	ENSTGUP00000000711
ENSP00000348888	ENSTGUP00000001102
ENSP00000323246	ENSTGUP00000007734
ENSP00000434199	ENSTGUP00000016187
ENSP00000415899	ENSTGUP00000006090
ENSP00000298288	ENSTGUP00000013608
ENSP00000295628	ENSTGUP00000013772
ENSP00000230792	ENSTGUP00000000976
ENSP00000349874	ENSTGUP00000004483
ENSP00000368414	ENSTGUP00000003220
ENSP00000373364	ENSTGUP00000003123
ENSP00000424544	ENSTGUP00000007541
ENSP00000356256	ENSTGUP00000001468
ENSP00000262144	ENSTGUP00000006541
ENSP00000293883	ENSTGUP00000003729
ENSP00000296411	ENSTGUP00000003437
ENSP00000315152	ENSTGUP00000008618
ENSP00000357907	ENSTGUP00000012420
ENSP00000243253	ENSTGUP00000008221
ENSP00000419879	ENSTGUP00000004147
ENSP00000295887	ENSTGUP00000002194
ENSP00000314792	ENSTGUP00000010838
ENSP00000362894	ENSTGUP00000005412
ENSP00000234677	ENSTGUP00000001486
ENSP00000369346	ENSTGUP00000000758
ENSP00000364765	ENSTGUP00000000353
ENSP00000354669	ENSTGUP00000004904
ENSP00000358120	ENSTGUP00000004666
ENSP00000376568	ENSTGUP00000011555
ENSP00000381436	ENSTGUP00000013934
ENSP00000320957	ENSTGUP00000012282
ENSP00000356299	ENSTGUP00000001389
ENSP00000312017	ENSTGUP00000007487
ENSP00000252674	ENSTGUP00000000368
ENSP00000310841	ENSTGUP00000007817
ENSP00000338171	ENSTGUP00000014244
ENSP00000005587	ENSTGUP00000002980
ENSP00000370503	ENSTGUP00000015393
ENSP00000274008	ENSTGUP00000002095
ENSP00000305494	ENSTGUP00000007561
ENSP00000319814	ENSTGUP00000008518
ENSP00000257347	ENSTGUP00000009108
ENSP00000342604	ENSTGUP00000012231
ENSP00000265018	ENSTGUP00000009948
ENSP00000350833	ENSTGUP00000004935
ENSP00000367309	ENSTGUP00000006434
ENSP00000373594	ENSTGUP00000003644
ENSP00000349181	ENSTGUP00000006590
ENSP00000367038	ENSTGUP00000006157
ENSP00000378725	ENSTGUP00000013457
ENSP00000263026	ENSTGUP00000009304
ENSP00000398048	ENSTGUP00000001853
ENSP00000423660	ENSTGUP00000000289
ENSP00000231061	ENSTGUP00000000791
ENSP00000360366	ENSTGUP00000009771
ENSP00000374014	ENSTGUP00000014392
ENSP00000391774	ENSTGUP00000007085
ENSP00000345412	ENSTGUP00000006699
ENSP00000293879	ENSTGUP00000003782
ENSP00000274569	ENSTGUP00000000262
ENSP00000337226	ENSTGUP00000013302
ENSP00000304670	ENSTGUP00000007926
ENSP00000384477	ENSTGUP00000005611
ENSP00000398971	ENSTGUP00000014455
ENSP00000383936	ENSTGUP00000012471
ENSP00000285419	ENSTGUP00000012193
ENSP00000354772	ENSTGUP00000007621
ENSP00000369141	ENSTGUP00000001488
ENSP00000398181	ENSTGUP00000007268
ENSP00000368066	ENSTGUP00000006600
ENSP00000316339	ENSTGUP00000013744
ENSP00000313050	ENSTGUP00000005225
ENSP00000297056	ENSTGUP00000009159
ENSP00000276893	ENSTGUP00000005109
ENSP00000348069	ENSTGUP00000007557
ENSP00000420298	ENSTGUP00000013994
ENSP00000401264	ENSTGUP00000008162
ENSP00000372191	ENSTGUP00000007081
ENSP00000302485	ENSTGUP00000010209
ENSP00000420270	ENSTGUP00000017436
ENSP00000409279	ENSTGUP00000002771
ENSP00000298746	ENSTGUP00000011314
ENSP00000409256	ENSTGUP00000010088
ENSP00000257312	ENSTGUP00000011517
ENSP00000324403	ENSTGUP00000012232
ENSP00000362144	ENSTGUP00000004554
ENSP00000378145	ENSTGUP00000004262
ENSP00000295324	ENSTGUP00000009083
ENSP00000252992	ENSTGUP00000001070
ENSP00000274192	ENSTGUP00000008011
ENSP00000351138	ENSTGUP00000004475
ENSP00000359827	ENSTGUP00000007149
ENSP00000394049	ENSTGUP00000012940
ENSP00000380690	ENSTGUP00000009637
ENSP00000257787	ENSTGUP00000012799
ENSP00000364965	ENSTGUP00000000452
ENSP00000406145	ENSTGUP00000007367
ENSP00000313226	ENSTGUP00000014245
ENSP00000229955	ENSTGUP00000012676
ENSP00000252338	ENSTGUP00000002775
ENSP00000340176	ENSTGUP00000001832
ENSP00000360642	ENSTGUP00000009246
ENSP00000367823	ENSTGUP00000001836
ENSP00000354991	ENSTGUP00000017770
ENSP00000359333	ENSTGUP00000017712
ENSP00000349364	ENSTGUP00000013729
ENSP00000393785	ENSTGUP00000003420
ENSP00000303580	ENSTGUP00000018056
ENSP00000351740	ENSTGUP00000009309
ENSP00000341597	ENSTGUP00000000731
ENSP00000252998	ENSTGUP00000007958
ENSP00000371297	ENSTGUP00000007108
ENSP00000407118	ENSTGUP00000012628
ENSP00000428205	ENSTGUP00000012805
ENSP00000276326	ENSTGUP00000013328
ENSP00000363433	ENSTGUP00000005975
ENSP00000379512	ENSTGUP00000012751
ENSP00000185150	ENSTGUP00000007496
ENSP00000301452	ENSTGUP00000000365
ENSP00000232974	ENSTGUP00000000278
ENSP00000324587	ENSTGUP00000010844
ENSP00000309548	ENSTGUP00000010003
ENSP00000379503	ENSTGUP00000012229
ENSP00000258399	ENSTGUP00000005640
ENSP00000254227	ENSTGUP00000001007
ENSP00000368253	ENSTGUP00000007284
ENSP00000355902	ENSTGUP00000002944
ENSP00000362122	ENSTGUP00000002388
ENSP00000367198	ENSTGUP00000012814
ENSP00000381302	ENSTGUP00000011544
ENSP00000350698	ENSTGUP00000009694
ENSP00000354053	ENSTGUP00000011515
ENSP00000385730	ENSTGUP00000005930
ENSP00000337512	ENSTGUP00000006164
ENSP00000299721	ENSTGUP00000017762
ENSP00000378464	ENSTGUP00000004085
ENSP00000392452	ENSTGUP00000001770
ENSP00000350260	ENSTGUP00000004014
ENSP00000326063	ENSTGUP00000013791
ENSP00000366582	ENSTGUP00000001613
ENSP00000429763	ENSTGUP00000011895
ENSP00000356574	ENSTGUP00000017654
ENSP00000356476	ENSTGUP00000003867
ENSP00000236709	ENSTGUP00000007036
ENSP00000276461	ENSTGUP00000004784
ENSP00000187762	ENSTGUP00000000488
ENSP00000363824	ENSTGUP00000006513
ENSP00000284486	ENSTGUP00000013696
ENSP00000438492	ENSTGUP00000003514
ENSP00000386935	ENSTGUP00000002395
ENSP00000371278	ENSTGUP00000005343
ENSP00000383449	ENSTGUP00000010511
ENSP00000229595	ENSTGUP00000012236
ENSP00000025301	ENSTGUP00000012737
ENSP00000375909	ENSTGUP00000008544
ENSP00000270139	ENSTGUP00000000546
ENSP00000422464	ENSTGUP00000005603
ENSP00000376865	ENSTGUP00000013067
ENSP00000308772	ENSTGUP00000009386
ENSP00000320076	ENSTGUP00000018038
ENSP00000376141	ENSTGUP00000011184
ENSP00000320924	ENSTGUP00000002357
ENSP00000376330	ENSTGUP00000009085
ENSP00000356426	ENSTGUP00000011001
ENSP00000368215	ENSTGUP00000007213
ENSP00000387282	ENSTGUP00000008503
ENSP00000303222	ENSTGUP00000007913
ENSP00000361060	ENSTGUP00000008474
ENSP00000378313	ENSTGUP00000006094
ENSP00000274496	ENSTGUP00000000135
ENSP00000332772	ENSTGUP00000008718
ENSP00000329292	ENSTGUP00000004105
ENSP00000348852	ENSTGUP00000013873
ENSP00000307552	ENSTGUP00000012994
ENSP00000219345	ENSTGUP00000007182
ENSP00000264005	ENSTGUP00000005707
ENSP00000226279	ENSTGUP00000010070
ENSP00000384364	ENSTGUP00000002889
ENSP00000360261	ENSTGUP00000012062
ENSP00000380779	ENSTGUP00000006580
ENSP00000316335	ENSTGUP00000002340
ENSP00000257555	ENSTGUP00000009997
ENSP00000225893	ENSTGUP00000008613
ENSP00000280665	ENSTGUP00000012946
ENSP00000475920	ENSTGUP00000007025
ENSP00000347324	ENSTGUP00000006789
ENSP00000248306	ENSTGUP00000008080
ENSP00000474090	ENSTGUP00000012560
ENSP00000330032	ENSTGUP00000008097
ENSP00000434724	ENSTGUP00000013340
ENSP00000315731	ENSTGUP00000007801
ENSP00000397679	ENSTGUP00000017740
ENSP00000425963	ENSTGUP00000001273
ENSP00000347834	ENSTGUP00000012923
ENSP00000363478	ENSTGUP00000001154
ENSP00000307305	ENSTGUP00000004592
ENSP00000296595	ENSTGUP00000000681
ENSP00000215885	ENSTGUP00000011041
ENSP00000290881	ENSTGUP00000005667
ENSP00000197268	ENSTGUP00000009717
ENSP00000367570	ENSTGUP00000012520
ENSP00000260130	ENSTGUP00000011486
ENSP00000422338	ENSTGUP00000007882
ENSP00000454380	ENSTGUP00000003706
ENSP00000382670	ENSTGUP00000008727
ENSP00000367214	ENSTGUP00000000125
ENSP00000220822	ENSTGUP00000011926
ENSP00000464893	ENSTGUP00000008556
ENSP00000378015	ENSTGUP00000001514
ENSP00000398632	ENSTGUP00000010402
ENSP00000272902	ENSTGUP00000010558
ENSP00000341938	ENSTGUP00000005296
ENSP00000350934	ENSTGUP00000014718
ENSP00000264448	ENSTGUP00000015753
ENSP00000442400	ENSTGUP00000015077
ENSP00000355167	ENSTGUP00000017685
ENSP00000336984	ENSTGUP00000010863
ENSP00000300177	ENSTGUP00000012089
ENSP00000318650	ENSTGUP00000010922
ENSP00000387091	ENSTGUP00000005384
ENSP00000320936	ENSTGUP00000012892
ENSP00000380318	ENSTGUP00000011018
ENSP00000336894	ENSTGUP00000011174
ENSP00000328269	ENSTGUP00000000177
ENSP00000371133	ENSTGUP00000003806
ENSP00000360222	ENSTGUP00000010080
ENSP00000330433	ENSTGUP00000005952
ENSP00000458791	ENSTGUP00000009590
ENSP00000369604	ENSTGUP00000013725
ENSP00000272907	ENSTGUP00000008376
ENSP00000238561	ENSTGUP00000012716
ENSP00000207549	ENSTGUP00000008522
ENSP00000352329	ENSTGUP00000000159
ENSP00000264498	ENSTGUP00000002080
ENSP00000406084	ENSTGUP00000013190
ENSP00000443292	ENSTGUP00000007612
ENSP00000409789	ENSTGUP00000013982
ENSP00000295571	ENSTGUP00000010016
ENSP00000344125	ENSTGUP00000003962
ENSP00000332151	ENSTGUP00000012305
ENSP00000354891	ENSTGUP00000017662
ENSP00000358312	ENSTGUP00000004553
ENSP00000300056	ENSTGUP00000008350
ENSP00000294168	ENSTGUP00000016352
ENSP00000420682	ENSTGUP00000013802
ENSP00000272647	ENSTGUP00000005929
ENSP00000385158	ENSTGUP00000006685
ENSP00000342840	ENSTGUP00000009018
ENSP00000314518	ENSTGUP00000000703
ENSP00000369853	ENSTGUP00000005673
ENSP00000338885	ENSTGUP00000000001
ENSP00000371661	ENSTGUP00000009933
ENSP00000360138	ENSTGUP00000010142
ENSP00000307214	ENSTGUP00000000634
ENSP00000382021	ENSTGUP00000006413
ENSP00000310110	ENSTGUP00000003556
ENSP00000364502	ENSTGUP00000009602
ENSP00000248958	ENSTGUP00000008932
ENSP00000247020	ENSTGUP00000006260
ENSP00000308339	ENSTGUP00000017686
ENSP00000423881	ENSTGUP00000009864
ENSP00000362027	ENSTGUP00000006964
ENSP00000261488	ENSTGUP00000012724
ENSP00000337146	ENSTGUP00000005457
ENSP00000356524	ENSTGUP00000004183
ENSP00000359680	ENSTGUP00000009928
ENSP00000230990	ENSTGUP00000001683
ENSP00000336524	ENSTGUP00000007118
ENSP00000386292	ENSTGUP00000011183
ENSP00000393316	ENSTGUP00000013531
ENSP00000246024	ENSTGUP00000006586
ENSP00000378877	ENSTGUP00000003323
ENSP00000351503	ENSTGUP00000010789
ENSP00000227065	ENSTGUP00000007117
ENSP00000371307	ENSTGUP00000017534
ENSP00000361338	ENSTGUP00000005039
ENSP00000332983	ENSTGUP00000010028
ENSP00000454268	ENSTGUP00000018077
ENSP00000216479	ENSTGUP00000012692
ENSP00000167106	ENSTGUP00000012626
ENSP00000355932	ENSTGUP00000003104
ENSP00000434412	ENSTGUP00000013881
ENSP00000263921	ENSTGUP00000008031
ENSP00000362601	ENSTGUP00000005873
ENSP00000355374	ENSTGUP00000007050
ENSP00000301391	ENSTGUP00000004133
ENSP00000371923	ENSTGUP00000013707
ENSP00000220676	ENSTGUP00000011377
ENSP00000323879	ENSTGUP00000004046
ENSP00000335091	ENSTGUP00000006555
ENSP00000284116	ENSTGUP00000007720
ENSP00000382241	ENSTGUP00000005105
ENSP00000470879	ENSTGUP00000001088
ENSP00000259803	ENSTGUP00000013251
ENSP00000368805	ENSTGUP00000005919
ENSP00000398930	ENSTGUP00000001611
ENSP00000296473	ENSTGUP00000005174
ENSP00000229758	ENSTGUP00000011528
ENSP00000403293	ENSTGUP00000012409
