ENSMODP00000016222	ENSGALP00000006197
ENSMODP00000025626	ENSGALP00000043455
ENSMODP00000008362	ENSGALP00000038684
ENSMODP00000010954	ENSGALP00000027574
ENSMODP00000026097	ENSGALP00000012535
ENSMODP00000032258	ENSGALP00000022658
ENSMODP00000040103	ENSGALP00000024262
ENSMODP00000022868	ENSGALP00000029867
ENSMODP00000034578	ENSGALP00000008684
ENSMODP00000018601	ENSGALP00000004742
ENSMODP00000039451	ENSGALP00000009309
ENSMODP00000021286	ENSGALP00000009594
ENSMODP00000020168	ENSGALP00000041329
ENSMODP00000021094	ENSGALP00000014645
ENSMODP00000036241	ENSGALP00000007425
ENSMODP00000013599	ENSGALP00000009468
ENSMODP00000035037	ENSGALP00000015220
ENSMODP00000004137	ENSGALP00000038852
ENSMODP00000000041	ENSGALP00000010207
ENSMODP00000019955	ENSGALP00000016375
ENSMODP00000010396	ENSGALP00000039068
ENSMODP00000003358	ENSGALP00000000686
ENSMODP00000024785	ENSGALP00000041628
ENSMODP00000006094	ENSGALP00000040737
ENSMODP00000003352	ENSGALP00000003152
ENSMODP00000002223	ENSGALP00000000438
ENSMODP00000013192	ENSGALP00000020772
ENSMODP00000029137	ENSGALP00000012540
ENSMODP00000026613	ENSGALP00000014232
ENSMODP00000004771	ENSGALP00000027119
ENSMODP00000038160	ENSGALP00000013946
ENSMODP00000006270	ENSGALP00000024885
ENSMODP00000028994	ENSGALP00000024898
ENSMODP00000006284	ENSGALP00000024894
ENSMODP00000006052	ENSGALP00000001718
ENSMODP00000011935	ENSGALP00000040596
ENSMODP00000013153	ENSGALP00000005486
ENSMODP00000037975	ENSGALP00000017136
ENSMODP00000018716	ENSGALP00000008685
ENSMODP00000026862	ENSGALP00000024258
ENSMODP00000012974	ENSGALP00000014599
ENSMODP00000021921	ENSGALP00000005084
ENSMODP00000000754	ENSGALP00000021816
ENSMODP00000037746	ENSGALP00000013808
ENSMODP00000023117	ENSGALP00000001947
ENSMODP00000003841	ENSGALP00000025093
ENSMODP00000009713	ENSGALP00000003376
ENSMODP00000024469	ENSGALP00000011541
ENSMODP00000014567	ENSGALP00000019918
ENSMODP00000040539	ENSGALP00000015132
ENSMODP00000029504	ENSGALP00000003008
ENSMODP00000022041	ENSGALP00000036605
ENSMODP00000024370	ENSGALP00000038599
ENSMODP00000006466	ENSGALP00000042187
ENSMODP00000015484	ENSGALP00000007244
ENSMODP00000008872	ENSGALP00000025695
ENSMODP00000039714	ENSGALP00000036803
ENSMODP00000026271	ENSGALP00000025794
ENSMODP00000007680	ENSGALP00000007955
ENSMODP00000002455	ENSGALP00000041954
ENSMODP00000011393	ENSGALP00000013212
ENSMODP00000017763	ENSGALP00000033423
ENSMODP00000012779	ENSGALP00000014072
ENSMODP00000016928	ENSGALP00000032327
ENSMODP00000018587	ENSGALP00000005154
ENSMODP00000004079	ENSGALP00000042730
ENSMODP00000023188	ENSGALP00000040762
ENSMODP00000005398	ENSGALP00000025299
ENSMODP00000006699	ENSGALP00000004720
ENSMODP00000019316	ENSGALP00000040907
ENSMODP00000002929	ENSGALP00000011573
ENSMODP00000026219	ENSGALP00000025949
ENSMODP00000012150	ENSGALP00000019072
ENSMODP00000000824	ENSGALP00000018376
ENSMODP00000000777	ENSGALP00000025996
ENSMODP00000011812	ENSGALP00000039371
ENSMODP00000025627	ENSGALP00000017782
ENSMODP00000005908	ENSGALP00000039853
ENSMODP00000014225	ENSGALP00000016165
ENSMODP00000022763	ENSGALP00000023762
ENSMODP00000024040	ENSGALP00000043256
ENSMODP00000003103	ENSGALP00000008011
ENSMODP00000016729	ENSGALP00000017365
ENSMODP00000021388	ENSGALP00000011095
ENSMODP00000012700	ENSGALP00000014638
ENSMODP00000006980	ENSGALP00000042094
ENSMODP00000001785	ENSGALP00000041616
ENSMODP00000015281	ENSGALP00000005105
ENSMODP00000011542	ENSGALP00000013126
ENSMODP00000013216	ENSGALP00000038289
ENSMODP00000014354	ENSGALP00000022471
ENSMODP00000004962	ENSGALP00000025256
ENSMODP00000005900	ENSGALP00000041667
ENSMODP00000035265	ENSGALP00000015343
ENSMODP00000021455	ENSGALP00000004639
ENSMODP00000007161	ENSGALP00000041795
ENSMODP00000000544	ENSGALP00000042010
ENSMODP00000011975	ENSGALP00000019896
ENSMODP00000033135	ENSGALP00000011575
ENSMODP00000018478	ENSGALP00000008845
ENSMODP00000008222	ENSGALP00000003147
ENSMODP00000008442	ENSGALP00000033823
ENSMODP00000008245	ENSGALP00000041743
ENSMODP00000022009	ENSGALP00000034328
ENSMODP00000008694	ENSGALP00000010387
ENSMODP00000015844	ENSGALP00000033461
ENSMODP00000015425	ENSGALP00000022179
ENSMODP00000020481	ENSGALP00000012634
ENSMODP00000000130	ENSGALP00000040167
ENSMODP00000035626	ENSGALP00000023158
ENSMODP00000022002	ENSGALP00000003993
ENSMODP00000021450	ENSGALP00000041998
ENSMODP00000003647	ENSGALP00000041190
ENSMODP00000026607	ENSGALP00000014119
ENSMODP00000034494	ENSGALP00000039475
ENSMODP00000025611	ENSGALP00000016759
ENSMODP00000000546	ENSGALP00000000490
ENSMODP00000000474	ENSGALP00000000418
ENSMODP00000021283	ENSGALP00000000792
ENSMODP00000020228	ENSGALP00000006255
ENSMODP00000007060	ENSGALP00000010746
ENSMODP00000022087	ENSGALP00000023914
ENSMODP00000021240	ENSGALP00000029249
ENSMODP00000011441	ENSGALP00000030879
ENSMODP00000025223	ENSGALP00000038018
ENSMODP00000004255	ENSGALP00000000701
ENSMODP00000029564	ENSGALP00000007419
ENSMODP00000011211	ENSGALP00000006488
ENSMODP00000025606	ENSGALP00000016655
ENSMODP00000007941	ENSGALP00000031243
ENSMODP00000003943	ENSGALP00000015907
ENSMODP00000011968	ENSGALP00000025637
ENSMODP00000010565	ENSGALP00000005755
ENSMODP00000005501	ENSGALP00000006638
ENSMODP00000007504	ENSGALP00000006719
ENSMODP00000020310	ENSGALP00000007297
ENSMODP00000009233	ENSGALP00000018361
ENSMODP00000000429	ENSGALP00000027770
ENSMODP00000030288	ENSGALP00000016511
ENSMODP00000032640	ENSGALP00000036900
ENSMODP00000021958	ENSGALP00000043460
ENSMODP00000020109	ENSGALP00000015298
ENSMODP00000038348	ENSGALP00000024636
ENSMODP00000017177	ENSGALP00000001306
ENSMODP00000024001	ENSGALP00000016878
ENSMODP00000020113	ENSGALP00000002817
ENSMODP00000000253	ENSGALP00000007002
ENSMODP00000000694	ENSGALP00000020304
ENSMODP00000023226	ENSGALP00000028002
ENSMODP00000011527	ENSGALP00000003942
ENSMODP00000023002	ENSGALP00000010315
ENSMODP00000024342	ENSGALP00000038038
ENSMODP00000023757	ENSGALP00000016092
ENSMODP00000022263	ENSGALP00000015034
ENSMODP00000009451	ENSGALP00000025658
ENSMODP00000004684	ENSGALP00000017419
ENSMODP00000025445	ENSGALP00000008333
ENSMODP00000017237	ENSGALP00000042753
ENSMODP00000015469	ENSGALP00000005929
ENSMODP00000023786	ENSGALP00000022155
ENSMODP00000021940	ENSGALP00000017404
ENSMODP00000001437	ENSGALP00000040980
ENSMODP00000013457	ENSGALP00000013987
ENSMODP00000025116	ENSGALP00000032036
ENSMODP00000010724	ENSGALP00000006317
ENSMODP00000002862	ENSGALP00000015550
ENSMODP00000034611	ENSGALP00000015440
ENSMODP00000012640	ENSGALP00000024775
ENSMODP00000019652	ENSGALP00000040821
ENSMODP00000013262	ENSGALP00000035995
ENSMODP00000024259	ENSGALP00000010754
ENSMODP00000022965	ENSGALP00000025542
ENSMODP00000012834	ENSGALP00000000558
ENSMODP00000021258	ENSGALP00000009715
ENSMODP00000001629	ENSGALP00000005542
ENSMODP00000015598	ENSGALP00000005911
ENSMODP00000017667	ENSGALP00000021309
ENSMODP00000038519	ENSGALP00000031103
ENSMODP00000021301	ENSGALP00000000843
ENSMODP00000021025	ENSGALP00000033347
ENSMODP00000010310	ENSGALP00000042863
ENSMODP00000030140	ENSGALP00000007758
ENSMODP00000020391	ENSGALP00000012991
ENSMODP00000015233	ENSGALP00000043098
ENSMODP00000010341	ENSGALP00000017248
ENSMODP00000021895	ENSGALP00000016081
ENSMODP00000020960	ENSGALP00000008654
ENSMODP00000020125	ENSGALP00000008657
ENSMODP00000019344	ENSGALP00000034943
ENSMODP00000002481	ENSGALP00000026367
ENSMODP00000000759	ENSGALP00000041334
ENSMODP00000035740	ENSGALP00000014166
ENSMODP00000010567	ENSGALP00000014164
ENSMODP00000032902	ENSGALP00000001964
ENSMODP00000025374	ENSGALP00000023927
ENSMODP00000025486	ENSGALP00000038374
ENSMODP00000009701	ENSGALP00000026339
ENSMODP00000030251	ENSGALP00000026940
ENSMODP00000020714	ENSGALP00000012126
ENSMODP00000021483	ENSGALP00000026662
ENSMODP00000021469	ENSGALP00000042770
ENSMODP00000023550	ENSGALP00000040597
ENSMODP00000020056	ENSGALP00000008955
ENSMODP00000001145	ENSGALP00000027789
ENSMODP00000018020	ENSGALP00000012815
ENSMODP00000004384	ENSGALP00000008453
ENSMODP00000026009	ENSGALP00000017682
ENSMODP00000027349	ENSGALP00000032783
ENSMODP00000033729	ENSGALP00000035437
ENSMODP00000023115	ENSGALP00000015600
ENSMODP00000003743	ENSGALP00000024514
ENSMODP00000026955	ENSGALP00000006980
ENSMODP00000032086	ENSGALP00000002643
ENSMODP00000020434	ENSGALP00000009774
ENSMODP00000000944	ENSGALP00000017861
ENSMODP00000000829	ENSGALP00000019871
ENSMODP00000029532	ENSGALP00000009089
ENSMODP00000009813	ENSGALP00000009383
ENSMODP00000009933	ENSGALP00000040651
ENSMODP00000012354	ENSGALP00000032659
ENSMODP00000002565	ENSGALP00000024072
ENSMODP00000020280	ENSGALP00000039162
ENSMODP00000008619	ENSGALP00000025193
ENSMODP00000005464	ENSGALP00000009289
ENSMODP00000025778	ENSGALP00000017129
ENSMODP00000001039	ENSGALP00000007999
ENSMODP00000018053	ENSGALP00000001390
ENSMODP00000003470	ENSGALP00000024849
ENSMODP00000012022	ENSGALP00000040785
ENSMODP00000003356	ENSGALP00000027812
ENSMODP00000011738	ENSGALP00000035733
ENSMODP00000018820	ENSGALP00000037537
ENSMODP00000007107	ENSGALP00000007067
ENSMODP00000030082	ENSGALP00000041545
ENSMODP00000021354	ENSGALP00000026603
ENSMODP00000013888	ENSGALP00000007651
ENSMODP00000034131	ENSGALP00000013381
ENSMODP00000017409	ENSGALP00000004423
ENSMODP00000001778	ENSGALP00000017600
ENSMODP00000022887	ENSGALP00000025477
ENSMODP00000006007	ENSGALP00000004775
ENSMODP00000038040	ENSGALP00000019596
ENSMODP00000010172	ENSGALP00000040936
ENSMODP00000003064	ENSGALP00000011192
ENSMODP00000027239	ENSGALP00000020051
ENSMODP00000011818	ENSGALP00000019837
ENSMODP00000035890	ENSGALP00000043385
ENSMODP00000005986	ENSGALP00000004030
ENSMODP00000017301	ENSGALP00000004234
ENSMODP00000002334	ENSGALP00000036889
ENSMODP00000012158	ENSGALP00000019086
ENSMODP00000025871	ENSGALP00000020041
ENSMODP00000000263	ENSGALP00000039533
ENSMODP00000012047	ENSGALP00000014887
ENSMODP00000002275	ENSGALP00000004936
ENSMODP00000009126	ENSGALP00000007663
ENSMODP00000002600	ENSGALP00000023820
ENSMODP00000024566	ENSGALP00000023822
ENSMODP00000002126	ENSGALP00000005414
ENSMODP00000006925	ENSGALP00000033857
ENSMODP00000023154	ENSGALP00000025661
ENSMODP00000001148	ENSGALP00000032290
ENSMODP00000007001	ENSGALP00000031203
ENSMODP00000039867	ENSGALP00000024517
ENSMODP00000019710	ENSGALP00000026672
ENSMODP00000003121	ENSGALP00000020806
ENSMODP00000001852	ENSGALP00000000194
ENSMODP00000032776	ENSGALP00000027828
ENSMODP00000021504	ENSGALP00000014813
ENSMODP00000022725	ENSGALP00000024100
ENSMODP00000017677	ENSGALP00000039251
ENSMODP00000021594	ENSGALP00000026702
ENSMODP00000014441	ENSGALP00000000160
ENSMODP00000004536	ENSGALP00000031563
ENSMODP00000025429	ENSGALP00000032099
ENSMODP00000021409	ENSGALP00000026647
ENSMODP00000008469	ENSGALP00000041017
ENSMODP00000025502	ENSGALP00000016303
ENSMODP00000020364	ENSGALP00000007750
ENSMODP00000001657	ENSGALP00000015978
ENSMODP00000022572	ENSGALP00000023303
ENSMODP00000041088	ENSGALP00000042674
ENSMODP00000012818	ENSGALP00000001903
ENSMODP00000036499	ENSGALP00000011809
ENSMODP00000025802	ENSGALP00000017193
ENSMODP00000017973	ENSGALP00000011618
ENSMODP00000007706	ENSGALP00000004508
ENSMODP00000019151	ENSGALP00000018139
ENSMODP00000011885	ENSGALP00000032623
ENSMODP00000020305	ENSGALP00000007263
ENSMODP00000029006	ENSGALP00000026768
ENSMODP00000024282	ENSGALP00000010621
ENSMODP00000011356	ENSGALP00000024806
ENSMODP00000021528	ENSGALP00000022306
ENSMODP00000002347	ENSGALP00000041389
ENSMODP00000005643	ENSGALP00000003242
ENSMODP00000002270	ENSGALP00000001016
ENSMODP00000011420	ENSGALP00000027554
ENSMODP00000005927	ENSGALP00000040780
ENSMODP00000024027	ENSGALP00000005695
ENSMODP00000008095	ENSGALP00000011232
ENSMODP00000003803	ENSGALP00000040387
ENSMODP00000024313	ENSGALP00000010012
ENSMODP00000006458	ENSGALP00000020984
ENSMODP00000019932	ENSGALP00000013824
ENSMODP00000008549	ENSGALP00000011458
ENSMODP00000021801	ENSGALP00000021770
ENSMODP00000024609	ENSGALP00000023872
ENSMODP00000004619	ENSGALP00000004847
ENSMODP00000024173	ENSGALP00000009653
ENSMODP00000028249	ENSGALP00000005096
ENSMODP00000022136	ENSGALP00000031100
ENSMODP00000003242	ENSGALP00000010786
ENSMODP00000019732	ENSGALP00000026633
ENSMODP00000025773	ENSGALP00000025929
ENSMODP00000018236	ENSGALP00000024869
ENSMODP00000036015	ENSGALP00000018561
ENSMODP00000019533	ENSGALP00000026599
ENSMODP00000005304	ENSGALP00000011572
ENSMODP00000026231	ENSGALP00000025563
ENSMODP00000020382	ENSGALP00000012999
ENSMODP00000005124	ENSGALP00000011768
ENSMODP00000003400	ENSGALP00000041763
ENSMODP00000019451	ENSGALP00000037475
ENSMODP00000022163	ENSGALP00000003126
ENSMODP00000013430	ENSGALP00000001030
ENSMODP00000020953	ENSGALP00000020204
ENSMODP00000000255	ENSGALP00000040587
ENSMODP00000009807	ENSGALP00000021838
ENSMODP00000017114	ENSGALP00000020932
ENSMODP00000007792	ENSGALP00000007982
ENSMODP00000015990	ENSGALP00000016384
ENSMODP00000002562	ENSGALP00000013683
ENSMODP00000010334	ENSGALP00000027611
ENSMODP00000021643	ENSGALP00000026733
ENSMODP00000003570	ENSGALP00000036695
ENSMODP00000023866	ENSGALP00000041564
ENSMODP00000020138	ENSGALP00000028857
ENSMODP00000036542	ENSGALP00000003546
ENSMODP00000020972	ENSGALP00000005812
ENSMODP00000014831	ENSGALP00000010977
ENSMODP00000022588	ENSGALP00000024466
ENSMODP00000004673	ENSGALP00000025213
ENSMODP00000013307	ENSGALP00000032493
ENSMODP00000028789	ENSGALP00000041907
ENSMODP00000033491	ENSGALP00000037978
ENSMODP00000019616	ENSGALP00000041835
ENSMODP00000019188	ENSGALP00000037439
ENSMODP00000005475	ENSGALP00000008824
ENSMODP00000009994	ENSGALP00000035658
ENSMODP00000022371	ENSGALP00000003954
ENSMODP00000003194	ENSGALP00000000999
ENSMODP00000011041	ENSGALP00000008530
ENSMODP00000028798	ENSGALP00000022466
ENSMODP00000011039	ENSGALP00000015333
ENSMODP00000012196	ENSGALP00000014623
ENSMODP00000007141	ENSGALP00000040240
ENSMODP00000003656	ENSGALP00000036444
ENSMODP00000013054	ENSGALP00000026501
ENSMODP00000035379	ENSGALP00000023902
ENSMODP00000005922	ENSGALP00000025196
ENSMODP00000004736	ENSGALP00000008724
ENSMODP00000000452	ENSGALP00000014155
ENSMODP00000018859	ENSGALP00000022017
ENSMODP00000000469	ENSGALP00000014175
ENSMODP00000001220	ENSGALP00000006772
ENSMODP00000016946	ENSGALP00000041896
ENSMODP00000002563	ENSGALP00000007631
ENSMODP00000003585	ENSGALP00000004095
ENSMODP00000035688	ENSGALP00000023600
ENSMODP00000023213	ENSGALP00000008499
ENSMODP00000000249	ENSGALP00000010965
ENSMODP00000000479	ENSGALP00000021401
ENSMODP00000019401	ENSGALP00000018686
ENSMODP00000001016	ENSGALP00000019932
ENSMODP00000026397	ENSGALP00000026179
ENSMODP00000016123	ENSGALP00000003359
ENSMODP00000021880	ENSGALP00000002590
ENSMODP00000023334	ENSGALP00000018799
ENSMODP00000017975	ENSGALP00000026378
ENSMODP00000021307	ENSGALP00000009531
ENSMODP00000012044	ENSGALP00000024567
ENSMODP00000030207	ENSGALP00000008235
ENSMODP00000024010	ENSGALP00000009155
ENSMODP00000019109	ENSGALP00000041987
ENSMODP00000010652	ENSGALP00000043009
ENSMODP00000019759	ENSGALP00000016852
ENSMODP00000008555	ENSGALP00000008433
ENSMODP00000027957	ENSGALP00000034906
ENSMODP00000023830	ENSGALP00000042484
ENSMODP00000010813	ENSGALP00000015396
ENSMODP00000013424	ENSGALP00000005158
ENSMODP00000016279	ENSGALP00000020284
ENSMODP00000004565	ENSGALP00000017191
ENSMODP00000028423	ENSGALP00000014787
ENSMODP00000004558	ENSGALP00000017195
ENSMODP00000012942	ENSGALP00000014283
ENSMODP00000011716	ENSGALP00000018176
ENSMODP00000013466	ENSGALP00000005119
ENSMODP00000016015	ENSGALP00000023510
ENSMODP00000041197	ENSGALP00000019684
ENSMODP00000023917	ENSGALP00000019031
ENSMODP00000000437	ENSGALP00000000400
ENSMODP00000022719	ENSGALP00000024104
ENSMODP00000002313	ENSGALP00000021529
ENSMODP00000026322	ENSGALP00000041392
ENSMODP00000026321	ENSGALP00000025762
ENSMODP00000017431	ENSGALP00000041784
ENSMODP00000017861	ENSGALP00000007890
ENSMODP00000019785	ENSGALP00000004398
ENSMODP00000013715	ENSGALP00000000885
ENSMODP00000002105	ENSGALP00000040383
ENSMODP00000007274	ENSGALP00000041005
ENSMODP00000002115	ENSGALP00000003616
ENSMODP00000006703	ENSGALP00000014097
ENSMODP00000003752	ENSGALP00000016189
ENSMODP00000024299	ENSGALP00000041524
ENSMODP00000008475	ENSGALP00000009976
ENSMODP00000014960	ENSGALP00000038510
ENSMODP00000015162	ENSGALP00000038764
ENSMODP00000026022	ENSGALP00000014509
ENSMODP00000022909	ENSGALP00000021127
ENSMODP00000021212	ENSGALP00000009867
ENSMODP00000017819	ENSGALP00000038436
ENSMODP00000025593	ENSGALP00000043390
ENSMODP00000010326	ENSGALP00000006977
ENSMODP00000005101	ENSGALP00000001635
ENSMODP00000015992	ENSGALP00000042729
ENSMODP00000018263	ENSGALP00000036138
ENSMODP00000005376	ENSGALP00000021740
ENSMODP00000020621	ENSGALP00000015756
ENSMODP00000016034	ENSGALP00000005007
ENSMODP00000024435	ENSGALP00000010880
ENSMODP00000022554	ENSGALP00000024765
ENSMODP00000002125	ENSGALP00000026259
ENSMODP00000022004	ENSGALP00000039774
ENSMODP00000021415	ENSGALP00000022390
ENSMODP00000021822	ENSGALP00000005123
ENSMODP00000021414	ENSGALP00000026648
ENSMODP00000005123	ENSGALP00000027827
ENSMODP00000021523	ENSGALP00000004350
ENSMODP00000013320	ENSGALP00000020691
ENSMODP00000015379	ENSGALP00000002001
ENSMODP00000011548	ENSGALP00000003058
ENSMODP00000019299	ENSGALP00000017138
ENSMODP00000022037	ENSGALP00000023887
ENSMODP00000030807	ENSGALP00000005381
ENSMODP00000016719	ENSGALP00000001096
ENSMODP00000025787	ENSGALP00000017170
ENSMODP00000011728	ENSGALP00000015127
ENSMODP00000010351	ENSGALP00000042450
ENSMODP00000028759	ENSGALP00000039913
ENSMODP00000006780	ENSGALP00000036925
ENSMODP00000021852	ENSGALP00000022616
ENSMODP00000024163	ENSGALP00000003891
ENSMODP00000002157	ENSGALP00000029130
ENSMODP00000022841	ENSGALP00000041204
ENSMODP00000021988	ENSGALP00000001262
ENSMODP00000013582	ENSGALP00000040623
ENSMODP00000022436	ENSGALP00000024627
ENSMODP00000000187	ENSGALP00000027757
ENSMODP00000004345	ENSGALP00000012086
ENSMODP00000039129	ENSGALP00000006934
ENSMODP00000037855	ENSGALP00000022108
ENSMODP00000011440	ENSGALP00000027552
ENSMODP00000019202	ENSGALP00000023284
ENSMODP00000001457	ENSGALP00000017952
ENSMODP00000015719	ENSGALP00000021824
ENSMODP00000025489	ENSGALP00000005423
ENSMODP00000025762	ENSGALP00000017115
ENSMODP00000005094	ENSGALP00000023190
ENSMODP00000023625	ENSGALP00000036966
ENSMODP00000014093	ENSGALP00000019366
ENSMODP00000012594	ENSGALP00000027492
ENSMODP00000010237	ENSGALP00000005475
ENSMODP00000010248	ENSGALP00000033676
ENSMODP00000000934	ENSGALP00000020426
ENSMODP00000003150	ENSGALP00000012662
ENSMODP00000019976	ENSGALP00000038334
ENSMODP00000006082	ENSGALP00000009526
ENSMODP00000040702	ENSGALP00000027391
ENSMODP00000020657	ENSGALP00000037167
ENSMODP00000002766	ENSGALP00000001312
ENSMODP00000000399	ENSGALP00000016076
ENSMODP00000011531	ENSGALP00000013681
ENSMODP00000011033	ENSGALP00000013190
ENSMODP00000000838	ENSGALP00000039305
ENSMODP00000014368	ENSGALP00000001702
ENSMODP00000025725	ENSGALP00000023025
ENSMODP00000025340	ENSGALP00000036860
ENSMODP00000017239	ENSGALP00000019012
ENSMODP00000008441	ENSGALP00000017453
ENSMODP00000018248	ENSGALP00000004232
ENSMODP00000016300	ENSGALP00000004490
ENSMODP00000024624	ENSGALP00000007139
ENSMODP00000026280	ENSGALP00000025348
ENSMODP00000006642	ENSGALP00000002228
ENSMODP00000013456	ENSGALP00000001051
ENSMODP00000022110	ENSGALP00000023938
ENSMODP00000023187	ENSGALP00000041541
ENSMODP00000006952	ENSGALP00000002189
ENSMODP00000034906	ENSGALP00000020696
ENSMODP00000011646	ENSGALP00000043364
ENSMODP00000029642	ENSGALP00000011635
ENSMODP00000001893	ENSGALP00000027988
ENSMODP00000016281	ENSGALP00000006566
ENSMODP00000022210	ENSGALP00000013911
ENSMODP00000023242	ENSGALP00000003371
ENSMODP00000019103	ENSGALP00000009781
ENSMODP00000015362	ENSGALP00000001973
ENSMODP00000001219	ENSGALP00000043342
ENSMODP00000003434	ENSGALP00000022589
ENSMODP00000008501	ENSGALP00000027954
ENSMODP00000032729	ENSGALP00000000971
ENSMODP00000013337	ENSGALP00000027436
ENSMODP00000023139	ENSGALP00000042241
ENSMODP00000020292	ENSGALP00000007155
ENSMODP00000021849	ENSGALP00000022613
ENSMODP00000040586	ENSGALP00000042200
ENSMODP00000005066	ENSGALP00000001658
ENSMODP00000039503	ENSGALP00000022667
ENSMODP00000002547	ENSGALP00000041630
ENSMODP00000007208	ENSGALP00000011899
ENSMODP00000007632	ENSGALP00000007931
ENSMODP00000001534	ENSGALP00000020491
ENSMODP00000019745	ENSGALP00000015287
ENSMODP00000005749	ENSGALP00000013584
ENSMODP00000019494	ENSGALP00000024623
ENSMODP00000035126	ENSGALP00000042077
ENSMODP00000011937	ENSGALP00000007246
ENSMODP00000023649	ENSGALP00000019534
ENSMODP00000000328	ENSGALP00000008383
ENSMODP00000039408	ENSGALP00000008417
ENSMODP00000012595	ENSGALP00000042275
ENSMODP00000001926	ENSGALP00000020598
ENSMODP00000024807	ENSGALP00000013730
ENSMODP00000017725	ENSGALP00000010423
ENSMODP00000021741	ENSGALP00000022444
ENSMODP00000026347	ENSGALP00000043426
ENSMODP00000029187	ENSGALP00000009161
ENSMODP00000008591	ENSGALP00000017478
ENSMODP00000038904	ENSGALP00000016142
ENSMODP00000012579	ENSGALP00000020819
ENSMODP00000023619	ENSGALP00000016521
ENSMODP00000038304	ENSGALP00000035454
ENSMODP00000003794	ENSGALP00000020312
ENSMODP00000033223	ENSGALP00000011738
ENSMODP00000008393	ENSGALP00000025229
ENSMODP00000009029	ENSGALP00000012961
ENSMODP00000008368	ENSGALP00000009899
ENSMODP00000009421	ENSGALP00000022298
ENSMODP00000010627	ENSGALP00000006172
ENSMODP00000010403	ENSGALP00000027609
ENSMODP00000002576	ENSGALP00000012750
ENSMODP00000008240	ENSGALP00000001660
ENSMODP00000021761	ENSGALP00000043276
ENSMODP00000001721	ENSGALP00000021516
ENSMODP00000026291	ENSGALP00000026030
ENSMODP00000017128	ENSGALP00000020927
ENSMODP00000007108	ENSGALP00000033974
ENSMODP00000004867	ENSGALP00000012678
ENSMODP00000008673	ENSGALP00000006494
ENSMODP00000005945	ENSGALP00000009387
ENSMODP00000000301	ENSGALP00000007102
ENSMODP00000010528	ENSGALP00000017154
ENSMODP00000010073	ENSGALP00000035850
ENSMODP00000009501	ENSGALP00000019779
ENSMODP00000003910	ENSGALP00000038747
ENSMODP00000001101	ENSGALP00000019969
ENSMODP00000002815	ENSGALP00000019650
ENSMODP00000012726	ENSGALP00000014376
ENSMODP00000002854	ENSGALP00000020777
ENSMODP00000004406	ENSGALP00000020364
ENSMODP00000009401	ENSGALP00000002014
ENSMODP00000017551	ENSGALP00000039652
ENSMODP00000001455	ENSGALP00000015051
ENSMODP00000030254	ENSGALP00000035888
ENSMODP00000015519	ENSGALP00000003964
ENSMODP00000025939	ENSGALP00000019178
ENSMODP00000029725	ENSGALP00000011711
ENSMODP00000007595	ENSGALP00000002699
ENSMODP00000000448	ENSGALP00000002030
ENSMODP00000016476	ENSGALP00000038901
ENSMODP00000013976	ENSGALP00000027407
ENSMODP00000037324	ENSGALP00000018103
ENSMODP00000021756	ENSGALP00000041622
ENSMODP00000014791	ENSGALP00000007181
ENSMODP00000007535	ENSGALP00000015000
ENSMODP00000004307	ENSGALP00000022199
ENSMODP00000031416	ENSGALP00000010910
ENSMODP00000004279	ENSGALP00000008427
ENSMODP00000016550	ENSGALP00000010929
ENSMODP00000002057	ENSGALP00000024142
ENSMODP00000022190	ENSGALP00000013709
ENSMODP00000023903	ENSGALP00000041636
ENSMODP00000016112	ENSGALP00000006431
ENSMODP00000011712	ENSGALP00000027264
ENSMODP00000003168	ENSGALP00000027072
ENSMODP00000006821	ENSGALP00000016926
ENSMODP00000007341	ENSGALP00000015071
ENSMODP00000023634	ENSGALP00000016706
ENSMODP00000036418	ENSGALP00000041185
ENSMODP00000031883	ENSGALP00000040722
ENSMODP00000008755	ENSGALP00000007382
ENSMODP00000005090	ENSGALP00000007317
ENSMODP00000022716	ENSGALP00000019231
ENSMODP00000000802	ENSGALP00000016253
ENSMODP00000023352	ENSGALP00000020022
ENSMODP00000011249	ENSGALP00000006671
ENSMODP00000011702	ENSGALP00000043246
ENSMODP00000016105	ENSGALP00000006365
ENSMODP00000005316	ENSGALP00000041702
ENSMODP00000004548	ENSGALP00000017201
ENSMODP00000000178	ENSGALP00000023169
ENSMODP00000021395	ENSGALP00000035839
ENSMODP00000021711	ENSGALP00000040812
ENSMODP00000022804	ENSGALP00000024377
ENSMODP00000025661	ENSGALP00000002465
ENSMODP00000015049	ENSGALP00000006378
ENSMODP00000000136	ENSGALP00000013993
ENSMODP00000005076	ENSGALP00000040377
ENSMODP00000000410	ENSGALP00000026933
ENSMODP00000022549	ENSGALP00000024760
ENSMODP00000025381	ENSGALP00000023916
ENSMODP00000022480	ENSGALP00000024778
ENSMODP00000000623	ENSGALP00000016204
ENSMODP00000005965	ENSGALP00000042038
ENSMODP00000000937	ENSGALP00000041380
ENSMODP00000001469	ENSGALP00000041129
ENSMODP00000035585	ENSGALP00000015559
ENSMODP00000012855	ENSGALP00000000540
ENSMODP00000018160	ENSGALP00000018802
ENSMODP00000020356	ENSGALP00000013782
ENSMODP00000003924	ENSGALP00000017392
ENSMODP00000014627	ENSGALP00000035503
ENSMODP00000013896	ENSGALP00000002109
