ENSTGUP00000008915	ENSDARP00000074624
ENSTGUP00000012655	ENSDARP00000108316
ENSTGUP00000009774	ENSDARP00000127301
ENSTGUP00000004347	ENSDARP00000019368
ENSTGUP00000008637	ENSDARP00000092246
ENSTGUP00000002472	ENSDARP00000116730
ENSTGUP00000013395	ENSDARP00000099426
ENSTGUP00000015929	ENSDARP00000122116
ENSTGUP00000004979	ENSDARP00000050915
ENSTGUP00000001737	ENSDARP00000070289
ENSTGUP00000005835	ENSDARP00000075348
ENSTGUP00000003923	ENSDARP00000003841
ENSTGUP00000000884	ENSDARP00000124218
ENSTGUP00000012182	ENSDARP00000069581
ENSTGUP00000016746	ENSDARP00000124101
ENSTGUP00000005437	ENSDARP00000123657
ENSTGUP00000006286	ENSDARP00000081043
ENSTGUP00000008030	ENSDARP00000074623
ENSTGUP00000008030	ENSDARP00000096363
ENSTGUP00000005822	ENSDARP00000096556
ENSTGUP00000011461	ENSDARP00000065928
ENSTGUP00000011461	ENSDARP00000095919
ENSTGUP00000013882	ENSDARP00000098433
ENSTGUP00000013882	ENSDARP00000099233
ENSTGUP00000013429	ENSDARP00000104323
ENSTGUP00000012456	ENSDARP00000008105
ENSTGUP00000005556	ENSDARP00000104821
ENSTGUP00000011894	ENSDARP00000053530
ENSTGUP00000017097	ENSDARP00000126317
ENSTGUP00000000202	ENSDARP00000109215
ENSTGUP00000003799	ENSDARP00000098515
ENSTGUP00000004720	ENSDARP00000107099
ENSTGUP00000005411	ENSDARP00000068216
ENSTGUP00000005395	ENSDARP00000061075
ENSTGUP00000006723	ENSDARP00000078009
ENSTGUP00000014641	ENSDARP00000027966
ENSTGUP00000014101	ENSDARP00000045599
ENSTGUP00000000881	ENSDARP00000097622
ENSTGUP00000000881	ENSDARP00000107490
ENSTGUP00000001945	ENSDARP00000120440
ENSTGUP00000001945	ENSDARP00000049927
ENSTGUP00000007234	ENSDARP00000060575
ENSTGUP00000007234	ENSDARP00000096413
ENSTGUP00000005250	ENSDARP00000096458
ENSTGUP00000005250	ENSDARP00000010568
ENSTGUP00000016740	ENSDARP00000011527
ENSTGUP00000016740	ENSDARP00000111211
ENSTGUP00000000514	ENSDARP00000124791
ENSTGUP00000001452	ENSDARP00000109008
ENSTGUP00000011066	ENSDARP00000108464
ENSTGUP00000010433	ENSDARP00000129552
ENSTGUP00000001817	ENSDARP00000062145
ENSTGUP00000002445	ENSDARP00000125087
ENSTGUP00000008209	ENSDARP00000020170
ENSTGUP00000012270	ENSDARP00000084452
ENSTGUP00000012270	ENSDARP00000105699
ENSTGUP00000011962	ENSDARP00000122306
ENSTGUP00000008958	ENSDARP00000121593
ENSTGUP00000008958	ENSDARP00000076415
ENSTGUP00000010906	ENSDARP00000038214
ENSTGUP00000011381	ENSDARP00000106388
ENSTGUP00000011381	ENSDARP00000115296
ENSTGUP00000000689	ENSDARP00000105530
ENSTGUP00000013082	ENSDARP00000127735
ENSTGUP00000013082	ENSDARP00000088314
ENSTGUP00000006982	ENSDARP00000081860
ENSTGUP00000000607	ENSDARP00000096327
ENSTGUP00000008747	ENSDARP00000094631
ENSTGUP00000008747	ENSDARP00000012087
ENSTGUP00000005848	ENSDARP00000105876
ENSTGUP00000012041	ENSDARP00000087964
ENSTGUP00000005815	ENSDARP00000123542
ENSTGUP00000005960	ENSDARP00000067167
ENSTGUP00000004692	ENSDARP00000086185
ENSTGUP00000006837	ENSDARP00000060701
ENSTGUP00000009078	ENSDARP00000103159
ENSTGUP00000012124	ENSDARP00000101059
ENSTGUP00000003685	ENSDARP00000070556
ENSTGUP00000012127	ENSDARP00000086415
ENSTGUP00000010383	ENSDARP00000123393
ENSTGUP00000007607	ENSDARP00000123656
ENSTGUP00000000736	ENSDARP00000098117
ENSTGUP00000012363	ENSDARP00000085308
ENSTGUP00000005228	ENSDARP00000112164
ENSTGUP00000005043	ENSDARP00000024623
ENSTGUP00000005386	ENSDARP00000054234
ENSTGUP00000013604	ENSDARP00000093386
ENSTGUP00000015218	ENSDARP00000054690
ENSTGUP00000004674	ENSDARP00000129827
ENSTGUP00000005900	ENSDARP00000087335
ENSTGUP00000005650	ENSDARP00000061737
ENSTGUP00000003373	ENSDARP00000068355
ENSTGUP00000007689	ENSDARP00000067923
ENSTGUP00000012584	ENSDARP00000021737
ENSTGUP00000000529	ENSDARP00000108605
ENSTGUP00000011212	ENSDARP00000091836
ENSTGUP00000006583	ENSDARP00000026625
ENSTGUP00000004425	ENSDARP00000008364
ENSTGUP00000010035	ENSDARP00000099291
ENSTGUP00000005261	ENSDARP00000084823
ENSTGUP00000018141	ENSDARP00000004624
ENSTGUP00000002014	ENSDARP00000092387
ENSTGUP00000010803	ENSDARP00000060004
ENSTGUP00000014017	ENSDARP00000090957
ENSTGUP00000014017	ENSDARP00000091978
ENSTGUP00000000389	ENSDARP00000104288
ENSTGUP00000005844	ENSDARP00000079577
ENSTGUP00000015168	ENSDARP00000080499
ENSTGUP00000015168	ENSDARP00000111239
ENSTGUP00000001233	ENSDARP00000117350
ENSTGUP00000011570	ENSDARP00000017119
ENSTGUP00000012647	ENSDARP00000128675
ENSTGUP00000004309	ENSDARP00000104030
ENSTGUP00000005293	ENSDARP00000102719
ENSTGUP00000008475	ENSDARP00000055153
ENSTGUP00000001236	ENSDARP00000120420
ENSTGUP00000002906	ENSDARP00000129811
ENSTGUP00000012753	ENSDARP00000007196
ENSTGUP00000009567	ENSDARP00000109081
ENSTGUP00000011244	ENSDARP00000062531
ENSTGUP00000011244	ENSDARP00000071210
ENSTGUP00000013811	ENSDARP00000109804
ENSTGUP00000013811	ENSDARP00000059954
ENSTGUP00000000924	ENSDARP00000067735
ENSTGUP00000004452	ENSDARP00000012557
ENSTGUP00000010970	ENSDARP00000128208
ENSTGUP00000014001	ENSDARP00000075472
ENSTGUP00000002294	ENSDARP00000071521
ENSTGUP00000012643	ENSDARP00000104230
ENSTGUP00000012569	ENSDARP00000004889
ENSTGUP00000002743	ENSDARP00000029203
ENSTGUP00000008445	ENSDARP00000003665
ENSTGUP00000004070	ENSDARP00000093347
ENSTGUP00000010422	ENSDARP00000113461
ENSTGUP00000010422	ENSDARP00000084498
ENSTGUP00000001733	ENSDARP00000035581
ENSTGUP00000006254	ENSDARP00000005771
ENSTGUP00000010847	ENSDARP00000020361
ENSTGUP00000004082	ENSDARP00000051391
ENSTGUP00000004058	ENSDARP00000080999
ENSTGUP00000013685	ENSDARP00000071885
ENSTGUP00000013685	ENSDARP00000088034
ENSTGUP00000008375	ENSDARP00000031031
ENSTGUP00000010941	ENSDARP00000063007
ENSTGUP00000003778	ENSDARP00000022107
ENSTGUP00000008484	ENSDARP00000099262
ENSTGUP00000005133	ENSDARP00000012447
ENSTGUP00000000540	ENSDARP00000109375
ENSTGUP00000006057	ENSDARP00000104233
ENSTGUP00000000651	ENSDARP00000068124
ENSTGUP00000005208	ENSDARP00000005251
ENSTGUP00000008780	ENSDARP00000060344
ENSTGUP00000013923	ENSDARP00000069982
ENSTGUP00000002829	ENSDARP00000109674
ENSTGUP00000003827	ENSDARP00000006712
ENSTGUP00000002518	ENSDARP00000088296
ENSTGUP00000002518	ENSDARP00000064965
ENSTGUP00000007351	ENSDARP00000078938
ENSTGUP00000014026	ENSDARP00000060953
ENSTGUP00000008383	ENSDARP00000070706
ENSTGUP00000004400	ENSDARP00000022483
ENSTGUP00000004400	ENSDARP00000110181
ENSTGUP00000011978	ENSDARP00000105872
ENSTGUP00000005813	ENSDARP00000091863
ENSTGUP00000009260	ENSDARP00000041857
ENSTGUP00000013958	ENSDARP00000029449
ENSTGUP00000013958	ENSDARP00000072374
ENSTGUP00000004648	ENSDARP00000101724
ENSTGUP00000008495	ENSDARP00000085782
ENSTGUP00000003910	ENSDARP00000123249
ENSTGUP00000003910	ENSDARP00000011459
ENSTGUP00000002733	ENSDARP00000068639
ENSTGUP00000007509	ENSDARP00000105116
ENSTGUP00000002381	ENSDARP00000053767
ENSTGUP00000001061	ENSDARP00000022315
ENSTGUP00000012559	ENSDARP00000115118
ENSTGUP00000012559	ENSDARP00000124784
ENSTGUP00000016237	ENSDARP00000099634
ENSTGUP00000016237	ENSDARP00000102572
ENSTGUP00000007898	ENSDARP00000099601
ENSTGUP00000013893	ENSDARP00000092960
ENSTGUP00000003319	ENSDARP00000104597
ENSTGUP00000003735	ENSDARP00000009407
ENSTGUP00000004787	ENSDARP00000115000
ENSTGUP00000001139	ENSDARP00000074501
ENSTGUP00000006707	ENSDARP00000129617
ENSTGUP00000006190	ENSDARP00000093744
ENSTGUP00000004646	ENSDARP00000100863
ENSTGUP00000000146	ENSDARP00000099375
ENSTGUP00000009281	ENSDARP00000122491
ENSTGUP00000002474	ENSDARP00000099219
ENSTGUP00000010619	ENSDARP00000098390
ENSTGUP00000011015	ENSDARP00000104429
ENSTGUP00000007306	ENSDARP00000103598
ENSTGUP00000012365	ENSDARP00000009633
ENSTGUP00000012365	ENSDARP00000008214
ENSTGUP00000009503	ENSDARP00000103896
ENSTGUP00000007595	ENSDARP00000095217
ENSTGUP00000001540	ENSDARP00000109055
ENSTGUP00000014093	ENSDARP00000118603
ENSTGUP00000000044	ENSDARP00000114621
ENSTGUP00000004120	ENSDARP00000036958
ENSTGUP00000004120	ENSDARP00000041938
ENSTGUP00000013366	ENSDARP00000021165
ENSTGUP00000013366	ENSDARP00000104119
ENSTGUP00000012902	ENSDARP00000041034
ENSTGUP00000012902	ENSDARP00000118861
ENSTGUP00000002950	ENSDARP00000121933
ENSTGUP00000004988	ENSDARP00000114195
ENSTGUP00000000910	ENSDARP00000100758
ENSTGUP00000002494	ENSDARP00000107618
ENSTGUP00000012964	ENSDARP00000052422
ENSTGUP00000002098	ENSDARP00000097465
ENSTGUP00000000161	ENSDARP00000090302
ENSTGUP00000002419	ENSDARP00000117091
ENSTGUP00000012186	ENSDARP00000045189
ENSTGUP00000006154	ENSDARP00000060159
ENSTGUP00000006154	ENSDARP00000052801
ENSTGUP00000004916	ENSDARP00000009358
ENSTGUP00000000984	ENSDARP00000108432
ENSTGUP00000011844	ENSDARP00000011150
ENSTGUP00000011844	ENSDARP00000025205
ENSTGUP00000005927	ENSDARP00000117760
ENSTGUP00000006987	ENSDARP00000088060
ENSTGUP00000006883	ENSDARP00000083347
ENSTGUP00000006883	ENSDARP00000114222
ENSTGUP00000006276	ENSDARP00000103338
ENSTGUP00000009411	ENSDARP00000009052
ENSTGUP00000011938	ENSDARP00000049330
ENSTGUP00000011938	ENSDARP00000096703
ENSTGUP00000011591	ENSDARP00000109970
ENSTGUP00000007793	ENSDARP00000005746
ENSTGUP00000017625	ENSDARP00000107692
ENSTGUP00000009404	ENSDARP00000127308
ENSTGUP00000004844	ENSDARP00000103078
ENSTGUP00000006643	ENSDARP00000069034
ENSTGUP00000017277	ENSDARP00000052788
ENSTGUP00000003542	ENSDARP00000056621
ENSTGUP00000012441	ENSDARP00000059208
ENSTGUP00000010912	ENSDARP00000124192
ENSTGUP00000004890	ENSDARP00000104665
ENSTGUP00000002801	ENSDARP00000079486
ENSTGUP00000007738	ENSDARP00000099105
ENSTGUP00000005073	ENSDARP00000098351
ENSTGUP00000017570	ENSDARP00000074739
ENSTGUP00000008483	ENSDARP00000057982
ENSTGUP00000006331	ENSDARP00000077137
ENSTGUP00000003175	ENSDARP00000108974
ENSTGUP00000002781	ENSDARP00000126347
ENSTGUP00000003037	ENSDARP00000105846
ENSTGUP00000011390	ENSDARP00000085899
ENSTGUP00000005426	ENSDARP00000100185
ENSTGUP00000011026	ENSDARP00000046840
ENSTGUP00000011026	ENSDARP00000076236
ENSTGUP00000011135	ENSDARP00000010432
ENSTGUP00000002777	ENSDARP00000024428
ENSTGUP00000017506	ENSDARP00000114891
ENSTGUP00000004464	ENSDARP00000098887
ENSTGUP00000018050	ENSDARP00000129797
ENSTGUP00000017890	ENSDARP00000116263
ENSTGUP00000001042	ENSDARP00000101151
ENSTGUP00000002177	ENSDARP00000124666
ENSTGUP00000010375	ENSDARP00000084282
ENSTGUP00000013154	ENSDARP00000091125
ENSTGUP00000011847	ENSDARP00000053846
ENSTGUP00000001610	ENSDARP00000090466
ENSTGUP00000011209	ENSDARP00000070357
ENSTGUP00000009384	ENSDARP00000023365
ENSTGUP00000009284	ENSDARP00000029663
ENSTGUP00000009284	ENSDARP00000112946
ENSTGUP00000008805	ENSDARP00000097577
ENSTGUP00000015174	ENSDARP00000040190
ENSTGUP00000013329	ENSDARP00000127760
ENSTGUP00000011460	ENSDARP00000104632
ENSTGUP00000011607	ENSDARP00000108672
ENSTGUP00000001110	ENSDARP00000018738
ENSTGUP00000004571	ENSDARP00000068132
ENSTGUP00000006667	ENSDARP00000121820
ENSTGUP00000012933	ENSDARP00000018938
ENSTGUP00000007985	ENSDARP00000009463
ENSTGUP00000007185	ENSDARP00000054673
ENSTGUP00000007185	ENSDARP00000053915
ENSTGUP00000004693	ENSDARP00000106863
ENSTGUP00000005637	ENSDARP00000105848
ENSTGUP00000006029	ENSDARP00000005582
ENSTGUP00000013207	ENSDARP00000034149
ENSTGUP00000013207	ENSDARP00000088509
ENSTGUP00000004068	ENSDARP00000101872
ENSTGUP00000017600	ENSDARP00000115297
ENSTGUP00000003897	ENSDARP00000101295
ENSTGUP00000002802	ENSDARP00000105943
ENSTGUP00000007590	ENSDARP00000099481
ENSTGUP00000005902	ENSDARP00000086709
ENSTGUP00000001096	ENSDARP00000101531
ENSTGUP00000006059	ENSDARP00000123268
ENSTGUP00000006333	ENSDARP00000127243
ENSTGUP00000006333	ENSDARP00000129098
ENSTGUP00000001746	ENSDARP00000100359
ENSTGUP00000014629	ENSDARP00000100517
ENSTGUP00000003293	ENSDARP00000095271
ENSTGUP00000013200	ENSDARP00000094994
ENSTGUP00000011493	ENSDARP00000002041
ENSTGUP00000007274	ENSDARP00000124947
ENSTGUP00000008744	ENSDARP00000085784
ENSTGUP00000008505	ENSDARP00000116836
ENSTGUP00000008505	ENSDARP00000067433
ENSTGUP00000001843	ENSDARP00000061734
ENSTGUP00000001843	ENSDARP00000061712
ENSTGUP00000001940	ENSDARP00000098708
ENSTGUP00000001940	ENSDARP00000113396
ENSTGUP00000000885	ENSDARP00000112197
ENSTGUP00000005417	ENSDARP00000101967
ENSTGUP00000004208	ENSDARP00000015055
ENSTGUP00000005218	ENSDARP00000073397
ENSTGUP00000005218	ENSDARP00000081369
ENSTGUP00000007613	ENSDARP00000112667
ENSTGUP00000011968	ENSDARP00000109848
ENSTGUP00000011012	ENSDARP00000040382
ENSTGUP00000016561	ENSDARP00000119402
ENSTGUP00000010160	ENSDARP00000107880
ENSTGUP00000000240	ENSDARP00000073535
ENSTGUP00000009798	ENSDARP00000088481
ENSTGUP00000007483	ENSDARP00000103050
ENSTGUP00000000465	ENSDARP00000098740
ENSTGUP00000000465	ENSDARP00000041876
ENSTGUP00000016558	ENSDARP00000092287
ENSTGUP00000016558	ENSDARP00000066960
ENSTGUP00000000260	ENSDARP00000074070
ENSTGUP00000004987	ENSDARP00000093819
ENSTGUP00000001179	ENSDARP00000050201
ENSTGUP00000013635	ENSDARP00000058611
ENSTGUP00000005215	ENSDARP00000069025
ENSTGUP00000005215	ENSDARP00000066385
ENSTGUP00000001470	ENSDARP00000100145
ENSTGUP00000008536	ENSDARP00000080960
ENSTGUP00000010665	ENSDARP00000080968
ENSTGUP00000012587	ENSDARP00000075872
ENSTGUP00000013778	ENSDARP00000092923
ENSTGUP00000010926	ENSDARP00000005954
ENSTGUP00000009826	ENSDARP00000058159
ENSTGUP00000001455	ENSDARP00000107045
ENSTGUP00000003086	ENSDARP00000097617
ENSTGUP00000012550	ENSDARP00000100510
ENSTGUP00000008364	ENSDARP00000077546
ENSTGUP00000008364	ENSDARP00000108518
ENSTGUP00000003030	ENSDARP00000019488
ENSTGUP00000003030	ENSDARP00000018866
ENSTGUP00000006119	ENSDARP00000018231
ENSTGUP00000009726	ENSDARP00000109939
ENSTGUP00000007752	ENSDARP00000127650
ENSTGUP00000004682	ENSDARP00000054407
ENSTGUP00000000400	ENSDARP00000123760
ENSTGUP00000000400	ENSDARP00000123811
ENSTGUP00000002033	ENSDARP00000055658
ENSTGUP00000008469	ENSDARP00000093650
ENSTGUP00000013317	ENSDARP00000062147
ENSTGUP00000013315	ENSDARP00000021226
ENSTGUP00000001673	ENSDARP00000109319
ENSTGUP00000001673	ENSDARP00000108874
ENSTGUP00000006261	ENSDARP00000108451
ENSTGUP00000011790	ENSDARP00000018694
ENSTGUP00000010615	ENSDARP00000043250
ENSTGUP00000013502	ENSDARP00000066603
ENSTGUP00000003353	ENSDARP00000111755
ENSTGUP00000008707	ENSDARP00000082575
ENSTGUP00000001542	ENSDARP00000113286
ENSTGUP00000002542	ENSDARP00000097432
ENSTGUP00000007443	ENSDARP00000098459
ENSTGUP00000007443	ENSDARP00000124535
ENSTGUP00000004134	ENSDARP00000071856
ENSTGUP00000004560	ENSDARP00000120960
ENSTGUP00000004560	ENSDARP00000128940
ENSTGUP00000008574	ENSDARP00000125083
ENSTGUP00000010404	ENSDARP00000056926
ENSTGUP00000010404	ENSDARP00000005048
ENSTGUP00000012276	ENSDARP00000124991
ENSTGUP00000004290	ENSDARP00000079776
ENSTGUP00000005035	ENSDARP00000065420
ENSTGUP00000017505	ENSDARP00000107559
ENSTGUP00000004597	ENSDARP00000022759
ENSTGUP00000012101	ENSDARP00000078703
ENSTGUP00000009335	ENSDARP00000128597
ENSTGUP00000012595	ENSDARP00000092244
ENSTGUP00000002488	ENSDARP00000052139
ENSTGUP00000004809	ENSDARP00000120624
ENSTGUP00000008924	ENSDARP00000008287
ENSTGUP00000009158	ENSDARP00000052392
ENSTGUP00000009158	ENSDARP00000124147
ENSTGUP00000005205	ENSDARP00000091677
ENSTGUP00000013420	ENSDARP00000063436
ENSTGUP00000013420	ENSDARP00000127197
ENSTGUP00000006279	ENSDARP00000090413
ENSTGUP00000006279	ENSDARP00000016064
ENSTGUP00000006670	ENSDARP00000042943
ENSTGUP00000014898	ENSDARP00000100263
ENSTGUP00000012346	ENSDARP00000012119
ENSTGUP00000016363	ENSDARP00000094844
ENSTGUP00000012338	ENSDARP00000088293
ENSTGUP00000002318	ENSDARP00000126719
ENSTGUP00000002318	ENSDARP00000102231
ENSTGUP00000003640	ENSDARP00000086615
ENSTGUP00000006185	ENSDARP00000120615
ENSTGUP00000001076	ENSDARP00000102289
ENSTGUP00000002350	ENSDARP00000102079
ENSTGUP00000008048	ENSDARP00000102172
ENSTGUP00000003812	ENSDARP00000019713
ENSTGUP00000010106	ENSDARP00000049327
ENSTGUP00000005509	ENSDARP00000108755
ENSTGUP00000005802	ENSDARP00000097554
ENSTGUP00000000473	ENSDARP00000023608
ENSTGUP00000008908	ENSDARP00000117529
ENSTGUP00000000866	ENSDARP00000041577
ENSTGUP00000000866	ENSDARP00000124627
ENSTGUP00000011967	ENSDARP00000127159
ENSTGUP00000017812	ENSDARP00000098839
ENSTGUP00000011905	ENSDARP00000053538
ENSTGUP00000011852	ENSDARP00000066697
ENSTGUP00000011506	ENSDARP00000057688
ENSTGUP00000013249	ENSDARP00000111840
ENSTGUP00000017524	ENSDARP00000111102
ENSTGUP00000006202	ENSDARP00000110737
ENSTGUP00000006275	ENSDARP00000081363
ENSTGUP00000010222	ENSDARP00000034453
ENSTGUP00000011440	ENSDARP00000125629
ENSTGUP00000001396	ENSDARP00000097987
ENSTGUP00000006262	ENSDARP00000125045
ENSTGUP00000010163	ENSDARP00000125217
ENSTGUP00000013862	ENSDARP00000064375
ENSTGUP00000009732	ENSDARP00000093532
ENSTGUP00000002324	ENSDARP00000032009
ENSTGUP00000011908	ENSDARP00000111633
ENSTGUP00000011715	ENSDARP00000124407
ENSTGUP00000009982	ENSDARP00000093865
ENSTGUP00000008417	ENSDARP00000092235
ENSTGUP00000005558	ENSDARP00000048890
ENSTGUP00000005558	ENSDARP00000064800
ENSTGUP00000009162	ENSDARP00000056898
ENSTGUP00000002649	ENSDARP00000094251
ENSTGUP00000002923	ENSDARP00000092177
ENSTGUP00000010265	ENSDARP00000065372
ENSTGUP00000013147	ENSDARP00000029821
ENSTGUP00000013147	ENSDARP00000012018
ENSTGUP00000013577	ENSDARP00000109540
ENSTGUP00000009636	ENSDARP00000018668
ENSTGUP00000016677	ENSDARP00000064379
ENSTGUP00000005765	ENSDARP00000094302
ENSTGUP00000011294	ENSDARP00000105052
ENSTGUP00000000358	ENSDARP00000099151
ENSTGUP00000011716	ENSDARP00000092798
ENSTGUP00000001371	ENSDARP00000059034
ENSTGUP00000012004	ENSDARP00000082791
ENSTGUP00000007935	ENSDARP00000077561
ENSTGUP00000005094	ENSDARP00000080650
ENSTGUP00000002853	ENSDARP00000055236
ENSTGUP00000011697	ENSDARP00000027699
ENSTGUP00000007849	ENSDARP00000076355
ENSTGUP00000003895	ENSDARP00000073232
ENSTGUP00000011868	ENSDARP00000118572
ENSTGUP00000015977	ENSDARP00000009683
ENSTGUP00000012190	ENSDARP00000097799
ENSTGUP00000007029	ENSDARP00000117814
ENSTGUP00000003877	ENSDARP00000127670
ENSTGUP00000003206	ENSDARP00000092973
ENSTGUP00000004491	ENSDARP00000041848
ENSTGUP00000006063	ENSDARP00000074848
ENSTGUP00000004908	ENSDARP00000116378
ENSTGUP00000011498	ENSDARP00000036330
ENSTGUP00000006179	ENSDARP00000114109
ENSTGUP00000015213	ENSDARP00000107144
ENSTGUP00000007905	ENSDARP00000077501
ENSTGUP00000000521	ENSDARP00000061012
ENSTGUP00000013628	ENSDARP00000094525
ENSTGUP00000013628	ENSDARP00000095378
ENSTGUP00000000301	ENSDARP00000066100
ENSTGUP00000014018	ENSDARP00000124521
ENSTGUP00000014018	ENSDARP00000086992
ENSTGUP00000011067	ENSDARP00000066577
ENSTGUP00000013674	ENSDARP00000043937
ENSTGUP00000013851	ENSDARP00000100035
ENSTGUP00000010700	ENSDARP00000045109
ENSTGUP00000007894	ENSDARP00000024338
ENSTGUP00000007894	ENSDARP00000110363
ENSTGUP00000003848	ENSDARP00000017897
ENSTGUP00000003848	ENSDARP00000023938
ENSTGUP00000012039	ENSDARP00000014221
ENSTGUP00000008426	ENSDARP00000075507
ENSTGUP00000006452	ENSDARP00000128019
ENSTGUP00000006452	ENSDARP00000118849
ENSTGUP00000005099	ENSDARP00000060242
ENSTGUP00000008385	ENSDARP00000110575
ENSTGUP00000008385	ENSDARP00000120079
ENSTGUP00000012552	ENSDARP00000127609
ENSTGUP00000012552	ENSDARP00000104659
ENSTGUP00000005994	ENSDARP00000095917
ENSTGUP00000008244	ENSDARP00000095299
ENSTGUP00000008244	ENSDARP00000115695
ENSTGUP00000015679	ENSDARP00000103641
ENSTGUP00000015679	ENSDARP00000103370
ENSTGUP00000004044	ENSDARP00000098754
ENSTGUP00000016739	ENSDARP00000066476
ENSTGUP00000016739	ENSDARP00000017197
ENSTGUP00000010060	ENSDARP00000129407
ENSTGUP00000006766	ENSDARP00000075363
ENSTGUP00000002807	ENSDARP00000016775
ENSTGUP00000015509	ENSDARP00000016160
ENSTGUP00000015509	ENSDARP00000057822
ENSTGUP00000016801	ENSDARP00000093124
ENSTGUP00000008300	ENSDARP00000115658
ENSTGUP00000000324	ENSDARP00000096305
ENSTGUP00000013150	ENSDARP00000011713
ENSTGUP00000015065	ENSDARP00000077372
ENSTGUP00000015065	ENSDARP00000098380
ENSTGUP00000007888	ENSDARP00000077647
ENSTGUP00000002680	ENSDARP00000105764
ENSTGUP00000002680	ENSDARP00000067077
ENSTGUP00000015955	ENSDARP00000054236
ENSTGUP00000011925	ENSDARP00000076803
ENSTGUP00000017382	ENSDARP00000003250
ENSTGUP00000007023	ENSDARP00000004582
ENSTGUP00000000170	ENSDARP00000069534
ENSTGUP00000012068	ENSDARP00000071476
ENSTGUP00000001109	ENSDARP00000085144
ENSTGUP00000013015	ENSDARP00000063943
ENSTGUP00000013015	ENSDARP00000111935
ENSTGUP00000014043	ENSDARP00000007727
ENSTGUP00000000961	ENSDARP00000076430
ENSTGUP00000013784	ENSDARP00000122707
ENSTGUP00000003218	ENSDARP00000107396
ENSTGUP00000002268	ENSDARP00000105551
ENSTGUP00000007005	ENSDARP00000045887
ENSTGUP00000009245	ENSDARP00000097932
ENSTGUP00000008989	ENSDARP00000098121
ENSTGUP00000005751	ENSDARP00000076098
ENSTGUP00000001297	ENSDARP00000052123
ENSTGUP00000012887	ENSDARP00000093261
ENSTGUP00000003670	ENSDARP00000102654
ENSTGUP00000003670	ENSDARP00000128388
ENSTGUP00000004595	ENSDARP00000121457
ENSTGUP00000006197	ENSDARP00000016951
ENSTGUP00000009409	ENSDARP00000078553
ENSTGUP00000003639	ENSDARP00000107945
ENSTGUP00000006318	ENSDARP00000114813
ENSTGUP00000011220	ENSDARP00000057618
ENSTGUP00000011215	ENSDARP00000043625
ENSTGUP00000015604	ENSDARP00000053962
ENSTGUP00000015604	ENSDARP00000105782
ENSTGUP00000005535	ENSDARP00000112905
ENSTGUP00000005535	ENSDARP00000013482
ENSTGUP00000007539	ENSDARP00000102755
ENSTGUP00000007539	ENSDARP00000079535
ENSTGUP00000003610	ENSDARP00000064310
ENSTGUP00000015412	ENSDARP00000063558
ENSTGUP00000013875	ENSDARP00000092468
ENSTGUP00000009416	ENSDARP00000089381
ENSTGUP00000006019	ENSDARP00000067938
ENSTGUP00000008253	ENSDARP00000083251
ENSTGUP00000008253	ENSDARP00000087713
ENSTGUP00000009212	ENSDARP00000107760
ENSTGUP00000008234	ENSDARP00000108200
ENSTGUP00000008234	ENSDARP00000035566
ENSTGUP00000006404	ENSDARP00000064156
ENSTGUP00000001027	ENSDARP00000055676
ENSTGUP00000002071	ENSDARP00000113301
ENSTGUP00000007688	ENSDARP00000057612
ENSTGUP00000003046	ENSDARP00000012597
ENSTGUP00000005783	ENSDARP00000100874
ENSTGUP00000010770	ENSDARP00000125120
ENSTGUP00000009781	ENSDARP00000124900
ENSTGUP00000010932	ENSDARP00000057038
ENSTGUP00000006048	ENSDARP00000108197
ENSTGUP00000012392	ENSDARP00000095532
ENSTGUP00000000619	ENSDARP00000027246
ENSTGUP00000005463	ENSDARP00000105716
ENSTGUP00000000481	ENSDARP00000050351
ENSTGUP00000000481	ENSDARP00000076364
ENSTGUP00000004231	ENSDARP00000068911
ENSTGUP00000006382	ENSDARP00000039571
ENSTGUP00000001582	ENSDARP00000023819
ENSTGUP00000010557	ENSDARP00000071058
ENSTGUP00000007343	ENSDARP00000090113
ENSTGUP00000000199	ENSDARP00000065447
ENSTGUP00000011195	ENSDARP00000003282
ENSTGUP00000001212	ENSDARP00000056094
ENSTGUP00000006030	ENSDARP00000096527
ENSTGUP00000006401	ENSDARP00000101751
ENSTGUP00000014376	ENSDARP00000103340
ENSTGUP00000001047	ENSDARP00000073314
ENSTGUP00000011240	ENSDARP00000069096
ENSTGUP00000007781	ENSDARP00000007713
ENSTGUP00000013121	ENSDARP00000105060
ENSTGUP00000010103	ENSDARP00000016900
ENSTGUP00000011542	ENSDARP00000117888
ENSTGUP00000007701	ENSDARP00000103811
ENSTGUP00000011547	ENSDARP00000094760
ENSTGUP00000006975	ENSDARP00000091899
ENSTGUP00000012910	ENSDARP00000061842
ENSTGUP00000004065	ENSDARP00000113739
ENSTGUP00000005495	ENSDARP00000077125
ENSTGUP00000009398	ENSDARP00000118062
ENSTGUP00000012575	ENSDARP00000129857
ENSTGUP00000005527	ENSDARP00000076455
ENSTGUP00000012632	ENSDARP00000067387
ENSTGUP00000006453	ENSDARP00000094505
ENSTGUP00000009366	ENSDARP00000005930
ENSTGUP00000009366	ENSDARP00000015132
ENSTGUP00000010972	ENSDARP00000085557
ENSTGUP00000002150	ENSDARP00000028033
ENSTGUP00000011504	ENSDARP00000003339
