ENSMUSP00000034074	ENSMODP00000016222
ENSMUSP00000063412	ENSMODP00000003841
ENSMUSP00000126464	ENSMODP00000024469
ENSMUSP00000115772	ENSMODP00000006375
ENSMUSP00000124611	ENSMODP00000040539
ENSMUSP00000030687	ENSMODP00000029504
ENSMUSP00000090287	ENSMODP00000022041
ENSMUSP00000041578	ENSMODP00000024370
ENSMUSP00000067325	ENSMODP00000006466
ENSMUSP00000054747	ENSMODP00000015484
ENSMUSP00000081954	ENSMODP00000008872
ENSMUSP00000132092	ENSMODP00000034352
ENSMUSP00000058447	ENSMODP00000031649
ENSMUSP00000060771	ENSMODP00000039714
ENSMUSP00000023330	ENSMODP00000041240
ENSMUSP00000040152	ENSMODP00000026271
ENSMUSP00000032462	ENSMODP00000007680
ENSMUSP00000017610	ENSMODP00000002455
ENSMUSP00000020234	ENSMODP00000001556
ENSMUSP00000110999	ENSMODP00000013588
ENSMUSP00000127516	ENSMODP00000026201
ENSMUSP00000072563	ENSMODP00000025269
ENSMUSP00000062047	ENSMODP00000011393
ENSMUSP00000047244	ENSMODP00000023373
ENSMUSP00000087815	ENSMODP00000025511
ENSMUSP00000016452	ENSMODP00000012779
ENSMUSP00000137472	ENSMODP00000038537
ENSMUSP00000078459	ENSMODP00000000336
ENSMUSP00000038471	ENSMODP00000012574
ENSMUSP00000016125	ENSMODP00000016928
ENSMUSP00000030033	ENSMODP00000004079
ENSMUSP00000044979	ENSMODP00000023188
ENSMUSP00000055694	ENSMODP00000014872
ENSMUSP00000078682	ENSMODP00000005398
ENSMUSP00000109779	ENSMODP00000011241
ENSMUSP00000127709	ENSMODP00000019316
ENSMUSP00000022269	ENSMODP00000002929
ENSMUSP00000062006	ENSMODP00000026219
ENSMUSP00000028595	ENSMODP00000012150
ENSMUSP00000113216	ENSMODP00000000824
ENSMUSP00000028583	ENSMODP00000011812
ENSMUSP00000020057	ENSMODP00000025627
ENSMUSP00000037129	ENSMODP00000014225
ENSMUSP00000099862	ENSMODP00000005260
ENSMUSP00000044098	ENSMODP00000022763
ENSMUSP00000099961	ENSMODP00000004448
ENSMUSP00000025476	ENSMODP00000025592
ENSMUSP00000017534	ENSMODP00000024040
ENSMUSP00000043146	ENSMODP00000003103
ENSMUSP00000042785	ENSMODP00000012700
ENSMUSP00000068479	ENSMODP00000006980
ENSMUSP00000132659	ENSMODP00000015281
ENSMUSP00000084599	ENSMODP00000036034
ENSMUSP00000001184	ENSMODP00000014354
ENSMUSP00000039071	ENSMODP00000004962
ENSMUSP00000021941	ENSMODP00000005900
ENSMUSP00000037628	ENSMODP00000015209
ENSMUSP00000128789	ENSMODP00000027999
ENSMUSP00000124816	ENSMODP00000012011
ENSMUSP00000056227	ENSMODP00000021455
ENSMUSP00000084507	ENSMODP00000007161
ENSMUSP00000041579	ENSMODP00000017265
ENSMUSP00000046705	ENSMODP00000011972
ENSMUSP00000020775	ENSMODP00000018478
ENSMUSP00000008878	ENSMODP00000008222
ENSMUSP00000032327	ENSMODP00000022717
ENSMUSP00000061062	ENSMODP00000022718
ENSMUSP00000061760	ENSMODP00000008442
ENSMUSP00000054823	ENSMODP00000005705
ENSMUSP00000019924	ENSMODP00000022071
ENSMUSP00000038014	ENSMODP00000008245
ENSMUSP00000040576	ENSMODP00000040263
ENSMUSP00000072510	ENSMODP00000008694
ENSMUSP00000058468	ENSMODP00000015844
ENSMUSP00000126854	ENSMODP00000008213
ENSMUSP00000126629	ENSMODP00000015425
ENSMUSP00000031093	ENSMODP00000035626
ENSMUSP00000047656	ENSMODP00000032675
ENSMUSP00000106160	ENSMODP00000022002
ENSMUSP00000059658	ENSMODP00000021450
ENSMUSP00000060433	ENSMODP00000003647
ENSMUSP00000067448	ENSMODP00000034494
ENSMUSP00000032719	ENSMODP00000025611
ENSMUSP00000067241	ENSMODP00000000546
ENSMUSP00000096458	ENSMODP00000020480
ENSMUSP00000123509	ENSMODP00000000474
ENSMUSP00000065877	ENSMODP00000021283
ENSMUSP00000022871	ENSMODP00000008527
ENSMUSP00000017153	ENSMODP00000020228
ENSMUSP00000133806	ENSMODP00000007060
ENSMUSP00000103060	ENSMODP00000017414
ENSMUSP00000000305	ENSMODP00000022087
ENSMUSP00000091943	ENSMODP00000008207
ENSMUSP00000126674	ENSMODP00000011441
ENSMUSP00000037971	ENSMODP00000025223
ENSMUSP00000001092	ENSMODP00000004255
ENSMUSP00000080521	ENSMODP00000029564
ENSMUSP00000112498	ENSMODP00000011211
ENSMUSP00000043279	ENSMODP00000025606
ENSMUSP00000027897	ENSMODP00000003943
ENSMUSP00000073911	ENSMODP00000011968
ENSMUSP00000026972	ENSMODP00000010565
ENSMUSP00000020938	ENSMODP00000005501
ENSMUSP00000112534	ENSMODP00000007504
ENSMUSP00000104872	ENSMODP00000020310
ENSMUSP00000137523	ENSMODP00000009233
ENSMUSP00000124518	ENSMODP00000000429
ENSMUSP00000033553	ENSMODP00000015595
ENSMUSP00000088857	ENSMODP00000026575
ENSMUSP00000109175	ENSMODP00000030288
ENSMUSP00000093183	ENSMODP00000032640
ENSMUSP00000097699	ENSMODP00000021958
ENSMUSP00000029252	ENSMODP00000020109
ENSMUSP00000042313	ENSMODP00000006020
ENSMUSP00000038199	ENSMODP00000015338
ENSMUSP00000082941	ENSMODP00000000253
ENSMUSP00000129513	ENSMODP00000000694
ENSMUSP00000101857	ENSMODP00000002694
ENSMUSP00000057849	ENSMODP00000023226
ENSMUSP00000048969	ENSMODP00000011527
ENSMUSP00000040168	ENSMODP00000023002
ENSMUSP00000065987	ENSMODP00000012882
ENSMUSP00000096769	ENSMODP00000024342
ENSMUSP00000108961	ENSMODP00000023757
ENSMUSP00000028728	ENSMODP00000022263
ENSMUSP00000024866	ENSMODP00000019349
ENSMUSP00000110006	ENSMODP00000018747
ENSMUSP00000001027	ENSMODP00000015626
ENSMUSP00000051709	ENSMODP00000009451
ENSMUSP00000033920	ENSMODP00000004684
ENSMUSP00000039546	ENSMODP00000006205
ENSMUSP00000085264	ENSMODP00000025445
ENSMUSP00000063762	ENSMODP00000017237
ENSMUSP00000047980	ENSMODP00000015469
ENSMUSP00000096415	ENSMODP00000023786
ENSMUSP00000125274	ENSMODP00000021940
ENSMUSP00000100009	ENSMODP00000001437
ENSMUSP00000092900	ENSMODP00000023732
ENSMUSP00000058254	ENSMODP00000015265
ENSMUSP00000071715	ENSMODP00000033667
ENSMUSP00000088227	ENSMODP00000025116
ENSMUSP00000126838	ENSMODP00000012970
ENSMUSP00000028469	ENSMODP00000033755
ENSMUSP00000034015	ENSMODP00000002862
ENSMUSP00000035240	ENSMODP00000007324
ENSMUSP00000042464	ENSMODP00000012640
ENSMUSP00000025127	ENSMODP00000013262
ENSMUSP00000064839	ENSMODP00000022965
ENSMUSP00000102554	ENSMODP00000012834
ENSMUSP00000035961	ENSMODP00000010766
ENSMUSP00000050398	ENSMODP00000021258
ENSMUSP00000027839	ENSMODP00000001629
ENSMUSP00000002625	ENSMODP00000015598
ENSMUSP00000050810	ENSMODP00000022143
ENSMUSP00000047393	ENSMODP00000017667
ENSMUSP00000020768	ENSMODP00000017399
ENSMUSP00000011896	ENSMODP00000022556
ENSMUSP00000101614	ENSMODP00000021301
ENSMUSP00000099342	ENSMODP00000021025
ENSMUSP00000100063	ENSMODP00000010310
ENSMUSP00000118588	ENSMODP00000030140
ENSMUSP00000069850	ENSMODP00000020391
ENSMUSP00000096129	ENSMODP00000015233
ENSMUSP00000068927	ENSMODP00000005654
ENSMUSP00000073764	ENSMODP00000013811
ENSMUSP00000087960	ENSMODP00000018821
ENSMUSP00000109938	ENSMODP00000010847
ENSMUSP00000113395	ENSMODP00000010341
ENSMUSP00000077091	ENSMODP00000020960
ENSMUSP00000113051	ENSMODP00000020125
ENSMUSP00000027370	ENSMODP00000019344
ENSMUSP00000105797	ENSMODP00000002481
ENSMUSP00000099401	ENSMODP00000000759
ENSMUSP00000079929	ENSMODP00000034155
ENSMUSP00000058754	ENSMODP00000035740
ENSMUSP00000061893	ENSMODP00000032902
ENSMUSP00000069457	ENSMODP00000025374
ENSMUSP00000008032	ENSMODP00000004289
ENSMUSP00000035709	ENSMODP00000010261
ENSMUSP00000039443	ENSMODP00000009701
ENSMUSP00000107890	ENSMODP00000021483
ENSMUSP00000107899	ENSMODP00000021469
ENSMUSP00000102891	ENSMODP00000023550
ENSMUSP00000007236	ENSMODP00000020056
ENSMUSP00000047035	ENSMODP00000000287
ENSMUSP00000045613	ENSMODP00000011368
ENSMUSP00000057355	ENSMODP00000001145
ENSMUSP00000060346	ENSMODP00000007593
ENSMUSP00000000349	ENSMODP00000004384
ENSMUSP00000045634	ENSMODP00000014752
ENSMUSP00000031281	ENSMODP00000026009
ENSMUSP00000023464	ENSMODP00000027349
ENSMUSP00000033769	ENSMODP00000014557
ENSMUSP00000020448	ENSMODP00000011339
ENSMUSP00000055073	ENSMODP00000033729
ENSMUSP00000074471	ENSMODP00000023115
ENSMUSP00000037561	ENSMODP00000003743
ENSMUSP00000101050	ENSMODP00000026955
ENSMUSP00000101951	ENSMODP00000032086
ENSMUSP00000064336	ENSMODP00000011172
ENSMUSP00000091595	ENSMODP00000020434
ENSMUSP00000058077	ENSMODP00000000944
ENSMUSP00000129166	ENSMODP00000000829
ENSMUSP00000029482	ENSMODP00000002770
ENSMUSP00000003274	ENSMODP00000032676
ENSMUSP00000100026	ENSMODP00000009933
ENSMUSP00000029559	ENSMODP00000033980
ENSMUSP00000107551	ENSMODP00000012354
ENSMUSP00000076856	ENSMODP00000002565
ENSMUSP00000017961	ENSMODP00000020280
ENSMUSP00000039072	ENSMODP00000008619
ENSMUSP00000022819	ENSMODP00000004635
ENSMUSP00000026357	ENSMODP00000005464
ENSMUSP00000087713	ENSMODP00000025778
ENSMUSP00000022292	ENSMODP00000001039
ENSMUSP00000040647	ENSMODP00000018053
ENSMUSP00000004770	ENSMODP00000003356
ENSMUSP00000006151	ENSMODP00000018820
ENSMUSP00000004133	ENSMODP00000007107
ENSMUSP00000074201	ENSMODP00000036101
ENSMUSP00000030036	ENSMODP00000024477
ENSMUSP00000128473	ENSMODP00000038322
ENSMUSP00000033652	ENSMODP00000021354
ENSMUSP00000061991	ENSMODP00000013888
ENSMUSP00000106981	ENSMODP00000034131
ENSMUSP00000044168	ENSMODP00000017409
ENSMUSP00000038430	ENSMODP00000001778
ENSMUSP00000130116	ENSMODP00000022887
ENSMUSP00000009713	ENSMODP00000006007
ENSMUSP00000104335	ENSMODP00000010172
ENSMUSP00000053129	ENSMODP00000036644
ENSMUSP00000127816	ENSMODP00000027239
ENSMUSP00000057916	ENSMODP00000017220
ENSMUSP00000057989	ENSMODP00000011818
ENSMUSP00000107863	ENSMODP00000035890
ENSMUSP00000102538	ENSMODP00000005986
ENSMUSP00000020223	ENSMODP00000002334
ENSMUSP00000106747	ENSMODP00000012158
ENSMUSP00000077532	ENSMODP00000011779
ENSMUSP00000028781	ENSMODP00000005644
ENSMUSP00000076514	ENSMODP00000012047
ENSMUSP00000041202	ENSMODP00000002275
ENSMUSP00000058941	ENSMODP00000009126
ENSMUSP00000030464	ENSMODP00000002600
ENSMUSP00000056774	ENSMODP00000024566
ENSMUSP00000034296	ENSMODP00000002126
ENSMUSP00000125700	ENSMODP00000006925
ENSMUSP00000093962	ENSMODP00000009691
ENSMUSP00000112019	ENSMODP00000001148
ENSMUSP00000118368	ENSMODP00000019710
ENSMUSP00000112708	ENSMODP00000003121
ENSMUSP00000065743	ENSMODP00000001852
ENSMUSP00000006341	ENSMODP00000010781
ENSMUSP00000075429	ENSMODP00000032776
ENSMUSP00000028332	ENSMODP00000021504
ENSMUSP00000041821	ENSMODP00000019287
ENSMUSP00000095487	ENSMODP00000029316
ENSMUSP00000049753	ENSMODP00000021118
ENSMUSP00000110411	ENSMODP00000022725
ENSMUSP00000107848	ENSMODP00000021594
ENSMUSP00000033800	ENSMODP00000014441
ENSMUSP00000085234	ENSMODP00000025429
ENSMUSP00000033720	ENSMODP00000021409
ENSMUSP00000130177	ENSMODP00000026635
ENSMUSP00000020362	ENSMODP00000008469
ENSMUSP00000113234	ENSMODP00000026637
ENSMUSP00000065384	ENSMODP00000025502
ENSMUSP00000046324	ENSMODP00000008856
ENSMUSP00000049404	ENSMODP00000020364
ENSMUSP00000047157	ENSMODP00000001657
ENSMUSP00000051492	ENSMODP00000029455
ENSMUSP00000065861	ENSMODP00000027167
ENSMUSP00000108046	ENSMODP00000022572
ENSMUSP00000101686	ENSMODP00000041088
ENSMUSP00000026209	ENSMODP00000036499
ENSMUSP00000120456	ENSMODP00000017973
ENSMUSP00000132922	ENSMODP00000007706
ENSMUSP00000038532	ENSMODP00000019151
ENSMUSP00000058521	ENSMODP00000011885
ENSMUSP00000085416	ENSMODP00000020305
ENSMUSP00000082971	ENSMODP00000029006
ENSMUSP00000055374	ENSMODP00000036139
ENSMUSP00000003369	ENSMODP00000011356
ENSMUSP00000112847	ENSMODP00000021528
ENSMUSP00000048062	ENSMODP00000007565
ENSMUSP00000099698	ENSMODP00000002347
ENSMUSP00000088217	ENSMODP00000005643
ENSMUSP00000083747	ENSMODP00000002270
ENSMUSP00000036690	ENSMODP00000002561
ENSMUSP00000031655	ENSMODP00000011420
ENSMUSP00000030081	ENSMODP00000005927
ENSMUSP00000001126	ENSMODP00000024027
ENSMUSP00000117030	ENSMODP00000008095
ENSMUSP00000020522	ENSMODP00000003803
ENSMUSP00000108371	ENSMODP00000006458
ENSMUSP00000022806	ENSMODP00000005598
ENSMUSP00000059973	ENSMODP00000019932
ENSMUSP00000121233	ENSMODP00000008549
ENSMUSP00000105751	ENSMODP00000004619
ENSMUSP00000072617	ENSMODP00000013355
ENSMUSP00000048904	ENSMODP00000028249
ENSMUSP00000023559	ENSMODP00000003242
ENSMUSP00000120976	ENSMODP00000019732
ENSMUSP00000029610	ENSMODP00000025773
ENSMUSP00000095677	ENSMODP00000018236
ENSMUSP00000109366	ENSMODP00000036015
ENSMUSP00000110238	ENSMODP00000019533
ENSMUSP00000034787	ENSMODP00000026231
ENSMUSP00000104837	ENSMODP00000020382
ENSMUSP00000058251	ENSMODP00000013602
ENSMUSP00000014614	ENSMODP00000005124
ENSMUSP00000036270	ENSMODP00000003400
ENSMUSP00000005889	ENSMODP00000032525
ENSMUSP00000060721	ENSMODP00000022163
ENSMUSP00000045110	ENSMODP00000020953
ENSMUSP00000075453	ENSMODP00000000255
ENSMUSP00000035642	ENSMODP00000031707
ENSMUSP00000091898	ENSMODP00000027317
ENSMUSP00000000449	ENSMODP00000007792
ENSMUSP00000106315	ENSMODP00000015990
ENSMUSP00000022543	ENSMODP00000010334
ENSMUSP00000107775	ENSMODP00000021643
ENSMUSP00000042515	ENSMODP00000002723
ENSMUSP00000103434	ENSMODP00000003570
ENSMUSP00000091041	ENSMODP00000020138
ENSMUSP00000092769	ENSMODP00000020972
ENSMUSP00000047926	ENSMODP00000026388
ENSMUSP00000108928	ENSMODP00000014831
ENSMUSP00000097097	ENSMODP00000022588
ENSMUSP00000109979	ENSMODP00000004673
ENSMUSP00000107370	ENSMODP00000013307
ENSMUSP00000032069	ENSMODP00000028789
ENSMUSP00000030784	ENSMODP00000033491
ENSMUSP00000132499	ENSMODP00000019616
ENSMUSP00000080342	ENSMODP00000019188
ENSMUSP00000022507	ENSMODP00000009994
ENSMUSP00000030623	ENSMODP00000022371
ENSMUSP00000101833	ENSMODP00000011039
ENSMUSP00000107210	ENSMODP00000012196
ENSMUSP00000113286	ENSMODP00000007141
ENSMUSP00000067779	ENSMODP00000003656
ENSMUSP00000070583	ENSMODP00000013054
ENSMUSP00000118610	ENSMODP00000035379
ENSMUSP00000105082	ENSMODP00000030729
ENSMUSP00000044693	ENSMODP00000004736
ENSMUSP00000040596	ENSMODP00000007891
ENSMUSP00000106907	ENSMODP00000011749
ENSMUSP00000027830	ENSMODP00000012539
ENSMUSP00000038801	ENSMODP00000000452
ENSMUSP00000004683	ENSMODP00000018859
ENSMUSP00000011152	ENSMODP00000000469
ENSMUSP00000076961	ENSMODP00000001220
ENSMUSP00000013851	ENSMODP00000028908
ENSMUSP00000096356	ENSMODP00000002563
ENSMUSP00000036962	ENSMODP00000003585
ENSMUSP00000008297	ENSMODP00000035688
ENSMUSP00000035027	ENSMODP00000023213
ENSMUSP00000088297	ENSMODP00000023428
ENSMUSP00000099412	ENSMODP00000000249
ENSMUSP00000043618	ENSMODP00000000479
ENSMUSP00000097093	ENSMODP00000008303
ENSMUSP00000047589	ENSMODP00000019401
ENSMUSP00000083806	ENSMODP00000001016
ENSMUSP00000103464	ENSMODP00000017038
ENSMUSP00000109659	ENSMODP00000026397
ENSMUSP00000041920	ENSMODP00000016123
ENSMUSP00000125993	ENSMODP00000018797
ENSMUSP00000003345	ENSMODP00000015781
ENSMUSP00000087407	ENSMODP00000015414
ENSMUSP00000058264	ENSMODP00000017975
ENSMUSP00000079900	ENSMODP00000021307
ENSMUSP00000118322	ENSMODP00000012044
ENSMUSP00000001125	ENSMODP00000030207
ENSMUSP00000032924	ENSMODP00000019613
ENSMUSP00000103912	ENSMODP00000024010
ENSMUSP00000110526	ENSMODP00000019109
ENSMUSP00000085763	ENSMODP00000010652
ENSMUSP00000096686	ENSMODP00000019759
ENSMUSP00000053616	ENSMODP00000008555
ENSMUSP00000014698	ENSMODP00000027957
ENSMUSP00000031311	ENSMODP00000023830
ENSMUSP00000084577	ENSMODP00000016279
ENSMUSP00000023214	ENSMODP00000013384
ENSMUSP00000110627	ENSMODP00000020772
ENSMUSP00000067027	ENSMODP00000028423
ENSMUSP00000053908	ENSMODP00000004558
ENSMUSP00000057635	ENSMODP00000012942
ENSMUSP00000034466	ENSMODP00000011716
ENSMUSP00000033979	ENSMODP00000013466
ENSMUSP00000018311	ENSMODP00000016015
ENSMUSP00000037991	ENSMODP00000041197
ENSMUSP00000031314	ENSMODP00000023917
ENSMUSP00000041006	ENSMODP00000038307
ENSMUSP00000137093	ENSMODP00000000437
ENSMUSP00000103378	ENSMODP00000002313
ENSMUSP00000025338	ENSMODP00000020014
ENSMUSP00000050353	ENSMODP00000017431
ENSMUSP00000035055	ENSMODP00000017861
ENSMUSP00000097919	ENSMODP00000013715
ENSMUSP00000056642	ENSMODP00000002105
ENSMUSP00000136912	ENSMODP00000007274
ENSMUSP00000113964	ENSMODP00000002115
ENSMUSP00000006565	ENSMODP00000003752
ENSMUSP00000104867	ENSMODP00000024299
ENSMUSP00000009667	ENSMODP00000008475
ENSMUSP00000081557	ENSMODP00000030259
ENSMUSP00000053474	ENSMODP00000015162
ENSMUSP00000007814	ENSMODP00000002379
ENSMUSP00000053120	ENSMODP00000021212
ENSMUSP00000043108	ENSMODP00000017819
ENSMUSP00000110636	ENSMODP00000025593
ENSMUSP00000139365	ENSMODP00000010326
ENSMUSP00000100979	ENSMODP00000005101
ENSMUSP00000023176	ENSMODP00000034671
ENSMUSP00000133212	ENSMODP00000026434
ENSMUSP00000013262	ENSMODP00000010936
ENSMUSP00000026693	ENSMODP00000016175
ENSMUSP00000092019	ENSMODP00000024318
ENSMUSP00000008016	ENSMODP00000015992
ENSMUSP00000020974	ENSMODP00000018263
ENSMUSP00000021810	ENSMODP00000014146
ENSMUSP00000125916	ENSMODP00000023521
ENSMUSP00000038450	ENSMODP00000014748
ENSMUSP00000041539	ENSMODP00000005376
ENSMUSP00000040331	ENSMODP00000020621
ENSMUSP00000109653	ENSMODP00000016034
ENSMUSP00000059783	ENSMODP00000020966
ENSMUSP00000103048	ENSMODP00000024435
ENSMUSP00000040080	ENSMODP00000024433
ENSMUSP00000075672	ENSMODP00000022554
ENSMUSP00000034611	ENSMODP00000016777
ENSMUSP00000044936	ENSMODP00000021415
ENSMUSP00000081285	ENSMODP00000021822
ENSMUSP00000032856	ENSMODP00000005123
ENSMUSP00000025439	ENSMODP00000013725
ENSMUSP00000112595	ENSMODP00000021523
ENSMUSP00000098097	ENSMODP00000015379
ENSMUSP00000080791	ENSMODP00000011548
ENSMUSP00000024879	ENSMODP00000019299
ENSMUSP00000083899	ENSMODP00000026802
ENSMUSP00000090293	ENSMODP00000022037
ENSMUSP00000066556	ENSMODP00000030807
ENSMUSP00000046877	ENSMODP00000016719
ENSMUSP00000065721	ENSMODP00000040791
ENSMUSP00000129205	ENSMODP00000025787
ENSMUSP00000059978	ENSMODP00000011728
ENSMUSP00000081561	ENSMODP00000010351
ENSMUSP00000081043	ENSMODP00000028759
ENSMUSP00000124317	ENSMODP00000006780
ENSMUSP00000079309	ENSMODP00000009348
ENSMUSP00000102976	ENSMODP00000024163
ENSMUSP00000036582	ENSMODP00000025563
ENSMUSP00000019482	ENSMODP00000028901
ENSMUSP00000037233	ENSMODP00000022841
ENSMUSP00000127068	ENSMODP00000021988
ENSMUSP00000030724	ENSMODP00000013582
ENSMUSP00000097515	ENSMODP00000022436
ENSMUSP00000034507	ENSMODP00000000187
ENSMUSP00000026196	ENSMODP00000004345
ENSMUSP00000041337	ENSMODP00000013530
ENSMUSP00000054840	ENSMODP00000039129
ENSMUSP00000059503	ENSMODP00000037855
ENSMUSP00000082694	ENSMODP00000011440
ENSMUSP00000102559	ENSMODP00000001457
ENSMUSP00000073789	ENSMODP00000015719
ENSMUSP00000022858	ENSMODP00000025489
ENSMUSP00000072121	ENSMODP00000025762
ENSMUSP00000132190	ENSMODP00000005094
ENSMUSP00000029269	ENSMODP00000023625
ENSMUSP00000026891	ENSMODP00000014093
ENSMUSP00000029316	ENSMODP00000012594
ENSMUSP00000031622	ENSMODP00000010237
ENSMUSP00000005860	ENSMODP00000000934
ENSMUSP00000030551	ENSMODP00000019976
ENSMUSP00000033547	ENSMODP00000006082
ENSMUSP00000116271	ENSMODP00000040702
ENSMUSP00000091317	ENSMODP00000026544
ENSMUSP00000004051	ENSMODP00000018578
ENSMUSP00000023024	ENSMODP00000020657
ENSMUSP00000001720	ENSMODP00000002766
ENSMUSP00000034150	ENSMODP00000000399
ENSMUSP00000041951	ENSMODP00000011531
ENSMUSP00000009234	ENSMODP00000011033
ENSMUSP00000018875	ENSMODP00000007956
ENSMUSP00000044262	ENSMODP00000000838
ENSMUSP00000001415	ENSMODP00000014368
ENSMUSP00000125211	ENSMODP00000025725
ENSMUSP00000059039	ENSMODP00000004844
ENSMUSP00000112942	ENSMODP00000009530
ENSMUSP00000067002	ENSMODP00000017239
ENSMUSP00000069326	ENSMODP00000008441
ENSMUSP00000099950	ENSMODP00000016300
ENSMUSP00000039663	ENSMODP00000024624
ENSMUSP00000041907	ENSMODP00000006757
ENSMUSP00000034472	ENSMODP00000006642
ENSMUSP00000030709	ENSMODP00000013456
ENSMUSP00000020022	ENSMODP00000022110
ENSMUSP00000042187	ENSMODP00000023187
ENSMUSP00000040045	ENSMODP00000006952
ENSMUSP00000130636	ENSMODP00000034906
ENSMUSP00000067385	ENSMODP00000032408
ENSMUSP00000096874	ENSMODP00000011646
ENSMUSP00000125405	ENSMODP00000018743
ENSMUSP00000089051	ENSMODP00000029642
ENSMUSP00000025567	ENSMODP00000009301
ENSMUSP00000111659	ENSMODP00000009324
ENSMUSP00000010807	ENSMODP00000003104
ENSMUSP00000026547	ENSMODP00000023270
ENSMUSP00000044049	ENSMODP00000022210
ENSMUSP00000000776	ENSMODP00000005227
ENSMUSP00000085499	ENSMODP00000023242
ENSMUSP00000013559	ENSMODP00000015362
ENSMUSP00000019503	ENSMODP00000006029
ENSMUSP00000104906	ENSMODP00000023139
ENSMUSP00000029196	ENSMODP00000020292
ENSMUSP00000043962	ENSMODP00000021849
ENSMUSP00000057962	ENSMODP00000005066
ENSMUSP00000134222	ENSMODP00000039503
ENSMUSP00000082168	ENSMODP00000035382
ENSMUSP00000089463	ENSMODP00000013770
ENSMUSP00000017576	ENSMODP00000002547
ENSMUSP00000049970	ENSMODP00000007208
ENSMUSP00000009538	ENSMODP00000007632
ENSMUSP00000007799	ENSMODP00000019745
ENSMUSP00000074922	ENSMODP00000005749
ENSMUSP00000126177	ENSMODP00000019494
ENSMUSP00000091870	ENSMODP00000035126
ENSMUSP00000046659	ENSMODP00000023382
ENSMUSP00000063108	ENSMODP00000011937
ENSMUSP00000029761	ENSMODP00000023649
ENSMUSP00000087955	ENSMODP00000000328
ENSMUSP00000087950	ENSMODP00000039408
ENSMUSP00000020227	ENSMODP00000001926
ENSMUSP00000088047	ENSMODP00000024807
ENSMUSP00000079553	ENSMODP00000001225
ENSMUSP00000042959	ENSMODP00000002135
ENSMUSP00000032936	ENSMODP00000019585
ENSMUSP00000057106	ENSMODP00000021741
ENSMUSP00000036797	ENSMODP00000026347
ENSMUSP00000061408	ENSMODP00000026346
ENSMUSP00000104506	ENSMODP00000029187
ENSMUSP00000026120	ENSMODP00000010223
ENSMUSP00000091846	ENSMODP00000008591
ENSMUSP00000137584	ENSMODP00000020321
ENSMUSP00000106128	ENSMODP00000011626
ENSMUSP00000021243	ENSMODP00000038904
ENSMUSP00000021870	ENSMODP00000012579
ENSMUSP00000037834	ENSMODP00000023619
ENSMUSP00000022257	ENSMODP00000038304
ENSMUSP00000069685	ENSMODP00000003794
ENSMUSP00000025081	ENSMODP00000033223
ENSMUSP00000044612	ENSMODP00000003157
ENSMUSP00000026284	ENSMODP00000008393
ENSMUSP00000045156	ENSMODP00000005230
ENSMUSP00000019135	ENSMODP00000009029
ENSMUSP00000035992	ENSMODP00000001300
ENSMUSP00000033160	ENSMODP00000008368
ENSMUSP00000076459	ENSMODP00000010627
ENSMUSP00000068258	ENSMODP00000011986
ENSMUSP00000105140	ENSMODP00000002576
ENSMUSP00000059864	ENSMODP00000008240
ENSMUSP00000104895	ENSMODP00000024362
ENSMUSP00000049252	ENSMODP00000016539
ENSMUSP00000127318	ENSMODP00000014858
ENSMUSP00000028554	ENSMODP00000002164
ENSMUSP00000022099	ENSMODP00000001721
ENSMUSP00000128223	ENSMODP00000026291
ENSMUSP00000072662	ENSMODP00000014890
ENSMUSP00000075376	ENSMODP00000004867
ENSMUSP00000002080	ENSMODP00000010692
ENSMUSP00000109190	ENSMODP00000008673
ENSMUSP00000124947	ENSMODP00000005945
ENSMUSP00000092283	ENSMODP00000000301
ENSMUSP00000044543	ENSMODP00000010528
ENSMUSP00000026134	ENSMODP00000032191
ENSMUSP00000072894	ENSMODP00000009501
ENSMUSP00000099018	ENSMODP00000003910
ENSMUSP00000025834	ENSMODP00000010268
ENSMUSP00000107503	ENSMODP00000002815
ENSMUSP00000016383	ENSMODP00000012726
ENSMUSP00000034239	ENSMODP00000017551
ENSMUSP00000114968	ENSMODP00000001455
ENSMUSP00000035216	ENSMODP00000015519
ENSMUSP00000035328	ENSMODP00000025939
ENSMUSP00000071619	ENSMODP00000029725
ENSMUSP00000105000	ENSMODP00000007595
ENSMUSP00000029170	ENSMODP00000000448
ENSMUSP00000034091	ENSMODP00000016476
ENSMUSP00000022701	ENSMODP00000013976
ENSMUSP00000048877	ENSMODP00000008892
ENSMUSP00000027777	ENSMODP00000007535
ENSMUSP00000040853	ENSMODP00000004307
ENSMUSP00000089777	ENSMODP00000005078
ENSMUSP00000103760	ENSMODP00000017356
ENSMUSP00000028794	ENSMODP00000014301
ENSMUSP00000029574	ENSMODP00000004279
ENSMUSP00000032218	ENSMODP00000022632
ENSMUSP00000065146	ENSMODP00000017986
ENSMUSP00000023312	ENSMODP00000037302
ENSMUSP00000034650	ENSMODP00000016550
ENSMUSP00000068374	ENSMODP00000002057
ENSMUSP00000092223	ENSMODP00000022190
ENSMUSP00000019405	ENSMODP00000023903
ENSMUSP00000099599	ENSMODP00000016112
ENSMUSP00000022727	ENSMODP00000011712
ENSMUSP00000119939	ENSMODP00000003168
ENSMUSP00000119872	ENSMODP00000006821
ENSMUSP00000027800	ENSMODP00000007341
