ENSMUSP00000129557	ENSCAFP00000018255
ENSMUSP00000118588	ENSCAFP00000011000
ENSMUSP00000069850	ENSCAFP00000036854
ENSMUSP00000096129	ENSCAFP00000011002
ENSMUSP00000068927	ENSCAFP00000016806
ENSMUSP00000073764	ENSCAFP00000026840
ENSMUSP00000019246	ENSCAFP00000026805
ENSMUSP00000087960	ENSCAFP00000002323
ENSMUSP00000052020	ENSCAFP00000011340
ENSMUSP00000109938	ENSCAFP00000028904
ENSMUSP00000113395	ENSCAFP00000009205
ENSMUSP00000002765	ENSCAFP00000040275
ENSMUSP00000077091	ENSCAFP00000028999
ENSMUSP00000113051	ENSCAFP00000028822
ENSMUSP00000027370	ENSCAFP00000021571
ENSMUSP00000076433	ENSCAFP00000007091
ENSMUSP00000105797	ENSCAFP00000039837
ENSMUSP00000094164	ENSCAFP00000001373
ENSMUSP00000099401	ENSCAFP00000013385
ENSMUSP00000079929	ENSCAFP00000038527
ENSMUSP00000058754	ENSCAFP00000018916
ENSMUSP00000118491	ENSCAFP00000006495
ENSMUSP00000061893	ENSCAFP00000024878
ENSMUSP00000069457	ENSCAFP00000037936
ENSMUSP00000008032	ENSCAFP00000021677
ENSMUSP00000039443	ENSCAFP00000019682
ENSMUSP00000025402	ENSCAFP00000027726
ENSMUSP00000001963	ENSCAFP00000019153
ENSMUSP00000107890	ENSCAFP00000017867
ENSMUSP00000107899	ENSCAFP00000017872
ENSMUSP00000102891	ENSCAFP00000043151
ENSMUSP00000096175	ENSCAFP00000023774
ENSMUSP00000056340	ENSCAFP00000020005
ENSMUSP00000026649	ENSCAFP00000007900
ENSMUSP00000047035	ENSCAFP00000005961
ENSMUSP00000045613	ENSCAFP00000026425
ENSMUSP00000020502	ENSCAFP00000026428
ENSMUSP00000057355	ENSCAFP00000006304
ENSMUSP00000060346	ENSCAFP00000032131
ENSMUSP00000000349	ENSCAFP00000029657
ENSMUSP00000062996	ENSCAFP00000007805
ENSMUSP00000026607	ENSCAFP00000025660
ENSMUSP00000045634	ENSCAFP00000004857
ENSMUSP00000031281	ENSCAFP00000013031
ENSMUSP00000023464	ENSCAFP00000019330
ENSMUSP00000035163	ENSCAFP00000009802
ENSMUSP00000035077	ENSCAFP00000020307
ENSMUSP00000033769	ENSCAFP00000028744
ENSMUSP00000020448	ENSCAFP00000000535
ENSMUSP00000055073	ENSCAFP00000007680
ENSMUSP00000074471	ENSCAFP00000014260
ENSMUSP00000041683	ENSCAFP00000015437
ENSMUSP00000037561	ENSCAFP00000022443
ENSMUSP00000101050	ENSCAFP00000017520
ENSMUSP00000101951	ENSCAFP00000036839
ENSMUSP00000064336	ENSCAFP00000037948
ENSMUSP00000091595	ENSCAFP00000025858
ENSMUSP00000058077	ENSCAFP00000043003
ENSMUSP00000099316	ENSCAFP00000007717
ENSMUSP00000129166	ENSCAFP00000007457
ENSMUSP00000067964	ENSCAFP00000029145
ENSMUSP00000029482	ENSCAFP00000029453
ENSMUSP00000003274	ENSCAFP00000028203
ENSMUSP00000100026	ENSCAFP00000002838
ENSMUSP00000112466	ENSCAFP00000004558
ENSMUSP00000107551	ENSCAFP00000038335
ENSMUSP00000076856	ENSCAFP00000013953
ENSMUSP00000017961	ENSCAFP00000034708
ENSMUSP00000039072	ENSCAFP00000012024
ENSMUSP00000026357	ENSCAFP00000029486
ENSMUSP00000087713	ENSCAFP00000016477
ENSMUSP00000117336	ENSCAFP00000022983
ENSMUSP00000022292	ENSCAFP00000022651
ENSMUSP00000040647	ENSCAFP00000017974
ENSMUSP00000073778	ENSCAFP00000038087
ENSMUSP00000109592	ENSCAFP00000020014
ENSMUSP00000004770	ENSCAFP00000006504
ENSMUSP00000022725	ENSCAFP00000007942
ENSMUSP00000006151	ENSCAFP00000002121
ENSMUSP00000004133	ENSCAFP00000020857
ENSMUSP00000074201	ENSCAFP00000015660
ENSMUSP00000030036	ENSCAFP00000005246
ENSMUSP00000126796	ENSCAFP00000024963
ENSMUSP00000128473	ENSCAFP00000022761
ENSMUSP00000124673	ENSCAFP00000011517
ENSMUSP00000057844	ENSCAFP00000012451
ENSMUSP00000050788	ENSCAFP00000015017
ENSMUSP00000033652	ENSCAFP00000019085
ENSMUSP00000061991	ENSCAFP00000025306
ENSMUSP00000106981	ENSCAFP00000013033
ENSMUSP00000130098	ENSCAFP00000001333
ENSMUSP00000044168	ENSCAFP00000001753
ENSMUSP00000038430	ENSCAFP00000003601
ENSMUSP00000130116	ENSCAFP00000004486
ENSMUSP00000009713	ENSCAFP00000027765
ENSMUSP00000104335	ENSCAFP00000026362
ENSMUSP00000053129	ENSCAFP00000022619
ENSMUSP00000127816	ENSCAFP00000002059
ENSMUSP00000057916	ENSCAFP00000005718
ENSMUSP00000057989	ENSCAFP00000014984
ENSMUSP00000107863	ENSCAFP00000022527
ENSMUSP00000102538	ENSCAFP00000014297
ENSMUSP00000038590	ENSCAFP00000001838
ENSMUSP00000020223	ENSCAFP00000002751
ENSMUSP00000106747	ENSCAFP00000010831
ENSMUSP00000125722	ENSCAFP00000021839
ENSMUSP00000077532	ENSCAFP00000013825
ENSMUSP00000105573	ENSCAFP00000007619
ENSMUSP00000036005	ENSCAFP00000034138
ENSMUSP00000028934	ENSCAFP00000007628
ENSMUSP00000105581	ENSCAFP00000040092
ENSMUSP00000028781	ENSCAFP00000009513
ENSMUSP00000076514	ENSCAFP00000017303
ENSMUSP00000122192	ENSCAFP00000007208
ENSMUSP00000086565	ENSCAFP00000008377
ENSMUSP00000041202	ENSCAFP00000011750
ENSMUSP00000058941	ENSCAFP00000019848
ENSMUSP00000030464	ENSCAFP00000006438
ENSMUSP00000056774	ENSCAFP00000011322
ENSMUSP00000034296	ENSCAFP00000022072
ENSMUSP00000125700	ENSCAFP00000014225
ENSMUSP00000066582	ENSCAFP00000003803
ENSMUSP00000093962	ENSCAFP00000023211
ENSMUSP00000052243	ENSCAFP00000007008
ENSMUSP00000112019	ENSCAFP00000027388
ENSMUSP00000118368	ENSCAFP00000006436
ENSMUSP00000112708	ENSCAFP00000030795
ENSMUSP00000065743	ENSCAFP00000029257
ENSMUSP00000006341	ENSCAFP00000016356
ENSMUSP00000075429	ENSCAFP00000006911
ENSMUSP00000028332	ENSCAFP00000028851
ENSMUSP00000041821	ENSCAFP00000025754
ENSMUSP00000095487	ENSCAFP00000015143
ENSMUSP00000049753	ENSCAFP00000007017
ENSMUSP00000110411	ENSCAFP00000016447
ENSMUSP00000038506	ENSCAFP00000012896
ENSMUSP00000042007	ENSCAFP00000001378
ENSMUSP00000107848	ENSCAFP00000017369
ENSMUSP00000033800	ENSCAFP00000026279
ENSMUSP00000033915	ENSCAFP00000012498
ENSMUSP00000085234	ENSCAFP00000024219
ENSMUSP00000033720	ENSCAFP00000018764
ENSMUSP00000076160	ENSCAFP00000021058
ENSMUSP00000130177	ENSCAFP00000016577
ENSMUSP00000020362	ENSCAFP00000024942
ENSMUSP00000113234	ENSCAFP00000022882
ENSMUSP00000065384	ENSCAFP00000041213
ENSMUSP00000046324	ENSCAFP00000020705
ENSMUSP00000001713	ENSCAFP00000020698
ENSMUSP00000125604	ENSCAFP00000020699
ENSMUSP00000049404	ENSCAFP00000016777
ENSMUSP00000047157	ENSCAFP00000012323
ENSMUSP00000051492	ENSCAFP00000029470
ENSMUSP00000065861	ENSCAFP00000039074
ENSMUSP00000083533	ENSCAFP00000036180
ENSMUSP00000108046	ENSCAFP00000021750
ENSMUSP00000101686	ENSCAFP00000041567
ENSMUSP00000130560	ENSCAFP00000027005
ENSMUSP00000026209	ENSCAFP00000014051
ENSMUSP00000124280	ENSCAFP00000016028
ENSMUSP00000120456	ENSCAFP00000016016
ENSMUSP00000132922	ENSCAFP00000024728
ENSMUSP00000038532	ENSCAFP00000004477
ENSMUSP00000058521	ENSCAFP00000019690
ENSMUSP00000085416	ENSCAFP00000015958
ENSMUSP00000082971	ENSCAFP00000006049
ENSMUSP00000122157	ENSCAFP00000037516
ENSMUSP00000055374	ENSCAFP00000039727
ENSMUSP00000003369	ENSCAFP00000010477
ENSMUSP00000112847	ENSCAFP00000000443
ENSMUSP00000103571	ENSCAFP00000004326
ENSMUSP00000095542	ENSCAFP00000015375
ENSMUSP00000099698	ENSCAFP00000029346
ENSMUSP00000088217	ENSCAFP00000014011
ENSMUSP00000005829	ENSCAFP00000011233
ENSMUSP00000083747	ENSCAFP00000014952
ENSMUSP00000036690	ENSCAFP00000002835
ENSMUSP00000037473	ENSCAFP00000005613
ENSMUSP00000031655	ENSCAFP00000009982
ENSMUSP00000030081	ENSCAFP00000004557
ENSMUSP00000001126	ENSCAFP00000027559
ENSMUSP00000117030	ENSCAFP00000008228
ENSMUSP00000059801	ENSCAFP00000013277
ENSMUSP00000020522	ENSCAFP00000016108
ENSMUSP00000105445	ENSCAFP00000010478
ENSMUSP00000108371	ENSCAFP00000000102
ENSMUSP00000077757	ENSCAFP00000001448
ENSMUSP00000022806	ENSCAFP00000016862
ENSMUSP00000059973	ENSCAFP00000019912
ENSMUSP00000023769	ENSCAFP00000011736
ENSMUSP00000121233	ENSCAFP00000005495
ENSMUSP00000085549	ENSCAFP00000016736
ENSMUSP00000067164	ENSCAFP00000038269
ENSMUSP00000078093	ENSCAFP00000013344
ENSMUSP00000105751	ENSCAFP00000021383
ENSMUSP00000026922	ENSCAFP00000019420
ENSMUSP00000048904	ENSCAFP00000030227
ENSMUSP00000023559	ENSCAFP00000019481
ENSMUSP00000120976	ENSCAFP00000006377
ENSMUSP00000029610	ENSCAFP00000016506
ENSMUSP00000095677	ENSCAFP00000004100
ENSMUSP00000109366	ENSCAFP00000021906
ENSMUSP00000110238	ENSCAFP00000007318
ENSMUSP00000123588	ENSCAFP00000041278
ENSMUSP00000034787	ENSCAFP00000004153
ENSMUSP00000104837	ENSCAFP00000016885
ENSMUSP00000058251	ENSCAFP00000043160
ENSMUSP00000014614	ENSCAFP00000029445
ENSMUSP00000062782	ENSCAFP00000029334
ENSMUSP00000036270	ENSCAFP00000029565
ENSMUSP00000005889	ENSCAFP00000027443
ENSMUSP00000060721	ENSCAFP00000004890
ENSMUSP00000075453	ENSCAFP00000013777
ENSMUSP00000035642	ENSCAFP00000040044
ENSMUSP00000038256	ENSCAFP00000018230
ENSMUSP00000091898	ENSCAFP00000042436
ENSMUSP00000000449	ENSCAFP00000007389
ENSMUSP00000105613	ENSCAFP00000007869
ENSMUSP00000094986	ENSCAFP00000028740
ENSMUSP00000022543	ENSCAFP00000010660
ENSMUSP00000070241	ENSCAFP00000010226
ENSMUSP00000126597	ENSCAFP00000021390
ENSMUSP00000107775	ENSCAFP00000017097
ENSMUSP00000042515	ENSCAFP00000026548
ENSMUSP00000103434	ENSCAFP00000003459
ENSMUSP00000078867	ENSCAFP00000017991
ENSMUSP00000101858	ENSCAFP00000024800
ENSMUSP00000092769	ENSCAFP00000007211
ENSMUSP00000047926	ENSCAFP00000020602
ENSMUSP00000108928	ENSCAFP00000025819
ENSMUSP00000097097	ENSCAFP00000015487
ENSMUSP00000109979	ENSCAFP00000021832
ENSMUSP00000107370	ENSCAFP00000015741
ENSMUSP00000032069	ENSCAFP00000005087
ENSMUSP00000030784	ENSCAFP00000007340
ENSMUSP00000132499	ENSCAFP00000012869
ENSMUSP00000080342	ENSCAFP00000007343
ENSMUSP00000022507	ENSCAFP00000010930
ENSMUSP00000019638	ENSCAFP00000021831
ENSMUSP00000101833	ENSCAFP00000017967
ENSMUSP00000107210	ENSCAFP00000016703
ENSMUSP00000113286	ENSCAFP00000027037
ENSMUSP00000067779	ENSCAFP00000021336
ENSMUSP00000070583	ENSCAFP00000005395
ENSMUSP00000118610	ENSCAFP00000027242
ENSMUSP00000105082	ENSCAFP00000013472
ENSMUSP00000048678	ENSCAFP00000004300
ENSMUSP00000044693	ENSCAFP00000029709
ENSMUSP00000040596	ENSCAFP00000029152
ENSMUSP00000069319	ENSCAFP00000018601
ENSMUSP00000106907	ENSCAFP00000018574
ENSMUSP00000027830	ENSCAFP00000017448
ENSMUSP00000130610	ENSCAFP00000032020
ENSMUSP00000120881	ENSCAFP00000018523
ENSMUSP00000038801	ENSCAFP00000030101
ENSMUSP00000004683	ENSCAFP00000042740
ENSMUSP00000076961	ENSCAFP00000028058
ENSMUSP00000119041	ENSCAFP00000000242
ENSMUSP00000013851	ENSCAFP00000033785
ENSMUSP00000096356	ENSCAFP00000022584
ENSMUSP00000036962	ENSCAFP00000029221
ENSMUSP00000008297	ENSCAFP00000037874
ENSMUSP00000035027	ENSCAFP00000041075
ENSMUSP00000088297	ENSCAFP00000017473
ENSMUSP00000099412	ENSCAFP00000012989
ENSMUSP00000043618	ENSCAFP00000026368
ENSMUSP00000097093	ENSCAFP00000010955
ENSMUSP00000047589	ENSCAFP00000021329
ENSMUSP00000083806	ENSCAFP00000007541
ENSMUSP00000028593	ENSCAFP00000010866
ENSMUSP00000103464	ENSCAFP00000005376
ENSMUSP00000038947	ENSCAFP00000028248
ENSMUSP00000109659	ENSCAFP00000020417
ENSMUSP00000041920	ENSCAFP00000016342
ENSMUSP00000139028	ENSCAFP00000029192
ENSMUSP00000125993	ENSCAFP00000027014
ENSMUSP00000138523	ENSCAFP00000011511
ENSMUSP00000003345	ENSCAFP00000005394
ENSMUSP00000079548	ENSCAFP00000004461
ENSMUSP00000023818	ENSCAFP00000009995
ENSMUSP00000087407	ENSCAFP00000024827
ENSMUSP00000058264	ENSCAFP00000042874
ENSMUSP00000079900	ENSCAFP00000019510
ENSMUSP00000118322	ENSCAFP00000010096
ENSMUSP00000001125	ENSCAFP00000016040
ENSMUSP00000032924	ENSCAFP00000025048
ENSMUSP00000103912	ENSCAFP00000027535
ENSMUSP00000110526	ENSCAFP00000027803
ENSMUSP00000085763	ENSCAFP00000008257
ENSMUSP00000096686	ENSCAFP00000012631
ENSMUSP00000053616	ENSCAFP00000030286
ENSMUSP00000014698	ENSCAFP00000012865
ENSMUSP00000031311	ENSCAFP00000004338
ENSMUSP00000035610	ENSCAFP00000018116
ENSMUSP00000033975	ENSCAFP00000009175
ENSMUSP00000084577	ENSCAFP00000021920
ENSMUSP00000058344	ENSCAFP00000020479
ENSMUSP00000023806	ENSCAFP00000010528
ENSMUSP00000023214	ENSCAFP00000002282
ENSMUSP00000091921	ENSCAFP00000026650
ENSMUSP00000055254	ENSCAFP00000006042
ENSMUSP00000110627	ENSCAFP00000029137
ENSMUSP00000067027	ENSCAFP00000003937
ENSMUSP00000053908	ENSCAFP00000025498
ENSMUSP00000057635	ENSCAFP00000016027
ENSMUSP00000034466	ENSCAFP00000017416
ENSMUSP00000033979	ENSCAFP00000009217
ENSMUSP00000018311	ENSCAFP00000024111
ENSMUSP00000037991	ENSCAFP00000005431
ENSMUSP00000031314	ENSCAFP00000004489
ENSMUSP00000108804	ENSCAFP00000031691
ENSMUSP00000041006	ENSCAFP00000004494
ENSMUSP00000046636	ENSCAFP00000033064
ENSMUSP00000137093	ENSCAFP00000041330
ENSMUSP00000136278	ENSCAFP00000014822
ENSMUSP00000071704	ENSCAFP00000003808
ENSMUSP00000055958	ENSCAFP00000016415
ENSMUSP00000103378	ENSCAFP00000003627
ENSMUSP00000025338	ENSCAFP00000017937
ENSMUSP00000023673	ENSCAFP00000014111
ENSMUSP00000050353	ENSCAFP00000019008
ENSMUSP00000035055	ENSCAFP00000019130
ENSMUSP00000097919	ENSCAFP00000020147
ENSMUSP00000056642	ENSCAFP00000035860
ENSMUSP00000136912	ENSCAFP00000016927
ENSMUSP00000113964	ENSCAFP00000023419
ENSMUSP00000077262	ENSCAFP00000039744
ENSMUSP00000114203	ENSCAFP00000028348
ENSMUSP00000006565	ENSCAFP00000007875
ENSMUSP00000104867	ENSCAFP00000010071
ENSMUSP00000009667	ENSCAFP00000013248
ENSMUSP00000081557	ENSCAFP00000004960
ENSMUSP00000119002	ENSCAFP00000034786
ENSMUSP00000053474	ENSCAFP00000029540
ENSMUSP00000007814	ENSCAFP00000027546
ENSMUSP00000130440	ENSCAFP00000023097
ENSMUSP00000053120	ENSCAFP00000019203
ENSMUSP00000043108	ENSCAFP00000026175
ENSMUSP00000110636	ENSCAFP00000000209
ENSMUSP00000139365	ENSCAFP00000023912
ENSMUSP00000100979	ENSCAFP00000028831
ENSMUSP00000023176	ENSCAFP00000028490
ENSMUSP00000133212	ENSCAFP00000013236
ENSMUSP00000013262	ENSCAFP00000015692
ENSMUSP00000026693	ENSCAFP00000016924
ENSMUSP00000091664	ENSCAFP00000022038
ENSMUSP00000008016	ENSCAFP00000019544
ENSMUSP00000021810	ENSCAFP00000014976
ENSMUSP00000043308	ENSCAFP00000011368
ENSMUSP00000125916	ENSCAFP00000003115
ENSMUSP00000038450	ENSCAFP00000021077
ENSMUSP00000041539	ENSCAFP00000007169
ENSMUSP00000084095	ENSCAFP00000017909
ENSMUSP00000040331	ENSCAFP00000003112
ENSMUSP00000109653	ENSCAFP00000029255
ENSMUSP00000059783	ENSCAFP00000024628
ENSMUSP00000103048	ENSCAFP00000016934
ENSMUSP00000040080	ENSCAFP00000016938
ENSMUSP00000075672	ENSCAFP00000015282
ENSMUSP00000034611	ENSCAFP00000018499
ENSMUSP00000073047	ENSCAFP00000007093
ENSMUSP00000097885	ENSCAFP00000001523
ENSMUSP00000044936	ENSCAFP00000000403
ENSMUSP00000081285	ENSCAFP00000015779
ENSMUSP00000034989	ENSCAFP00000030483
ENSMUSP00000032856	ENSCAFP00000006606
ENSMUSP00000025439	ENSCAFP00000000245
ENSMUSP00000112595	ENSCAFP00000019617
ENSMUSP00000107697	ENSCAFP00000015057
ENSMUSP00000098097	ENSCAFP00000024843
ENSMUSP00000080791	ENSCAFP00000007577
ENSMUSP00000024879	ENSCAFP00000008679
ENSMUSP00000083899	ENSCAFP00000027557
ENSMUSP00000090293	ENSCAFP00000001504
ENSMUSP00000066556	ENSCAFP00000012674
ENSMUSP00000046877	ENSCAFP00000002112
ENSMUSP00000065721	ENSCAFP00000001053
ENSMUSP00000129205	ENSCAFP00000016211
ENSMUSP00000059978	ENSCAFP00000017650
ENSMUSP00000058305	ENSCAFP00000038525
ENSMUSP00000078491	ENSCAFP00000022088
ENSMUSP00000081561	ENSCAFP00000018425
ENSMUSP00000081043	ENSCAFP00000008798
ENSMUSP00000124317	ENSCAFP00000006103
ENSMUSP00000079309	ENSCAFP00000022183
ENSMUSP00000102976	ENSCAFP00000019018
ENSMUSP00000036582	ENSCAFP00000000142
ENSMUSP00000019482	ENSCAFP00000018579
ENSMUSP00000099803	ENSCAFP00000005631
ENSMUSP00000037233	ENSCAFP00000004540
ENSMUSP00000127068	ENSCAFP00000004467
ENSMUSP00000030724	ENSCAFP00000017449
ENSMUSP00000097515	ENSCAFP00000030785
ENSMUSP00000034507	ENSCAFP00000006120
ENSMUSP00000026196	ENSCAFP00000013922
ENSMUSP00000054840	ENSCAFP00000041321
ENSMUSP00000059503	ENSCAFP00000010402
ENSMUSP00000082694	ENSCAFP00000009979
ENSMUSP00000073789	ENSCAFP00000029454
ENSMUSP00000022858	ENSCAFP00000027717
ENSMUSP00000072121	ENSCAFP00000016665
ENSMUSP00000132190	ENSCAFP00000000346
ENSMUSP00000029269	ENSCAFP00000006144
ENSMUSP00000026891	ENSCAFP00000020720
ENSMUSP00000029316	ENSCAFP00000009188
ENSMUSP00000031622	ENSCAFP00000022743
ENSMUSP00000005860	ENSCAFP00000030624
ENSMUSP00000030551	ENSCAFP00000021891
ENSMUSP00000033547	ENSCAFP00000031764
ENSMUSP00000116271	ENSCAFP00000035137
ENSMUSP00000091317	ENSCAFP00000011696
ENSMUSP00000079693	ENSCAFP00000005875
ENSMUSP00000004051	ENSCAFP00000039190
ENSMUSP00000023024	ENSCAFP00000001535
ENSMUSP00000104072	ENSCAFP00000032329
ENSMUSP00000041675	ENSCAFP00000029972
ENSMUSP00000109291	ENSCAFP00000029678
ENSMUSP00000001720	ENSCAFP00000037136
ENSMUSP00000034150	ENSCAFP00000005384
ENSMUSP00000041951	ENSCAFP00000029008
ENSMUSP00000009234	ENSCAFP00000017800
ENSMUSP00000044262	ENSCAFP00000013620
ENSMUSP00000079932	ENSCAFP00000009615
ENSMUSP00000001415	ENSCAFP00000040405
ENSMUSP00000125211	ENSCAFP00000031402
ENSMUSP00000059039	ENSCAFP00000021918
ENSMUSP00000030367	ENSCAFP00000028110
ENSMUSP00000112942	ENSCAFP00000007996
ENSMUSP00000067002	ENSCAFP00000027161
ENSMUSP00000069326	ENSCAFP00000023187
ENSMUSP00000046639	ENSCAFP00000029821
ENSMUSP00000099950	ENSCAFP00000029306
ENSMUSP00000039663	ENSCAFP00000013457
ENSMUSP00000041907	ENSCAFP00000018655
ENSMUSP00000034472	ENSCAFP00000014414
ENSMUSP00000030709	ENSCAFP00000017615
ENSMUSP00000020022	ENSCAFP00000038422
ENSMUSP00000042187	ENSCAFP00000009604
ENSMUSP00000040045	ENSCAFP00000030150
ENSMUSP00000130636	ENSCAFP00000030151
ENSMUSP00000121493	ENSCAFP00000010537
ENSMUSP00000067385	ENSCAFP00000024398
ENSMUSP00000069765	ENSCAFP00000033519
ENSMUSP00000096874	ENSCAFP00000035678
ENSMUSP00000125405	ENSCAFP00000027039
ENSMUSP00000089051	ENSCAFP00000029837
ENSMUSP00000090059	ENSCAFP00000007679
ENSMUSP00000067939	ENSCAFP00000038674
ENSMUSP00000025567	ENSCAFP00000023629
ENSMUSP00000111659	ENSCAFP00000023511
ENSMUSP00000097507	ENSCAFP00000040248
ENSMUSP00000010807	ENSCAFP00000023539
ENSMUSP00000026547	ENSCAFP00000041022
ENSMUSP00000044049	ENSCAFP00000018247
ENSMUSP00000000776	ENSCAFP00000009237
ENSMUSP00000085499	ENSCAFP00000006275
ENSMUSP00000013559	ENSCAFP00000024866
ENSMUSP00000036175	ENSCAFP00000008044
ENSMUSP00000019503	ENSCAFP00000024783
ENSMUSP00000035379	ENSCAFP00000027905
ENSMUSP00000104906	ENSCAFP00000014687
ENSMUSP00000029196	ENSCAFP00000015678
ENSMUSP00000043962	ENSCAFP00000000305
ENSMUSP00000057962	ENSCAFP00000032037
ENSMUSP00000134222	ENSCAFP00000020283
ENSMUSP00000082168	ENSCAFP00000036030
ENSMUSP00000089463	ENSCAFP00000000237
ENSMUSP00000017576	ENSCAFP00000008287
ENSMUSP00000049970	ENSCAFP00000028152
ENSMUSP00000130739	ENSCAFP00000002470
ENSMUSP00000009538	ENSCAFP00000007434
ENSMUSP00000080568	ENSCAFP00000022325
ENSMUSP00000000058	ENSCAFP00000005057
ENSMUSP00000007799	ENSCAFP00000005060
ENSMUSP00000074922	ENSCAFP00000008308
ENSMUSP00000126177	ENSCAFP00000039695
ENSMUSP00000091870	ENSCAFP00000016162
ENSMUSP00000046659	ENSCAFP00000016789
ENSMUSP00000063108	ENSCAFP00000037526
ENSMUSP00000029761	ENSCAFP00000018306
ENSMUSP00000087955	ENSCAFP00000021870
ENSMUSP00000087950	ENSCAFP00000029644
ENSMUSP00000046003	ENSCAFP00000001713
ENSMUSP00000020227	ENSCAFP00000002620
ENSMUSP00000088047	ENSCAFP00000013814
ENSMUSP00000091151	ENSCAFP00000022420
ENSMUSP00000079553	ENSCAFP00000027404
ENSMUSP00000042959	ENSCAFP00000012039
ENSMUSP00000032936	ENSCAFP00000025167
ENSMUSP00000057106	ENSCAFP00000000380
ENSMUSP00000036797	ENSCAFP00000041269
ENSMUSP00000061408	ENSCAFP00000041648
ENSMUSP00000137584	ENSCAFP00000021457
ENSMUSP00000021243	ENSCAFP00000024921
ENSMUSP00000021870	ENSCAFP00000014125
ENSMUSP00000037834	ENSCAFP00000038197
ENSMUSP00000022257	ENSCAFP00000010221
ENSMUSP00000041944	ENSCAFP00000003430
ENSMUSP00000069685	ENSCAFP00000008225
ENSMUSP00000025081	ENSCAFP00000005968
ENSMUSP00000044612	ENSCAFP00000030025
ENSMUSP00000026284	ENSCAFP00000012211
ENSMUSP00000045156	ENSCAFP00000017107
ENSMUSP00000019135	ENSCAFP00000007064
ENSMUSP00000035992	ENSCAFP00000002156
ENSMUSP00000033160	ENSCAFP00000031044
ENSMUSP00000065633	ENSCAFP00000020966
ENSMUSP00000076459	ENSCAFP00000025939
ENSMUSP00000113912	ENSCAFP00000010142
ENSMUSP00000068258	ENSCAFP00000026270
ENSMUSP00000105140	ENSCAFP00000004380
ENSMUSP00000059864	ENSCAFP00000029202
ENSMUSP00000104895	ENSCAFP00000010304
ENSMUSP00000102471	ENSCAFP00000027376
ENSMUSP00000049252	ENSCAFP00000013854
ENSMUSP00000028554	ENSCAFP00000011566
ENSMUSP00000022099	ENSCAFP00000015442
ENSMUSP00000124569	ENSCAFP00000016164
ENSMUSP00000128223	ENSCAFP00000015379
ENSMUSP00000087709	ENSCAFP00000005907
ENSMUSP00000072662	ENSCAFP00000015510
ENSMUSP00000075587	ENSCAFP00000017194
ENSMUSP00000133159	ENSCAFP00000036795
ENSMUSP00000075376	ENSCAFP00000038623
ENSMUSP00000109190	ENSCAFP00000029584
ENSMUSP00000124947	ENSCAFP00000036321
ENSMUSP00000092283	ENSCAFP00000013678
ENSMUSP00000044543	ENSCAFP00000009247
ENSMUSP00000029888	ENSCAFP00000038697
ENSMUSP00000026134	ENSCAFP00000008859
ENSMUSP00000072894	ENSCAFP00000022404
ENSMUSP00000099018	ENSCAFP00000004720
ENSMUSP00000025834	ENSCAFP00000042927
ENSMUSP00000043103	ENSCAFP00000007596
ENSMUSP00000126608	ENSCAFP00000000311
ENSMUSP00000107503	ENSCAFP00000007086
ENSMUSP00000117600	ENSCAFP00000003254
ENSMUSP00000016383	ENSCAFP00000027128
ENSMUSP00000066403	ENSCAFP00000040146
ENSMUSP00000046199	ENSCAFP00000013716
ENSMUSP00000034239	ENSCAFP00000012718
ENSMUSP00000114968	ENSCAFP00000012356
ENSMUSP00000108075	ENSCAFP00000019271
ENSMUSP00000095501	ENSCAFP00000034140
ENSMUSP00000035216	ENSCAFP00000016471
ENSMUSP00000035328	ENSCAFP00000004107
ENSMUSP00000081985	ENSCAFP00000041781
ENSMUSP00000041091	ENSCAFP00000020464
ENSMUSP00000043416	ENSCAFP00000020187
ENSMUSP00000062178	ENSCAFP00000020471
ENSMUSP00000072334	ENSCAFP00000004864
ENSMUSP00000071619	ENSCAFP00000015214
ENSMUSP00000105000	ENSCAFP00000030219
ENSMUSP00000029170	ENSCAFP00000012808
ENSMUSP00000034091	ENSCAFP00000014197
ENSMUSP00000022701	ENSCAFP00000006618
ENSMUSP00000097040	ENSCAFP00000001733
ENSMUSP00000064513	ENSCAFP00000014771
ENSMUSP00000048877	ENSCAFP00000008035
ENSMUSP00000027777	ENSCAFP00000023715
ENSMUSP00000021550	ENSCAFP00000024185
ENSMUSP00000040853	ENSCAFP00000023918
ENSMUSP00000033433	ENSCAFP00000027683
ENSMUSP00000033609	ENSCAFP00000025876
ENSMUSP00000093831	ENSCAFP00000042214
ENSMUSP00000089777	ENSCAFP00000029438
ENSMUSP00000103760	ENSCAFP00000010457
ENSMUSP00000028794	ENSCAFP00000009322
ENSMUSP00000029574	ENSCAFP00000029643
ENSMUSP00000127566	ENSCAFP00000001672
ENSMUSP00000032218	ENSCAFP00000021434
ENSMUSP00000065146	ENSCAFP00000041457
ENSMUSP00000137347	ENSCAFP00000005529
ENSMUSP00000023312	ENSCAFP00000014280
ENSMUSP00000003061	ENSCAFP00000006919
ENSMUSP00000034650	ENSCAFP00000017804
ENSMUSP00000068374	ENSCAFP00000011771
ENSMUSP00000092223	ENSCAFP00000041079
ENSMUSP00000019405	ENSCAFP00000022440
ENSMUSP00000099599	ENSCAFP00000019424
ENSMUSP00000022727	ENSCAFP00000007947
ENSMUSP00000119872	ENSCAFP00000025284
ENSMUSP00000027800	ENSCAFP00000023813
