ENSLOCP00000011371	ENSORLP00000011382
ENSLOCP00000005364	ENSORLP00000012322
ENSLOCP00000009385	ENSORLP00000008642
ENSLOCP00000009385	ENSORLP00000019662
ENSLOCP00000003957	ENSORLP00000000843
ENSLOCP00000003957	ENSORLP00000006602
ENSLOCP00000008503	ENSORLP00000007590
ENSLOCP00000005724	ENSORLP00000014871
ENSLOCP00000013965	ENSORLP00000010132
ENSLOCP00000014610	ENSORLP00000009476
ENSLOCP00000014610	ENSORLP00000006431
ENSLOCP00000007561	ENSORLP00000009884
ENSLOCP00000016620	ENSORLP00000015538
ENSLOCP00000021285	ENSORLP00000022342
ENSLOCP00000021285	ENSORLP00000022706
ENSLOCP00000006312	ENSORLP00000002798
ENSLOCP00000006312	ENSORLP00000024992
ENSLOCP00000007097	ENSORLP00000021882
ENSLOCP00000005246	ENSORLP00000009396
ENSLOCP00000018542	ENSORLP00000002711
ENSLOCP00000004312	ENSORLP00000006825
ENSLOCP00000006166	ENSORLP00000015496
ENSLOCP00000015390	ENSORLP00000016003
ENSLOCP00000014209	ENSORLP00000003874
ENSLOCP00000014074	ENSORLP00000017437
ENSLOCP00000018579	ENSORLP00000010330
ENSLOCP00000014940	ENSORLP00000016652
ENSLOCP00000014940	ENSORLP00000019293
ENSLOCP00000011939	ENSORLP00000021565
ENSLOCP00000006985	ENSORLP00000006589
ENSLOCP00000009227	ENSORLP00000023996
ENSLOCP00000009227	ENSORLP00000010826
ENSLOCP00000020249	ENSORLP00000014899
ENSLOCP00000014151	ENSORLP00000021928
ENSLOCP00000014690	ENSORLP00000005145
ENSLOCP00000009564	ENSORLP00000010185
ENSLOCP00000013439	ENSORLP00000013350
ENSLOCP00000010880	ENSORLP00000013438
ENSLOCP00000020092	ENSORLP00000013701
ENSLOCP00000015127	ENSORLP00000005572
ENSLOCP00000019257	ENSORLP00000003752
ENSLOCP00000001272	ENSORLP00000020949
ENSLOCP00000019424	ENSORLP00000021994
ENSLOCP00000018657	ENSORLP00000015902
ENSLOCP00000006052	ENSORLP00000011263
ENSLOCP00000015684	ENSORLP00000004265
ENSLOCP00000011994	ENSORLP00000007929
ENSLOCP00000021998	ENSORLP00000020517
ENSLOCP00000002555	ENSORLP00000024452
ENSLOCP00000002555	ENSORLP00000000839
ENSLOCP00000001033	ENSORLP00000013367
ENSLOCP00000001033	ENSORLP00000004546
ENSLOCP00000008700	ENSORLP00000004253
ENSLOCP00000013480	ENSORLP00000025639
ENSLOCP00000005641	ENSORLP00000019986
ENSLOCP00000016288	ENSORLP00000016114
ENSLOCP00000006752	ENSORLP00000011790
ENSLOCP00000006752	ENSORLP00000008666
ENSLOCP00000014493	ENSORLP00000025515
ENSLOCP00000006776	ENSORLP00000008677
ENSLOCP00000006776	ENSORLP00000011801
ENSLOCP00000011554	ENSORLP00000012943
ENSLOCP00000019301	ENSORLP00000014864
ENSLOCP00000001555	ENSORLP00000019220
ENSLOCP00000013024	ENSORLP00000012848
ENSLOCP00000004686	ENSORLP00000020595
ENSLOCP00000002435	ENSORLP00000020709
ENSLOCP00000002142	ENSORLP00000022185
ENSLOCP00000015518	ENSORLP00000009175
ENSLOCP00000015518	ENSORLP00000014488
ENSLOCP00000020865	ENSORLP00000011208
ENSLOCP00000006073	ENSORLP00000018580
ENSLOCP00000007277	ENSORLP00000006200
ENSLOCP00000007277	ENSORLP00000019113
ENSLOCP00000004874	ENSORLP00000017208
ENSLOCP00000006504	ENSORLP00000017983
ENSLOCP00000020779	ENSORLP00000018816
ENSLOCP00000011779	ENSORLP00000003195
ENSLOCP00000014801	ENSORLP00000003261
ENSLOCP00000011392	ENSORLP00000021920
ENSLOCP00000013444	ENSORLP00000005559
ENSLOCP00000004245	ENSORLP00000008673
ENSLOCP00000017533	ENSORLP00000001826
ENSLOCP00000004780	ENSORLP00000008469
ENSLOCP00000004780	ENSORLP00000008098
ENSLOCP00000004372	ENSORLP00000009472
ENSLOCP00000006935	ENSORLP00000019074
ENSLOCP00000002410	ENSORLP00000007306
ENSLOCP00000002410	ENSORLP00000021528
ENSLOCP00000020353	ENSORLP00000016330
ENSLOCP00000001422	ENSORLP00000011650
ENSLOCP00000001422	ENSORLP00000011106
ENSLOCP00000002766	ENSORLP00000017701
ENSLOCP00000008981	ENSORLP00000023625
ENSLOCP00000021105	ENSORLP00000002640
ENSLOCP00000011756	ENSORLP00000004314
ENSLOCP00000015837	ENSORLP00000006054
ENSLOCP00000013852	ENSORLP00000017142
ENSLOCP00000016630	ENSORLP00000021295
ENSLOCP00000016613	ENSORLP00000000884
ENSLOCP00000020602	ENSORLP00000025229
ENSLOCP00000003133	ENSORLP00000004892
ENSLOCP00000021077	ENSORLP00000007176
ENSLOCP00000021077	ENSORLP00000021299
ENSLOCP00000006720	ENSORLP00000003248
ENSLOCP00000006720	ENSORLP00000018535
ENSLOCP00000013580	ENSORLP00000002745
ENSLOCP00000015574	ENSORLP00000008465
ENSLOCP00000018411	ENSORLP00000014245
ENSLOCP00000018411	ENSORLP00000011093
ENSLOCP00000011855	ENSORLP00000017733
ENSLOCP00000011356	ENSORLP00000022783
ENSLOCP00000011356	ENSORLP00000000833
ENSLOCP00000008556	ENSORLP00000019897
ENSLOCP00000010714	ENSORLP00000014511
ENSLOCP00000018581	ENSORLP00000020987
ENSLOCP00000018581	ENSORLP00000010315
ENSLOCP00000019054	ENSORLP00000013489
ENSLOCP00000020012	ENSORLP00000020664
ENSLOCP00000018060	ENSORLP00000010060
ENSLOCP00000014636	ENSORLP00000007566
ENSLOCP00000008964	ENSORLP00000011973
ENSLOCP00000020918	ENSORLP00000022287
ENSLOCP00000020918	ENSORLP00000018553
ENSLOCP00000005197	ENSORLP00000018341
ENSLOCP00000012887	ENSORLP00000019863
ENSLOCP00000006147	ENSORLP00000013944
ENSLOCP00000020514	ENSORLP00000016911
ENSLOCP00000018363	ENSORLP00000002703
ENSLOCP00000011040	ENSORLP00000009694
ENSLOCP00000007825	ENSORLP00000011267
ENSLOCP00000017138	ENSORLP00000012825
ENSLOCP00000017138	ENSORLP00000023289
ENSLOCP00000010866	ENSORLP00000003945
ENSLOCP00000013813	ENSORLP00000013053
ENSLOCP00000008268	ENSORLP00000012532
ENSLOCP00000006833	ENSORLP00000020802
ENSLOCP00000013780	ENSORLP00000006196
ENSLOCP00000011952	ENSORLP00000006735
ENSLOCP00000003536	ENSORLP00000002480
ENSLOCP00000002462	ENSORLP00000002795
ENSLOCP00000010352	ENSORLP00000005030
ENSLOCP00000010399	ENSORLP00000012040
ENSLOCP00000005728	ENSORLP00000008794
ENSLOCP00000004103	ENSORLP00000021360
ENSLOCP00000010685	ENSORLP00000011878
ENSLOCP00000012901	ENSORLP00000017970
ENSLOCP00000009607	ENSORLP00000015350
ENSLOCP00000006063	ENSORLP00000020441
ENSLOCP00000004934	ENSORLP00000005000
ENSLOCP00000003268	ENSORLP00000019233
ENSLOCP00000010961	ENSORLP00000009186
ENSLOCP00000006952	ENSORLP00000003414
ENSLOCP00000017973	ENSORLP00000012019
ENSLOCP00000009824	ENSORLP00000008398
ENSLOCP00000002054	ENSORLP00000018149
ENSLOCP00000012553	ENSORLP00000002603
ENSLOCP00000011680	ENSORLP00000005187
ENSLOCP00000013557	ENSORLP00000016152
ENSLOCP00000006774	ENSORLP00000006461
ENSLOCP00000006774	ENSORLP00000017473
ENSLOCP00000002415	ENSORLP00000012319
ENSLOCP00000018234	ENSORLP00000001755
ENSLOCP00000001654	ENSORLP00000011692
ENSLOCP00000015732	ENSORLP00000021330
ENSLOCP00000001779	ENSORLP00000018257
ENSLOCP00000003184	ENSORLP00000012815
ENSLOCP00000007073	ENSORLP00000002988
ENSLOCP00000013157	ENSORLP00000024633
ENSLOCP00000013157	ENSORLP00000015744
ENSLOCP00000005891	ENSORLP00000000363
ENSLOCP00000005891	ENSORLP00000006545
ENSLOCP00000004021	ENSORLP00000017968
ENSLOCP00000021346	ENSORLP00000013508
ENSLOCP00000011692	ENSORLP00000005827
ENSLOCP00000008192	ENSORLP00000015906
ENSLOCP00000014152	ENSORLP00000007911
ENSLOCP00000008444	ENSORLP00000008116
ENSLOCP00000009493	ENSORLP00000014421
ENSLOCP00000002091	ENSORLP00000017492
ENSLOCP00000002091	ENSORLP00000022178
ENSLOCP00000013821	ENSORLP00000023350
ENSLOCP00000013821	ENSORLP00000001513
ENSLOCP00000005208	ENSORLP00000015848
ENSLOCP00000017479	ENSORLP00000000154
ENSLOCP00000011166	ENSORLP00000007205
ENSLOCP00000008158	ENSORLP00000017310
ENSLOCP00000006282	ENSORLP00000004432
ENSLOCP00000014265	ENSORLP00000005929
ENSLOCP00000011694	ENSORLP00000020701
ENSLOCP00000001088	ENSORLP00000017922
ENSLOCP00000001088	ENSORLP00000000768
ENSLOCP00000007972	ENSORLP00000002339
ENSLOCP00000018707	ENSORLP00000002342
ENSLOCP00000018582	ENSORLP00000012542
ENSLOCP00000012659	ENSORLP00000012719
ENSLOCP00000020010	ENSORLP00000020670
ENSLOCP00000015853	ENSORLP00000006290
ENSLOCP00000015109	ENSORLP00000001106
ENSLOCP00000017737	ENSORLP00000016523
ENSLOCP00000020327	ENSORLP00000011541
ENSLOCP00000019204	ENSORLP00000024539
ENSLOCP00000013046	ENSORLP00000000896
ENSLOCP00000007720	ENSORLP00000010889
ENSLOCP00000006589	ENSORLP00000005765
ENSLOCP00000017719	ENSORLP00000010565
ENSLOCP00000013469	ENSORLP00000006291
ENSLOCP00000015453	ENSORLP00000024234
ENSLOCP00000015453	ENSORLP00000022019
ENSLOCP00000015435	ENSORLP00000005117
ENSLOCP00000015435	ENSORLP00000013171
ENSLOCP00000000119	ENSORLP00000017084
ENSLOCP00000021274	ENSORLP00000011114
ENSLOCP00000011203	ENSORLP00000004919
ENSLOCP00000014040	ENSORLP00000023813
ENSLOCP00000018047	ENSORLP00000018428
ENSLOCP00000003171	ENSORLP00000015604
ENSLOCP00000004832	ENSORLP00000011698
ENSLOCP00000011980	ENSORLP00000012255
ENSLOCP00000000996	ENSORLP00000011673
ENSLOCP00000008415	ENSORLP00000012362
ENSLOCP00000021611	ENSORLP00000012806
ENSLOCP00000022376	ENSORLP00000021964
ENSLOCP00000021612	ENSORLP00000012811
ENSLOCP00000022463	ENSORLP00000012222
ENSLOCP00000021918	ENSORLP00000010820
ENSLOCP00000000324	ENSORLP00000004930
ENSLOCP00000014382	ENSORLP00000003122
ENSLOCP00000016275	ENSORLP00000008261
ENSLOCP00000020250	ENSORLP00000014926
ENSLOCP00000012653	ENSORLP00000010264
ENSLOCP00000015177	ENSORLP00000012988
ENSLOCP00000001476	ENSORLP00000000120
ENSLOCP00000001476	ENSORLP00000025012
ENSLOCP00000008760	ENSORLP00000005382
ENSLOCP00000005030	ENSORLP00000009865
ENSLOCP00000016610	ENSORLP00000008704
ENSLOCP00000016439	ENSORLP00000004063
ENSLOCP00000016439	ENSORLP00000012205
ENSLOCP00000014508	ENSORLP00000018253
ENSLOCP00000004843	ENSORLP00000012582
ENSLOCP00000020210	ENSORLP00000015190
ENSLOCP00000017226	ENSORLP00000005150
ENSLOCP00000001966	ENSORLP00000016389
ENSLOCP00000010567	ENSORLP00000013576
ENSLOCP00000010567	ENSORLP00000013143
ENSLOCP00000019881	ENSORLP00000002119
ENSLOCP00000009177	ENSORLP00000005995
ENSLOCP00000008548	ENSORLP00000017107
ENSLOCP00000010811	ENSORLP00000006458
ENSLOCP00000002572	ENSORLP00000017926
ENSLOCP00000004796	ENSORLP00000025807
ENSLOCP00000021114	ENSORLP00000013861
ENSLOCP00000011045	ENSORLP00000000861
ENSLOCP00000008320	ENSORLP00000022991
ENSLOCP00000001519	ENSORLP00000004082
ENSLOCP00000001519	ENSORLP00000016341
ENSLOCP00000012127	ENSORLP00000013831
ENSLOCP00000018204	ENSORLP00000017916
ENSLOCP00000004285	ENSORLP00000004429
ENSLOCP00000004285	ENSORLP00000022085
ENSLOCP00000008847	ENSORLP00000007242
ENSLOCP00000008847	ENSORLP00000011828
ENSLOCP00000011624	ENSORLP00000015083
ENSLOCP00000015645	ENSORLP00000022302
ENSLOCP00000022322	ENSORLP00000024554
ENSLOCP00000021861	ENSORLP00000009810
ENSLOCP00000021861	ENSORLP00000015279
ENSLOCP00000022195	ENSORLP00000013107
ENSLOCP00000010991	ENSORLP00000008909
ENSLOCP00000021867	ENSORLP00000002395
ENSLOCP00000013769	ENSORLP00000020248
ENSLOCP00000019778	ENSORLP00000003080
ENSLOCP00000019778	ENSORLP00000003735
ENSLOCP00000001896	ENSORLP00000005383
ENSLOCP00000007225	ENSORLP00000006928
ENSLOCP00000013022	ENSORLP00000011655
ENSLOCP00000018225	ENSORLP00000011589
ENSLOCP00000017251	ENSORLP00000007458
ENSLOCP00000012008	ENSORLP00000009686
ENSLOCP00000018473	ENSORLP00000022910
ENSLOCP00000012989	ENSORLP00000024479
ENSLOCP00000003166	ENSORLP00000023555
ENSLOCP00000007447	ENSORLP00000023091
ENSLOCP00000010214	ENSORLP00000010421
ENSLOCP00000020386	ENSORLP00000019580
ENSLOCP00000004230	ENSORLP00000017680
ENSLOCP00000003508	ENSORLP00000018214
ENSLOCP00000017652	ENSORLP00000010788
ENSLOCP00000015394	ENSORLP00000006577
ENSLOCP00000013279	ENSORLP00000004307
ENSLOCP00000010415	ENSORLP00000009064
ENSLOCP00000007774	ENSORLP00000015684
ENSLOCP00000008601	ENSORLP00000004190
ENSLOCP00000003200	ENSORLP00000019615
ENSLOCP00000007566	ENSORLP00000019638
ENSLOCP00000008944	ENSORLP00000023819
ENSLOCP00000011246	ENSORLP00000004888
ENSLOCP00000008536	ENSORLP00000001952
ENSLOCP00000021363	ENSORLP00000011632
ENSLOCP00000013066	ENSORLP00000000924
ENSLOCP00000000301	ENSORLP00000003778
ENSLOCP00000017482	ENSORLP00000012464
ENSLOCP00000020542	ENSORLP00000016834
ENSLOCP00000002244	ENSORLP00000020043
ENSLOCP00000018397	ENSORLP00000016524
ENSLOCP00000018826	ENSORLP00000001708
ENSLOCP00000005772	ENSORLP00000000496
ENSLOCP00000000144	ENSORLP00000017742
ENSLOCP00000011196	ENSORLP00000006889
ENSLOCP00000006291	ENSORLP00000006574
ENSLOCP00000006291	ENSORLP00000006790
ENSLOCP00000004055	ENSORLP00000009555
ENSLOCP00000004055	ENSORLP00000018186
ENSLOCP00000013687	ENSORLP00000004806
ENSLOCP00000000942	ENSORLP00000004111
ENSLOCP00000000942	ENSORLP00000017935
ENSLOCP00000002058	ENSORLP00000021819
ENSLOCP00000010731	ENSORLP00000015680
ENSLOCP00000013578	ENSORLP00000020353
ENSLOCP00000019728	ENSORLP00000021165
ENSLOCP00000008230	ENSORLP00000006677
ENSLOCP00000002359	ENSORLP00000009375
ENSLOCP00000019429	ENSORLP00000017309
ENSLOCP00000008558	ENSORLP00000007553
ENSLOCP00000008558	ENSORLP00000012844
ENSLOCP00000010699	ENSORLP00000009319
ENSLOCP00000001548	ENSORLP00000005890
ENSLOCP00000006866	ENSORLP00000014414
ENSLOCP00000001179	ENSORLP00000009360
ENSLOCP00000016175	ENSORLP00000022641
ENSLOCP00000011913	ENSORLP00000020384
ENSLOCP00000009629	ENSORLP00000005095
ENSLOCP00000017772	ENSORLP00000011990
ENSLOCP00000009259	ENSORLP00000020466
ENSLOCP00000009259	ENSORLP00000004514
ENSLOCP00000019431	ENSORLP00000017296
ENSLOCP00000020736	ENSORLP00000003564
ENSLOCP00000002463	ENSORLP00000014905
ENSLOCP00000002463	ENSORLP00000007598
ENSLOCP00000014702	ENSORLP00000011230
ENSLOCP00000006246	ENSORLP00000019172
ENSLOCP00000011812	ENSORLP00000015939
ENSLOCP00000011812	ENSORLP00000004581
ENSLOCP00000011790	ENSORLP00000004596
ENSLOCP00000011790	ENSORLP00000015948
ENSLOCP00000006110	ENSORLP00000019300
ENSLOCP00000003233	ENSORLP00000014700
ENSLOCP00000008410	ENSORLP00000013252
ENSLOCP00000018147	ENSORLP00000019334
ENSLOCP00000020745	ENSORLP00000021446
ENSLOCP00000018048	ENSORLP00000008162
ENSLOCP00000007300	ENSORLP00000006111
ENSLOCP00000007300	ENSORLP00000019083
ENSLOCP00000009751	ENSORLP00000020112
ENSLOCP00000009799	ENSORLP00000020101
ENSLOCP00000004751	ENSORLP00000008423
ENSLOCP00000009694	ENSORLP00000005238
ENSLOCP00000011693	ENSORLP00000015118
ENSLOCP00000006441	ENSORLP00000005644
ENSLOCP00000021112	ENSORLP00000002644
ENSLOCP00000006019	ENSORLP00000012576
ENSLOCP00000010780	ENSORLP00000009270
ENSLOCP00000000863	ENSORLP00000017950
ENSLOCP00000005421	ENSORLP00000006614
ENSLOCP00000009921	ENSORLP00000004977
ENSLOCP00000009414	ENSORLP00000021635
ENSLOCP00000013907	ENSORLP00000004128
ENSLOCP00000002148	ENSORLP00000019425
ENSLOCP00000014983	ENSORLP00000023459
ENSLOCP00000001181	ENSORLP00000007844
ENSLOCP00000012466	ENSORLP00000003806
ENSLOCP00000013666	ENSORLP00000020722
ENSLOCP00000017902	ENSORLP00000005923
ENSLOCP00000002975	ENSORLP00000014405
ENSLOCP00000000855	ENSORLP00000013899
ENSLOCP00000000855	ENSORLP00000021694
ENSLOCP00000001511	ENSORLP00000015144
ENSLOCP00000007365	ENSORLP00000005778
ENSLOCP00000015217	ENSORLP00000018137
ENSLOCP00000017165	ENSORLP00000023296
ENSLOCP00000011269	ENSORLP00000005365
ENSLOCP00000003288	ENSORLP00000012800
ENSLOCP00000008810	ENSORLP00000011775
ENSLOCP00000011596	ENSORLP00000014954
ENSLOCP00000012872	ENSORLP00000016976
ENSLOCP00000000179	ENSORLP00000017720
ENSLOCP00000019104	ENSORLP00000002627
ENSLOCP00000010577	ENSORLP00000025331
ENSLOCP00000002368	ENSORLP00000024062
ENSLOCP00000007989	ENSORLP00000004632
ENSLOCP00000017063	ENSORLP00000008029
ENSLOCP00000006202	ENSORLP00000019616
ENSLOCP00000006343	ENSORLP00000005521
ENSLOCP00000020616	ENSORLP00000021662
ENSLOCP00000017547	ENSORLP00000002270
ENSLOCP00000008470	ENSORLP00000002338
ENSLOCP00000008470	ENSORLP00000014491
ENSLOCP00000011838	ENSORLP00000013141
ENSLOCP00000006885	ENSORLP00000025108
ENSLOCP00000020139	ENSORLP00000022087
ENSLOCP00000006834	ENSORLP00000018521
ENSLOCP00000015134	ENSORLP00000015110
ENSLOCP00000015669	ENSORLP00000009853
ENSLOCP00000021906	ENSORLP00000006295
ENSLOCP00000021902	ENSORLP00000022516
ENSLOCP00000021902	ENSORLP00000005045
ENSLOCP00000021584	ENSORLP00000011817
ENSLOCP00000003154	ENSORLP00000012854
ENSLOCP00000007260	ENSORLP00000011247
ENSLOCP00000008474	ENSORLP00000001650
ENSLOCP00000001184	ENSORLP00000002978
ENSLOCP00000004747	ENSORLP00000008229
ENSLOCP00000013192	ENSORLP00000006333
ENSLOCP00000013192	ENSORLP00000011186
ENSLOCP00000015949	ENSORLP00000022262
ENSLOCP00000018813	ENSORLP00000014172
ENSLOCP00000012321	ENSORLP00000019753
ENSLOCP00000018323	ENSORLP00000008629
ENSLOCP00000018323	ENSORLP00000011484
ENSLOCP00000020266	ENSORLP00000020315
ENSLOCP00000018171	ENSORLP00000019444
ENSLOCP00000009086	ENSORLP00000013988
ENSLOCP00000006041	ENSORLP00000012561
ENSLOCP00000020476	ENSORLP00000022319
ENSLOCP00000020476	ENSORLP00000016032
ENSLOCP00000005884	ENSORLP00000012372
ENSLOCP00000010448	ENSORLP00000001473
ENSLOCP00000001931	ENSORLP00000013349
ENSLOCP00000012832	ENSORLP00000007979
ENSLOCP00000018835	ENSORLP00000001762
ENSLOCP00000011060	ENSORLP00000014746
ENSLOCP00000014771	ENSORLP00000006883
ENSLOCP00000006432	ENSORLP00000008632
ENSLOCP00000017528	ENSORLP00000004669
ENSLOCP00000017528	ENSORLP00000002783
ENSLOCP00000015038	ENSORLP00000019742
ENSLOCP00000013956	ENSORLP00000005416
ENSLOCP00000006321	ENSORLP00000011470
ENSLOCP00000006321	ENSORLP00000008530
ENSLOCP00000016881	ENSORLP00000008077
ENSLOCP00000002997	ENSORLP00000010005
ENSLOCP00000005568	ENSORLP00000016138
ENSLOCP00000008994	ENSORLP00000004021
ENSLOCP00000001512	ENSORLP00000007477
ENSLOCP00000011198	ENSORLP00000022152
ENSLOCP00000002924	ENSORLP00000013616
ENSLOCP00000009131	ENSORLP00000014792
ENSLOCP00000011088	ENSORLP00000019845
ENSLOCP00000003848	ENSORLP00000001421
ENSLOCP00000016334	ENSORLP00000021683
ENSLOCP00000013862	ENSORLP00000007321
ENSLOCP00000012716	ENSORLP00000011224
ENSLOCP00000012369	ENSORLP00000004885
ENSLOCP00000009103	ENSORLP00000017850
ENSLOCP00000018390	ENSORLP00000002357
ENSLOCP00000006356	ENSORLP00000006748
ENSLOCP00000021100	ENSORLP00000002587
ENSLOCP00000021100	ENSORLP00000021247
ENSLOCP00000007328	ENSORLP00000005051
ENSLOCP00000016533	ENSORLP00000003765
ENSLOCP00000022043	ENSORLP00000007792
ENSLOCP00000022043	ENSORLP00000000534
ENSLOCP00000009591	ENSORLP00000025014
ENSLOCP00000009591	ENSORLP00000023046
ENSLOCP00000006920	ENSORLP00000021026
ENSLOCP00000012962	ENSORLP00000004584
ENSLOCP00000010940	ENSORLP00000023370
ENSLOCP00000007494	ENSORLP00000006776
ENSLOCP00000021883	ENSORLP00000005779
ENSLOCP00000014705	ENSORLP00000000380
ENSLOCP00000017905	ENSORLP00000006258
ENSLOCP00000007851	ENSORLP00000016337
ENSLOCP00000007851	ENSORLP00000011234
ENSLOCP00000018965	ENSORLP00000004424
ENSLOCP00000017950	ENSORLP00000000724
ENSLOCP00000017961	ENSORLP00000010522
ENSLOCP00000017209	ENSORLP00000013931
ENSLOCP00000009970	ENSORLP00000000404
ENSLOCP00000009784	ENSORLP00000010156
ENSLOCP00000006336	ENSORLP00000019350
ENSLOCP00000006336	ENSORLP00000020369
ENSLOCP00000017095	ENSORLP00000006817
ENSLOCP00000010734	ENSORLP00000004428
ENSLOCP00000007446	ENSORLP00000013108
ENSLOCP00000015745	ENSORLP00000004361
ENSLOCP00000005005	ENSORLP00000011033
ENSLOCP00000016898	ENSORLP00000011920
ENSLOCP00000005932	ENSORLP00000010839
ENSLOCP00000006044	ENSORLP00000018382
ENSLOCP00000006044	ENSORLP00000012218
ENSLOCP00000006463	ENSORLP00000017958
ENSLOCP00000008852	ENSORLP00000000765
ENSLOCP00000008852	ENSORLP00000022963
ENSLOCP00000015221	ENSORLP00000005996
ENSLOCP00000018408	ENSORLP00000014275
ENSLOCP00000020313	ENSORLP00000012341
ENSLOCP00000014953	ENSORLP00000016629
ENSLOCP00000008114	ENSORLP00000020476
ENSLOCP00000008114	ENSORLP00000000385
ENSLOCP00000018251	ENSORLP00000016650
ENSLOCP00000021601	ENSORLP00000001385
ENSLOCP00000013585	ENSORLP00000012838
ENSLOCP00000009123	ENSORLP00000002042
ENSLOCP00000009123	ENSORLP00000009399
ENSLOCP00000017192	ENSORLP00000008971
ENSLOCP00000012682	ENSORLP00000012770
ENSLOCP00000004815	ENSORLP00000011639
ENSLOCP00000016310	ENSORLP00000014502
ENSLOCP00000000652	ENSORLP00000014777
ENSLOCP00000018950	ENSORLP00000011409
ENSLOCP00000003129	ENSORLP00000014625
ENSLOCP00000020696	ENSORLP00000003886
ENSLOCP00000020285	ENSORLP00000022729
ENSLOCP00000010889	ENSORLP00000009205
ENSLOCP00000001938	ENSORLP00000012860
ENSLOCP00000007559	ENSORLP00000006951
ENSLOCP00000014307	ENSORLP00000023345
ENSLOCP00000003922	ENSORLP00000001363
ENSLOCP00000006418	ENSORLP00000007496
ENSLOCP00000003333	ENSORLP00000014865
ENSLOCP00000015333	ENSORLP00000005624
ENSLOCP00000014052	ENSORLP00000025492
ENSLOCP00000018771	ENSORLP00000013878
ENSLOCP00000020453	ENSORLP00000001089
ENSLOCP00000018806	ENSORLP00000001552
ENSLOCP00000019871	ENSORLP00000017675
ENSLOCP00000019224	ENSORLP00000004706
ENSLOCP00000019224	ENSORLP00000003804
ENSLOCP00000019221	ENSORLP00000004720
ENSLOCP00000011104	ENSORLP00000006205
ENSLOCP00000016558	ENSORLP00000004588
ENSLOCP00000013610	ENSORLP00000006352
ENSLOCP00000018105	ENSORLP00000010309
ENSLOCP00000012543	ENSORLP00000005146
ENSLOCP00000002932	ENSORLP00000012308
ENSLOCP00000011753	ENSORLP00000011744
ENSLOCP00000021879	ENSORLP00000014035
ENSLOCP00000005432	ENSORLP00000020821
ENSLOCP00000016193	ENSORLP00000008399
ENSLOCP00000020862	ENSORLP00000012196
ENSLOCP00000014113	ENSORLP00000015982
ENSLOCP00000007678	ENSORLP00000024929
ENSLOCP00000003755	ENSORLP00000022596
ENSLOCP00000015571	ENSORLP00000009862
ENSLOCP00000015571	ENSORLP00000006891
ENSLOCP00000005103	ENSORLP00000012978
ENSLOCP00000005103	ENSORLP00000002873
ENSLOCP00000004681	ENSORLP00000017074
ENSLOCP00000014485	ENSORLP00000003557
ENSLOCP00000001482	ENSORLP00000024828
ENSLOCP00000016020	ENSORLP00000007030
ENSLOCP00000013166	ENSORLP00000007985
ENSLOCP00000020655	ENSORLP00000021646
ENSLOCP00000014833	ENSORLP00000006008
ENSLOCP00000004777	ENSORLP00000004020
ENSLOCP00000004777	ENSORLP00000025678
ENSLOCP00000006939	ENSORLP00000019393
ENSLOCP00000006939	ENSORLP00000020263
ENSLOCP00000002879	ENSORLP00000020160
ENSLOCP00000008181	ENSORLP00000012455
ENSLOCP00000008181	ENSORLP00000000699
ENSLOCP00000020684	ENSORLP00000020418
ENSLOCP00000007334	ENSORLP00000003121
ENSLOCP00000019984	ENSORLP00000020767
ENSLOCP00000005838	ENSORLP00000010790
ENSLOCP00000005124	ENSORLP00000018379
ENSLOCP00000017874	ENSORLP00000002199
ENSLOCP00000001583	ENSORLP00000003850
ENSLOCP00000001726	ENSORLP00000008025
ENSLOCP00000009554	ENSORLP00000004446
ENSLOCP00000012635	ENSORLP00000011189
ENSLOCP00000019198	ENSORLP00000024471
ENSLOCP00000008850	ENSORLP00000021169
ENSLOCP00000003468	ENSORLP00000018239
ENSLOCP00000003468	ENSORLP00000011965
ENSLOCP00000018258	ENSORLP00000001596
ENSLOCP00000004774	ENSORLP00000008097
ENSLOCP00000004774	ENSORLP00000000429
ENSLOCP00000009118	ENSORLP00000004449
ENSLOCP00000017535	ENSORLP00000001227
ENSLOCP00000020571	ENSORLP00000020164
ENSLOCP00000008855	ENSORLP00000005776
ENSLOCP00000018152	ENSORLP00000008205
ENSLOCP00000013202	ENSORLP00000004187
ENSLOCP00000013202	ENSORLP00000001300
ENSLOCP00000013364	ENSORLP00000025372
ENSLOCP00000009010	ENSORLP00000004323
ENSLOCP00000001339	ENSORLP00000007777
ENSLOCP00000003995	ENSORLP00000018205
ENSLOCP00000003995	ENSORLP00000009540
ENSLOCP00000005167	ENSORLP00000017078
ENSLOCP00000006446	ENSORLP00000023811
ENSLOCP00000009089	ENSORLP00000017035
ENSLOCP00000019079	ENSORLP00000020445
ENSLOCP00000017468	ENSORLP00000000155
ENSLOCP00000012505	ENSORLP00000001149
ENSLOCP00000018743	ENSORLP00000001141
ENSLOCP00000019811	ENSORLP00000019236
ENSLOCP00000015512	ENSORLP00000008154
ENSLOCP00000001444	ENSORLP00000004041
ENSLOCP00000014893	ENSORLP00000017587
ENSLOCP00000016278	ENSORLP00000003318
ENSLOCP00000016287	ENSORLP00000004509
ENSLOCP00000015308	ENSORLP00000005571
ENSLOCP00000015550	ENSORLP00000007869
ENSLOCP00000013487	ENSORLP00000006661
ENSLOCP00000017447	ENSORLP00000000212
