ENSTGUP00000008915	ENSLOCP00000009128
ENSTGUP00000016228	ENSLOCP00000005766
ENSTGUP00000011191	ENSLOCP00000001383
ENSTGUP00000004198	ENSLOCP00000015270
ENSTGUP00000017674	ENSLOCP00000012876
ENSTGUP00000011796	ENSLOCP00000005023
ENSTGUP00000006736	ENSLOCP00000021097
ENSTGUP00000011793	ENSLOCP00000001924
ENSTGUP00000008194	ENSLOCP00000020253
ENSTGUP00000011332	ENSLOCP00000008639
ENSTGUP00000014036	ENSLOCP00000012993
ENSTGUP00000001709	ENSLOCP00000013725
ENSTGUP00000008743	ENSLOCP00000016838
ENSTGUP00000005695	ENSLOCP00000007929
ENSTGUP00000008285	ENSLOCP00000005149
ENSTGUP00000007869	ENSLOCP00000005091
ENSTGUP00000003849	ENSLOCP00000008469
ENSTGUP00000006031	ENSLOCP00000011861
ENSTGUP00000006674	ENSLOCP00000002533
ENSTGUP00000013493	ENSLOCP00000020351
ENSTGUP00000002631	ENSLOCP00000013350
ENSTGUP00000003454	ENSLOCP00000020375
ENSTGUP00000013083	ENSLOCP00000019960
ENSTGUP00000006650	ENSLOCP00000016824
ENSTGUP00000006550	ENSLOCP00000009952
ENSTGUP00000007462	ENSLOCP00000017178
ENSTGUP00000001742	ENSLOCP00000013694
ENSTGUP00000012200	ENSLOCP00000001161
ENSTGUP00000010751	ENSLOCP00000017462
ENSTGUP00000016570	ENSLOCP00000009703
ENSTGUP00000000693	ENSLOCP00000015354
ENSTGUP00000008563	ENSLOCP00000022333
ENSTGUP00000006098	ENSLOCP00000009571
ENSTGUP00000005767	ENSLOCP00000001195
ENSTGUP00000000238	ENSLOCP00000003820
ENSTGUP00000011154	ENSLOCP00000007415
ENSTGUP00000003201	ENSLOCP00000013920
ENSTGUP00000015219	ENSLOCP00000019529
ENSTGUP00000005144	ENSLOCP00000007504
ENSTGUP00000012816	ENSLOCP00000000961
ENSTGUP00000012170	ENSLOCP00000021352
ENSTGUP00000007777	ENSLOCP00000006082
ENSTGUP00000011578	ENSLOCP00000006002
ENSTGUP00000009762	ENSLOCP00000021692
ENSTGUP00000008964	ENSLOCP00000022459
ENSTGUP00000009757	ENSLOCP00000021691
ENSTGUP00000011171	ENSLOCP00000021920
ENSTGUP00000007685	ENSLOCP00000000829
ENSTGUP00000016441	ENSLOCP00000019434
ENSTGUP00000008825	ENSLOCP00000020846
ENSTGUP00000012172	ENSLOCP00000011857
ENSTGUP00000006976	ENSLOCP00000006151
ENSTGUP00000005436	ENSLOCP00000000919
ENSTGUP00000012795	ENSLOCP00000011317
ENSTGUP00000012776	ENSLOCP00000022440
ENSTGUP00000010048	ENSLOCP00000012660
ENSTGUP00000001166	ENSLOCP00000009230
ENSTGUP00000002037	ENSLOCP00000014539
ENSTGUP00000001087	ENSLOCP00000000540
ENSTGUP00000007565	ENSLOCP00000004563
ENSTGUP00000013599	ENSLOCP00000020393
ENSTGUP00000010023	ENSLOCP00000002598
ENSTGUP00000002032	ENSLOCP00000015174
ENSTGUP00000008226	ENSLOCP00000009326
ENSTGUP00000017672	ENSLOCP00000010362
ENSTGUP00000003481	ENSLOCP00000015593
ENSTGUP00000006755	ENSLOCP00000007291
ENSTGUP00000000318	ENSLOCP00000001728
ENSTGUP00000001996	ENSLOCP00000019265
ENSTGUP00000004099	ENSLOCP00000018440
ENSTGUP00000009148	ENSLOCP00000001716
ENSTGUP00000006788	ENSLOCP00000011931
ENSTGUP00000010143	ENSLOCP00000001677
ENSTGUP00000013825	ENSLOCP00000001913
ENSTGUP00000007965	ENSLOCP00000016491
ENSTGUP00000006343	ENSLOCP00000006665
ENSTGUP00000002883	ENSLOCP00000014284
ENSTGUP00000004660	ENSLOCP00000009461
ENSTGUP00000001807	ENSLOCP00000015210
ENSTGUP00000001806	ENSLOCP00000015218
ENSTGUP00000009483	ENSLOCP00000007597
ENSTGUP00000006335	ENSLOCP00000006576
ENSTGUP00000005504	ENSLOCP00000002353
ENSTGUP00000011922	ENSLOCP00000004327
ENSTGUP00000007857	ENSLOCP00000004189
ENSTGUP00000004090	ENSLOCP00000015581
ENSTGUP00000005207	ENSLOCP00000007560
ENSTGUP00000000995	ENSLOCP00000004732
ENSTGUP00000013902	ENSLOCP00000010462
ENSTGUP00000014630	ENSLOCP00000002838
ENSTGUP00000013283	ENSLOCP00000008705
ENSTGUP00000011576	ENSLOCP00000005850
ENSTGUP00000004860	ENSLOCP00000016350
ENSTGUP00000009009	ENSLOCP00000006421
ENSTGUP00000012404	ENSLOCP00000018624
ENSTGUP00000014120	ENSLOCP00000012190
ENSTGUP00000002682	ENSLOCP00000013987
ENSTGUP00000005190	ENSLOCP00000009137
ENSTGUP00000010407	ENSLOCP00000014129
ENSTGUP00000005984	ENSLOCP00000014931
ENSTGUP00000003110	ENSLOCP00000015917
ENSTGUP00000008914	ENSLOCP00000010552
ENSTGUP00000004879	ENSLOCP00000021429
ENSTGUP00000012313	ENSLOCP00000021090
ENSTGUP00000000979	ENSLOCP00000022026
ENSTGUP00000005147	ENSLOCP00000005298
ENSTGUP00000003675	ENSLOCP00000013893
ENSTGUP00000015427	ENSLOCP00000018978
ENSTGUP00000006200	ENSLOCP00000019891
ENSTGUP00000010672	ENSLOCP00000013432
ENSTGUP00000003924	ENSLOCP00000005097
ENSTGUP00000003919	ENSLOCP00000012580
ENSTGUP00000008408	ENSLOCP00000006953
ENSTGUP00000013794	ENSLOCP00000003318
ENSTGUP00000013088	ENSLOCP00000021144
ENSTGUP00000009769	ENSLOCP00000010429
ENSTGUP00000010476	ENSLOCP00000008438
ENSTGUP00000010056	ENSLOCP00000022197
ENSTGUP00000011156	ENSLOCP00000007387
ENSTGUP00000011695	ENSLOCP00000018686
ENSTGUP00000013321	ENSLOCP00000007069
ENSTGUP00000002376	ENSLOCP00000001710
ENSTGUP00000001346	ENSLOCP00000012600
ENSTGUP00000008437	ENSLOCP00000012292
ENSTGUP00000006551	ENSLOCP00000016783
ENSTGUP00000017697	ENSLOCP00000002721
ENSTGUP00000007250	ENSLOCP00000019996
ENSTGUP00000005801	ENSLOCP00000003106
ENSTGUP00000012144	ENSLOCP00000014995
ENSTGUP00000005265	ENSLOCP00000005102
ENSTGUP00000014450	ENSLOCP00000001440
ENSTGUP00000003078	ENSLOCP00000008774
ENSTGUP00000000312	ENSLOCP00000014791
ENSTGUP00000003052	ENSLOCP00000014651
ENSTGUP00000009163	ENSLOCP00000008744
ENSTGUP00000009300	ENSLOCP00000004775
ENSTGUP00000011821	ENSLOCP00000004912
ENSTGUP00000014761	ENSLOCP00000019570
ENSTGUP00000011441	ENSLOCP00000006513
ENSTGUP00000001026	ENSLOCP00000012804
ENSTGUP00000008256	ENSLOCP00000004513
ENSTGUP00000017794	ENSLOCP00000014622
ENSTGUP00000011471	ENSLOCP00000018521
ENSTGUP00000008457	ENSLOCP00000016935
ENSTGUP00000001279	ENSLOCP00000003354
ENSTGUP00000006137	ENSLOCP00000006590
ENSTGUP00000000908	ENSLOCP00000013208
ENSTGUP00000006866	ENSLOCP00000007383
ENSTGUP00000002093	ENSLOCP00000015516
ENSTGUP00000001882	ENSLOCP00000015556
ENSTGUP00000010361	ENSLOCP00000005158
ENSTGUP00000003509	ENSLOCP00000008254
ENSTGUP00000000942	ENSLOCP00000000642
ENSTGUP00000008787	ENSLOCP00000012380
ENSTGUP00000003826	ENSLOCP00000007170
ENSTGUP00000015345	ENSLOCP00000008999
ENSTGUP00000006908	ENSLOCP00000009691
ENSTGUP00000012204	ENSLOCP00000021343
ENSTGUP00000004121	ENSLOCP00000015118
ENSTGUP00000005711	ENSLOCP00000010911
ENSTGUP00000015180	ENSLOCP00000020687
ENSTGUP00000002638	ENSLOCP00000018481
ENSTGUP00000012976	ENSLOCP00000020035
ENSTGUP00000008996	ENSLOCP00000005614
ENSTGUP00000011084	ENSLOCP00000014986
ENSTGUP00000007961	ENSLOCP00000005829
ENSTGUP00000005892	ENSLOCP00000005394
ENSTGUP00000001592	ENSLOCP00000007087
ENSTGUP00000001787	ENSLOCP00000000498
ENSTGUP00000004154	ENSLOCP00000017221
ENSTGUP00000007844	ENSLOCP00000020871
ENSTGUP00000011751	ENSLOCP00000002017
ENSTGUP00000007515	ENSLOCP00000017200
ENSTGUP00000008530	ENSLOCP00000012161
ENSTGUP00000007345	ENSLOCP00000015840
ENSTGUP00000004873	ENSLOCP00000001858
ENSTGUP00000002251	ENSLOCP00000019334
ENSTGUP00000002369	ENSLOCP00000018814
ENSTGUP00000013821	ENSLOCP00000002053
ENSTGUP00000003793	ENSLOCP00000018848
ENSTGUP00000000615	ENSLOCP00000015507
ENSTGUP00000005794	ENSLOCP00000013534
ENSTGUP00000007278	ENSLOCP00000018148
ENSTGUP00000011650	ENSLOCP00000013277
ENSTGUP00000001786	ENSLOCP00000001226
ENSTGUP00000008429	ENSLOCP00000004742
ENSTGUP00000007322	ENSLOCP00000001048
ENSTGUP00000011503	ENSLOCP00000014026
ENSTGUP00000011259	ENSLOCP00000016021
ENSTGUP00000015833	ENSLOCP00000011462
ENSTGUP00000010526	ENSLOCP00000012499
ENSTGUP00000013477	ENSLOCP00000020600
ENSTGUP00000005588	ENSLOCP00000001128
ENSTGUP00000015037	ENSLOCP00000008048
ENSTGUP00000017894	ENSLOCP00000004797
ENSTGUP00000017833	ENSLOCP00000010757
ENSTGUP00000007191	ENSLOCP00000016407
ENSTGUP00000013650	ENSLOCP00000009355
ENSTGUP00000005281	ENSLOCP00000005141
ENSTGUP00000006419	ENSLOCP00000001294
ENSTGUP00000008273	ENSLOCP00000004307
ENSTGUP00000012105	ENSLOCP00000001946
ENSTGUP00000005090	ENSLOCP00000005364
ENSTGUP00000006611	ENSLOCP00000018421
ENSTGUP00000004612	ENSLOCP00000009385
ENSTGUP00000006595	ENSLOCP00000003957
ENSTGUP00000003036	ENSLOCP00000014610
ENSTGUP00000011296	ENSLOCP00000007097
ENSTGUP00000007533	ENSLOCP00000005246
ENSTGUP00000003107	ENSLOCP00000018542
ENSTGUP00000011457	ENSLOCP00000004312
ENSTGUP00000011692	ENSLOCP00000002395
ENSTGUP00000010112	ENSLOCP00000006166
ENSTGUP00000007895	ENSLOCP00000019794
ENSTGUP00000001112	ENSLOCP00000015390
ENSTGUP00000004959	ENSLOCP00000018579
ENSTGUP00000013487	ENSLOCP00000014940
ENSTGUP00000009896	ENSLOCP00000014690
ENSTGUP00000004386	ENSLOCP00000009564
ENSTGUP00000005833	ENSLOCP00000020092
ENSTGUP00000012747	ENSLOCP00000010906
ENSTGUP00000003763	ENSLOCP00000019257
ENSTGUP00000010173	ENSLOCP00000019424
ENSTGUP00000004923	ENSLOCP00000018657
ENSTGUP00000002299	ENSLOCP00000015684
ENSTGUP00000005807	ENSLOCP00000014045
ENSTGUP00000001377	ENSLOCP00000011994
ENSTGUP00000009668	ENSLOCP00000002555
ENSTGUP00000013774	ENSLOCP00000008498
ENSTGUP00000013641	ENSLOCP00000019471
ENSTGUP00000001161	ENSLOCP00000003232
ENSTGUP00000001966	ENSLOCP00000016288
ENSTGUP00000006178	ENSLOCP00000006752
ENSTGUP00000004319	ENSLOCP00000014493
ENSTGUP00000006173	ENSLOCP00000006776
ENSTGUP00000012293	ENSLOCP00000011554
ENSTGUP00000007380	ENSLOCP00000004686
ENSTGUP00000009045	ENSLOCP00000002435
ENSTGUP00000003274	ENSLOCP00000002142
ENSTGUP00000007113	ENSLOCP00000004486
ENSTGUP00000013050	ENSLOCP00000020865
ENSTGUP00000006464	ENSLOCP00000011779
ENSTGUP00000000052	ENSLOCP00000011392
ENSTGUP00000001632	ENSLOCP00000013444
ENSTGUP00000005697	ENSLOCP00000004245
ENSTGUP00000001278	ENSLOCP00000002410
ENSTGUP00000013495	ENSLOCP00000020353
ENSTGUP00000011273	ENSLOCP00000001422
ENSTGUP00000001432	ENSLOCP00000002766
ENSTGUP00000008104	ENSLOCP00000008981
ENSTGUP00000012913	ENSLOCP00000021105
ENSTGUP00000016209	ENSLOCP00000015837
ENSTGUP00000003586	ENSLOCP00000013852
ENSTGUP00000008183	ENSLOCP00000016613
ENSTGUP00000012119	ENSLOCP00000021077
ENSTGUP00000004446	ENSLOCP00000006720
ENSTGUP00000001659	ENSLOCP00000013580
ENSTGUP00000004017	ENSLOCP00000015574
ENSTGUP00000005238	ENSLOCP00000018581
ENSTGUP00000011899	ENSLOCP00000020012
ENSTGUP00000009172	ENSLOCP00000004617
ENSTGUP00000012833	ENSLOCP00000020918
ENSTGUP00000001491	ENSLOCP00000005197
ENSTGUP00000012482	ENSLOCP00000020514
ENSTGUP00000007492	ENSLOCP00000018363
ENSTGUP00000006147	ENSLOCP00000007825
ENSTGUP00000007374	ENSLOCP00000017138
ENSTGUP00000005329	ENSLOCP00000013813
ENSTGUP00000010324	ENSLOCP00000008268
ENSTGUP00000002035	ENSLOCP00000014521
ENSTGUP00000005122	ENSLOCP00000002462
ENSTGUP00000012278	ENSLOCP00000010352
ENSTGUP00000017871	ENSLOCP00000010399
ENSTGUP00000008994	ENSLOCP00000010461
ENSTGUP00000016885	ENSLOCP00000004103
ENSTGUP00000003181	ENSLOCP00000016785
ENSTGUP00000012655	ENSLOCP00000012901
ENSTGUP00000009774	ENSLOCP00000015046
ENSTGUP00000006417	ENSLOCP00000006063
ENSTGUP00000004347	ENSLOCP00000004934
ENSTGUP00000008637	ENSLOCP00000003268
ENSTGUP00000002472	ENSLOCP00000010961
ENSTGUP00000013395	ENSLOCP00000006952
ENSTGUP00000015929	ENSLOCP00000009824
ENSTGUP00000004979	ENSLOCP00000002054
ENSTGUP00000001737	ENSLOCP00000013557
ENSTGUP00000008951	ENSLOCP00000015946
ENSTGUP00000013296	ENSLOCP00000015732
ENSTGUP00000008410	ENSLOCP00000018931
ENSTGUP00000005835	ENSLOCP00000003184
ENSTGUP00000003923	ENSLOCP00000007073
ENSTGUP00000000884	ENSLOCP00000004021
ENSTGUP00000012182	ENSLOCP00000021346
ENSTGUP00000016746	ENSLOCP00000011692
ENSTGUP00000005437	ENSLOCP00000008192
ENSTGUP00000006286	ENSLOCP00000014152
ENSTGUP00000008030	ENSLOCP00000013821
ENSTGUP00000001221	ENSLOCP00000006865
ENSTGUP00000005822	ENSLOCP00000008158
ENSTGUP00000011461	ENSLOCP00000006282
ENSTGUP00000002872	ENSLOCP00000014265
ENSTGUP00000013882	ENSLOCP00000001088
ENSTGUP00000013429	ENSLOCP00000007972
ENSTGUP00000012456	ENSLOCP00000012659
ENSTGUP00000003526	ENSLOCP00000019836
ENSTGUP00000005556	ENSLOCP00000002490
ENSTGUP00000011894	ENSLOCP00000020010
ENSTGUP00000003799	ENSLOCP00000010775
ENSTGUP00000004720	ENSLOCP00000008065
ENSTGUP00000004222	ENSLOCP00000017193
ENSTGUP00000005411	ENSLOCP00000019206
ENSTGUP00000005395	ENSLOCP00000019204
ENSTGUP00000006723	ENSLOCP00000000939
ENSTGUP00000001219	ENSLOCP00000007720
ENSTGUP00000014641	ENSLOCP00000017719
ENSTGUP00000000881	ENSLOCP00000013469
ENSTGUP00000001945	ENSLOCP00000015453
ENSTGUP00000007234	ENSLOCP00000015435
ENSTGUP00000005250	ENSLOCP00000000119
ENSTGUP00000016740	ENSLOCP00000021274
ENSTGUP00000000514	ENSLOCP00000011203
ENSTGUP00000001452	ENSLOCP00000014097
ENSTGUP00000011352	ENSLOCP00000018793
ENSTGUP00000011066	ENSLOCP00000018047
ENSTGUP00000010433	ENSLOCP00000008415
ENSTGUP00000005996	ENSLOCP00000013613
ENSTGUP00000001817	ENSLOCP00000013203
ENSTGUP00000011226	ENSLOCP00000021455
ENSTGUP00000001926	ENSLOCP00000014382
ENSTGUP00000002445	ENSLOCP00000016275
ENSTGUP00000008209	ENSLOCP00000020250
ENSTGUP00000003103	ENSLOCP00000019502
ENSTGUP00000012270	ENSLOCP00000001476
ENSTGUP00000011962	ENSLOCP00000016610
ENSTGUP00000008958	ENSLOCP00000016439
ENSTGUP00000010906	ENSLOCP00000014508
ENSTGUP00000006174	ENSLOCP00000004843
ENSTGUP00000011381	ENSLOCP00000020210
ENSTGUP00000000689	ENSLOCP00000015259
ENSTGUP00000011764	ENSLOCP00000001966
ENSTGUP00000013082	ENSLOCP00000010567
ENSTGUP00000006982	ENSLOCP00000019881
ENSTGUP00000000607	ENSLOCP00000007611
ENSTGUP00000008747	ENSLOCP00000010811
ENSTGUP00000005848	ENSLOCP00000004796
ENSTGUP00000012041	ENSLOCP00000021114
ENSTGUP00000005815	ENSLOCP00000008320
ENSTGUP00000005960	ENSLOCP00000001519
ENSTGUP00000014908	ENSLOCP00000012127
ENSTGUP00000004692	ENSLOCP00000004285
ENSTGUP00000006837	ENSLOCP00000015645
ENSTGUP00000009078	ENSLOCP00000020466
ENSTGUP00000012124	ENSLOCP00000012680
ENSTGUP00000003685	ENSLOCP00000021861
ENSTGUP00000012127	ENSLOCP00000001896
ENSTGUP00000016220	ENSLOCP00000007225
ENSTGUP00000001763	ENSLOCP00000005698
ENSTGUP00000010383	ENSLOCP00000013022
ENSTGUP00000007607	ENSLOCP00000017251
ENSTGUP00000000736	ENSLOCP00000012008
ENSTGUP00000012363	ENSLOCP00000003166
ENSTGUP00000005228	ENSLOCP00000016220
ENSTGUP00000005043	ENSLOCP00000007447
ENSTGUP00000005386	ENSLOCP00000010214
ENSTGUP00000013604	ENSLOCP00000020386
ENSTGUP00000015218	ENSLOCP00000017652
ENSTGUP00000004674	ENSLOCP00000015394
ENSTGUP00000005900	ENSLOCP00000003200
ENSTGUP00000005650	ENSLOCP00000007566
ENSTGUP00000003373	ENSLOCP00000008944
ENSTGUP00000007689	ENSLOCP00000008720
ENSTGUP00000012584	ENSLOCP00000010825
ENSTGUP00000000529	ENSLOCP00000011246
ENSTGUP00000011212	ENSLOCP00000021363
ENSTGUP00000006583	ENSLOCP00000013066
ENSTGUP00000004425	ENSLOCP00000019452
ENSTGUP00000002345	ENSLOCP00000018826
ENSTGUP00000010035	ENSLOCP00000002700
ENSTGUP00000005261	ENSLOCP00000000144
ENSTGUP00000018141	ENSLOCP00000017591
ENSTGUP00000002014	ENSLOCP00000019239
ENSTGUP00000010803	ENSLOCP00000016664
ENSTGUP00000014017	ENSLOCP00000006291
ENSTGUP00000000389	ENSLOCP00000004055
ENSTGUP00000005844	ENSLOCP00000013687
ENSTGUP00000015168	ENSLOCP00000000942
ENSTGUP00000001233	ENSLOCP00000002058
ENSTGUP00000012647	ENSLOCP00000013578
ENSTGUP00000004309	ENSLOCP00000019728
ENSTGUP00000008377	ENSLOCP00000019243
ENSTGUP00000004927	ENSLOCP00000019554
ENSTGUP00000010754	ENSLOCP00000014391
ENSTGUP00000008475	ENSLOCP00000001548
ENSTGUP00000001236	ENSLOCP00000001179
ENSTGUP00000002906	ENSLOCP00000019606
ENSTGUP00000012753	ENSLOCP00000016175
ENSTGUP00000009567	ENSLOCP00000011913
ENSTGUP00000011244	ENSLOCP00000019431
ENSTGUP00000013811	ENSLOCP00000011790
ENSTGUP00000000924	ENSLOCP00000006110
ENSTGUP00000006106	ENSLOCP00000008410
ENSTGUP00000004452	ENSLOCP00000020745
ENSTGUP00000010970	ENSLOCP00000009799
ENSTGUP00000014001	ENSLOCP00000004751
ENSTGUP00000002294	ENSLOCP00000009694
ENSTGUP00000012643	ENSLOCP00000021112
ENSTGUP00000012569	ENSLOCP00000020417
ENSTGUP00000002743	ENSLOCP00000010780
ENSTGUP00000008445	ENSLOCP00000009414
ENSTGUP00000004070	ENSLOCP00000002148
ENSTGUP00000010422	ENSLOCP00000012466
ENSTGUP00000001733	ENSLOCP00000013666
ENSTGUP00000004058	ENSLOCP00000002975
ENSTGUP00000013685	ENSLOCP00000000855
ENSTGUP00000008375	ENSLOCP00000007365
ENSTGUP00000010941	ENSLOCP00000013844
ENSTGUP00000003778	ENSLOCP00000015217
ENSTGUP00000008484	ENSLOCP00000004990
ENSTGUP00000005133	ENSLOCP00000017165
ENSTGUP00000000540	ENSLOCP00000011269
ENSTGUP00000006057	ENSLOCP00000011596
ENSTGUP00000000651	ENSLOCP00000012872
ENSTGUP00000005208	ENSLOCP00000000179
ENSTGUP00000008780	ENSLOCP00000019104
ENSTGUP00000013923	ENSLOCP00000007989
ENSTGUP00000002829	ENSLOCP00000006343
ENSTGUP00000003827	ENSLOCP00000017547
ENSTGUP00000002518	ENSLOCP00000008470
ENSTGUP00000007351	ENSLOCP00000015669
ENSTGUP00000014026	ENSLOCP00000021906
ENSTGUP00000008383	ENSLOCP00000021517
ENSTGUP00000004400	ENSLOCP00000021584
ENSTGUP00000011978	ENSLOCP00000021041
ENSTGUP00000005813	ENSLOCP00000003154
ENSTGUP00000003732	ENSLOCP00000007260
ENSTGUP00000009260	ENSLOCP00000008474
ENSTGUP00000013958	ENSLOCP00000013192
ENSTGUP00000004648	ENSLOCP00000015949
ENSTGUP00000008495	ENSLOCP00000018813
ENSTGUP00000003910	ENSLOCP00000020235
ENSTGUP00000013385	ENSLOCP00000012321
ENSTGUP00000002733	ENSLOCP00000020266
ENSTGUP00000007509	ENSLOCP00000018171
ENSTGUP00000002381	ENSLOCP00000009086
ENSTGUP00000001061	ENSLOCP00000006041
ENSTGUP00000012559	ENSLOCP00000020476
ENSTGUP00000013899	ENSLOCP00000006102
ENSTGUP00000016237	ENSLOCP00000005884
ENSTGUP00000007898	ENSLOCP00000010448
ENSTGUP00000013893	ENSLOCP00000012832
ENSTGUP00000003319	ENSLOCP00000014771
ENSTGUP00000003735	ENSLOCP00000006432
ENSTGUP00000004787	ENSLOCP00000017528
ENSTGUP00000001139	ENSLOCP00000015038
ENSTGUP00000006707	ENSLOCP00000021103
ENSTGUP00000006190	ENSLOCP00000004138
ENSTGUP00000004646	ENSLOCP00000006321
ENSTGUP00000000146	ENSLOCP00000002997
ENSTGUP00000001101	ENSLOCP00000011543
ENSTGUP00000009281	ENSLOCP00000005568
ENSTGUP00000002474	ENSLOCP00000016841
ENSTGUP00000010619	ENSLOCP00000013144
ENSTGUP00000011015	ENSLOCP00000002924
ENSTGUP00000007306	ENSLOCP00000009131
ENSTGUP00000012365	ENSLOCP00000011088
ENSTGUP00000009503	ENSLOCP00000003848
ENSTGUP00000007595	ENSLOCP00000016334
ENSTGUP00000001540	ENSLOCP00000013862
ENSTGUP00000014093	ENSLOCP00000012716
ENSTGUP00000000044	ENSLOCP00000013263
ENSTGUP00000004120	ENSLOCP00000018390
ENSTGUP00000013366	ENSLOCP00000006356
ENSTGUP00000012902	ENSLOCP00000021100
ENSTGUP00000004988	ENSLOCP00000016533
ENSTGUP00000000910	ENSLOCP00000022043
ENSTGUP00000002494	ENSLOCP00000010940
ENSTGUP00000012964	ENSLOCP00000021883
ENSTGUP00000002098	ENSLOCP00000022279
ENSTGUP00000000624	ENSLOCP00000006231
ENSTGUP00000002419	ENSLOCP00000014705
ENSTGUP00000012186	ENSLOCP00000012555
ENSTGUP00000006154	ENSLOCP00000007851
ENSTGUP00000009179	ENSLOCP00000011031
ENSTGUP00000000984	ENSLOCP00000013015
ENSTGUP00000011844	ENSLOCP00000017209
ENSTGUP00000005927	ENSLOCP00000009970
ENSTGUP00000006987	ENSLOCP00000009784
ENSTGUP00000006883	ENSLOCP00000006336
ENSTGUP00000006276	ENSLOCP00000017095
ENSTGUP00000009411	ENSLOCP00000007446
ENSTGUP00000011938	ENSLOCP00000005005
ENSTGUP00000011591	ENSLOCP00000005932
ENSTGUP00000007793	ENSLOCP00000006044
ENSTGUP00000017625	ENSLOCP00000006463
ENSTGUP00000009404	ENSLOCP00000008852
ENSTGUP00000004844	ENSLOCP00000018408
ENSTGUP00000006643	ENSLOCP00000020313
ENSTGUP00000017277	ENSLOCP00000021601
ENSTGUP00000003542	ENSLOCP00000017192
ENSTGUP00000012441	ENSLOCP00000012682
ENSTGUP00000010912	ENSLOCP00000000652
ENSTGUP00000004890	ENSLOCP00000018950
ENSTGUP00000002801	ENSLOCP00000010889
ENSTGUP00000005073	ENSLOCP00000007559
ENSTGUP00000017570	ENSLOCP00000012730
ENSTGUP00000008483	ENSLOCP00000014307
ENSTGUP00000006331	ENSLOCP00000006418
ENSTGUP00000003175	ENSLOCP00000003333
ENSTGUP00000002781	ENSLOCP00000015333
ENSTGUP00000003037	ENSLOCP00000014052
ENSTGUP00000011390	ENSLOCP00000018771
ENSTGUP00000005426	ENSLOCP00000020453
ENSTGUP00000013944	ENSLOCP00000001038
ENSTGUP00000011026	ENSLOCP00000019871
ENSTGUP00000012710	ENSLOCP00000011104
ENSTGUP00000011135	ENSLOCP00000013610
ENSTGUP00000002777	ENSLOCP00000018105
ENSTGUP00000017506	ENSLOCP00000012543
ENSTGUP00000004464	ENSLOCP00000002932
ENSTGUP00000018050	ENSLOCP00000021879
ENSTGUP00000005598	ENSLOCP00000005432
ENSTGUP00000017890	ENSLOCP00000021497
ENSTGUP00000005911	ENSLOCP00000016202
ENSTGUP00000013257	ENSLOCP00000020862
ENSTGUP00000001042	ENSLOCP00000003755
ENSTGUP00000002177	ENSLOCP00000015571
ENSTGUP00000010375	ENSLOCP00000005103
ENSTGUP00000000937	ENSLOCP00000000597
ENSTGUP00000013154	ENSLOCP00000021057
ENSTGUP00000011847	ENSLOCP00000017199
ENSTGUP00000001610	ENSLOCP00000013166
ENSTGUP00000011209	ENSLOCP00000014833
ENSTGUP00000009384	ENSLOCP00000004777
ENSTGUP00000009284	ENSLOCP00000006939
ENSTGUP00000008805	ENSLOCP00000002879
ENSTGUP00000015174	ENSLOCP00000020684
ENSTGUP00000011607	ENSLOCP00000005838
ENSTGUP00000001110	ENSLOCP00000005124
ENSTGUP00000004571	ENSLOCP00000001726
ENSTGUP00000006667	ENSLOCP00000009554
ENSTGUP00000012933	ENSLOCP00000008850
ENSTGUP00000011175	ENSLOCP00000019978
ENSTGUP00000007767	ENSLOCP00000004255
ENSTGUP00000007985	ENSLOCP00000009118
ENSTGUP00000008611	ENSLOCP00000020571
ENSTGUP00000013253	ENSLOCP00000008855
ENSTGUP00000004693	ENSLOCP00000018152
ENSTGUP00000005637	ENSLOCP00000000631
ENSTGUP00000013207	ENSLOCP00000009089
ENSTGUP00000004068	ENSLOCP00000019079
ENSTGUP00000017600	ENSLOCP00000019811
ENSTGUP00000003897	ENSLOCP00000015512
ENSTGUP00000002802	ENSLOCP00000015308
ENSTGUP00000007590	ENSLOCP00000015550
ENSTGUP00000005902	ENSLOCP00000013487
ENSTGUP00000001096	ENSLOCP00000001622
ENSTGUP00000006059	ENSLOCP00000013579
ENSTGUP00000006333	ENSLOCP00000019628
ENSTGUP00000005861	ENSLOCP00000013321
ENSTGUP00000001758	ENSLOCP00000004529
ENSTGUP00000001746	ENSLOCP00000005733
ENSTGUP00000014629	ENSLOCP00000007251
ENSTGUP00000003293	ENSLOCP00000019178
ENSTGUP00000013200	ENSLOCP00000012002
ENSTGUP00000008318	ENSLOCP00000007031
ENSTGUP00000011493	ENSLOCP00000003075
ENSTGUP00000007274	ENSLOCP00000012605
ENSTGUP00000008744	ENSLOCP00000009710
ENSTGUP00000008505	ENSLOCP00000018807
ENSTGUP00000001843	ENSLOCP00000012168
ENSTGUP00000001940	ENSLOCP00000015446
ENSTGUP00000000885	ENSLOCP00000022411
ENSTGUP00000005417	ENSLOCP00000006037
ENSTGUP00000004208	ENSLOCP00000019592
ENSTGUP00000005218	ENSLOCP00000011795
ENSTGUP00000007613	ENSLOCP00000015564
ENSTGUP00000008396	ENSLOCP00000004339
ENSTGUP00000011968	ENSLOCP00000020497
ENSTGUP00000011012	ENSLOCP00000013424
ENSTGUP00000016561	ENSLOCP00000018687
ENSTGUP00000010160	ENSLOCP00000015643
ENSTGUP00000000240	ENSLOCP00000014998
ENSTGUP00000009798	ENSLOCP00000015207
