ENSCAFP00000014731	ENSDARP00000074624
ENSCAFP00000008859	ENSDARP00000070556
ENSCAFP00000022404	ENSDARP00000049502
ENSCAFP00000040146	ENSDARP00000123656
ENSCAFP00000012718	ENSDARP00000024623
ENSCAFP00000012356	ENSDARP00000054234
ENSCAFP00000019271	ENSDARP00000120586
ENSCAFP00000004107	ENSDARP00000129827
ENSCAFP00000015214	ENSDARP00000087335
ENSCAFP00000030219	ENSDARP00000061737
ENSCAFP00000012808	ENSDARP00000068355
ENSCAFP00000014197	ENSDARP00000067923
ENSCAFP00000006618	ENSDARP00000021737
ENSCAFP00000008035	ENSDARP00000118376
ENSCAFP00000023715	ENSDARP00000008364
ENSCAFP00000024185	ENSDARP00000057376
ENSCAFP00000023918	ENSDARP00000077706
ENSCAFP00000029643	ENSDARP00000084823
ENSCAFP00000021434	ENSDARP00000004624
ENSCAFP00000041457	ENSDARP00000092387
ENSCAFP00000017804	ENSDARP00000104288
ENSCAFP00000011771	ENSDARP00000079577
ENSCAFP00000022440	ENSDARP00000080499
ENSCAFP00000022440	ENSDARP00000111239
ENSCAFP00000019424	ENSDARP00000117350
ENSCAFP00000007947	ENSDARP00000017119
ENSCAFP00000025284	ENSDARP00000128675
ENSCAFP00000023813	ENSDARP00000104030
ENSCAFP00000038683	ENSDARP00000004144
ENSCAFP00000000386	ENSDARP00000058796
ENSCAFP00000024250	ENSDARP00000055153
ENSCAFP00000010363	ENSDARP00000112058
ENSCAFP00000015946	ENSDARP00000129811
ENSCAFP00000025521	ENSDARP00000007196
ENSCAFP00000032890	ENSDARP00000076899
ENSCAFP00000018805	ENSDARP00000103061
ENSCAFP00000018805	ENSDARP00000103566
ENSCAFP00000021097	ENSDARP00000111947
ENSCAFP00000021097	ENSDARP00000072337
ENSCAFP00000021509	ENSDARP00000013286
ENSCAFP00000010522	ENSDARP00000004943
ENSCAFP00000017270	ENSDARP00000109804
ENSCAFP00000017270	ENSDARP00000059954
ENSCAFP00000028888	ENSDARP00000067735
ENSCAFP00000014052	ENSDARP00000062899
ENSCAFP00000007593	ENSDARP00000088337
ENSCAFP00000007593	ENSDARP00000119462
ENSCAFP00000016094	ENSDARP00000128208
ENSCAFP00000015248	ENSDARP00000075472
ENSCAFP00000027436	ENSDARP00000071521
ENSCAFP00000031095	ENSDARP00000104230
ENSCAFP00000005506	ENSDARP00000004889
ENSCAFP00000011429	ENSDARP00000029203
ENSCAFP00000028654	ENSDARP00000028333
ENSCAFP00000028654	ENSDARP00000007424
ENSCAFP00000036046	ENSDARP00000124409
ENSCAFP00000036046	ENSDARP00000063995
ENSCAFP00000018620	ENSDARP00000003665
ENSCAFP00000017612	ENSDARP00000049166
ENSCAFP00000018360	ENSDARP00000113461
ENSCAFP00000018360	ENSDARP00000084498
ENSCAFP00000040776	ENSDARP00000035581
ENSCAFP00000021115	ENSDARP00000056419
ENSCAFP00000002114	ENSDARP00000020361
ENSCAFP00000022465	ENSDARP00000051391
ENSCAFP00000025517	ENSDARP00000009970
ENSCAFP00000011755	ENSDARP00000071885
ENSCAFP00000011755	ENSDARP00000088034
ENSCAFP00000030943	ENSDARP00000109124
ENSCAFP00000002164	ENSDARP00000063007
ENSCAFP00000008897	ENSDARP00000022107
ENSCAFP00000009895	ENSDARP00000099262
ENSCAFP00000040084	ENSDARP00000012447
ENSCAFP00000001757	ENSDARP00000109375
ENSCAFP00000029839	ENSDARP00000104233
ENSCAFP00000029636	ENSDARP00000005251
ENSCAFP00000008605	ENSDARP00000060344
ENSCAFP00000021166	ENSDARP00000003564
ENSCAFP00000016160	ENSDARP00000069982
ENSCAFP00000024579	ENSDARP00000051548
ENSCAFP00000026656	ENSDARP00000006712
ENSCAFP00000027162	ENSDARP00000088296
ENSCAFP00000027162	ENSDARP00000064965
ENSCAFP00000015483	ENSDARP00000109893
ENSCAFP00000037628	ENSDARP00000078938
ENSCAFP00000038890	ENSDARP00000060953
ENSCAFP00000015285	ENSDARP00000070706
ENSCAFP00000026634	ENSDARP00000022483
ENSCAFP00000026634	ENSDARP00000110181
ENSCAFP00000000263	ENSDARP00000105872
ENSCAFP00000029281	ENSDARP00000091863
ENSCAFP00000019775	ENSDARP00000041857
ENSCAFP00000012583	ENSDARP00000029449
ENSCAFP00000012583	ENSDARP00000072374
ENSCAFP00000020432	ENSDARP00000101724
ENSCAFP00000009251	ENSDARP00000085782
ENSCAFP00000003697	ENSDARP00000123249
ENSCAFP00000003697	ENSDARP00000011459
ENSCAFP00000006601	ENSDARP00000011222
ENSCAFP00000006601	ENSDARP00000074081
ENSCAFP00000016718	ENSDARP00000068639
ENSCAFP00000027819	ENSDARP00000099634
ENSCAFP00000027819	ENSDARP00000102572
ENSCAFP00000025014	ENSDARP00000098597
ENSCAFP00000018718	ENSDARP00000104597
ENSCAFP00000039272	ENSDARP00000009407
ENSCAFP00000015650	ENSDARP00000115000
ENSCAFP00000037417	ENSDARP00000074501
ENSCAFP00000036581	ENSDARP00000129617
ENSCAFP00000040503	ENSDARP00000101212
ENSCAFP00000013148	ENSDARP00000093744
ENSCAFP00000021263	ENSDARP00000100863
ENSCAFP00000028310	ENSDARP00000099375
ENSCAFP00000015388	ENSDARP00000122491
ENSCAFP00000023416	ENSDARP00000099219
ENSCAFP00000018072	ENSDARP00000098390
ENSCAFP00000019700	ENSDARP00000064553
ENSCAFP00000018831	ENSDARP00000112103
ENSCAFP00000017575	ENSDARP00000109055
ENSCAFP00000020134	ENSDARP00000118603
ENSCAFP00000009924	ENSDARP00000114621
ENSCAFP00000029045	ENSDARP00000036958
ENSCAFP00000029045	ENSDARP00000041938
ENSCAFP00000004375	ENSDARP00000041034
ENSCAFP00000004375	ENSDARP00000118861
ENSCAFP00000008880	ENSDARP00000011585
ENSCAFP00000015065	ENSDARP00000114195
ENSCAFP00000023775	ENSDARP00000098999
ENSCAFP00000023775	ENSDARP00000100192
ENSCAFP00000038748	ENSDARP00000108259
ENSCAFP00000016192	ENSDARP00000022305
ENSCAFP00000011181	ENSDARP00000107618
ENSCAFP00000027555	ENSDARP00000023313
ENSCAFP00000007862	ENSDARP00000052422
ENSCAFP00000005905	ENSDARP00000097465
ENSCAFP00000009370	ENSDARP00000090302
ENSCAFP00000027304	ENSDARP00000117091
ENSCAFP00000013256	ENSDARP00000045189
ENSCAFP00000032856	ENSDARP00000060159
ENSCAFP00000032856	ENSDARP00000052801
ENSCAFP00000005719	ENSDARP00000051786
ENSCAFP00000015157	ENSDARP00000009358
ENSCAFP00000014272	ENSDARP00000108432
ENSCAFP00000008265	ENSDARP00000065198
ENSCAFP00000024272	ENSDARP00000011150
ENSCAFP00000024272	ENSDARP00000025205
ENSCAFP00000030200	ENSDARP00000117760
ENSCAFP00000008175	ENSDARP00000031737
ENSCAFP00000016005	ENSDARP00000088060
ENSCAFP00000026921	ENSDARP00000103338
ENSCAFP00000039259	ENSDARP00000109970
ENSCAFP00000018790	ENSDARP00000005746
ENSCAFP00000030532	ENSDARP00000107692
ENSCAFP00000020190	ENSDARP00000127308
ENSCAFP00000008898	ENSDARP00000069034
ENSCAFP00000008677	ENSDARP00000056621
ENSCAFP00000006361	ENSDARP00000059208
ENSCAFP00000023878	ENSDARP00000006309
ENSCAFP00000028164	ENSDARP00000104665
ENSCAFP00000011227	ENSDARP00000079486
ENSCAFP00000007697	ENSDARP00000099105
ENSCAFP00000007702	ENSDARP00000124069
ENSCAFP00000000801	ENSDARP00000043775
ENSCAFP00000022037	ENSDARP00000074739
ENSCAFP00000007381	ENSDARP00000057982
ENSCAFP00000013615	ENSDARP00000110998
ENSCAFP00000011793	ENSDARP00000077137
ENSCAFP00000022009	ENSDARP00000126347
ENSCAFP00000003370	ENSDARP00000105846
ENSCAFP00000002728	ENSDARP00000085899
ENSCAFP00000010651	ENSDARP00000100185
ENSCAFP00000027597	ENSDARP00000008665
ENSCAFP00000000523	ENSDARP00000046840
ENSCAFP00000000523	ENSDARP00000076236
ENSCAFP00000009014	ENSDARP00000010432
ENSCAFP00000024607	ENSDARP00000024428
ENSCAFP00000015809	ENSDARP00000114891
ENSCAFP00000017765	ENSDARP00000098887
ENSCAFP00000007888	ENSDARP00000087023
ENSCAFP00000035502	ENSDARP00000129797
ENSCAFP00000042535	ENSDARP00000126242
ENSCAFP00000030865	ENSDARP00000101151
ENSCAFP00000042228	ENSDARP00000124666
ENSCAFP00000003632	ENSDARP00000091125
ENSCAFP00000001990	ENSDARP00000072746
ENSCAFP00000024255	ENSDARP00000053846
ENSCAFP00000013629	ENSDARP00000090466
ENSCAFP00000006994	ENSDARP00000067187
ENSCAFP00000016459	ENSDARP00000070357
ENSCAFP00000031768	ENSDARP00000023365
ENSCAFP00000011262	ENSDARP00000029663
ENSCAFP00000011262	ENSDARP00000112946
ENSCAFP00000017362	ENSDARP00000097577
ENSCAFP00000007312	ENSDARP00000040190
ENSCAFP00000034814	ENSDARP00000127760
ENSCAFP00000018618	ENSDARP00000084963
ENSCAFP00000034783	ENSDARP00000009879
ENSCAFP00000034902	ENSDARP00000104632
ENSCAFP00000018766	ENSDARP00000018738
ENSCAFP00000042944	ENSDARP00000068132
ENSCAFP00000012613	ENSDARP00000121820
ENSCAFP00000006422	ENSDARP00000092872
ENSCAFP00000012487	ENSDARP00000104278
ENSCAFP00000018934	ENSDARP00000009463
ENSCAFP00000023048	ENSDARP00000073841
ENSCAFP00000042127	ENSDARP00000105848
ENSCAFP00000021924	ENSDARP00000101483
ENSCAFP00000015559	ENSDARP00000005582
ENSCAFP00000017824	ENSDARP00000108901
ENSCAFP00000006923	ENSDARP00000099237
ENSCAFP00000016524	ENSDARP00000120825
ENSCAFP00000006202	ENSDARP00000034149
ENSCAFP00000006202	ENSDARP00000088509
ENSCAFP00000030405	ENSDARP00000101872
ENSCAFP00000012834	ENSDARP00000115297
ENSCAFP00000015986	ENSDARP00000101295
ENSCAFP00000028176	ENSDARP00000099481
ENSCAFP00000022237	ENSDARP00000086709
ENSCAFP00000018294	ENSDARP00000068393
ENSCAFP00000031216	ENSDARP00000123268
ENSCAFP00000021154	ENSDARP00000005892
ENSCAFP00000008466	ENSDARP00000127243
ENSCAFP00000008466	ENSDARP00000129098
ENSCAFP00000012759	ENSDARP00000053870
ENSCAFP00000001297	ENSDARP00000100797
ENSCAFP00000001297	ENSDARP00000101276
ENSCAFP00000031335	ENSDARP00000077390
ENSCAFP00000007104	ENSDARP00000100359
ENSCAFP00000038416	ENSDARP00000100517
ENSCAFP00000017840	ENSDARP00000095271
ENSCAFP00000010409	ENSDARP00000113433
ENSCAFP00000004511	ENSDARP00000002041
ENSCAFP00000011487	ENSDARP00000085784
ENSCAFP00000001726	ENSDARP00000061734
ENSCAFP00000001726	ENSDARP00000061712
ENSCAFP00000018286	ENSDARP00000098708
ENSCAFP00000018286	ENSDARP00000113396
ENSCAFP00000041711	ENSDARP00000112197
ENSCAFP00000015326	ENSDARP00000101967
ENSCAFP00000023948	ENSDARP00000015055
ENSCAFP00000020557	ENSDARP00000042161
ENSCAFP00000021261	ENSDARP00000073397
ENSCAFP00000021261	ENSDARP00000081369
ENSCAFP00000040391	ENSDARP00000072702
ENSCAFP00000028190	ENSDARP00000112667
ENSCAFP00000028562	ENSDARP00000100899
ENSCAFP00000005790	ENSDARP00000109848
ENSCAFP00000024552	ENSDARP00000040382
ENSCAFP00000041939	ENSDARP00000119402
ENSCAFP00000014772	ENSDARP00000107880
ENSCAFP00000027002	ENSDARP00000073535
ENSCAFP00000031277	ENSDARP00000088481
ENSCAFP00000011620	ENSDARP00000098109
ENSCAFP00000038496	ENSDARP00000103050
ENSCAFP00000000882	ENSDARP00000092287
ENSCAFP00000000882	ENSDARP00000066960
ENSCAFP00000002486	ENSDARP00000122980
ENSCAFP00000001419	ENSDARP00000074509
ENSCAFP00000004755	ENSDARP00000123618
ENSCAFP00000014048	ENSDARP00000109831
ENSCAFP00000014048	ENSDARP00000017482
ENSCAFP00000019069	ENSDARP00000050201
ENSCAFP00000027790	ENSDARP00000069025
ENSCAFP00000027790	ENSDARP00000066385
ENSCAFP00000036623	ENSDARP00000114015
ENSCAFP00000036623	ENSDARP00000084810
ENSCAFP00000009967	ENSDARP00000065670
ENSCAFP00000025430	ENSDARP00000100145
ENSCAFP00000002797	ENSDARP00000080960
ENSCAFP00000014827	ENSDARP00000080968
ENSCAFP00000005369	ENSDARP00000075860
ENSCAFP00000036666	ENSDARP00000075872
ENSCAFP00000038621	ENSDARP00000092923
ENSCAFP00000025009	ENSDARP00000007258
ENSCAFP00000025009	ENSDARP00000091241
ENSCAFP00000015455	ENSDARP00000107045
ENSCAFP00000020641	ENSDARP00000015938
ENSCAFP00000025013	ENSDARP00000100510
ENSCAFP00000040257	ENSDARP00000077546
ENSCAFP00000040257	ENSDARP00000108518
ENSCAFP00000003872	ENSDARP00000117502
ENSCAFP00000006750	ENSDARP00000019488
ENSCAFP00000006750	ENSDARP00000018866
ENSCAFP00000008171	ENSDARP00000018231
ENSCAFP00000019442	ENSDARP00000109939
ENSCAFP00000035859	ENSDARP00000054407
ENSCAFP00000024164	ENSDARP00000103592
ENSCAFP00000024164	ENSDARP00000023797
ENSCAFP00000024163	ENSDARP00000123760
ENSCAFP00000024163	ENSDARP00000123811
ENSCAFP00000019177	ENSDARP00000055658
ENSCAFP00000042254	ENSDARP00000093650
ENSCAFP00000023609	ENSDARP00000062147
ENSCAFP00000025629	ENSDARP00000024699
ENSCAFP00000005173	ENSDARP00000114912
ENSCAFP00000020684	ENSDARP00000018694
ENSCAFP00000001384	ENSDARP00000036613
ENSCAFP00000041590	ENSDARP00000062174
ENSCAFP00000020782	ENSDARP00000043250
ENSCAFP00000034454	ENSDARP00000054182
ENSCAFP00000034454	ENSDARP00000071038
ENSCAFP00000021710	ENSDARP00000066603
ENSCAFP00000002395	ENSDARP00000111755
ENSCAFP00000024807	ENSDARP00000128560
ENSCAFP00000024807	ENSDARP00000116549
ENSCAFP00000016916	ENSDARP00000082575
ENSCAFP00000025633	ENSDARP00000097432
ENSCAFP00000018539	ENSDARP00000071856
ENSCAFP00000007568	ENSDARP00000126905
ENSCAFP00000042074	ENSDARP00000124991
ENSCAFP00000029690	ENSDARP00000079776
ENSCAFP00000040466	ENSDARP00000034301
ENSCAFP00000040466	ENSDARP00000056644
ENSCAFP00000008865	ENSDARP00000074306
ENSCAFP00000006631	ENSDARP00000092244
ENSCAFP00000021491	ENSDARP00000114403
ENSCAFP00000016994	ENSDARP00000008287
ENSCAFP00000000006	ENSDARP00000052392
ENSCAFP00000000006	ENSDARP00000124147
ENSCAFP00000040187	ENSDARP00000091677
ENSCAFP00000014330	ENSDARP00000033747
ENSCAFP00000024864	ENSDARP00000064544
ENSCAFP00000024864	ENSDARP00000106596
ENSCAFP00000001185	ENSDARP00000095608
ENSCAFP00000016648	ENSDARP00000100342
ENSCAFP00000016648	ENSDARP00000089043
ENSCAFP00000016630	ENSDARP00000099755
ENSCAFP00000010728	ENSDARP00000042943
ENSCAFP00000006300	ENSDARP00000100263
ENSCAFP00000001248	ENSDARP00000088293
ENSCAFP00000033578	ENSDARP00000126719
ENSCAFP00000033578	ENSDARP00000102231
ENSCAFP00000008470	ENSDARP00000086615
ENSCAFP00000041404	ENSDARP00000120615
ENSCAFP00000034146	ENSDARP00000102289
ENSCAFP00000041357	ENSDARP00000102172
ENSCAFP00000006093	ENSDARP00000049327
ENSCAFP00000011107	ENSDARP00000108755
ENSCAFP00000028323	ENSDARP00000097554
ENSCAFP00000031885	ENSDARP00000023608
ENSCAFP00000037876	ENSDARP00000117529
ENSCAFP00000000264	ENSDARP00000127159
ENSCAFP00000000296	ENSDARP00000053538
ENSCAFP00000011719	ENSDARP00000066697
ENSCAFP00000038096	ENSDARP00000109774
ENSCAFP00000042455	ENSDARP00000110569
ENSCAFP00000017970	ENSDARP00000057688
ENSCAFP00000012860	ENSDARP00000122329
ENSCAFP00000037611	ENSDARP00000057295
ENSCAFP00000012415	ENSDARP00000058889
ENSCAFP00000023021	ENSDARP00000034453
ENSCAFP00000042521	ENSDARP00000125629
ENSCAFP00000006969	ENSDARP00000097987
ENSCAFP00000020864	ENSDARP00000098927
ENSCAFP00000020864	ENSDARP00000098040
ENSCAFP00000005365	ENSDARP00000126216
ENSCAFP00000009790	ENSDARP00000125217
ENSCAFP00000042403	ENSDARP00000120216
ENSCAFP00000013012	ENSDARP00000064375
ENSCAFP00000024271	ENSDARP00000093532
ENSCAFP00000039760	ENSDARP00000032009
ENSCAFP00000013821	ENSDARP00000021751
ENSCAFP00000019352	ENSDARP00000111633
ENSCAFP00000022263	ENSDARP00000093865
ENSCAFP00000009203	ENSDARP00000092235
ENSCAFP00000003355	ENSDARP00000048890
ENSCAFP00000003355	ENSDARP00000064800
ENSCAFP00000013921	ENSDARP00000018034
ENSCAFP00000039403	ENSDARP00000056898
ENSCAFP00000013187	ENSDARP00000092177
ENSCAFP00000003775	ENSDARP00000073041
ENSCAFP00000021204	ENSDARP00000027964
ENSCAFP00000024547	ENSDARP00000020485
ENSCAFP00000009630	ENSDARP00000018668
ENSCAFP00000024719	ENSDARP00000063856
ENSCAFP00000019512	ENSDARP00000014414
ENSCAFP00000018180	ENSDARP00000094302
ENSCAFP00000010864	ENSDARP00000056004
ENSCAFP00000036165	ENSDARP00000105052
ENSCAFP00000004612	ENSDARP00000099151
ENSCAFP00000042563	ENSDARP00000092798
ENSCAFP00000006878	ENSDARP00000059034
ENSCAFP00000019226	ENSDARP00000082792
ENSCAFP00000012381	ENSDARP00000082791
ENSCAFP00000012191	ENSDARP00000116662
ENSCAFP00000012191	ENSDARP00000114051
ENSCAFP00000031933	ENSDARP00000081635
ENSCAFP00000032174	ENSDARP00000060320
ENSCAFP00000010400	ENSDARP00000027699
ENSCAFP00000004379	ENSDARP00000098095
ENSCAFP00000025547	ENSDARP00000073232
ENSCAFP00000000327	ENSDARP00000118572
ENSCAFP00000011032	ENSDARP00000127670
ENSCAFP00000019862	ENSDARP00000090464
ENSCAFP00000019862	ENSDARP00000061631
ENSCAFP00000029838	ENSDARP00000092973
ENSCAFP00000029279	ENSDARP00000039105
ENSCAFP00000029122	ENSDARP00000041848
ENSCAFP00000010020	ENSDARP00000116378
ENSCAFP00000021323	ENSDARP00000036330
ENSCAFP00000017245	ENSDARP00000077501
ENSCAFP00000024492	ENSDARP00000061012
ENSCAFP00000041192	ENSDARP00000054292
ENSCAFP00000018711	ENSDARP00000100748
ENSCAFP00000015378	ENSDARP00000091853
ENSCAFP00000024740	ENSDARP00000066100
ENSCAFP00000027324	ENSDARP00000100383
ENSCAFP00000014212	ENSDARP00000124521
ENSCAFP00000014212	ENSDARP00000086992
ENSCAFP00000016036	ENSDARP00000066577
ENSCAFP00000003227	ENSDARP00000043937
ENSCAFP00000008187	ENSDARP00000100035
ENSCAFP00000007451	ENSDARP00000059346
ENSCAFP00000012493	ENSDARP00000014221
ENSCAFP00000024476	ENSDARP00000127394
ENSCAFP00000038426	ENSDARP00000075507
ENSCAFP00000021479	ENSDARP00000109240
ENSCAFP00000021479	ENSDARP00000114926
ENSCAFP00000025015	ENSDARP00000127609
ENSCAFP00000025015	ENSDARP00000104659
ENSCAFP00000014389	ENSDARP00000095917
ENSCAFP00000018044	ENSDARP00000095299
ENSCAFP00000018044	ENSDARP00000115695
ENSCAFP00000016333	ENSDARP00000098754
ENSCAFP00000022864	ENSDARP00000066476
ENSCAFP00000022864	ENSDARP00000017197
ENSCAFP00000019277	ENSDARP00000129407
ENSCAFP00000037445	ENSDARP00000065237
ENSCAFP00000002915	ENSDARP00000115658
ENSCAFP00000028695	ENSDARP00000096305
ENSCAFP00000008588	ENSDARP00000077372
ENSCAFP00000008588	ENSDARP00000098380
ENSCAFP00000023586	ENSDARP00000077647
ENSCAFP00000028990	ENSDARP00000105764
ENSCAFP00000028990	ENSDARP00000067077
ENSCAFP00000012281	ENSDARP00000126688
ENSCAFP00000007326	ENSDARP00000076803
ENSCAFP00000036530	ENSDARP00000004582
ENSCAFP00000028339	ENSDARP00000069534
ENSCAFP00000005514	ENSDARP00000114342
ENSCAFP00000009849	ENSDARP00000071476
ENSCAFP00000023013	ENSDARP00000070742
ENSCAFP00000003965	ENSDARP00000063943
ENSCAFP00000003965	ENSDARP00000111935
ENSCAFP00000013591	ENSDARP00000007727
ENSCAFP00000025318	ENSDARP00000052708
ENSCAFP00000026906	ENSDARP00000076430
ENSCAFP00000014374	ENSDARP00000122707
ENSCAFP00000012705	ENSDARP00000045887
ENSCAFP00000011097	ENSDARP00000097932
ENSCAFP00000005711	ENSDARP00000084540
ENSCAFP00000005711	ENSDARP00000021653
ENSCAFP00000022728	ENSDARP00000098121
ENSCAFP00000029861	ENSDARP00000007492
ENSCAFP00000029276	ENSDARP00000076098
ENSCAFP00000003325	ENSDARP00000102654
ENSCAFP00000003325	ENSDARP00000128388
ENSCAFP00000020205	ENSDARP00000121457
ENSCAFP00000012095	ENSDARP00000016951
ENSCAFP00000001221	ENSDARP00000113086
ENSCAFP00000004325	ENSDARP00000098493
ENSCAFP00000020709	ENSDARP00000046343
ENSCAFP00000020709	ENSDARP00000098343
ENSCAFP00000029682	ENSDARP00000078553
ENSCAFP00000008477	ENSDARP00000107945
ENSCAFP00000000373	ENSDARP00000057618
ENSCAFP00000000368	ENSDARP00000043625
ENSCAFP00000023298	ENSDARP00000057868
ENSCAFP00000011509	ENSDARP00000053962
ENSCAFP00000011509	ENSDARP00000105782
ENSCAFP00000029939	ENSDARP00000102755
ENSCAFP00000029939	ENSDARP00000079535
ENSCAFP00000022628	ENSDARP00000015397
ENSCAFP00000009284	ENSDARP00000063558
ENSCAFP00000008375	ENSDARP00000092468
ENSCAFP00000023960	ENSDARP00000089381
ENSCAFP00000042838	ENSDARP00000083251
ENSCAFP00000042838	ENSDARP00000087713
ENSCAFP00000011305	ENSDARP00000107760
ENSCAFP00000005143	ENSDARP00000108200
ENSCAFP00000005143	ENSDARP00000035566
ENSCAFP00000035847	ENSDARP00000055676
ENSCAFP00000020342	ENSDARP00000103526
ENSCAFP00000027655	ENSDARP00000113301
ENSCAFP00000026935	ENSDARP00000057612
ENSCAFP00000003380	ENSDARP00000012597
ENSCAFP00000002050	ENSDARP00000125120
ENSCAFP00000020984	ENSDARP00000124900
ENSCAFP00000009511	ENSDARP00000069820
ENSCAFP00000004659	ENSDARP00000111773
ENSCAFP00000018423	ENSDARP00000053361
ENSCAFP00000018423	ENSDARP00000103064
ENSCAFP00000017898	ENSDARP00000019981
ENSCAFP00000005836	ENSDARP00000095532
ENSCAFP00000025324	ENSDARP00000106117
ENSCAFP00000022829	ENSDARP00000053796
ENSCAFP00000029676	ENSDARP00000105716
ENSCAFP00000003396	ENSDARP00000050351
ENSCAFP00000003396	ENSDARP00000076364
ENSCAFP00000029952	ENSDARP00000039571
ENSCAFP00000010760	ENSDARP00000090113
ENSCAFP00000031910	ENSDARP00000065447
ENSCAFP00000008195	ENSDARP00000060245
ENSCAFP00000007837	ENSDARP00000059477
ENSCAFP00000040289	ENSDARP00000096527
ENSCAFP00000023995	ENSDARP00000103340
ENSCAFP00000000194	ENSDARP00000122270
ENSCAFP00000000194	ENSDARP00000115549
ENSCAFP00000042559	ENSDARP00000114374
ENSCAFP00000022024	ENSDARP00000073314
ENSCAFP00000009201	ENSDARP00000026766
ENSCAFP00000004493	ENSDARP00000073441
ENSCAFP00000024527	ENSDARP00000105458
ENSCAFP00000022180	ENSDARP00000007713
ENSCAFP00000001858	ENSDARP00000105060
ENSCAFP00000030283	ENSDARP00000016900
ENSCAFP00000037897	ENSDARP00000117888
ENSCAFP00000013453	ENSDARP00000046439
ENSCAFP00000013453	ENSDARP00000115935
ENSCAFP00000024814	ENSDARP00000094760
ENSCAFP00000002231	ENSDARP00000067160
ENSCAFP00000025919	ENSDARP00000061842
ENSCAFP00000015788	ENSDARP00000077125
ENSCAFP00000012288	ENSDARP00000034439
ENSCAFP00000025063	ENSDARP00000129857
ENSCAFP00000015731	ENSDARP00000076455
ENSCAFP00000005813	ENSDARP00000094287
ENSCAFP00000022622	ENSDARP00000067387
ENSCAFP00000029108	ENSDARP00000094505
ENSCAFP00000027660	ENSDARP00000120028
ENSCAFP00000020765	ENSDARP00000028033
ENSCAFP00000002506	ENSDARP00000011326
ENSCAFP00000002506	ENSDARP00000055414
ENSCAFP00000023214	ENSDARP00000096234
ENSCAFP00000023214	ENSDARP00000017853
ENSCAFP00000019367	ENSDARP00000118959
ENSCAFP00000004330	ENSDARP00000116404
ENSCAFP00000004330	ENSDARP00000112758
ENSCAFP00000005288	ENSDARP00000126389
ENSCAFP00000018873	ENSDARP00000053000
ENSCAFP00000014205	ENSDARP00000050005
ENSCAFP00000014205	ENSDARP00000044008
ENSCAFP00000030590	ENSDARP00000098402
ENSCAFP00000034237	ENSDARP00000009775
ENSCAFP00000031761	ENSDARP00000071393
ENSCAFP00000005847	ENSDARP00000101496
ENSCAFP00000029357	ENSDARP00000089201
ENSCAFP00000006330	ENSDARP00000008181
ENSCAFP00000006330	ENSDARP00000101177
ENSCAFP00000041314	ENSDARP00000039104
ENSCAFP00000002637	ENSDARP00000117816
ENSCAFP00000002637	ENSDARP00000022273
ENSCAFP00000019983	ENSDARP00000091498
ENSCAFP00000007804	ENSDARP00000029899
ENSCAFP00000010389	ENSDARP00000083546
ENSCAFP00000010389	ENSDARP00000077824
ENSCAFP00000007783	ENSDARP00000032935
ENSCAFP00000017723	ENSDARP00000024217
ENSCAFP00000017723	ENSDARP00000010177
ENSCAFP00000002876	ENSDARP00000108359
ENSCAFP00000033658	ENSDARP00000117263
ENSCAFP00000033658	ENSDARP00000108413
ENSCAFP00000034617	ENSDARP00000084529
ENSCAFP00000012019	ENSDARP00000110163
ENSCAFP00000001575	ENSDARP00000126735
ENSCAFP00000017148	ENSDARP00000125833
ENSCAFP00000022642	ENSDARP00000074299
ENSCAFP00000006955	ENSDARP00000089126
ENSCAFP00000033509	ENSDARP00000058406
ENSCAFP00000003680	ENSDARP00000122740
ENSCAFP00000003680	ENSDARP00000087948
ENSCAFP00000022493	ENSDARP00000096190
ENSCAFP00000022493	ENSDARP00000045367
ENSCAFP00000023012	ENSDARP00000016595
ENSCAFP00000038177	ENSDARP00000089728
ENSCAFP00000034787	ENSDARP00000116371
ENSCAFP00000016859	ENSDARP00000053576
ENSCAFP00000002822	ENSDARP00000095598
ENSCAFP00000004570	ENSDARP00000094606
ENSCAFP00000004570	ENSDARP00000107097
ENSCAFP00000024888	ENSDARP00000127179
ENSCAFP00000006402	ENSDARP00000102952
ENSCAFP00000002607	ENSDARP00000102678
ENSCAFP00000002607	ENSDARP00000098825
ENSCAFP00000012214	ENSDARP00000121945
ENSCAFP00000037226	ENSDARP00000106001
ENSCAFP00000037226	ENSDARP00000061469
ENSCAFP00000036009	ENSDARP00000070219
ENSCAFP00000026025	ENSDARP00000075798
ENSCAFP00000008483	ENSDARP00000096546
ENSCAFP00000015830	ENSDARP00000040234
ENSCAFP00000015830	ENSDARP00000105974
ENSCAFP00000029335	ENSDARP00000031129
ENSCAFP00000027805	ENSDARP00000072529
ENSCAFP00000000458	ENSDARP00000110897
ENSCAFP00000011357	ENSDARP00000122408
ENSCAFP00000011357	ENSDARP00000088025
ENSCAFP00000018714	ENSDARP00000072463
ENSCAFP00000018714	ENSDARP00000102223
ENSCAFP00000000034	ENSDARP00000124312
ENSCAFP00000017426	ENSDARP00000018103
ENSCAFP00000017426	ENSDARP00000101911
ENSCAFP00000021903	ENSDARP00000012359
ENSCAFP00000018326	ENSDARP00000071943
ENSCAFP00000006944	ENSDARP00000055871
ENSCAFP00000018761	ENSDARP00000020465
ENSCAFP00000009873	ENSDARP00000099960
ENSCAFP00000001188	ENSDARP00000105407
