ENSCAFP00000014731	ENSTNIP00000004863
ENSCAFP00000007593	ENSTNIP00000010547
ENSCAFP00000007593	ENSTNIP00000014764
ENSCAFP00000015248	ENSTNIP00000008446
ENSCAFP00000027436	ENSTNIP00000007807
ENSCAFP00000031095	ENSTNIP00000009663
ENSCAFP00000011429	ENSTNIP00000020872
ENSCAFP00000028654	ENSTNIP00000020323
ENSCAFP00000036046	ENSTNIP00000009771
ENSCAFP00000018620	ENSTNIP00000020051
ENSCAFP00000017612	ENSTNIP00000011545
ENSCAFP00000018360	ENSTNIP00000016274
ENSCAFP00000040776	ENSTNIP00000021320
ENSCAFP00000021115	ENSTNIP00000008389
ENSCAFP00000002114	ENSTNIP00000009013
ENSCAFP00000022465	ENSTNIP00000011407
ENSCAFP00000025517	ENSTNIP00000009266
ENSCAFP00000011755	ENSTNIP00000020845
ENSCAFP00000008897	ENSTNIP00000002820
ENSCAFP00000009895	ENSTNIP00000019632
ENSCAFP00000040084	ENSTNIP00000002584
ENSCAFP00000001757	ENSTNIP00000007693
ENSCAFP00000029839	ENSTNIP00000015291
ENSCAFP00000029636	ENSTNIP00000007382
ENSCAFP00000008605	ENSTNIP00000005421
ENSCAFP00000021166	ENSTNIP00000009105
ENSCAFP00000016160	ENSTNIP00000013239
ENSCAFP00000024579	ENSTNIP00000013035
ENSCAFP00000026656	ENSTNIP00000011293
ENSCAFP00000027162	ENSTNIP00000019030
ENSCAFP00000027162	ENSTNIP00000016205
ENSCAFP00000015483	ENSTNIP00000007742
ENSCAFP00000037628	ENSTNIP00000005833
ENSCAFP00000038890	ENSTNIP00000012312
ENSCAFP00000026634	ENSTNIP00000004014
ENSCAFP00000029281	ENSTNIP00000016190
ENSCAFP00000039968	ENSTNIP00000018478
ENSCAFP00000019775	ENSTNIP00000002291
ENSCAFP00000012583	ENSTNIP00000002645
ENSCAFP00000012583	ENSTNIP00000016917
ENSCAFP00000020432	ENSTNIP00000003722
ENSCAFP00000009251	ENSTNIP00000015112
ENSCAFP00000022940	ENSTNIP00000020486
ENSCAFP00000006601	ENSTNIP00000010569
ENSCAFP00000006601	ENSTNIP00000014763
ENSCAFP00000016718	ENSTNIP00000003645
ENSCAFP00000027819	ENSTNIP00000006096
ENSCAFP00000027819	ENSTNIP00000013682
ENSCAFP00000025014	ENSTNIP00000006703
ENSCAFP00000018718	ENSTNIP00000022108
ENSCAFP00000039272	ENSTNIP00000021429
ENSCAFP00000015650	ENSTNIP00000017803
ENSCAFP00000015650	ENSTNIP00000017726
ENSCAFP00000037417	ENSTNIP00000001246
ENSCAFP00000036581	ENSTNIP00000015619
ENSCAFP00000040503	ENSTNIP00000001783
ENSCAFP00000013148	ENSTNIP00000007031
ENSCAFP00000021263	ENSTNIP00000011484
ENSCAFP00000028310	ENSTNIP00000008833
ENSCAFP00000015388	ENSTNIP00000020940
ENSCAFP00000023416	ENSTNIP00000007526
ENSCAFP00000018072	ENSTNIP00000013259
ENSCAFP00000019700	ENSTNIP00000006531
ENSCAFP00000018831	ENSTNIP00000015993
ENSCAFP00000020134	ENSTNIP00000022632
ENSCAFP00000009924	ENSTNIP00000007624
ENSCAFP00000029045	ENSTNIP00000006274
ENSCAFP00000029045	ENSTNIP00000021395
ENSCAFP00000004375	ENSTNIP00000009667
ENSCAFP00000004375	ENSTNIP00000003016
ENSCAFP00000008880	ENSTNIP00000020927
ENSCAFP00000023775	ENSTNIP00000013837
ENSCAFP00000023775	ENSTNIP00000017694
ENSCAFP00000016192	ENSTNIP00000007566
ENSCAFP00000011181	ENSTNIP00000020867
ENSCAFP00000007862	ENSTNIP00000001514
ENSCAFP00000005905	ENSTNIP00000016045
ENSCAFP00000009370	ENSTNIP00000021372
ENSCAFP00000027304	ENSTNIP00000018651
ENSCAFP00000032856	ENSTNIP00000009799
ENSCAFP00000032856	ENSTNIP00000012169
ENSCAFP00000005719	ENSTNIP00000012751
ENSCAFP00000014272	ENSTNIP00000021450
ENSCAFP00000008265	ENSTNIP00000001958
ENSCAFP00000037474	ENSTNIP00000020238
ENSCAFP00000024272	ENSTNIP00000004746
ENSCAFP00000016005	ENSTNIP00000021578
ENSCAFP00000039259	ENSTNIP00000015673
ENSCAFP00000018790	ENSTNIP00000015460
ENSCAFP00000018790	ENSTNIP00000006584
ENSCAFP00000030532	ENSTNIP00000020401
ENSCAFP00000020190	ENSTNIP00000020215
ENSCAFP00000008898	ENSTNIP00000009579
ENSCAFP00000008677	ENSTNIP00000013344
ENSCAFP00000006361	ENSTNIP00000018785
ENSCAFP00000023878	ENSTNIP00000017319
ENSCAFP00000011227	ENSTNIP00000020869
ENSCAFP00000007697	ENSTNIP00000011748
ENSCAFP00000007702	ENSTNIP00000008739
ENSCAFP00000000801	ENSTNIP00000006936
ENSCAFP00000011793	ENSTNIP00000018905
ENSCAFP00000022009	ENSTNIP00000014639
ENSCAFP00000003370	ENSTNIP00000007558
ENSCAFP00000002728	ENSTNIP00000004053
ENSCAFP00000010651	ENSTNIP00000005280
ENSCAFP00000027597	ENSTNIP00000008753
ENSCAFP00000000523	ENSTNIP00000003867
ENSCAFP00000000523	ENSTNIP00000022513
ENSCAFP00000001204	ENSTNIP00000012501
ENSCAFP00000035853	ENSTNIP00000002076
ENSCAFP00000009014	ENSTNIP00000020981
ENSCAFP00000009014	ENSTNIP00000012308
ENSCAFP00000015809	ENSTNIP00000009416
ENSCAFP00000017765	ENSTNIP00000018773
ENSCAFP00000007888	ENSTNIP00000015709
ENSCAFP00000035502	ENSTNIP00000018032
ENSCAFP00000015819	ENSTNIP00000001586
ENSCAFP00000003279	ENSTNIP00000019658
ENSCAFP00000042535	ENSTNIP00000000320
ENSCAFP00000027575	ENSTNIP00000004024
ENSCAFP00000030865	ENSTNIP00000017932
ENSCAFP00000042228	ENSTNIP00000011915
ENSCAFP00000042228	ENSTNIP00000018880
ENSCAFP00000005478	ENSTNIP00000004424
ENSCAFP00000003632	ENSTNIP00000002686
ENSCAFP00000001990	ENSTNIP00000015907
ENSCAFP00000013629	ENSTNIP00000018177
ENSCAFP00000006994	ENSTNIP00000015657
ENSCAFP00000016459	ENSTNIP00000022081
ENSCAFP00000031768	ENSTNIP00000003875
ENSCAFP00000031768	ENSTNIP00000022264
ENSCAFP00000011262	ENSTNIP00000007390
ENSCAFP00000011262	ENSTNIP00000011204
ENSCAFP00000017362	ENSTNIP00000015428
ENSCAFP00000007312	ENSTNIP00000019436
ENSCAFP00000034814	ENSTNIP00000015203
ENSCAFP00000018618	ENSTNIP00000015068
ENSCAFP00000034783	ENSTNIP00000002065
ENSCAFP00000034902	ENSTNIP00000005998
ENSCAFP00000018766	ENSTNIP00000020429
ENSCAFP00000042944	ENSTNIP00000010537
ENSCAFP00000012613	ENSTNIP00000000543
ENSCAFP00000005070	ENSTNIP00000019149
ENSCAFP00000006422	ENSTNIP00000022198
ENSCAFP00000012487	ENSTNIP00000010347
ENSCAFP00000012487	ENSTNIP00000018657
ENSCAFP00000018934	ENSTNIP00000002445
ENSCAFP00000023048	ENSTNIP00000001014
ENSCAFP00000023283	ENSTNIP00000004635
ENSCAFP00000006305	ENSTNIP00000001829
ENSCAFP00000042127	ENSTNIP00000011758
ENSCAFP00000021924	ENSTNIP00000018065
ENSCAFP00000015559	ENSTNIP00000016919
ENSCAFP00000017824	ENSTNIP00000013181
ENSCAFP00000017824	ENSTNIP00000010607
ENSCAFP00000006923	ENSTNIP00000006048
ENSCAFP00000006923	ENSTNIP00000022797
ENSCAFP00000016524	ENSTNIP00000011448
ENSCAFP00000006202	ENSTNIP00000008995
ENSCAFP00000030405	ENSTNIP00000011195
ENSCAFP00000012834	ENSTNIP00000019883
ENSCAFP00000015986	ENSTNIP00000021201
ENSCAFP00000028176	ENSTNIP00000010821
ENSCAFP00000022237	ENSTNIP00000017551
ENSCAFP00000018294	ENSTNIP00000012703
ENSCAFP00000031216	ENSTNIP00000016430
ENSCAFP00000021154	ENSTNIP00000016177
ENSCAFP00000008466	ENSTNIP00000022373
ENSCAFP00000012759	ENSTNIP00000018121
ENSCAFP00000001297	ENSTNIP00000011794
ENSCAFP00000001297	ENSTNIP00000021365
ENSCAFP00000012711	ENSTNIP00000005705
ENSCAFP00000031335	ENSTNIP00000017519
ENSCAFP00000031335	ENSTNIP00000019525
ENSCAFP00000007104	ENSTNIP00000020430
ENSCAFP00000024254	ENSTNIP00000014666
ENSCAFP00000024254	ENSTNIP00000006522
ENSCAFP00000038416	ENSTNIP00000009856
ENSCAFP00000038416	ENSTNIP00000014965
ENSCAFP00000017840	ENSTNIP00000007733
ENSCAFP00000009096	ENSTNIP00000019815
ENSCAFP00000004511	ENSTNIP00000002616
ENSCAFP00000011487	ENSTNIP00000010660
ENSCAFP00000001726	ENSTNIP00000004702
ENSCAFP00000018286	ENSTNIP00000014264
ENSCAFP00000018286	ENSTNIP00000015331
ENSCAFP00000015326	ENSTNIP00000013025
ENSCAFP00000020557	ENSTNIP00000013719
ENSCAFP00000021261	ENSTNIP00000019565
ENSCAFP00000040391	ENSTNIP00000005476
ENSCAFP00000040391	ENSTNIP00000021407
ENSCAFP00000028190	ENSTNIP00000010823
ENSCAFP00000028562	ENSTNIP00000022121
ENSCAFP00000011018	ENSTNIP00000016740
ENSCAFP00000005790	ENSTNIP00000011643
ENSCAFP00000024552	ENSTNIP00000010200
ENSCAFP00000041939	ENSTNIP00000006092
ENSCAFP00000014772	ENSTNIP00000019616
ENSCAFP00000011620	ENSTNIP00000015498
ENSCAFP00000000882	ENSTNIP00000003245
ENSCAFP00000026476	ENSTNIP00000011081
ENSCAFP00000001419	ENSTNIP00000005182
ENSCAFP00000004755	ENSTNIP00000008120
ENSCAFP00000014048	ENSTNIP00000016241
ENSCAFP00000019069	ENSTNIP00000020412
ENSCAFP00000027790	ENSTNIP00000000943
ENSCAFP00000027790	ENSTNIP00000015902
ENSCAFP00000036623	ENSTNIP00000001339
ENSCAFP00000036623	ENSTNIP00000010922
ENSCAFP00000009967	ENSTNIP00000015654
ENSCAFP00000025430	ENSTNIP00000011787
ENSCAFP00000002797	ENSTNIP00000009612
ENSCAFP00000014827	ENSTNIP00000007856
ENSCAFP00000038621	ENSTNIP00000018741
ENSCAFP00000025009	ENSTNIP00000010001
ENSCAFP00000015455	ENSTNIP00000018079
ENSCAFP00000020641	ENSTNIP00000015996
ENSCAFP00000025013	ENSTNIP00000020557
ENSCAFP00000040257	ENSTNIP00000008257
ENSCAFP00000040257	ENSTNIP00000011087
ENSCAFP00000003872	ENSTNIP00000010919
ENSCAFP00000006750	ENSTNIP00000017472
ENSCAFP00000006750	ENSTNIP00000012682
ENSCAFP00000008171	ENSTNIP00000019738
ENSCAFP00000019442	ENSTNIP00000013779
ENSCAFP00000024164	ENSTNIP00000022970
ENSCAFP00000024164	ENSTNIP00000008400
ENSCAFP00000019177	ENSTNIP00000017009
ENSCAFP00000042254	ENSTNIP00000020053
ENSCAFP00000000611	ENSTNIP00000015230
ENSCAFP00000023609	ENSTNIP00000007452
ENSCAFP00000037303	ENSTNIP00000005571
ENSCAFP00000025629	ENSTNIP00000008077
ENSCAFP00000020460	ENSTNIP00000016913
ENSCAFP00000005173	ENSTNIP00000022140
ENSCAFP00000020684	ENSTNIP00000011154
ENSCAFP00000001384	ENSTNIP00000022269
ENSCAFP00000020782	ENSTNIP00000022800
ENSCAFP00000021710	ENSTNIP00000013251
ENSCAFP00000024807	ENSTNIP00000022471
ENSCAFP00000024807	ENSTNIP00000006262
ENSCAFP00000016916	ENSTNIP00000007565
ENSCAFP00000025633	ENSTNIP00000011820
ENSCAFP00000042074	ENSTNIP00000005411
ENSCAFP00000040466	ENSTNIP00000005641
ENSCAFP00000008865	ENSTNIP00000022479
ENSCAFP00000021491	ENSTNIP00000017426
ENSCAFP00000000006	ENSTNIP00000000553
ENSCAFP00000040187	ENSTNIP00000009798
ENSCAFP00000014330	ENSTNIP00000006112
ENSCAFP00000024864	ENSTNIP00000006018
ENSCAFP00000001185	ENSTNIP00000021350
ENSCAFP00000016648	ENSTNIP00000000317
ENSCAFP00000016648	ENSTNIP00000009794
ENSCAFP00000016630	ENSTNIP00000010770
ENSCAFP00000010728	ENSTNIP00000006989
ENSCAFP00000006300	ENSTNIP00000022490
ENSCAFP00000001248	ENSTNIP00000019059
ENSCAFP00000033578	ENSTNIP00000015822
ENSCAFP00000008470	ENSTNIP00000021335
ENSCAFP00000041404	ENSTNIP00000011724
ENSCAFP00000034146	ENSTNIP00000015942
ENSCAFP00000041357	ENSTNIP00000012125
ENSCAFP00000002013	ENSTNIP00000013759
ENSCAFP00000006093	ENSTNIP00000008543
ENSCAFP00000011107	ENSTNIP00000016503
ENSCAFP00000028323	ENSTNIP00000006046
ENSCAFP00000031885	ENSTNIP00000010353
ENSCAFP00000037876	ENSTNIP00000018558
ENSCAFP00000000264	ENSTNIP00000013890
ENSCAFP00000000296	ENSTNIP00000019420
ENSCAFP00000011719	ENSTNIP00000011014
ENSCAFP00000017970	ENSTNIP00000016071
ENSCAFP00000022573	ENSTNIP00000016908
ENSCAFP00000012860	ENSTNIP00000015176
ENSCAFP00000037611	ENSTNIP00000019955
ENSCAFP00000012415	ENSTNIP00000013158
ENSCAFP00000006957	ENSTNIP00000014823
ENSCAFP00000023021	ENSTNIP00000014042
ENSCAFP00000042521	ENSTNIP00000011723
ENSCAFP00000042521	ENSTNIP00000020318
ENSCAFP00000006969	ENSTNIP00000021530
ENSCAFP00000020864	ENSTNIP00000014809
ENSCAFP00000005365	ENSTNIP00000005600
ENSCAFP00000009790	ENSTNIP00000014327
ENSCAFP00000042403	ENSTNIP00000009636
ENSCAFP00000013012	ENSTNIP00000012838
ENSCAFP00000024271	ENSTNIP00000015335
ENSCAFP00000013821	ENSTNIP00000018791
ENSCAFP00000019352	ENSTNIP00000013280
ENSCAFP00000009203	ENSTNIP00000000034
ENSCAFP00000003355	ENSTNIP00000005226
ENSCAFP00000011391	ENSTNIP00000014406
ENSCAFP00000010130	ENSTNIP00000005323
ENSCAFP00000021204	ENSTNIP00000017453
ENSCAFP00000024547	ENSTNIP00000008055
ENSCAFP00000009630	ENSTNIP00000012321
ENSCAFP00000024719	ENSTNIP00000017151
ENSCAFP00000019512	ENSTNIP00000020070
ENSCAFP00000004612	ENSTNIP00000018606
ENSCAFP00000006878	ENSTNIP00000021565
ENSCAFP00000019226	ENSTNIP00000021037
ENSCAFP00000012381	ENSTNIP00000020934
ENSCAFP00000004688	ENSTNIP00000002500
ENSCAFP00000010400	ENSTNIP00000003559
ENSCAFP00000004379	ENSTNIP00000016687
ENSCAFP00000025547	ENSTNIP00000015792
ENSCAFP00000000327	ENSTNIP00000001091
ENSCAFP00000011032	ENSTNIP00000017874
ENSCAFP00000011032	ENSTNIP00000007061
ENSCAFP00000019862	ENSTNIP00000008234
ENSCAFP00000029838	ENSTNIP00000022579
ENSCAFP00000029838	ENSTNIP00000007169
ENSCAFP00000029279	ENSTNIP00000019848
ENSCAFP00000029122	ENSTNIP00000010693
ENSCAFP00000010020	ENSTNIP00000003164
ENSCAFP00000035754	ENSTNIP00000009465
ENSCAFP00000017245	ENSTNIP00000014423
ENSCAFP00000014518	ENSTNIP00000003705
ENSCAFP00000024492	ENSTNIP00000008313
ENSCAFP00000041192	ENSTNIP00000013835
ENSCAFP00000018711	ENSTNIP00000000781
ENSCAFP00000015378	ENSTNIP00000017174
ENSCAFP00000015378	ENSTNIP00000016315
ENSCAFP00000024740	ENSTNIP00000011837
ENSCAFP00000014212	ENSTNIP00000011433
ENSCAFP00000014212	ENSTNIP00000019264
ENSCAFP00000016036	ENSTNIP00000017435
ENSCAFP00000003227	ENSTNIP00000015266
ENSCAFP00000008187	ENSTNIP00000003879
ENSCAFP00000007451	ENSTNIP00000019374
ENSCAFP00000012493	ENSTNIP00000008572
ENSCAFP00000024476	ENSTNIP00000001096
ENSCAFP00000038426	ENSTNIP00000019863
ENSCAFP00000021479	ENSTNIP00000019921
ENSCAFP00000025015	ENSTNIP00000013665
ENSCAFP00000016333	ENSTNIP00000021192
ENSCAFP00000022864	ENSTNIP00000011461
ENSCAFP00000040725	ENSTNIP00000013623
ENSCAFP00000019277	ENSTNIP00000017746
ENSCAFP00000033984	ENSTNIP00000005922
ENSCAFP00000002915	ENSTNIP00000020816
ENSCAFP00000028695	ENSTNIP00000008354
ENSCAFP00000008588	ENSTNIP00000012666
ENSCAFP00000008588	ENSTNIP00000015845
ENSCAFP00000028990	ENSTNIP00000015421
ENSCAFP00000022410	ENSTNIP00000010861
ENSCAFP00000036530	ENSTNIP00000008883
ENSCAFP00000028339	ENSTNIP00000012972
ENSCAFP00000009849	ENSTNIP00000012802
ENSCAFP00000023013	ENSTNIP00000020392
ENSCAFP00000003965	ENSTNIP00000019997
ENSCAFP00000013591	ENSTNIP00000005445
ENSCAFP00000010063	ENSTNIP00000000805
ENSCAFP00000029391	ENSTNIP00000008473
ENSCAFP00000016960	ENSTNIP00000011607
ENSCAFP00000012705	ENSTNIP00000017713
ENSCAFP00000004913	ENSTNIP00000011977
ENSCAFP00000011097	ENSTNIP00000005217
ENSCAFP00000005711	ENSTNIP00000008229
ENSCAFP00000005711	ENSTNIP00000000282
ENSCAFP00000022728	ENSTNIP00000014910
ENSCAFP00000029861	ENSTNIP00000019849
ENSCAFP00000029276	ENSTNIP00000014570
ENSCAFP00000005546	ENSTNIP00000012602
ENSCAFP00000003325	ENSTNIP00000021094
ENSCAFP00000003325	ENSTNIP00000017714
ENSCAFP00000001221	ENSTNIP00000001911
ENSCAFP00000001221	ENSTNIP00000012622
ENSCAFP00000004325	ENSTNIP00000022352
ENSCAFP00000020709	ENSTNIP00000012526
ENSCAFP00000029682	ENSTNIP00000012224
ENSCAFP00000008477	ENSTNIP00000021336
ENSCAFP00000009039	ENSTNIP00000008616
ENSCAFP00000000373	ENSTNIP00000020130
ENSCAFP00000000368	ENSTNIP00000002967
ENSCAFP00000016365	ENSTNIP00000022461
ENSCAFP00000008460	ENSTNIP00000012609
ENSCAFP00000023298	ENSTNIP00000011512
ENSCAFP00000023298	ENSTNIP00000014805
ENSCAFP00000011509	ENSTNIP00000018925
ENSCAFP00000011509	ENSTNIP00000011970
ENSCAFP00000029939	ENSTNIP00000009812
ENSCAFP00000007108	ENSTNIP00000004511
ENSCAFP00000008375	ENSTNIP00000013193
ENSCAFP00000023960	ENSTNIP00000009999
ENSCAFP00000042838	ENSTNIP00000021617
ENSCAFP00000042838	ENSTNIP00000012098
ENSCAFP00000005143	ENSTNIP00000022144
ENSCAFP00000020342	ENSTNIP00000009481
ENSCAFP00000027655	ENSTNIP00000013287
ENSCAFP00000026935	ENSTNIP00000004163
ENSCAFP00000003380	ENSTNIP00000007559
ENSCAFP00000002050	ENSTNIP00000022028
ENSCAFP00000009511	ENSTNIP00000002905
ENSCAFP00000018423	ENSTNIP00000000446
ENSCAFP00000018423	ENSTNIP00000004874
ENSCAFP00000005836	ENSTNIP00000006697
ENSCAFP00000025324	ENSTNIP00000019897
ENSCAFP00000022829	ENSTNIP00000015997
ENSCAFP00000003396	ENSTNIP00000005702
ENSCAFP00000010760	ENSTNIP00000009450
ENSCAFP00000031910	ENSTNIP00000020759
ENSCAFP00000023160	ENSTNIP00000014286
ENSCAFP00000023160	ENSTNIP00000009398
ENSCAFP00000007837	ENSTNIP00000000833
ENSCAFP00000040289	ENSTNIP00000003178
ENSCAFP00000000194	ENSTNIP00000015560
ENSCAFP00000042559	ENSTNIP00000008115
ENSCAFP00000009201	ENSTNIP00000018962
ENSCAFP00000004493	ENSTNIP00000021602
ENSCAFP00000022180	ENSTNIP00000009018
ENSCAFP00000001858	ENSTNIP00000007405
ENSCAFP00000030283	ENSTNIP00000012289
ENSCAFP00000037897	ENSTNIP00000017672
ENSCAFP00000019502	ENSTNIP00000003848
ENSCAFP00000013453	ENSTNIP00000019020
ENSCAFP00000013453	ENSTNIP00000008383
ENSCAFP00000025919	ENSTNIP00000015261
ENSCAFP00000015788	ENSTNIP00000009169
ENSCAFP00000012288	ENSTNIP00000007111
ENSCAFP00000022622	ENSTNIP00000014355
ENSCAFP00000027660	ENSTNIP00000014785
ENSCAFP00000020765	ENSTNIP00000008028
ENSCAFP00000002506	ENSTNIP00000016377
ENSCAFP00000002506	ENSTNIP00000017479
ENSCAFP00000023214	ENSTNIP00000019912
ENSCAFP00000004330	ENSTNIP00000015039
ENSCAFP00000005288	ENSTNIP00000013320
ENSCAFP00000018873	ENSTNIP00000018934
ENSCAFP00000014205	ENSTNIP00000022600
ENSCAFP00000014205	ENSTNIP00000002814
ENSCAFP00000030590	ENSTNIP00000018193
ENSCAFP00000005847	ENSTNIP00000008038
ENSCAFP00000029357	ENSTNIP00000008472
ENSCAFP00000006330	ENSTNIP00000018290
ENSCAFP00000006330	ENSTNIP00000016635
ENSCAFP00000041314	ENSTNIP00000005470
ENSCAFP00000002637	ENSTNIP00000006951
ENSCAFP00000002637	ENSTNIP00000007908
ENSCAFP00000019983	ENSTNIP00000002053
ENSCAFP00000007804	ENSTNIP00000003355
ENSCAFP00000007783	ENSTNIP00000022288
ENSCAFP00000017723	ENSTNIP00000014312
ENSCAFP00000002876	ENSTNIP00000020819
ENSCAFP00000033658	ENSTNIP00000016323
ENSCAFP00000034617	ENSTNIP00000012857
ENSCAFP00000012019	ENSTNIP00000020848
ENSCAFP00000001575	ENSTNIP00000013883
ENSCAFP00000006955	ENSTNIP00000014509
ENSCAFP00000033509	ENSTNIP00000018205
ENSCAFP00000003680	ENSTNIP00000020754
ENSCAFP00000003680	ENSTNIP00000016617
ENSCAFP00000022493	ENSTNIP00000000872
ENSCAFP00000022493	ENSTNIP00000002254
ENSCAFP00000023012	ENSTNIP00000019904
ENSCAFP00000038177	ENSTNIP00000010554
ENSCAFP00000034787	ENSTNIP00000022552
ENSCAFP00000002806	ENSTNIP00000005685
ENSCAFP00000016859	ENSTNIP00000005395
ENSCAFP00000002822	ENSTNIP00000007397
ENSCAFP00000002822	ENSTNIP00000011467
ENSCAFP00000004570	ENSTNIP00000020621
ENSCAFP00000004570	ENSTNIP00000017040
ENSCAFP00000024888	ENSTNIP00000020570
ENSCAFP00000002607	ENSTNIP00000016032
ENSCAFP00000002607	ENSTNIP00000021835
ENSCAFP00000012214	ENSTNIP00000005000
ENSCAFP00000037226	ENSTNIP00000011199
ENSCAFP00000013011	ENSTNIP00000009522
ENSCAFP00000023059	ENSTNIP00000013932
ENSCAFP00000036009	ENSTNIP00000021386
ENSCAFP00000026025	ENSTNIP00000004574
ENSCAFP00000008483	ENSTNIP00000010807
ENSCAFP00000015830	ENSTNIP00000010106
ENSCAFP00000015830	ENSTNIP00000015574
ENSCAFP00000029335	ENSTNIP00000011696
ENSCAFP00000027805	ENSTNIP00000002085
ENSCAFP00000000458	ENSTNIP00000022506
ENSCAFP00000011357	ENSTNIP00000011971
ENSCAFP00000011357	ENSTNIP00000018928
ENSCAFP00000024505	ENSTNIP00000008314
ENSCAFP00000018714	ENSTNIP00000021503
ENSCAFP00000018714	ENSTNIP00000020709
ENSCAFP00000017426	ENSTNIP00000020978
ENSCAFP00000021903	ENSTNIP00000012405
ENSCAFP00000018761	ENSTNIP00000022621
ENSCAFP00000018761	ENSTNIP00000016336
ENSCAFP00000001188	ENSTNIP00000016732
ENSCAFP00000011038	ENSTNIP00000016739
ENSCAFP00000011038	ENSTNIP00000012236
ENSCAFP00000001876	ENSTNIP00000018166
ENSCAFP00000024485	ENSTNIP00000012982
ENSCAFP00000000854	ENSTNIP00000009533
ENSCAFP00000018338	ENSTNIP00000014262
ENSCAFP00000002409	ENSTNIP00000010972
ENSCAFP00000002409	ENSTNIP00000017885
ENSCAFP00000038734	ENSTNIP00000009756
ENSCAFP00000038734	ENSTNIP00000008605
ENSCAFP00000004495	ENSTNIP00000000538
ENSCAFP00000004495	ENSTNIP00000012103
ENSCAFP00000005874	ENSTNIP00000006185
ENSCAFP00000031562	ENSTNIP00000005293
ENSCAFP00000031562	ENSTNIP00000012727
ENSCAFP00000033833	ENSTNIP00000002124
ENSCAFP00000001542	ENSTNIP00000005010
ENSCAFP00000008202	ENSTNIP00000001026
ENSCAFP00000010724	ENSTNIP00000011979
ENSCAFP00000010724	ENSTNIP00000006539
ENSCAFP00000038836	ENSTNIP00000010289
ENSCAFP00000022970	ENSTNIP00000006500
ENSCAFP00000039590	ENSTNIP00000018710
ENSCAFP00000034314	ENSTNIP00000003619
ENSCAFP00000017237	ENSTNIP00000009985
ENSCAFP00000002477	ENSTNIP00000002229
ENSCAFP00000007616	ENSTNIP00000001225
ENSCAFP00000007616	ENSTNIP00000014551
ENSCAFP00000028784	ENSTNIP00000021175
ENSCAFP00000034469	ENSTNIP00000020642
ENSCAFP00000034469	ENSTNIP00000018064
ENSCAFP00000015063	ENSTNIP00000010019
ENSCAFP00000022777	ENSTNIP00000013378
ENSCAFP00000038707	ENSTNIP00000011046
ENSCAFP00000001614	ENSTNIP00000005213
ENSCAFP00000024872	ENSTNIP00000017456
ENSCAFP00000004417	ENSTNIP00000020241
ENSCAFP00000012106	ENSTNIP00000009279
ENSCAFP00000012106	ENSTNIP00000005483
ENSCAFP00000008376	ENSTNIP00000019748
ENSCAFP00000016564	ENSTNIP00000004759
ENSCAFP00000016564	ENSTNIP00000021152
ENSCAFP00000014627	ENSTNIP00000016727
ENSCAFP00000032307	ENSTNIP00000003714
ENSCAFP00000003969	ENSTNIP00000013621
ENSCAFP00000014090	ENSTNIP00000018054
ENSCAFP00000006102	ENSTNIP00000022456
ENSCAFP00000006102	ENSTNIP00000006043
ENSCAFP00000010692	ENSTNIP00000016815
ENSCAFP00000001226	ENSTNIP00000022338
ENSCAFP00000042548	ENSTNIP00000014793
ENSCAFP00000042548	ENSTNIP00000013334
ENSCAFP00000036476	ENSTNIP00000020371
ENSCAFP00000016288	ENSTNIP00000015838
ENSCAFP00000016288	ENSTNIP00000008719
ENSCAFP00000008827	ENSTNIP00000019346
ENSCAFP00000002690	ENSTNIP00000021522
ENSCAFP00000010275	ENSTNIP00000015444
ENSCAFP00000023309	ENSTNIP00000014725
ENSCAFP00000000152	ENSTNIP00000017603
ENSCAFP00000000650	ENSTNIP00000021353
ENSCAFP00000000650	ENSTNIP00000010837
ENSCAFP00000027777	ENSTNIP00000009204
ENSCAFP00000027777	ENSTNIP00000011370
ENSCAFP00000018450	ENSTNIP00000016276
ENSCAFP00000001717	ENSTNIP00000019780
ENSCAFP00000036841	ENSTNIP00000008826
ENSCAFP00000042393	ENSTNIP00000018339
ENSCAFP00000042393	ENSTNIP00000017324
ENSCAFP00000030967	ENSTNIP00000007546
ENSCAFP00000000430	ENSTNIP00000012091
ENSCAFP00000019256	ENSTNIP00000012090
ENSCAFP00000019256	ENSTNIP00000012092
ENSCAFP00000028421	ENSTNIP00000009830
ENSCAFP00000024342	ENSTNIP00000014783
ENSCAFP00000039926	ENSTNIP00000008454
ENSCAFP00000034569	ENSTNIP00000007236
ENSCAFP00000012048	ENSTNIP00000007146
ENSCAFP00000012048	ENSTNIP00000009912
ENSCAFP00000020680	ENSTNIP00000012399
ENSCAFP00000029102	ENSTNIP00000006907
ENSCAFP00000029102	ENSTNIP00000003155
ENSCAFP00000037992	ENSTNIP00000022443
ENSCAFP00000035935	ENSTNIP00000016530
ENSCAFP00000006250	ENSTNIP00000010964
ENSCAFP00000007572	ENSTNIP00000010738
ENSCAFP00000007572	ENSTNIP00000015726
ENSCAFP00000018596	ENSTNIP00000010714
ENSCAFP00000018596	ENSTNIP00000020049
ENSCAFP00000005361	ENSTNIP00000015270
ENSCAFP00000007861	ENSTNIP00000001358
ENSCAFP00000020635	ENSTNIP00000020611
ENSCAFP00000009920	ENSTNIP00000014065
ENSCAFP00000016088	ENSTNIP00000013671
