ENSMUSP00000034074	ENSTNIP00000004863
ENSMUSP00000059503	ENSTNIP00000006837
ENSMUSP00000082694	ENSTNIP00000012855
ENSMUSP00000082694	ENSTNIP00000022221
ENSMUSP00000102559	ENSTNIP00000021273
ENSMUSP00000073789	ENSTNIP00000004296
ENSMUSP00000072121	ENSTNIP00000004741
ENSMUSP00000132190	ENSTNIP00000013423
ENSMUSP00000029269	ENSTNIP00000007250
ENSMUSP00000026891	ENSTNIP00000006211
ENSMUSP00000029316	ENSTNIP00000012819
ENSMUSP00000031622	ENSTNIP00000014907
ENSMUSP00000031622	ENSTNIP00000000028
ENSMUSP00000005860	ENSTNIP00000014447
ENSMUSP00000005860	ENSTNIP00000022022
ENSMUSP00000030551	ENSTNIP00000015162
ENSMUSP00000079693	ENSTNIP00000007035
ENSMUSP00000079693	ENSTNIP00000010923
ENSMUSP00000109291	ENSTNIP00000000667
ENSMUSP00000034150	ENSTNIP00000020865
ENSMUSP00000041951	ENSTNIP00000003647
ENSMUSP00000009234	ENSTNIP00000018937
ENSMUSP00000044262	ENSTNIP00000009285
ENSMUSP00000001415	ENSTNIP00000010418
ENSMUSP00000059039	ENSTNIP00000006616
ENSMUSP00000059039	ENSTNIP00000020339
ENSMUSP00000067002	ENSTNIP00000020603
ENSMUSP00000099950	ENSTNIP00000007131
ENSMUSP00000041907	ENSTNIP00000014709
ENSMUSP00000034472	ENSTNIP00000019275
ENSMUSP00000020022	ENSTNIP00000005979
ENSMUSP00000042187	ENSTNIP00000012850
ENSMUSP00000040045	ENSTNIP00000007505
ENSMUSP00000130636	ENSTNIP00000010820
ENSMUSP00000089051	ENSTNIP00000023038
ENSMUSP00000085499	ENSTNIP00000020343
ENSMUSP00000013559	ENSTNIP00000016993
ENSMUSP00000019503	ENSTNIP00000019942
ENSMUSP00000029196	ENSTNIP00000006403
ENSMUSP00000043962	ENSTNIP00000019417
ENSMUSP00000057962	ENSTNIP00000018388
ENSMUSP00000134222	ENSTNIP00000007118
ENSMUSP00000017576	ENSTNIP00000014217
ENSMUSP00000049970	ENSTNIP00000005118
ENSMUSP00000000058	ENSTNIP00000019145
ENSMUSP00000007799	ENSTNIP00000019146
ENSMUSP00000126177	ENSTNIP00000018469
ENSMUSP00000063108	ENSTNIP00000003780
ENSMUSP00000029761	ENSTNIP00000015330
ENSMUSP00000029761	ENSTNIP00000014263
ENSMUSP00000087955	ENSTNIP00000010263
ENSMUSP00000087955	ENSTNIP00000009161
ENSMUSP00000087950	ENSTNIP00000007379
ENSMUSP00000046003	ENSTNIP00000001203
ENSMUSP00000091151	ENSTNIP00000021293
ENSMUSP00000032936	ENSTNIP00000017004
ENSMUSP00000057106	ENSTNIP00000020129
ENSMUSP00000104506	ENSTNIP00000021038
ENSMUSP00000021243	ENSTNIP00000017988
ENSMUSP00000021870	ENSTNIP00000006366
ENSMUSP00000037834	ENSTNIP00000019488
ENSMUSP00000069685	ENSTNIP00000020306
ENSMUSP00000069685	ENSTNIP00000008510
ENSMUSP00000026284	ENSTNIP00000010947
ENSMUSP00000045156	ENSTNIP00000008051
ENSMUSP00000019135	ENSTNIP00000006331
ENSMUSP00000019135	ENSTNIP00000014899
ENSMUSP00000035992	ENSTNIP00000003764
ENSMUSP00000035992	ENSTNIP00000006763
ENSMUSP00000033160	ENSTNIP00000011077
ENSMUSP00000068258	ENSTNIP00000011113
ENSMUSP00000068258	ENSTNIP00000012574
ENSMUSP00000105140	ENSTNIP00000006643
ENSMUSP00000059864	ENSTNIP00000018526
ENSMUSP00000022099	ENSTNIP00000010021
ENSMUSP00000128223	ENSTNIP00000022690
ENSMUSP00000075587	ENSTNIP00000020784
ENSMUSP00000075587	ENSTNIP00000004636
ENSMUSP00000133159	ENSTNIP00000019079
ENSMUSP00000133159	ENSTNIP00000021681
ENSMUSP00000075376	ENSTNIP00000010157
ENSMUSP00000002080	ENSTNIP00000015475
ENSMUSP00000002080	ENSTNIP00000006079
ENSMUSP00000109190	ENSTNIP00000001672
ENSMUSP00000109190	ENSTNIP00000005451
ENSMUSP00000092283	ENSTNIP00000022388
ENSMUSP00000044543	ENSTNIP00000007037
ENSMUSP00000026134	ENSTNIP00000012654
ENSMUSP00000026134	ENSTNIP00000017059
ENSMUSP00000072894	ENSTNIP00000020516
ENSMUSP00000066403	ENSTNIP00000006808
ENSMUSP00000034239	ENSTNIP00000005102
ENSMUSP00000114968	ENSTNIP00000009918
ENSMUSP00000108075	ENSTNIP00000004621
ENSMUSP00000035328	ENSTNIP00000020971
ENSMUSP00000071619	ENSTNIP00000010098
ENSMUSP00000105000	ENSTNIP00000004253
ENSMUSP00000029170	ENSTNIP00000004043
ENSMUSP00000048877	ENSTNIP00000006847
ENSMUSP00000027777	ENSTNIP00000019481
ENSMUSP00000021550	ENSTNIP00000021847
ENSMUSP00000040853	ENSTNIP00000015394
ENSMUSP00000029574	ENSTNIP00000007381
ENSMUSP00000065146	ENSTNIP00000010404
ENSMUSP00000003061	ENSTNIP00000002698
ENSMUSP00000034650	ENSTNIP00000003224
ENSMUSP00000068374	ENSTNIP00000010303
ENSMUSP00000019405	ENSTNIP00000007375
ENSMUSP00000019405	ENSTNIP00000020325
ENSMUSP00000099599	ENSTNIP00000020014
ENSMUSP00000022727	ENSTNIP00000004382
ENSMUSP00000100206	ENSTNIP00000006639
ENSMUSP00000119872	ENSTNIP00000000681
ENSMUSP00000027800	ENSTNIP00000019395
ENSMUSP00000035031	ENSTNIP00000014021
ENSMUSP00000041110	ENSTNIP00000006221
ENSMUSP00000048229	ENSTNIP00000014630
ENSMUSP00000098893	ENSTNIP00000009558
ENSMUSP00000080280	ENSTNIP00000009134
ENSMUSP00000080280	ENSTNIP00000012377
ENSMUSP00000047564	ENSTNIP00000006110
ENSMUSP00000047564	ENSTNIP00000012897
ENSMUSP00000071231	ENSTNIP00000022532
ENSMUSP00000001279	ENSTNIP00000006690
ENSMUSP00000112539	ENSTNIP00000001379
ENSMUSP00000112539	ENSTNIP00000016902
ENSMUSP00000003152	ENSTNIP00000018374
ENSMUSP00000107297	ENSTNIP00000008005
ENSMUSP00000028758	ENSTNIP00000020462
ENSMUSP00000003850	ENSTNIP00000010547
ENSMUSP00000003850	ENSTNIP00000014764
ENSMUSP00000114852	ENSTNIP00000008446
ENSMUSP00000053553	ENSTNIP00000007807
ENSMUSP00000092761	ENSTNIP00000009663
ENSMUSP00000096214	ENSTNIP00000020872
ENSMUSP00000015456	ENSTNIP00000020323
ENSMUSP00000044034	ENSTNIP00000009771
ENSMUSP00000107804	ENSTNIP00000020051
ENSMUSP00000077138	ENSTNIP00000015967
ENSMUSP00000041671	ENSTNIP00000016274
ENSMUSP00000069444	ENSTNIP00000021320
ENSMUSP00000066040	ENSTNIP00000008389
ENSMUSP00000006544	ENSTNIP00000009013
ENSMUSP00000090617	ENSTNIP00000011407
ENSMUSP00000044418	ENSTNIP00000011408
ENSMUSP00000032994	ENSTNIP00000009266
ENSMUSP00000006235	ENSTNIP00000020845
ENSMUSP00000026156	ENSTNIP00000002820
ENSMUSP00000066256	ENSTNIP00000019632
ENSMUSP00000050592	ENSTNIP00000002584
ENSMUSP00000069488	ENSTNIP00000007693
ENSMUSP00000029766	ENSTNIP00000015291
ENSMUSP00000065254	ENSTNIP00000007382
ENSMUSP00000136503	ENSTNIP00000005421
ENSMUSP00000039313	ENSTNIP00000009105
ENSMUSP00000038166	ENSTNIP00000013239
ENSMUSP00000060225	ENSTNIP00000011293
ENSMUSP00000104864	ENSTNIP00000019030
ENSMUSP00000104864	ENSTNIP00000016205
ENSMUSP00000125749	ENSTNIP00000007742
ENSMUSP00000041052	ENSTNIP00000005833
ENSMUSP00000058954	ENSTNIP00000012312
ENSMUSP00000060844	ENSTNIP00000004989
ENSMUSP00000060844	ENSTNIP00000004464
ENSMUSP00000067085	ENSTNIP00000004014
ENSMUSP00000000910	ENSTNIP00000016190
ENSMUSP00000075526	ENSTNIP00000018478
ENSMUSP00000028511	ENSTNIP00000002291
ENSMUSP00000005406	ENSTNIP00000002645
ENSMUSP00000005406	ENSTNIP00000016917
ENSMUSP00000133222	ENSTNIP00000003722
ENSMUSP00000061493	ENSTNIP00000015112
ENSMUSP00000021514	ENSTNIP00000020486
ENSMUSP00000032560	ENSTNIP00000010569
ENSMUSP00000032560	ENSTNIP00000014763
ENSMUSP00000003035	ENSTNIP00000003645
ENSMUSP00000037136	ENSTNIP00000020468
ENSMUSP00000091532	ENSTNIP00000006096
ENSMUSP00000091532	ENSTNIP00000013682
ENSMUSP00000101940	ENSTNIP00000006703
ENSMUSP00000021052	ENSTNIP00000022108
ENSMUSP00000023759	ENSTNIP00000021429
ENSMUSP00000091301	ENSTNIP00000017803
ENSMUSP00000091301	ENSTNIP00000017726
ENSMUSP00000027688	ENSTNIP00000001246
ENSMUSP00000026902	ENSTNIP00000015619
ENSMUSP00000128840	ENSTNIP00000001783
ENSMUSP00000112930	ENSTNIP00000007031
ENSMUSP00000113115	ENSTNIP00000011484
ENSMUSP00000050995	ENSTNIP00000008833
ENSMUSP00000106013	ENSTNIP00000020940
ENSMUSP00000133356	ENSTNIP00000007526
ENSMUSP00000027186	ENSTNIP00000013259
ENSMUSP00000021410	ENSTNIP00000006531
ENSMUSP00000112266	ENSTNIP00000015993
ENSMUSP00000088176	ENSTNIP00000022632
ENSMUSP00000080881	ENSTNIP00000007624
ENSMUSP00000051092	ENSTNIP00000019265
ENSMUSP00000074066	ENSTNIP00000009667
ENSMUSP00000074066	ENSTNIP00000003016
ENSMUSP00000087608	ENSTNIP00000020927
ENSMUSP00000101412	ENSTNIP00000013837
ENSMUSP00000101412	ENSTNIP00000017694
ENSMUSP00000029730	ENSTNIP00000007566
ENSMUSP00000044361	ENSTNIP00000020867
ENSMUSP00000022709	ENSTNIP00000001514
ENSMUSP00000103742	ENSTNIP00000016045
ENSMUSP00000025295	ENSTNIP00000021372
ENSMUSP00000022242	ENSTNIP00000018651
ENSMUSP00000003754	ENSTNIP00000009799
ENSMUSP00000003754	ENSTNIP00000012169
ENSMUSP00000072276	ENSTNIP00000012751
ENSMUSP00000029450	ENSTNIP00000021450
ENSMUSP00000057815	ENSTNIP00000001958
ENSMUSP00000050820	ENSTNIP00000020238
ENSMUSP00000021552	ENSTNIP00000004746
ENSMUSP00000022057	ENSTNIP00000021578
ENSMUSP00000103983	ENSTNIP00000015673
ENSMUSP00000037808	ENSTNIP00000015460
ENSMUSP00000037808	ENSTNIP00000006584
ENSMUSP00000120414	ENSTNIP00000020401
ENSMUSP00000026548	ENSTNIP00000020215
ENSMUSP00000047616	ENSTNIP00000009579
ENSMUSP00000026900	ENSTNIP00000013344
ENSMUSP00000014691	ENSTNIP00000018785
ENSMUSP00000109140	ENSTNIP00000017319
ENSMUSP00000078047	ENSTNIP00000020869
ENSMUSP00000096876	ENSTNIP00000011748
ENSMUSP00000096877	ENSTNIP00000008739
ENSMUSP00000025253	ENSTNIP00000006936
ENSMUSP00000064943	ENSTNIP00000018905
ENSMUSP00000017945	ENSTNIP00000014639
ENSMUSP00000031167	ENSTNIP00000007558
ENSMUSP00000076418	ENSTNIP00000004053
ENSMUSP00000099494	ENSTNIP00000005280
ENSMUSP00000033427	ENSTNIP00000008753
ENSMUSP00000015449	ENSTNIP00000003867
ENSMUSP00000015449	ENSTNIP00000022513
ENSMUSP00000025356	ENSTNIP00000012501
ENSMUSP00000004036	ENSTNIP00000002076
ENSMUSP00000001319	ENSTNIP00000020981
ENSMUSP00000001319	ENSTNIP00000012308
ENSMUSP00000029476	ENSTNIP00000009416
ENSMUSP00000039568	ENSTNIP00000018773
ENSMUSP00000077628	ENSTNIP00000015709
ENSMUSP00000061410	ENSTNIP00000018032
ENSMUSP00000084196	ENSTNIP00000001586
ENSMUSP00000048234	ENSTNIP00000019658
ENSMUSP00000064521	ENSTNIP00000000320
ENSMUSP00000002740	ENSTNIP00000004024
ENSMUSP00000046512	ENSTNIP00000017932
ENSMUSP00000022744	ENSTNIP00000011915
ENSMUSP00000022744	ENSTNIP00000018880
ENSMUSP00000050001	ENSTNIP00000004424
ENSMUSP00000085650	ENSTNIP00000002686
ENSMUSP00000023065	ENSTNIP00000015907
ENSMUSP00000029435	ENSTNIP00000018177
ENSMUSP00000100053	ENSTNIP00000015657
ENSMUSP00000138290	ENSTNIP00000022081
ENSMUSP00000089388	ENSTNIP00000003875
ENSMUSP00000089388	ENSTNIP00000022264
ENSMUSP00000021641	ENSTNIP00000007390
ENSMUSP00000021641	ENSTNIP00000011204
ENSMUSP00000104785	ENSTNIP00000015428
ENSMUSP00000031029	ENSTNIP00000019436
ENSMUSP00000041563	ENSTNIP00000015203
ENSMUSP00000060143	ENSTNIP00000015068
ENSMUSP00000105491	ENSTNIP00000002065
ENSMUSP00000062734	ENSTNIP00000005998
ENSMUSP00000099609	ENSTNIP00000020429
ENSMUSP00000005188	ENSTNIP00000010537
ENSMUSP00000083490	ENSTNIP00000000543
ENSMUSP00000015877	ENSTNIP00000019149
ENSMUSP00000003183	ENSTNIP00000022198
ENSMUSP00000031359	ENSTNIP00000010347
ENSMUSP00000031359	ENSTNIP00000018657
ENSMUSP00000071191	ENSTNIP00000002445
ENSMUSP00000094515	ENSTNIP00000001014
ENSMUSP00000047571	ENSTNIP00000004635
ENSMUSP00000069872	ENSTNIP00000009927
ENSMUSP00000053086	ENSTNIP00000001829
ENSMUSP00000125912	ENSTNIP00000011758
ENSMUSP00000111032	ENSTNIP00000018065
ENSMUSP00000041902	ENSTNIP00000013181
ENSMUSP00000041902	ENSTNIP00000010607
ENSMUSP00000039955	ENSTNIP00000006048
ENSMUSP00000039955	ENSTNIP00000022797
ENSMUSP00000011262	ENSTNIP00000011448
ENSMUSP00000126405	ENSTNIP00000008995
ENSMUSP00000124354	ENSTNIP00000011195
ENSMUSP00000087049	ENSTNIP00000019883
ENSMUSP00000096203	ENSTNIP00000021201
ENSMUSP00000022881	ENSTNIP00000010821
ENSMUSP00000095300	ENSTNIP00000017551
ENSMUSP00000075916	ENSTNIP00000014003
ENSMUSP00000113540	ENSTNIP00000012703
ENSMUSP00000022164	ENSTNIP00000016430
ENSMUSP00000075140	ENSTNIP00000016177
ENSMUSP00000113881	ENSTNIP00000022373
ENSMUSP00000023737	ENSTNIP00000018121
ENSMUSP00000100561	ENSTNIP00000011794
ENSMUSP00000100561	ENSTNIP00000021365
ENSMUSP00000055267	ENSTNIP00000005705
ENSMUSP00000138351	ENSTNIP00000017519
ENSMUSP00000138351	ENSTNIP00000019525
ENSMUSP00000035083	ENSTNIP00000020430
ENSMUSP00000017544	ENSTNIP00000014666
ENSMUSP00000017544	ENSTNIP00000006522
ENSMUSP00000048148	ENSTNIP00000009856
ENSMUSP00000048148	ENSTNIP00000014965
ENSMUSP00000073004	ENSTNIP00000007733
ENSMUSP00000028814	ENSTNIP00000019815
ENSMUSP00000031317	ENSTNIP00000002616
ENSMUSP00000112717	ENSTNIP00000010660
ENSMUSP00000025050	ENSTNIP00000004702
ENSMUSP00000102034	ENSTNIP00000014264
ENSMUSP00000102034	ENSTNIP00000015331
ENSMUSP00000073541	ENSTNIP00000013025
ENSMUSP00000025713	ENSTNIP00000013719
ENSMUSP00000042803	ENSTNIP00000019565
ENSMUSP00000041581	ENSTNIP00000005476
ENSMUSP00000041581	ENSTNIP00000021407
ENSMUSP00000118729	ENSTNIP00000010823
ENSMUSP00000024701	ENSTNIP00000022121
ENSMUSP00000033326	ENSTNIP00000016740
ENSMUSP00000038754	ENSTNIP00000011643
ENSMUSP00000004943	ENSTNIP00000010200
ENSMUSP00000004508	ENSTNIP00000006092
ENSMUSP00000107530	ENSTNIP00000019616
ENSMUSP00000052144	ENSTNIP00000015498
ENSMUSP00000086167	ENSTNIP00000003245
ENSMUSP00000033218	ENSTNIP00000011081
ENSMUSP00000073402	ENSTNIP00000005182
ENSMUSP00000054546	ENSTNIP00000008120
ENSMUSP00000060394	ENSTNIP00000016241
ENSMUSP00000030606	ENSTNIP00000020412
ENSMUSP00000132646	ENSTNIP00000000943
ENSMUSP00000132646	ENSTNIP00000015902
ENSMUSP00000064886	ENSTNIP00000001339
ENSMUSP00000064886	ENSTNIP00000010922
ENSMUSP00000033927	ENSTNIP00000015654
ENSMUSP00000076844	ENSTNIP00000011787
ENSMUSP00000129811	ENSTNIP00000007856
ENSMUSP00000023494	ENSTNIP00000018741
ENSMUSP00000021271	ENSTNIP00000010001
ENSMUSP00000027687	ENSTNIP00000018079
ENSMUSP00000025702	ENSTNIP00000015996
ENSMUSP00000019379	ENSTNIP00000020557
ENSMUSP00000037447	ENSTNIP00000008257
ENSMUSP00000037447	ENSTNIP00000011087
ENSMUSP00000078384	ENSTNIP00000010919
ENSMUSP00000037821	ENSTNIP00000017472
ENSMUSP00000037821	ENSTNIP00000012682
ENSMUSP00000105657	ENSTNIP00000019738
ENSMUSP00000085022	ENSTNIP00000013779
ENSMUSP00000137895	ENSTNIP00000009655
ENSMUSP00000137895	ENSTNIP00000014194
ENSMUSP00000092380	ENSTNIP00000022970
ENSMUSP00000092380	ENSTNIP00000008400
ENSMUSP00000019734	ENSTNIP00000017009
ENSMUSP00000028403	ENSTNIP00000020053
ENSMUSP00000097656	ENSTNIP00000015230
ENSMUSP00000135853	ENSTNIP00000007452
ENSMUSP00000113147	ENSTNIP00000005571
ENSMUSP00000064516	ENSTNIP00000016913
ENSMUSP00000052146	ENSTNIP00000022140
ENSMUSP00000109612	ENSTNIP00000011154
ENSMUSP00000022993	ENSTNIP00000022269
ENSMUSP00000009236	ENSTNIP00000022800
ENSMUSP00000120015	ENSTNIP00000013251
ENSMUSP00000105923	ENSTNIP00000022471
ENSMUSP00000105923	ENSTNIP00000006262
ENSMUSP00000109036	ENSTNIP00000011820
ENSMUSP00000107677	ENSTNIP00000022104
ENSMUSP00000041874	ENSTNIP00000005411
ENSMUSP00000098096	ENSTNIP00000005641
ENSMUSP00000131477	ENSTNIP00000022479
ENSMUSP00000033591	ENSTNIP00000019984
ENSMUSP00000097971	ENSTNIP00000017426
ENSMUSP00000031556	ENSTNIP00000007667
ENSMUSP00000069182	ENSTNIP00000000553
ENSMUSP00000090886	ENSTNIP00000009798
ENSMUSP00000022697	ENSTNIP00000006112
ENSMUSP00000020507	ENSTNIP00000006018
ENSMUSP00000025196	ENSTNIP00000021350
ENSMUSP00000132140	ENSTNIP00000000317
ENSMUSP00000132140	ENSTNIP00000009794
ENSMUSP00000022803	ENSTNIP00000010770
ENSMUSP00000105413	ENSTNIP00000006989
ENSMUSP00000117384	ENSTNIP00000022490
ENSMUSP00000023072	ENSTNIP00000019058
ENSMUSP00000131443	ENSTNIP00000019059
ENSMUSP00000059463	ENSTNIP00000021335
ENSMUSP00000059570	ENSTNIP00000011724
ENSMUSP00000059210	ENSTNIP00000015942
ENSMUSP00000070906	ENSTNIP00000012125
ENSMUSP00000010974	ENSTNIP00000013759
ENSMUSP00000054420	ENSTNIP00000008543
ENSMUSP00000050014	ENSTNIP00000016503
ENSMUSP00000037238	ENSTNIP00000006046
ENSMUSP00000021828	ENSTNIP00000010353
ENSMUSP00000095534	ENSTNIP00000018558
ENSMUSP00000083561	ENSTNIP00000007188
ENSMUSP00000020174	ENSTNIP00000013890
ENSMUSP00000002298	ENSTNIP00000021445
ENSMUSP00000053178	ENSTNIP00000019420
ENSMUSP00000027062	ENSTNIP00000011014
ENSMUSP00000033136	ENSTNIP00000016071
ENSMUSP00000044725	ENSTNIP00000000933
ENSMUSP00000049112	ENSTNIP00000012202
ENSMUSP00000136621	ENSTNIP00000016908
ENSMUSP00000037586	ENSTNIP00000015176
ENSMUSP00000058183	ENSTNIP00000019955
ENSMUSP00000069209	ENSTNIP00000013158
ENSMUSP00000019006	ENSTNIP00000014823
ENSMUSP00000109734	ENSTNIP00000014042
ENSMUSP00000062702	ENSTNIP00000011723
ENSMUSP00000062702	ENSTNIP00000020318
ENSMUSP00000110751	ENSTNIP00000021530
ENSMUSP00000038486	ENSTNIP00000014809
ENSMUSP00000082501	ENSTNIP00000005600
ENSMUSP00000101648	ENSTNIP00000014327
ENSMUSP00000035486	ENSTNIP00000009636
ENSMUSP00000023707	ENSTNIP00000012838
ENSMUSP00000098768	ENSTNIP00000015335
ENSMUSP00000026409	ENSTNIP00000015505
ENSMUSP00000027266	ENSTNIP00000018791
ENSMUSP00000056245	ENSTNIP00000013280
ENSMUSP00000100922	ENSTNIP00000000034
ENSMUSP00000021822	ENSTNIP00000005226
ENSMUSP00000063977	ENSTNIP00000014406
ENSMUSP00000086542	ENSTNIP00000005323
ENSMUSP00000077995	ENSTNIP00000017453
ENSMUSP00000005334	ENSTNIP00000008055
ENSMUSP00000033828	ENSTNIP00000012321
ENSMUSP00000021249	ENSTNIP00000017151
ENSMUSP00000088320	ENSTNIP00000020070
ENSMUSP00000061221	ENSTNIP00000018606
ENSMUSP00000028105	ENSTNIP00000021565
ENSMUSP00000041242	ENSTNIP00000020934
ENSMUSP00000047518	ENSTNIP00000002500
ENSMUSP00000004473	ENSTNIP00000003559
ENSMUSP00000035539	ENSTNIP00000016687
ENSMUSP00000060907	ENSTNIP00000015792
ENSMUSP00000020153	ENSTNIP00000001091
ENSMUSP00000103786	ENSTNIP00000021640
ENSMUSP00000052717	ENSTNIP00000005478
ENSMUSP00000095966	ENSTNIP00000005576
ENSMUSP00000000895	ENSTNIP00000017874
ENSMUSP00000000895	ENSTNIP00000007061
ENSMUSP00000115822	ENSTNIP00000008234
ENSMUSP00000028135	ENSTNIP00000022579
ENSMUSP00000028135	ENSTNIP00000007169
ENSMUSP00000009358	ENSTNIP00000019848
ENSMUSP00000025010	ENSTNIP00000010693
ENSMUSP00000051151	ENSTNIP00000010544
ENSMUSP00000106978	ENSTNIP00000003164
ENSMUSP00000077273	ENSTNIP00000009465
ENSMUSP00000031291	ENSTNIP00000014423
ENSMUSP00000109907	ENSTNIP00000003705
ENSMUSP00000043074	ENSTNIP00000008313
ENSMUSP00000006380	ENSTNIP00000013835
ENSMUSP00000060194	ENSTNIP00000000781
ENSMUSP00000107439	ENSTNIP00000017174
ENSMUSP00000107439	ENSTNIP00000016315
ENSMUSP00000051481	ENSTNIP00000011837
ENSMUSP00000071914	ENSTNIP00000015780
ENSMUSP00000119774	ENSTNIP00000011433
ENSMUSP00000119774	ENSTNIP00000019264
ENSMUSP00000025936	ENSTNIP00000017435
ENSMUSP00000047992	ENSTNIP00000015266
ENSMUSP00000032977	ENSTNIP00000003879
ENSMUSP00000071292	ENSTNIP00000019374
ENSMUSP00000029049	ENSTNIP00000008572
ENSMUSP00000043682	ENSTNIP00000001096
ENSMUSP00000063879	ENSTNIP00000019863
ENSMUSP00000025914	ENSTNIP00000019921
ENSMUSP00000004913	ENSTNIP00000013665
ENSMUSP00000053869	ENSTNIP00000011084
ENSMUSP00000053869	ENSTNIP00000009805
ENSMUSP00000029665	ENSTNIP00000021192
ENSMUSP00000025803	ENSTNIP00000011461
ENSMUSP00000034881	ENSTNIP00000013623
ENSMUSP00000050684	ENSTNIP00000017746
ENSMUSP00000020821	ENSTNIP00000005922
ENSMUSP00000098687	ENSTNIP00000020816
ENSMUSP00000137400	ENSTNIP00000008354
ENSMUSP00000026445	ENSTNIP00000012666
ENSMUSP00000026445	ENSTNIP00000015845
ENSMUSP00000081132	ENSTNIP00000015421
ENSMUSP00000037004	ENSTNIP00000010861
ENSMUSP00000037328	ENSTNIP00000008883
ENSMUSP00000049236	ENSTNIP00000012972
ENSMUSP00000071130	ENSTNIP00000012802
ENSMUSP00000037476	ENSTNIP00000020392
ENSMUSP00000023434	ENSTNIP00000005445
ENSMUSP00000031650	ENSTNIP00000000805
ENSMUSP00000049676	ENSTNIP00000011607
ENSMUSP00000022529	ENSTNIP00000017713
ENSMUSP00000001185	ENSTNIP00000011977
ENSMUSP00000121358	ENSTNIP00000005217
ENSMUSP00000068328	ENSTNIP00000008229
ENSMUSP00000068328	ENSTNIP00000000282
ENSMUSP00000048238	ENSTNIP00000014910
ENSMUSP00000112592	ENSTNIP00000010909
ENSMUSP00000028129	ENSTNIP00000019849
ENSMUSP00000049103	ENSTNIP00000014570
ENSMUSP00000065613	ENSTNIP00000012602
ENSMUSP00000039394	ENSTNIP00000021094
ENSMUSP00000039394	ENSTNIP00000017714
ENSMUSP00000089237	ENSTNIP00000001911
ENSMUSP00000089237	ENSTNIP00000012622
ENSMUSP00000004587	ENSTNIP00000022352
ENSMUSP00000026890	ENSTNIP00000012526
ENSMUSP00000009018	ENSTNIP00000012224
ENSMUSP00000022311	ENSTNIP00000021336
ENSMUSP00000052872	ENSTNIP00000008616
ENSMUSP00000042642	ENSTNIP00000020130
ENSMUSP00000020185	ENSTNIP00000002967
ENSMUSP00000112138	ENSTNIP00000022461
ENSMUSP00000044288	ENSTNIP00000011512
ENSMUSP00000044288	ENSTNIP00000014805
ENSMUSP00000087118	ENSTNIP00000018925
ENSMUSP00000087118	ENSTNIP00000011970
ENSMUSP00000099864	ENSTNIP00000009812
ENSMUSP00000042266	ENSTNIP00000004511
ENSMUSP00000008462	ENSTNIP00000013193
ENSMUSP00000118125	ENSTNIP00000009999
ENSMUSP00000041361	ENSTNIP00000021617
ENSMUSP00000041361	ENSTNIP00000012098
ENSMUSP00000105272	ENSTNIP00000022144
ENSMUSP00000074872	ENSTNIP00000009481
ENSMUSP00000035663	ENSTNIP00000013287
ENSMUSP00000033646	ENSTNIP00000004163
ENSMUSP00000128318	ENSTNIP00000007559
ENSMUSP00000134672	ENSTNIP00000022028
ENSMUSP00000047284	ENSTNIP00000002905
ENSMUSP00000038610	ENSTNIP00000000446
ENSMUSP00000038610	ENSTNIP00000004874
ENSMUSP00000090227	ENSTNIP00000006697
ENSMUSP00000037629	ENSTNIP00000019897
ENSMUSP00000130194	ENSTNIP00000015997
ENSMUSP00000118180	ENSTNIP00000005702
ENSMUSP00000022148	ENSTNIP00000019045
ENSMUSP00000035116	ENSTNIP00000009450
ENSMUSP00000020672	ENSTNIP00000020759
ENSMUSP00000014339	ENSTNIP00000014286
ENSMUSP00000014339	ENSTNIP00000009398
ENSMUSP00000133205	ENSTNIP00000000833
ENSMUSP00000110817	ENSTNIP00000003178
ENSMUSP00000047376	ENSTNIP00000015560
ENSMUSP00000115292	ENSTNIP00000008115
ENSMUSP00000031472	ENSTNIP00000018962
ENSMUSP00000131462	ENSTNIP00000021602
ENSMUSP00000069243	ENSTNIP00000009018
ENSMUSP00000034343	ENSTNIP00000012289
ENSMUSP00000128828	ENSTNIP00000011299
ENSMUSP00000023829	ENSTNIP00000017672
ENSMUSP00000065832	ENSTNIP00000003848
ENSMUSP00000108508	ENSTNIP00000019020
ENSMUSP00000108508	ENSTNIP00000008383
ENSMUSP00000129654	ENSTNIP00000015261
ENSMUSP00000061308	ENSTNIP00000009169
ENSMUSP00000054734	ENSTNIP00000007111
ENSMUSP00000000186	ENSTNIP00000014355
ENSMUSP00000041104	ENSTNIP00000014785
ENSMUSP00000021306	ENSTNIP00000008028
ENSMUSP00000024773	ENSTNIP00000016377
ENSMUSP00000024773	ENSTNIP00000017479
ENSMUSP00000093961	ENSTNIP00000019912
ENSMUSP00000028892	ENSTNIP00000014038
ENSMUSP00000090941	ENSTNIP00000015039
ENSMUSP00000018122	ENSTNIP00000013320
ENSMUSP00000105620	ENSTNIP00000018934
ENSMUSP00000102267	ENSTNIP00000018193
ENSMUSP00000045351	ENSTNIP00000005470
ENSMUSP00000025659	ENSTNIP00000006951
ENSMUSP00000025659	ENSTNIP00000007908
ENSMUSP00000023583	ENSTNIP00000002053
ENSMUSP00000052056	ENSTNIP00000003355
ENSMUSP00000007130	ENSTNIP00000022288
ENSMUSP00000050577	ENSTNIP00000014312
ENSMUSP00000115871	ENSTNIP00000020819
