ENSGACP00000024945	ENSDARP00000122973
ENSGACP00000023069	ENSDARP00000071803
ENSGACP00000010330	ENSDARP00000104252
ENSGACP00000017329	ENSDARP00000115297
ENSGACP00000023189	ENSDARP00000101295
ENSGACP00000007780	ENSDARP00000105800
ENSGACP00000026852	ENSDARP00000107792
ENSGACP00000005046	ENSDARP00000091270
ENSGACP00000011177	ENSDARP00000105943
ENSGACP00000023779	ENSDARP00000099481
ENSGACP00000019973	ENSDARP00000086709
ENSGACP00000020489	ENSDARP00000101531
ENSGACP00000023037	ENSDARP00000068393
ENSGACP00000020897	ENSDARP00000123268
ENSGACP00000017336	ENSDARP00000005892
ENSGACP00000005991	ENSDARP00000127243
ENSGACP00000009334	ENSDARP00000099277
ENSGACP00000011961	ENSDARP00000053870
ENSGACP00000020527	ENSDARP00000076101
ENSGACP00000005121	ENSDARP00000125090
ENSGACP00000027416	ENSDARP00000101276
ENSGACP00000012191	ENSDARP00000100359
ENSGACP00000008289	ENSDARP00000100517
ENSGACP00000025880	ENSDARP00000095271
ENSGACP00000026211	ENSDARP00000026854
ENSGACP00000010359	ENSDARP00000098284
ENSGACP00000008822	ENSDARP00000129640
ENSGACP00000009155	ENSDARP00000113433
ENSGACP00000024109	ENSDARP00000002041
ENSGACP00000018128	ENSDARP00000124947
ENSGACP00000020799	ENSDARP00000085784
ENSGACP00000024862	ENSDARP00000116836
ENSGACP00000015504	ENSDARP00000067433
ENSGACP00000006537	ENSDARP00000061734
ENSGACP00000025821	ENSDARP00000098708
ENSGACP00000024304	ENSDARP00000112197
ENSGACP00000014426	ENSDARP00000100180
ENSGACP00000018840	ENSDARP00000101967
ENSGACP00000005377	ENSDARP00000015055
ENSGACP00000026799	ENSDARP00000042161
ENSGACP00000014953	ENSDARP00000074443
ENSGACP00000008045	ENSDARP00000073397
ENSGACP00000015512	ENSDARP00000072702
ENSGACP00000006573	ENSDARP00000098162
ENSGACP00000007274	ENSDARP00000097546
ENSGACP00000014739	ENSDARP00000100405
ENSGACP00000009564	ENSDARP00000100899
ENSGACP00000018088	ENSDARP00000109848
ENSGACP00000021688	ENSDARP00000040382
ENSGACP00000017445	ENSDARP00000119402
ENSGACP00000009690	ENSDARP00000107880
ENSGACP00000014476	ENSDARP00000098109
ENSGACP00000004716	ENSDARP00000098740
ENSGACP00000016729	ENSDARP00000041876
ENSGACP00000003302	ENSDARP00000129203
ENSGACP00000017021	ENSDARP00000092287
ENSGACP00000025619	ENSDARP00000066960
ENSGACP00000010233	ENSDARP00000074070
ENSGACP00000018317	ENSDARP00000122980
ENSGACP00000014147	ENSDARP00000101389
ENSGACP00000017361	ENSDARP00000074509
ENSGACP00000020670	ENSDARP00000109280
ENSGACP00000018062	ENSDARP00000123618
ENSGACP00000025655	ENSDARP00000093819
ENSGACP00000011918	ENSDARP00000106338
ENSGACP00000020130	ENSDARP00000109831
ENSGACP00000012509	ENSDARP00000050201
ENSGACP00000003032	ENSDARP00000107977
ENSGACP00000019057	ENSDARP00000108060
ENSGACP00000018471	ENSDARP00000069025
ENSGACP00000014129	ENSDARP00000084810
ENSGACP00000026513	ENSDARP00000065670
ENSGACP00000017404	ENSDARP00000080960
ENSGACP00000018165	ENSDARP00000080968
ENSGACP00000018510	ENSDARP00000075860
ENSGACP00000018515	ENSDARP00000075872
ENSGACP00000001839	ENSDARP00000092923
ENSGACP00000017830	ENSDARP00000124374
ENSGACP00000025523	ENSDARP00000007258
ENSGACP00000017503	ENSDARP00000005954
ENSGACP00000019685	ENSDARP00000058159
ENSGACP00000012970	ENSDARP00000107045
ENSGACP00000026097	ENSDARP00000015938
ENSGACP00000013402	ENSDARP00000097617
ENSGACP00000009954	ENSDARP00000100510
ENSGACP00000018668	ENSDARP00000077546
ENSGACP00000021805	ENSDARP00000108518
ENSGACP00000014181	ENSDARP00000117502
ENSGACP00000004299	ENSDARP00000019488
ENSGACP00000014369	ENSDARP00000018866
ENSGACP00000006237	ENSDARP00000018231
ENSGACP00000005443	ENSDARP00000123712
ENSGACP00000000827	ENSDARP00000129100
ENSGACP00000002260	ENSDARP00000103592
ENSGACP00000021060	ENSDARP00000023797
ENSGACP00000023831	ENSDARP00000123760
ENSGACP00000006965	ENSDARP00000055658
ENSGACP00000007154	ENSDARP00000120020
ENSGACP00000020909	ENSDARP00000033398
ENSGACP00000018198	ENSDARP00000062147
ENSGACP00000018201	ENSDARP00000021226
ENSGACP00000027488	ENSDARP00000114730
ENSGACP00000027317	ENSDARP00000109319
ENSGACP00000024692	ENSDARP00000108874
ENSGACP00000024629	ENSDARP00000108451
ENSGACP00000022286	ENSDARP00000062256
ENSGACP00000001254	ENSDARP00000114912
ENSGACP00000019479	ENSDARP00000018694
ENSGACP00000007449	ENSDARP00000036613
ENSGACP00000024316	ENSDARP00000062174
ENSGACP00000019498	ENSDARP00000043250
ENSGACP00000024755	ENSDARP00000054182
ENSGACP00000018636	ENSDARP00000066603
ENSGACP00000014813	ENSDARP00000128560
ENSGACP00000012940	ENSDARP00000116549
ENSGACP00000018529	ENSDARP00000082575
ENSGACP00000027515	ENSDARP00000113286
ENSGACP00000024145	ENSDARP00000097432
ENSGACP00000027346	ENSDARP00000098459
ENSGACP00000009087	ENSDARP00000120960
ENSGACP00000012574	ENSDARP00000128940
ENSGACP00000012476	ENSDARP00000047706
ENSGACP00000018760	ENSDARP00000070975
ENSGACP00000007924	ENSDARP00000099128
ENSGACP00000020842	ENSDARP00000125083
ENSGACP00000005505	ENSDARP00000056926
ENSGACP00000019238	ENSDARP00000094887
ENSGACP00000021452	ENSDARP00000067355
ENSGACP00000024440	ENSDARP00000079776
ENSGACP00000025142	ENSDARP00000110284
ENSGACP00000015946	ENSDARP00000107559
ENSGACP00000001938	ENSDARP00000034301
ENSGACP00000006224	ENSDARP00000056644
ENSGACP00000005037	ENSDARP00000022759
ENSGACP00000013924	ENSDARP00000078703
ENSGACP00000011863	ENSDARP00000074306
ENSGACP00000010599	ENSDARP00000092244
ENSGACP00000017810	ENSDARP00000106438
ENSGACP00000004863	ENSDARP00000114403
ENSGACP00000017012	ENSDARP00000121519
ENSGACP00000000649	ENSDARP00000052139
ENSGACP00000019653	ENSDARP00000114512
ENSGACP00000004652	ENSDARP00000052392
ENSGACP00000001361	ENSDARP00000081856
ENSGACP00000007654	ENSDARP00000121793
ENSGACP00000011773	ENSDARP00000063436
ENSGACP00000001902	ENSDARP00000127197
ENSGACP00000020875	ENSDARP00000090413
ENSGACP00000008119	ENSDARP00000016064
ENSGACP00000014964	ENSDARP00000074736
ENSGACP00000005011	ENSDARP00000018653
ENSGACP00000024159	ENSDARP00000057884
ENSGACP00000004483	ENSDARP00000033747
ENSGACP00000023677	ENSDARP00000106596
ENSGACP00000022045	ENSDARP00000054876
ENSGACP00000002254	ENSDARP00000089043
ENSGACP00000018806	ENSDARP00000099755
ENSGACP00000016946	ENSDARP00000042943
ENSGACP00000015043	ENSDARP00000100263
ENSGACP00000005110	ENSDARP00000012119
ENSGACP00000004505	ENSDARP00000094844
ENSGACP00000005117	ENSDARP00000088293
ENSGACP00000011266	ENSDARP00000126719
ENSGACP00000010662	ENSDARP00000086615
ENSGACP00000002940	ENSDARP00000120615
ENSGACP00000022320	ENSDARP00000102289
ENSGACP00000018218	ENSDARP00000006108
ENSGACP00000011864	ENSDARP00000102172
ENSGACP00000008392	ENSDARP00000129028
ENSGACP00000021860	ENSDARP00000088103
ENSGACP00000021277	ENSDARP00000049327
ENSGACP00000020609	ENSDARP00000108755
ENSGACP00000011319	ENSDARP00000097554
ENSGACP00000010898	ENSDARP00000030815
ENSGACP00000021496	ENSDARP00000023608
ENSGACP00000014508	ENSDARP00000037350
ENSGACP00000014713	ENSDARP00000117529
ENSGACP00000025761	ENSDARP00000125910
ENSGACP00000023194	ENSDARP00000054208
ENSGACP00000001851	ENSDARP00000041577
ENSGACP00000017272	ENSDARP00000127159
ENSGACP00000007140	ENSDARP00000098839
ENSGACP00000004718	ENSDARP00000087709
ENSGACP00000014491	ENSDARP00000053538
ENSGACP00000003668	ENSDARP00000066697
ENSGACP00000005501	ENSDARP00000109774
ENSGACP00000003808	ENSDARP00000110569
ENSGACP00000004396	ENSDARP00000057688
ENSGACP00000015549	ENSDARP00000063395
ENSGACP00000006310	ENSDARP00000111840
ENSGACP00000021189	ENSDARP00000111102
ENSGACP00000006797	ENSDARP00000118732
ENSGACP00000019201	ENSDARP00000126025
ENSGACP00000020864	ENSDARP00000110737
ENSGACP00000015057	ENSDARP00000108684
ENSGACP00000007742	ENSDARP00000101014
ENSGACP00000010443	ENSDARP00000122329
ENSGACP00000022735	ENSDARP00000057295
ENSGACP00000005665	ENSDARP00000081363
ENSGACP00000020470	ENSDARP00000058889
ENSGACP00000012078	ENSDARP00000034453
ENSGACP00000019681	ENSDARP00000125629
ENSGACP00000012185	ENSDARP00000097987
ENSGACP00000005671	ENSDARP00000098927
ENSGACP00000025799	ENSDARP00000125045
ENSGACP00000015027	ENSDARP00000125217
ENSGACP00000025152	ENSDARP00000120216
ENSGACP00000027215	ENSDARP00000064375
ENSGACP00000004951	ENSDARP00000032009
ENSGACP00000014216	ENSDARP00000120650
ENSGACP00000003458	ENSDARP00000021751
ENSGACP00000003479	ENSDARP00000111633
ENSGACP00000006344	ENSDARP00000124407
ENSGACP00000022496	ENSDARP00000093865
ENSGACP00000026186	ENSDARP00000092235
ENSGACP00000005348	ENSDARP00000064800
ENSGACP00000021898	ENSDARP00000056898
ENSGACP00000001718	ENSDARP00000094251
ENSGACP00000010525	ENSDARP00000106106
ENSGACP00000010406	ENSDARP00000074557
ENSGACP00000010976	ENSDARP00000073041
ENSGACP00000022705	ENSDARP00000012018
ENSGACP00000012071	ENSDARP00000053425
ENSGACP00000016377	ENSDARP00000109540
ENSGACP00000004496	ENSDARP00000027964
ENSGACP00000004794	ENSDARP00000086301
ENSGACP00000004818	ENSDARP00000030904
ENSGACP00000025594	ENSDARP00000020485
ENSGACP00000020198	ENSDARP00000018668
ENSGACP00000020186	ENSDARP00000089398
ENSGACP00000022675	ENSDARP00000051762
ENSGACP00000018588	ENSDARP00000074268
ENSGACP00000007404	ENSDARP00000053753
ENSGACP00000009947	ENSDARP00000105518
ENSGACP00000023991	ENSDARP00000063856
ENSGACP00000006246	ENSDARP00000014414
ENSGACP00000013276	ENSDARP00000094302
ENSGACP00000006151	ENSDARP00000055770
ENSGACP00000025587	ENSDARP00000127252
ENSGACP00000027009	ENSDARP00000114601
ENSGACP00000026483	ENSDARP00000056004
ENSGACP00000013384	ENSDARP00000099151
ENSGACP00000011576	ENSDARP00000059034
ENSGACP00000020536	ENSDARP00000069890
ENSGACP00000004506	ENSDARP00000082791
ENSGACP00000005880	ENSDARP00000114051
ENSGACP00000025356	ENSDARP00000009075
ENSGACP00000012787	ENSDARP00000077561
ENSGACP00000014465	ENSDARP00000080650
ENSGACP00000024376	ENSDARP00000057943
ENSGACP00000011540	ENSDARP00000091586
ENSGACP00000011240	ENSDARP00000055236
ENSGACP00000026277	ENSDARP00000027699
ENSGACP00000007866	ENSDARP00000098095
ENSGACP00000020479	ENSDARP00000029369
ENSGACP00000011227	ENSDARP00000073232
ENSGACP00000019147	ENSDARP00000042385
ENSGACP00000005928	ENSDARP00000041710
ENSGACP00000005731	ENSDARP00000027268
ENSGACP00000014608	ENSDARP00000118572
ENSGACP00000010159	ENSDARP00000129217
ENSGACP00000027464	ENSDARP00000115504
ENSGACP00000014195	ENSDARP00000128866
ENSGACP00000015554	ENSDARP00000009683
ENSGACP00000006116	ENSDARP00000097799
ENSGACP00000004049	ENSDARP00000117814
ENSGACP00000008028	ENSDARP00000127670
ENSGACP00000019425	ENSDARP00000090464
ENSGACP00000006710	ENSDARP00000061631
ENSGACP00000023901	ENSDARP00000092973
ENSGACP00000021583	ENSDARP00000041848
ENSGACP00000013045	ENSDARP00000074848
ENSGACP00000027369	ENSDARP00000125766
ENSGACP00000016188	ENSDARP00000116378
ENSGACP00000018712	ENSDARP00000125720
ENSGACP00000025517	ENSDARP00000114109
ENSGACP00000007442	ENSDARP00000101959
ENSGACP00000002045	ENSDARP00000107771
ENSGACP00000016773	ENSDARP00000048656
ENSGACP00000026147	ENSDARP00000086813
ENSGACP00000015793	ENSDARP00000107144
ENSGACP00000016650	ENSDARP00000077501
ENSGACP00000016941	ENSDARP00000117021
ENSGACP00000003735	ENSDARP00000096392
ENSGACP00000024331	ENSDARP00000061012
ENSGACP00000007029	ENSDARP00000054292
ENSGACP00000013671	ENSDARP00000094525
ENSGACP00000002565	ENSDARP00000095378
ENSGACP00000017875	ENSDARP00000108186
ENSGACP00000021533	ENSDARP00000091853
ENSGACP00000024214	ENSDARP00000066100
ENSGACP00000009590	ENSDARP00000037019
ENSGACP00000021130	ENSDARP00000103596
ENSGACP00000011090	ENSDARP00000100383
ENSGACP00000013900	ENSDARP00000104635
ENSGACP00000026558	ENSDARP00000124521
ENSGACP00000013855	ENSDARP00000086992
ENSGACP00000004675	ENSDARP00000066577
ENSGACP00000003691	ENSDARP00000022511
ENSGACP00000020069	ENSDARP00000026457
ENSGACP00000012315	ENSDARP00000043937
ENSGACP00000027370	ENSDARP00000100035
ENSGACP00000027344	ENSDARP00000024338
ENSGACP00000016919	ENSDARP00000110363
ENSGACP00000017196	ENSDARP00000059346
ENSGACP00000004820	ENSDARP00000017897
ENSGACP00000008108	ENSDARP00000023938
ENSGACP00000005284	ENSDARP00000014221
ENSGACP00000026695	ENSDARP00000073379
ENSGACP00000005283	ENSDARP00000127394
ENSGACP00000017040	ENSDARP00000075507
ENSGACP00000018082	ENSDARP00000128019
ENSGACP00000026828	ENSDARP00000118849
ENSGACP00000006878	ENSDARP00000112985
ENSGACP00000011943	ENSDARP00000060242
ENSGACP00000022453	ENSDARP00000109240
ENSGACP00000018502	ENSDARP00000110575
ENSGACP00000017683	ENSDARP00000120079
ENSGACP00000010404	ENSDARP00000127609
ENSGACP00000020415	ENSDARP00000033069
ENSGACP00000017902	ENSDARP00000127164
ENSGACP00000021790	ENSDARP00000103641
ENSGACP00000000993	ENSDARP00000102362
ENSGACP00000016736	ENSDARP00000103453
ENSGACP00000023120	ENSDARP00000098754
ENSGACP00000012072	ENSDARP00000017197
ENSGACP00000003629	ENSDARP00000071656
ENSGACP00000006550	ENSDARP00000091902
ENSGACP00000001925	ENSDARP00000129407
ENSGACP00000019598	ENSDARP00000107165
ENSGACP00000010050	ENSDARP00000127012
ENSGACP00000000540	ENSDARP00000081027
ENSGACP00000023095	ENSDARP00000075363
ENSGACP00000011195	ENSDARP00000016775
ENSGACP00000026501	ENSDARP00000003646
ENSGACP00000006033	ENSDARP00000109712
ENSGACP00000012169	ENSDARP00000016160
ENSGACP00000006407	ENSDARP00000003494
ENSGACP00000004841	ENSDARP00000065237
ENSGACP00000015187	ENSDARP00000128455
ENSGACP00000027170	ENSDARP00000115151
ENSGACP00000009575	ENSDARP00000078004
ENSGACP00000016710	ENSDARP00000096305
ENSGACP00000022218	ENSDARP00000024800
ENSGACP00000025171	ENSDARP00000070559
ENSGACP00000007461	ENSDARP00000011713
ENSGACP00000014562	ENSDARP00000077372
ENSGACP00000012791	ENSDARP00000098380
ENSGACP00000010469	ENSDARP00000077647
ENSGACP00000021819	ENSDARP00000094422
ENSGACP00000014777	ENSDARP00000105764
ENSGACP00000015486	ENSDARP00000106435
ENSGACP00000011272	ENSDARP00000054236
ENSGACP00000013031	ENSDARP00000128587
ENSGACP00000024726	ENSDARP00000108206
ENSGACP00000021550	ENSDARP00000117572
ENSGACP00000001962	ENSDARP00000107509
ENSGACP00000010397	ENSDARP00000003250
ENSGACP00000021892	ENSDARP00000004582
ENSGACP00000013764	ENSDARP00000002204
ENSGACP00000011635	ENSDARP00000069534
ENSGACP00000027165	ENSDARP00000071476
ENSGACP00000022321	ENSDARP00000085144
ENSGACP00000003456	ENSDARP00000043842
ENSGACP00000002409	ENSDARP00000065168
ENSGACP00000012853	ENSDARP00000070742
ENSGACP00000015599	ENSDARP00000063943
ENSGACP00000009111	ENSDARP00000111935
ENSGACP00000003655	ENSDARP00000007727
ENSGACP00000022605	ENSDARP00000052708
ENSGACP00000022697	ENSDARP00000019528
ENSGACP00000027443	ENSDARP00000107396
ENSGACP00000017339	ENSDARP00000105551
ENSGACP00000013285	ENSDARP00000017569
ENSGACP00000002082	ENSDARP00000045887
ENSGACP00000003871	ENSDARP00000097932
ENSGACP00000004729	ENSDARP00000084540
ENSGACP00000013134	ENSDARP00000021653
ENSGACP00000016053	ENSDARP00000098121
ENSGACP00000014399	ENSDARP00000103704
ENSGACP00000019416	ENSDARP00000007492
ENSGACP00000018866	ENSDARP00000076098
ENSGACP00000002346	ENSDARP00000039716
ENSGACP00000011222	ENSDARP00000052123
ENSGACP00000018030	ENSDARP00000100610
ENSGACP00000000094	ENSDARP00000102654
ENSGACP00000002078	ENSDARP00000128388
ENSGACP00000016272	ENSDARP00000014113
ENSGACP00000027458	ENSDARP00000121457
ENSGACP00000022479	ENSDARP00000022726
ENSGACP00000015698	ENSDARP00000016951
ENSGACP00000018626	ENSDARP00000111686
ENSGACP00000007913	ENSDARP00000113086
ENSGACP00000004036	ENSDARP00000046343
ENSGACP00000009450	ENSDARP00000098343
ENSGACP00000020765	ENSDARP00000078553
ENSGACP00000000153	ENSDARP00000124716
ENSGACP00000010655	ENSDARP00000107945
ENSGACP00000013745	ENSDARP00000057618
ENSGACP00000017432	ENSDARP00000043625
ENSGACP00000017756	ENSDARP00000060029
ENSGACP00000019436	ENSDARP00000019054
ENSGACP00000010580	ENSDARP00000057868
ENSGACP00000011109	ENSDARP00000053962
ENSGACP00000022664	ENSDARP00000105782
ENSGACP00000020654	ENSDARP00000087660
ENSGACP00000027493	ENSDARP00000112905
ENSGACP00000013219	ENSDARP00000013482
ENSGACP00000015861	ENSDARP00000079535
ENSGACP00000020453	ENSDARP00000012137
ENSGACP00000002023	ENSDARP00000093222
ENSGACP00000010877	ENSDARP00000092468
ENSGACP00000025518	ENSDARP00000089381
ENSGACP00000023167	ENSDARP00000067938
ENSGACP00000010597	ENSDARP00000083251
ENSGACP00000010030	ENSDARP00000087713
ENSGACP00000018698	ENSDARP00000107760
ENSGACP00000001112	ENSDARP00000035566
ENSGACP00000016481	ENSDARP00000103526
ENSGACP00000011675	ENSDARP00000120498
ENSGACP00000010677	ENSDARP00000120289
ENSGACP00000005875	ENSDARP00000086571
ENSGACP00000017818	ENSDARP00000113301
ENSGACP00000027380	ENSDARP00000057612
ENSGACP00000021416	ENSDARP00000012597
ENSGACP00000001225	ENSDARP00000070032
ENSGACP00000024965	ENSDARP00000100874
ENSGACP00000004584	ENSDARP00000101043
ENSGACP00000026245	ENSDARP00000125120
ENSGACP00000002687	ENSDARP00000124900
ENSGACP00000008820	ENSDARP00000069820
ENSGACP00000000083	ENSDARP00000086821
ENSGACP00000019908	ENSDARP00000053361
ENSGACP00000013177	ENSDARP00000103064
ENSGACP00000010254	ENSDARP00000100701
ENSGACP00000003850	ENSDARP00000057038
ENSGACP00000000634	ENSDARP00000019981
ENSGACP00000022492	ENSDARP00000083458
ENSGACP00000007706	ENSDARP00000097937
ENSGACP00000010362	ENSDARP00000006001
ENSGACP00000015084	ENSDARP00000105905
ENSGACP00000004269	ENSDARP00000045487
ENSGACP00000020769	ENSDARP00000027027
ENSGACP00000025366	ENSDARP00000108197
ENSGACP00000008597	ENSDARP00000095532
ENSGACP00000023345	ENSDARP00000106117
ENSGACP00000014237	ENSDARP00000114538
ENSGACP00000022364	ENSDARP00000027246
ENSGACP00000001393	ENSDARP00000050351
ENSGACP00000024160	ENSDARP00000076364
ENSGACP00000018870	ENSDARP00000126137
ENSGACP00000018447	ENSDARP00000068911
ENSGACP00000026254	ENSDARP00000128555
ENSGACP00000006446	ENSDARP00000023819
ENSGACP00000007859	ENSDARP00000071058
ENSGACP00000014404	ENSDARP00000090113
ENSGACP00000018947	ENSDARP00000065447
ENSGACP00000002910	ENSDARP00000129013
ENSGACP00000018027	ENSDARP00000056094
ENSGACP00000005504	ENSDARP00000060245
ENSGACP00000025471	ENSDARP00000007090
ENSGACP00000027573	ENSDARP00000059477
ENSGACP00000002720	ENSDARP00000096527
ENSGACP00000020893	ENSDARP00000101751
ENSGACP00000016065	ENSDARP00000081578
ENSGACP00000004065	ENSDARP00000122270
ENSGACP00000007718	ENSDARP00000115549
ENSGACP00000003491	ENSDARP00000016703
ENSGACP00000020585	ENSDARP00000123510
ENSGACP00000008121	ENSDARP00000114374
ENSGACP00000010818	ENSDARP00000073314
ENSGACP00000011838	ENSDARP00000026766
ENSGACP00000023745	ENSDARP00000069096
ENSGACP00000008249	ENSDARP00000127003
ENSGACP00000004248	ENSDARP00000106788
ENSGACP00000020990	ENSDARP00000068336
ENSGACP00000010851	ENSDARP00000062967
ENSGACP00000026488	ENSDARP00000025192
ENSGACP00000006596	ENSDARP00000071267
ENSGACP00000010328	ENSDARP00000007713
ENSGACP00000005725	ENSDARP00000077948
ENSGACP00000001886	ENSDARP00000083973
ENSGACP00000004391	ENSDARP00000082038
ENSGACP00000015991	ENSDARP00000053202
ENSGACP00000020336	ENSDARP00000016900
ENSGACP00000001358	ENSDARP00000117888
ENSGACP00000025058	ENSDARP00000109243
ENSGACP00000022532	ENSDARP00000022427
ENSGACP00000005923	ENSDARP00000046439
ENSGACP00000016354	ENSDARP00000097865
ENSGACP00000007066	ENSDARP00000103811
ENSGACP00000014802	ENSDARP00000094760
ENSGACP00000013414	ENSDARP00000108191
ENSGACP00000002048	ENSDARP00000081148
ENSGACP00000025991	ENSDARP00000027310
ENSGACP00000016015	ENSDARP00000024145
ENSGACP00000000923	ENSDARP00000067160
ENSGACP00000005321	ENSDARP00000091899
ENSGACP00000014338	ENSDARP00000089700
ENSGACP00000012187	ENSDARP00000061842
ENSGACP00000005790	ENSDARP00000123149
ENSGACP00000019667	ENSDARP00000113739
ENSGACP00000004025	ENSDARP00000064171
ENSGACP00000007591	ENSDARP00000114396
ENSGACP00000019165	ENSDARP00000077125
ENSGACP00000012584	ENSDARP00000118062
ENSGACP00000025864	ENSDARP00000098968
ENSGACP00000003109	ENSDARP00000034439
ENSGACP00000021934	ENSDARP00000110339
ENSGACP00000008590	ENSDARP00000111539
ENSGACP00000015403	ENSDARP00000069759
ENSGACP00000018732	ENSDARP00000076455
ENSGACP00000010703	ENSDARP00000094287
ENSGACP00000026296	ENSDARP00000067387
ENSGACP00000018431	ENSDARP00000094505
ENSGACP00000012707	ENSDARP00000005930
ENSGACP00000015263	ENSDARP00000015132
ENSGACP00000026857	ENSDARP00000120028
ENSGACP00000027082	ENSDARP00000099699
ENSGACP00000011210	ENSDARP00000112087
ENSGACP00000012379	ENSDARP00000085557
ENSGACP00000020192	ENSDARP00000024752
ENSGACP00000012188	ENSDARP00000028033
ENSGACP00000010619	ENSDARP00000003339
ENSGACP00000018121	ENSDARP00000002686
ENSGACP00000016299	ENSDARP00000011326
ENSGACP00000004211	ENSDARP00000055414
ENSGACP00000022339	ENSDARP00000096234
ENSGACP00000026795	ENSDARP00000017853
ENSGACP00000026700	ENSDARP00000119911
ENSGACP00000011512	ENSDARP00000094764
ENSGACP00000012012	ENSDARP00000124593
ENSGACP00000002585	ENSDARP00000051678
ENSGACP00000014322	ENSDARP00000099849
ENSGACP00000022536	ENSDARP00000118959
ENSGACP00000017779	ENSDARP00000116404
ENSGACP00000025405	ENSDARP00000112758
ENSGACP00000011443	ENSDARP00000126389
ENSGACP00000015369	ENSDARP00000034254
ENSGACP00000011296	ENSDARP00000053000
ENSGACP00000003149	ENSDARP00000050005
ENSGACP00000011262	ENSDARP00000044008
ENSGACP00000010350	ENSDARP00000098402
ENSGACP00000003979	ENSDARP00000127665
ENSGACP00000012243	ENSDARP00000009775
ENSGACP00000025435	ENSDARP00000052997
ENSGACP00000016531	ENSDARP00000025673
ENSGACP00000014510	ENSDARP00000032062
ENSGACP00000008587	ENSDARP00000101496
ENSGACP00000019288	ENSDARP00000100627
ENSGACP00000027318	ENSDARP00000122416
ENSGACP00000024691	ENSDARP00000035106
ENSGACP00000021950	ENSDARP00000098728
ENSGACP00000020385	ENSDARP00000089201
ENSGACP00000019230	ENSDARP00000021199
ENSGACP00000010263	ENSDARP00000104913
ENSGACP00000016152	ENSDARP00000103284
ENSGACP00000024638	ENSDARP00000111738
ENSGACP00000017721	ENSDARP00000008181
ENSGACP00000007057	ENSDARP00000101177
ENSGACP00000021835	ENSDARP00000039104
ENSGACP00000016111	ENSDARP00000114480
ENSGACP00000015204	ENSDARP00000117816
ENSGACP00000023797	ENSDARP00000022273
ENSGACP00000023169	ENSDARP00000083939
ENSGACP00000000876	ENSDARP00000101701
ENSGACP00000011091	ENSDARP00000119719
ENSGACP00000021233	ENSDARP00000091498
ENSGACP00000008655	ENSDARP00000095210
ENSGACP00000007502	ENSDARP00000107109
ENSGACP00000025589	ENSDARP00000029899
ENSGACP00000014881	ENSDARP00000083546
ENSGACP00000024232	ENSDARP00000026915
ENSGACP00000000420	ENSDARP00000076517
ENSGACP00000007992	ENSDARP00000032935
ENSGACP00000007992	ENSDARP00000076115
ENSGACP00000008681	ENSDARP00000123892
ENSGACP00000014323	ENSDARP00000024217
ENSGACP00000021759	ENSDARP00000010177
ENSGACP00000018695	ENSDARP00000108359
ENSGACP00000024140	ENSDARP00000032457
ENSGACP00000002259	ENSDARP00000005457
ENSGACP00000018112	ENSDARP00000075718
ENSGACP00000021335	ENSDARP00000037307
ENSGACP00000015037	ENSDARP00000036535
ENSGACP00000024002	ENSDARP00000038022
ENSGACP00000012570	ENSDARP00000117263
ENSGACP00000027247	ENSDARP00000084529
ENSGACP00000021404	ENSDARP00000110163
ENSGACP00000017347	ENSDARP00000126735
ENSGACP00000001472	ENSDARP00000110357
ENSGACP00000022016	ENSDARP00000105934
ENSGACP00000024775	ENSDARP00000108089
ENSGACP00000010024	ENSDARP00000058406
ENSGACP00000019110	ENSDARP00000122740
ENSGACP00000000737	ENSDARP00000087948
ENSGACP00000009756	ENSDARP00000092407
ENSGACP00000021984	ENSDARP00000096190
ENSGACP00000022508	ENSDARP00000045367
ENSGACP00000023290	ENSDARP00000016595
ENSGACP00000012908	ENSDARP00000089728
ENSGACP00000016048	ENSDARP00000116371
ENSGACP00000015688	ENSDARP00000100787
ENSGACP00000000469	ENSDARP00000053576
ENSGACP00000016688	ENSDARP00000113119
ENSGACP00000000158	ENSDARP00000105786
ENSGACP00000026065	ENSDARP00000095598
ENSGACP00000016579	ENSDARP00000074434
ENSGACP00000005850	ENSDARP00000055237
ENSGACP00000010961	ENSDARP00000003030
ENSGACP00000008874	ENSDARP00000094606
ENSGACP00000012223	ENSDARP00000107097
ENSGACP00000011088	ENSDARP00000039965
ENSGACP00000011789	ENSDARP00000110319
ENSGACP00000020933	ENSDARP00000088708
ENSGACP00000008866	ENSDARP00000120295
ENSGACP00000021166	ENSDARP00000017420
ENSGACP00000019132	ENSDARP00000041411
ENSGACP00000017080	ENSDARP00000127179
ENSGACP00000017165	ENSDARP00000089791
ENSGACP00000022032	ENSDARP00000102678
ENSGACP00000022620	ENSDARP00000098825
ENSGACP00000002384	ENSDARP00000027005
ENSGACP00000020273	ENSDARP00000115656
ENSGACP00000026384	ENSDARP00000125484
ENSGACP00000003238	ENSDARP00000121945
ENSGACP00000018828	ENSDARP00000106001
ENSGACP00000017695	ENSDARP00000061469
ENSGACP00000014577	ENSDARP00000017885
ENSGACP00000022564	ENSDARP00000058621
ENSGACP00000024682	ENSDARP00000052271
ENSGACP00000027389	ENSDARP00000070219
ENSGACP00000022089	ENSDARP00000075798
ENSGACP00000023180	ENSDARP00000096546
ENSGACP00000013240	ENSDARP00000040234
ENSGACP00000020064	ENSDARP00000105974
