ENSMODP00000016222	ENSLOCP00000009128
ENSMODP00000000259	ENSLOCP00000001235
ENSMODP00000013844	ENSLOCP00000004039
ENSMODP00000024193	ENSLOCP00000015806
ENSMODP00000025471	ENSLOCP00000015722
ENSMODP00000006195	ENSLOCP00000016805
ENSMODP00000025900	ENSLOCP00000014029
ENSMODP00000014923	ENSLOCP00000014295
ENSMODP00000023361	ENSLOCP00000014093
ENSMODP00000013060	ENSLOCP00000007936
ENSMODP00000032878	ENSLOCP00000015921
ENSMODP00000021565	ENSLOCP00000008108
ENSMODP00000026876	ENSLOCP00000007652
ENSMODP00000020676	ENSLOCP00000007521
ENSMODP00000001024	ENSLOCP00000003813
ENSMODP00000017604	ENSLOCP00000004431
ENSMODP00000022333	ENSLOCP00000021003
ENSMODP00000014993	ENSLOCP00000016817
ENSMODP00000010134	ENSLOCP00000002127
ENSMODP00000008162	ENSLOCP00000004902
ENSMODP00000004517	ENSLOCP00000011581
ENSMODP00000000977	ENSLOCP00000012547
ENSMODP00000008208	ENSLOCP00000009216
ENSMODP00000018202	ENSLOCP00000008156
ENSMODP00000015113	ENSLOCP00000006016
ENSMODP00000002007	ENSLOCP00000013955
ENSMODP00000000863	ENSLOCP00000011641
ENSMODP00000023102	ENSLOCP00000009163
ENSMODP00000009959	ENSLOCP00000011517
ENSMODP00000011979	ENSLOCP00000001355
ENSMODP00000011210	ENSLOCP00000006188
ENSMODP00000018458	ENSLOCP00000015531
ENSMODP00000006507	ENSLOCP00000005811
ENSMODP00000023003	ENSLOCP00000011843
ENSMODP00000010492	ENSLOCP00000016727
ENSMODP00000026445	ENSLOCP00000005907
ENSMODP00000019565	ENSLOCP00000019534
ENSMODP00000003895	ENSLOCP00000002246
ENSMODP00000018962	ENSLOCP00000004809
ENSMODP00000027982	ENSLOCP00000003035
ENSMODP00000017770	ENSLOCP00000007707
ENSMODP00000019144	ENSLOCP00000005099
ENSMODP00000021153	ENSLOCP00000020647
ENSMODP00000013940	ENSLOCP00000007715
ENSMODP00000001653	ENSLOCP00000005782
ENSMODP00000014239	ENSLOCP00000010478
ENSMODP00000008539	ENSLOCP00000006126
ENSMODP00000016922	ENSLOCP00000015421
ENSMODP00000022723	ENSLOCP00000020624
ENSMODP00000011195	ENSLOCP00000017704
ENSMODP00000005764	ENSLOCP00000016509
ENSMODP00000008235	ENSLOCP00000016706
ENSMODP00000035487	ENSLOCP00000020569
ENSMODP00000018378	ENSLOCP00000019154
ENSMODP00000003774	ENSLOCP00000009323
ENSMODP00000002359	ENSLOCP00000018922
ENSMODP00000003077	ENSLOCP00000016260
ENSMODP00000022926	ENSLOCP00000003353
ENSMODP00000004256	ENSLOCP00000010284
ENSMODP00000008301	ENSLOCP00000016632
ENSMODP00000007429	ENSLOCP00000012817
ENSMODP00000005036	ENSLOCP00000006140
ENSMODP00000022822	ENSLOCP00000020594
ENSMODP00000021919	ENSLOCP00000004160
ENSMODP00000009497	ENSLOCP00000009919
ENSMODP00000027578	ENSLOCP00000018894
ENSMODP00000032663	ENSLOCP00000014090
ENSMODP00000022265	ENSLOCP00000015934
ENSMODP00000023749	ENSLOCP00000020360
ENSMODP00000009666	ENSLOCP00000001239
ENSMODP00000034466	ENSLOCP00000004475
ENSMODP00000011314	ENSLOCP00000021710
ENSMODP00000002489	ENSLOCP00000019889
ENSMODP00000031775	ENSLOCP00000010628
ENSMODP00000019274	ENSLOCP00000019559
ENSMODP00000029463	ENSLOCP00000009739
ENSMODP00000015016	ENSLOCP00000013120
ENSMODP00000029072	ENSLOCP00000022045
ENSMODP00000035690	ENSLOCP00000014589
ENSMODP00000036918	ENSLOCP00000022208
ENSMODP00000020060	ENSLOCP00000018792
ENSMODP00000037904	ENSLOCP00000021647
ENSMODP00000006579	ENSLOCP00000008443
ENSMODP00000015075	ENSLOCP00000002344
ENSMODP00000029168	ENSLOCP00000004481
ENSMODP00000010875	ENSLOCP00000003991
ENSMODP00000003164	ENSLOCP00000011709
ENSMODP00000007362	ENSLOCP00000015119
ENSMODP00000034784	ENSLOCP00000001842
ENSMODP00000008943	ENSLOCP00000004650
ENSMODP00000023080	ENSLOCP00000019267
ENSMODP00000001898	ENSLOCP00000018799
ENSMODP00000012405	ENSLOCP00000002316
ENSMODP00000014004	ENSLOCP00000001573
ENSMODP00000024348	ENSLOCP00000017648
ENSMODP00000025806	ENSLOCP00000017342
ENSMODP00000001801	ENSLOCP00000007256
ENSMODP00000027977	ENSLOCP00000019841
ENSMODP00000024552	ENSLOCP00000009130
ENSMODP00000026349	ENSLOCP00000010922
ENSMODP00000009948	ENSLOCP00000001137
ENSMODP00000029475	ENSLOCP00000021986
ENSMODP00000013831	ENSLOCP00000022381
ENSMODP00000035324	ENSLOCP00000003569
ENSMODP00000035661	ENSLOCP00000009087
ENSMODP00000018584	ENSLOCP00000006938
ENSMODP00000005387	ENSLOCP00000017641
ENSMODP00000023225	ENSLOCP00000005068
ENSMODP00000003718	ENSLOCP00000008452
ENSMODP00000038771	ENSLOCP00000013044
ENSMODP00000001179	ENSLOCP00000003661
ENSMODP00000009892	ENSLOCP00000001071
ENSMODP00000009428	ENSLOCP00000018003
ENSMODP00000008877	ENSLOCP00000017306
ENSMODP00000025791	ENSLOCP00000014778
ENSMODP00000036977	ENSLOCP00000015063
ENSMODP00000023655	ENSLOCP00000019352
ENSMODP00000020607	ENSLOCP00000002337
ENSMODP00000032577	ENSLOCP00000013318
ENSMODP00000007807	ENSLOCP00000020772
ENSMODP00000025733	ENSLOCP00000015916
ENSMODP00000010987	ENSLOCP00000005065
ENSMODP00000028140	ENSLOCP00000007074
ENSMODP00000002234	ENSLOCP00000011015
ENSMODP00000013145	ENSLOCP00000005157
ENSMODP00000001849	ENSLOCP00000012212
ENSMODP00000007432	ENSLOCP00000013302
ENSMODP00000011681	ENSLOCP00000016912
ENSMODP00000006897	ENSLOCP00000015187
ENSMODP00000020299	ENSLOCP00000004721
ENSMODP00000004207	ENSLOCP00000003401
ENSMODP00000026766	ENSLOCP00000012191
ENSMODP00000022803	ENSLOCP00000006584
ENSMODP00000021099	ENSLOCP00000019910
ENSMODP00000019526	ENSLOCP00000018729
ENSMODP00000006309	ENSLOCP00000014602
ENSMODP00000023555	ENSLOCP00000009262
ENSMODP00000015449	ENSLOCP00000004831
ENSMODP00000025896	ENSLOCP00000014076
ENSMODP00000022680	ENSLOCP00000009406
ENSMODP00000012555	ENSLOCP00000019829
ENSMODP00000002997	ENSLOCP00000016229
ENSMODP00000003908	ENSLOCP00000020630
ENSMODP00000018603	ENSLOCP00000006869
ENSMODP00000015216	ENSLOCP00000011708
ENSMODP00000012770	ENSLOCP00000009780
ENSMODP00000005310	ENSLOCP00000013508
ENSMODP00000031512	ENSLOCP00000018249
ENSMODP00000008992	ENSLOCP00000021118
ENSMODP00000009951	ENSLOCP00000004368
ENSMODP00000017240	ENSLOCP00000014279
ENSMODP00000020205	ENSLOCP00000003997
ENSMODP00000007415	ENSLOCP00000012067
ENSMODP00000023644	ENSLOCP00000015459
ENSMODP00000026365	ENSLOCP00000002191
ENSMODP00000013734	ENSLOCP00000010938
ENSMODP00000016065	ENSLOCP00000006544
ENSMODP00000007308	ENSLOCP00000012898
ENSMODP00000021014	ENSLOCP00000019862
ENSMODP00000010133	ENSLOCP00000006182
ENSMODP00000022003	ENSLOCP00000002442
ENSMODP00000027261	ENSLOCP00000020530
ENSMODP00000024394	ENSLOCP00000007298
ENSMODP00000037034	ENSLOCP00000010784
ENSMODP00000035867	ENSLOCP00000013973
ENSMODP00000003745	ENSLOCP00000019796
ENSMODP00000019968	ENSLOCP00000012749
ENSMODP00000007986	ENSLOCP00000008504
ENSMODP00000032484	ENSLOCP00000016594
ENSMODP00000040491	ENSLOCP00000005082
ENSMODP00000028732	ENSLOCP00000013910
ENSMODP00000017371	ENSLOCP00000018701
ENSMODP00000007050	ENSLOCP00000007422
ENSMODP00000014310	ENSLOCP00000001510
ENSMODP00000011868	ENSLOCP00000011714
ENSMODP00000021737	ENSLOCP00000018980
ENSMODP00000026404	ENSLOCP00000012435
ENSMODP00000018697	ENSLOCP00000000571
ENSMODP00000035642	ENSLOCP00000011796
ENSMODP00000003429	ENSLOCP00000014058
ENSMODP00000007024	ENSLOCP00000014268
ENSMODP00000011608	ENSLOCP00000021866
ENSMODP00000020092	ENSLOCP00000010805
ENSMODP00000025336	ENSLOCP00000016362
ENSMODP00000037250	ENSLOCP00000011583
ENSMODP00000008947	ENSLOCP00000019950
ENSMODP00000001964	ENSLOCP00000014779
ENSMODP00000028873	ENSLOCP00000021275
ENSMODP00000029400	ENSLOCP00000002814
ENSMODP00000014410	ENSLOCP00000010860
ENSMODP00000026648	ENSLOCP00000001082
ENSMODP00000001866	ENSLOCP00000004997
ENSMODP00000016305	ENSLOCP00000014119
ENSMODP00000015325	ENSLOCP00000016078
ENSMODP00000002629	ENSLOCP00000019879
ENSMODP00000005373	ENSLOCP00000004194
ENSMODP00000012453	ENSLOCP00000014442
ENSMODP00000024082	ENSLOCP00000011123
ENSMODP00000006518	ENSLOCP00000010700
ENSMODP00000006171	ENSLOCP00000019669
ENSMODP00000010327	ENSLOCP00000019574
ENSMODP00000005251	ENSLOCP00000016870
ENSMODP00000029895	ENSLOCP00000021087
ENSMODP00000035555	ENSLOCP00000000870
ENSMODP00000024033	ENSLOCP00000006644
ENSMODP00000021492	ENSLOCP00000019678
ENSMODP00000023144	ENSLOCP00000019838
ENSMODP00000010539	ENSLOCP00000019585
ENSMODP00000002250	ENSLOCP00000010989
ENSMODP00000033727	ENSLOCP00000013662
ENSMODP00000023058	ENSLOCP00000020899
ENSMODP00000002395	ENSLOCP00000011612
ENSMODP00000017233	ENSLOCP00000020922
ENSMODP00000012251	ENSLOCP00000005209
ENSMODP00000009982	ENSLOCP00000016256
ENSMODP00000022000	ENSLOCP00000000914
ENSMODP00000002276	ENSLOCP00000014961
ENSMODP00000032254	ENSLOCP00000015306
ENSMODP00000010377	ENSLOCP00000009702
ENSMODP00000014469	ENSLOCP00000016373
ENSMODP00000012897	ENSLOCP00000012691
ENSMODP00000013417	ENSLOCP00000010593
ENSMODP00000006850	ENSLOCP00000016616
ENSMODP00000024100	ENSLOCP00000003858
ENSMODP00000007871	ENSLOCP00000015089
ENSMODP00000000956	ENSLOCP00000008606
ENSMODP00000037686	ENSLOCP00000011222
ENSMODP00000006460	ENSLOCP00000015313
ENSMODP00000026491	ENSLOCP00000004899
ENSMODP00000021108	ENSLOCP00000020669
ENSMODP00000021539	ENSLOCP00000000848
ENSMODP00000014573	ENSLOCP00000005603
ENSMODP00000002721	ENSLOCP00000018492
ENSMODP00000040188	ENSLOCP00000003227
ENSMODP00000008938	ENSLOCP00000017980
ENSMODP00000023229	ENSLOCP00000021518
ENSMODP00000018643	ENSLOCP00000010454
ENSMODP00000021995	ENSLOCP00000000950
ENSMODP00000024830	ENSLOCP00000006542
ENSMODP00000008518	ENSLOCP00000018626
ENSMODP00000001294	ENSLOCP00000010374
ENSMODP00000023176	ENSLOCP00000010533
ENSMODP00000001929	ENSLOCP00000013905
ENSMODP00000003337	ENSLOCP00000016317
ENSMODP00000001085	ENSLOCP00000003724
ENSMODP00000014378	ENSLOCP00000015654
ENSMODP00000034465	ENSLOCP00000010968
ENSMODP00000024245	ENSLOCP00000022052
ENSMODP00000023379	ENSLOCP00000021786
ENSMODP00000004815	ENSLOCP00000012180
ENSMODP00000016430	ENSLOCP00000021227
ENSMODP00000017590	ENSLOCP00000012451
ENSMODP00000010230	ENSLOCP00000009029
ENSMODP00000011219	ENSLOCP00000014573
ENSMODP00000016810	ENSLOCP00000012099
ENSMODP00000040859	ENSLOCP00000009487
ENSMODP00000000006	ENSLOCP00000019692
ENSMODP00000020104	ENSLOCP00000010857
ENSMODP00000005041	ENSLOCP00000011923
ENSMODP00000005438	ENSLOCP00000002763
ENSMODP00000023452	ENSLOCP00000009545
ENSMODP00000022487	ENSLOCP00000020425
ENSMODP00000017794	ENSLOCP00000003958
ENSMODP00000009295	ENSLOCP00000013858
ENSMODP00000040327	ENSLOCP00000004399
ENSMODP00000004026	ENSLOCP00000012442
ENSMODP00000035234	ENSLOCP00000002495
ENSMODP00000003818	ENSLOCP00000011436
ENSMODP00000011174	ENSLOCP00000006413
ENSMODP00000005436	ENSLOCP00000000343
ENSMODP00000008613	ENSLOCP00000014735
ENSMODP00000001421	ENSLOCP00000010503
ENSMODP00000000364	ENSLOCP00000011027
ENSMODP00000014430	ENSLOCP00000010720
ENSMODP00000010163	ENSLOCP00000010346
ENSMODP00000011003	ENSLOCP00000006262
ENSMODP00000008985	ENSLOCP00000017505
ENSMODP00000035609	ENSLOCP00000000681
ENSMODP00000016874	ENSLOCP00000004788
ENSMODP00000017699	ENSLOCP00000006171
ENSMODP00000015494	ENSLOCP00000004935
ENSMODP00000035135	ENSLOCP00000004854
ENSMODP00000010273	ENSLOCP00000010094
ENSMODP00000006433	ENSLOCP00000016918
ENSMODP00000010433	ENSLOCP00000011635
ENSMODP00000022483	ENSLOCP00000020418
ENSMODP00000018210	ENSLOCP00000012200
ENSMODP00000014438	ENSLOCP00000009697
ENSMODP00000001385	ENSLOCP00000020111
ENSMODP00000012659	ENSLOCP00000002760
ENSMODP00000018054	ENSLOCP00000004653
ENSMODP00000014979	ENSLOCP00000016821
ENSMODP00000008311	ENSLOCP00000018937
ENSMODP00000013352	ENSLOCP00000011155
ENSMODP00000012720	ENSLOCP00000015045
ENSMODP00000012509	ENSLOCP00000017475
ENSMODP00000019355	ENSLOCP00000011132
ENSMODP00000001570	ENSLOCP00000005437
ENSMODP00000001590	ENSLOCP00000005423
ENSMODP00000021295	ENSLOCP00000006277
ENSMODP00000008194	ENSLOCP00000021743
ENSMODP00000014119	ENSLOCP00000022059
ENSMODP00000010148	ENSLOCP00000020831
ENSMODP00000024631	ENSLOCP00000006994
ENSMODP00000002419	ENSLOCP00000018484
ENSMODP00000000199	ENSLOCP00000013859
ENSMODP00000026529	ENSLOCP00000009968
ENSMODP00000021945	ENSLOCP00000011731
ENSMODP00000013322	ENSLOCP00000005375
ENSMODP00000039872	ENSLOCP00000009845
ENSMODP00000030918	ENSLOCP00000016386
ENSMODP00000015474	ENSLOCP00000004819
ENSMODP00000018464	ENSLOCP00000007888
ENSMODP00000003716	ENSLOCP00000000932
ENSMODP00000007304	ENSLOCP00000012904
ENSMODP00000000633	ENSLOCP00000009915
ENSMODP00000012703	ENSLOCP00000010390
ENSMODP00000032141	ENSLOCP00000014156
ENSMODP00000011897	ENSLOCP00000010003
ENSMODP00000019559	ENSLOCP00000002252
ENSMODP00000006461	ENSLOCP00000013577
ENSMODP00000009538	ENSLOCP00000018656
ENSMODP00000032300	ENSLOCP00000021863
ENSMODP00000031814	ENSLOCP00000008194
ENSMODP00000021803	ENSLOCP00000018877
ENSMODP00000010247	ENSLOCP00000004589
ENSMODP00000020656	ENSLOCP00000018862
ENSMODP00000013792	ENSLOCP00000000634
ENSMODP00000023814	ENSLOCP00000017245
ENSMODP00000018402	ENSLOCP00000008266
ENSMODP00000007806	ENSLOCP00000002556
ENSMODP00000007967	ENSLOCP00000020566
ENSMODP00000025812	ENSLOCP00000015523
ENSMODP00000015249	ENSLOCP00000006254
ENSMODP00000001307	ENSLOCP00000010458
ENSMODP00000008132	ENSLOCP00000013482
ENSMODP00000012268	ENSLOCP00000021251
ENSMODP00000008484	ENSLOCP00000012044
ENSMODP00000004210	ENSLOCP00000021733
ENSMODP00000023165	ENSLOCP00000021127
ENSMODP00000019212	ENSLOCP00000019328
ENSMODP00000004980	ENSLOCP00000006115
ENSMODP00000029171	ENSLOCP00000009756
ENSMODP00000003145	ENSLOCP00000012163
ENSMODP00000025925	ENSLOCP00000016270
ENSMODP00000028833	ENSLOCP00000016963
ENSMODP00000020887	ENSLOCP00000004100
ENSMODP00000003098	ENSLOCP00000004993
ENSMODP00000018083	ENSLOCP00000004682
ENSMODP00000017708	ENSLOCP00000018262
ENSMODP00000013245	ENSLOCP00000021055
ENSMODP00000018360	ENSLOCP00000008293
ENSMODP00000003293	ENSLOCP00000011704
ENSMODP00000009692	ENSLOCP00000004254
ENSMODP00000024327	ENSLOCP00000017422
ENSMODP00000015299	ENSLOCP00000006460
ENSMODP00000014967	ENSLOCP00000016832
ENSMODP00000019124	ENSLOCP00000001078
ENSMODP00000019116	ENSLOCP00000020525
ENSMODP00000002476	ENSLOCP00000011342
ENSMODP00000026631	ENSLOCP00000001358
ENSMODP00000018748	ENSLOCP00000000100
ENSMODP00000006014	ENSLOCP00000007934
ENSMODP00000008345	ENSLOCP00000005941
ENSMODP00000013660	ENSLOCP00000017323
ENSMODP00000006473	ENSLOCP00000007424
ENSMODP00000000954	ENSLOCP00000009850
ENSMODP00000034544	ENSLOCP00000016827
ENSMODP00000003978	ENSLOCP00000013737
ENSMODP00000025485	ENSLOCP00000019959
ENSMODP00000016813	ENSLOCP00000007327
ENSMODP00000017322	ENSLOCP00000000977
ENSMODP00000010609	ENSLOCP00000009267
ENSMODP00000022466	ENSLOCP00000020492
ENSMODP00000011489	ENSLOCP00000001053
ENSMODP00000037730	ENSLOCP00000009719
ENSMODP00000008296	ENSLOCP00000004799
ENSMODP00000008298	ENSLOCP00000004344
ENSMODP00000001947	ENSLOCP00000020070
ENSMODP00000000223	ENSLOCP00000015133
ENSMODP00000023815	ENSLOCP00000012253
ENSMODP00000015164	ENSLOCP00000017553
ENSMODP00000026456	ENSLOCP00000002902
ENSMODP00000016842	ENSLOCP00000009504
ENSMODP00000026391	ENSLOCP00000009544
ENSMODP00000009507	ENSLOCP00000020052
ENSMODP00000039032	ENSLOCP00000012457
ENSMODP00000003113	ENSLOCP00000007111
ENSMODP00000025793	ENSLOCP00000014764
ENSMODP00000023195	ENSLOCP00000007893
ENSMODP00000001214	ENSLOCP00000010433
ENSMODP00000011431	ENSLOCP00000009059
ENSMODP00000001552	ENSLOCP00000014169
ENSMODP00000004219	ENSLOCP00000001636
ENSMODP00000009442	ENSLOCP00000008666
ENSMODP00000008361	ENSLOCP00000000552
ENSMODP00000017113	ENSLOCP00000005885
ENSMODP00000006423	ENSLOCP00000013607
ENSMODP00000028969	ENSLOCP00000002257
ENSMODP00000007617	ENSLOCP00000011161
ENSMODP00000020948	ENSLOCP00000018490
ENSMODP00000003476	ENSLOCP00000015818
ENSMODP00000023789	ENSLOCP00000017183
ENSMODP00000009743	ENSLOCP00000004276
ENSMODP00000025726	ENSLOCP00000015930
ENSMODP00000017637	ENSLOCP00000014371
ENSMODP00000003965	ENSLOCP00000006045
ENSMODP00000011057	ENSLOCP00000005340
ENSMODP00000013484	ENSLOCP00000010110
ENSMODP00000020221	ENSLOCP00000004252
ENSMODP00000021994	ENSLOCP00000007898
ENSMODP00000007388	ENSLOCP00000019248
ENSMODP00000019587	ENSLOCP00000019547
ENSMODP00000012786	ENSLOCP00000007283
ENSMODP00000004733	ENSLOCP00000020317
ENSMODP00000013834	ENSLOCP00000014229
ENSMODP00000011180	ENSLOCP00000005909
ENSMODP00000024347	ENSLOCP00000017646
ENSMODP00000019879	ENSLOCP00000005059
ENSMODP00000002110	ENSLOCP00000013631
ENSMODP00000008536	ENSLOCP00000007473
ENSMODP00000026309	ENSLOCP00000011180
ENSMODP00000008834	ENSLOCP00000014109
ENSMODP00000009642	ENSLOCP00000010087
ENSMODP00000033400	ENSLOCP00000016431
ENSMODP00000003030	ENSLOCP00000010637
ENSMODP00000004716	ENSLOCP00000012066
ENSMODP00000022695	ENSLOCP00000012840
ENSMODP00000018703	ENSLOCP00000008359
ENSMODP00000016461	ENSLOCP00000015892
ENSMODP00000016288	ENSLOCP00000008997
ENSMODP00000016538	ENSLOCP00000018800
ENSMODP00000013377	ENSLOCP00000014777
ENSMODP00000038434	ENSLOCP00000016209
ENSMODP00000023466	ENSLOCP00000020860
ENSMODP00000001273	ENSLOCP00000010303
ENSMODP00000001492	ENSLOCP00000011466
ENSMODP00000006319	ENSLOCP00000020640
ENSMODP00000016670	ENSLOCP00000005879
ENSMODP00000022825	ENSLOCP00000020927
ENSMODP00000018156	ENSLOCP00000002112
ENSMODP00000000202	ENSLOCP00000001740
ENSMODP00000006382	ENSLOCP00000018634
ENSMODP00000012039	ENSLOCP00000010017
ENSMODP00000025717	ENSLOCP00000015991
ENSMODP00000008741	ENSLOCP00000014681
ENSMODP00000014062	ENSLOCP00000014150
ENSMODP00000012628	ENSLOCP00000012783
ENSMODP00000002397	ENSLOCP00000011940
ENSMODP00000000850	ENSLOCP00000004748
ENSMODP00000006372	ENSLOCP00000007440
ENSMODP00000038505	ENSLOCP00000016168
ENSMODP00000006048	ENSLOCP00000007956
ENSMODP00000012053	ENSLOCP00000002452
ENSMODP00000013229	ENSLOCP00000008041
ENSMODP00000024247	ENSLOCP00000006113
ENSMODP00000014118	ENSLOCP00000018966
ENSMODP00000007532	ENSLOCP00000001224
ENSMODP00000014688	ENSLOCP00000001845
ENSMODP00000018141	ENSLOCP00000009268
ENSMODP00000023615	ENSLOCP00000019298
ENSMODP00000001578	ENSLOCP00000003688
ENSMODP00000016213	ENSLOCP00000009165
ENSMODP00000001994	ENSLOCP00000018781
ENSMODP00000010552	ENSLOCP00000019080
ENSMODP00000018475	ENSLOCP00000007169
ENSMODP00000010923	ENSLOCP00000012455
ENSMODP00000003162	ENSLOCP00000021235
ENSMODP00000015289	ENSLOCP00000008971
ENSMODP00000027961	ENSLOCP00000018561
ENSMODP00000014025	ENSLOCP00000014404
ENSMODP00000006116	ENSLOCP00000002726
ENSMODP00000018564	ENSLOCP00000015057
ENSMODP00000010328	ENSLOCP00000018714
ENSMODP00000008003	ENSLOCP00000007032
ENSMODP00000032537	ENSLOCP00000007854
ENSMODP00000015190	ENSLOCP00000008940
ENSMODP00000015375	ENSLOCP00000004684
ENSMODP00000004882	ENSLOCP00000012335
ENSMODP00000001181	ENSLOCP00000004144
ENSMODP00000026081	ENSLOCP00000018281
ENSMODP00000000674	ENSLOCP00000011752
ENSMODP00000024532	ENSLOCP00000012924
ENSMODP00000023755	ENSLOCP00000017115
ENSMODP00000019511	ENSLOCP00000005361
ENSMODP00000011628	ENSLOCP00000006027
ENSMODP00000020179	ENSLOCP00000018830
ENSMODP00000017992	ENSLOCP00000004627
ENSMODP00000041264	ENSLOCP00000001114
ENSMODP00000016232	ENSLOCP00000010592
ENSMODP00000026318	ENSLOCP00000008174
ENSMODP00000015406	ENSLOCP00000013093
ENSMODP00000010779	ENSLOCP00000015337
ENSMODP00000016679	ENSLOCP00000011983
ENSMODP00000014201	ENSLOCP00000015316
ENSMODP00000006104	ENSLOCP00000020262
ENSMODP00000003217	ENSLOCP00000012748
ENSMODP00000023829	ENSLOCP00000004171
ENSMODP00000019604	ENSLOCP00000010929
ENSMODP00000018332	ENSLOCP00000019648
ENSMODP00000002197	ENSLOCP00000014348
ENSMODP00000018863	ENSLOCP00000012032
ENSMODP00000038725	ENSLOCP00000010852
ENSMODP00000013127	ENSLOCP00000019003
ENSMODP00000011381	ENSLOCP00000019385
ENSMODP00000013016	ENSLOCP00000012932
ENSMODP00000023985	ENSLOCP00000017027
ENSMODP00000020813	ENSLOCP00000003849
ENSMODP00000013647	ENSLOCP00000007540
ENSMODP00000020553	ENSLOCP00000004094
ENSMODP00000012490	ENSLOCP00000008960
ENSMODP00000016104	ENSLOCP00000009360
ENSMODP00000020843	ENSLOCP00000004412
ENSMODP00000018507	ENSLOCP00000012929
ENSMODP00000004266	ENSLOCP00000010099
ENSMODP00000017194	ENSLOCP00000001250
ENSMODP00000005305	ENSLOCP00000016923
ENSMODP00000013463	ENSLOCP00000011328
ENSMODP00000021522	ENSLOCP00000013838
ENSMODP00000003922	ENSLOCP00000008768
ENSMODP00000005499	ENSLOCP00000018395
ENSMODP00000013266	ENSLOCP00000014850
ENSMODP00000000669	ENSLOCP00000009950
ENSMODP00000028606	ENSLOCP00000020431
ENSMODP00000004346	ENSLOCP00000000108
ENSMODP00000021171	ENSLOCP00000002015
ENSMODP00000006698	ENSLOCP00000000768
ENSMODP00000024644	ENSLOCP00000006276
ENSMODP00000001935	ENSLOCP00000007912
ENSMODP00000019858	ENSLOCP00000006687
ENSMODP00000015840	ENSLOCP00000015780
ENSMODP00000011529	ENSLOCP00000013241
ENSMODP00000026269	ENSLOCP00000008237
ENSMODP00000026854	ENSLOCP00000001985
ENSMODP00000020927	ENSLOCP00000006574
ENSMODP00000015028	ENSLOCP00000011495
ENSMODP00000002628	ENSLOCP00000018507
ENSMODP00000005367	ENSLOCP00000002958
ENSMODP00000019978	ENSLOCP00000006119
ENSMODP00000009819	ENSLOCP00000016756
ENSMODP00000022175	ENSLOCP00000021331
ENSMODP00000024170	ENSLOCP00000015964
ENSMODP00000016027	ENSLOCP00000013267
ENSMODP00000022622	ENSLOCP00000003580
ENSMODP00000005552	ENSLOCP00000000991
ENSMODP00000001241	ENSLOCP00000014231
ENSMODP00000020729	ENSLOCP00000007634
ENSMODP00000026767	ENSLOCP00000012213
ENSMODP00000006426	ENSLOCP00000012268
ENSMODP00000004094	ENSLOCP00000015687
ENSMODP00000014926	ENSLOCP00000006139
ENSMODP00000028612	ENSLOCP00000020635
ENSMODP00000000684	ENSLOCP00000015810
ENSMODP00000016714	ENSLOCP00000014425
ENSMODP00000032097	ENSLOCP00000014835
ENSMODP00000029287	ENSLOCP00000008487
ENSMODP00000011422	ENSLOCP00000017573
ENSMODP00000033761	ENSLOCP00000016548
ENSMODP00000022081	ENSLOCP00000006979
ENSMODP00000041110	ENSLOCP00000004954
ENSMODP00000008131	ENSLOCP00000007129
ENSMODP00000005284	ENSLOCP00000000308
ENSMODP00000000690	ENSLOCP00000006836
ENSMODP00000009998	ENSLOCP00000017891
ENSMODP00000021759	ENSLOCP00000021362
ENSMODP00000004570	ENSLOCP00000016791
ENSMODP00000023470	ENSLOCP00000001002
ENSMODP00000026369	ENSLOCP00000002270
ENSMODP00000024180	ENSLOCP00000015885
ENSMODP00000018633	ENSLOCP00000014630
ENSMODP00000022372	ENSLOCP00000021196
ENSMODP00000016455	ENSLOCP00000014246
ENSMODP00000026626	ENSLOCP00000001521
ENSMODP00000022630	ENSLOCP00000009499
ENSMODP00000004720	ENSLOCP00000001213
ENSMODP00000000661	ENSLOCP00000010759
ENSMODP00000037165	ENSLOCP00000013614
ENSMODP00000003784	ENSLOCP00000009513
ENSMODP00000022407	ENSLOCP00000009888
ENSMODP00000006968	ENSLOCP00000002669
ENSMODP00000003182	ENSLOCP00000019186
ENSMODP00000017001	ENSLOCP00000011820
ENSMODP00000025757	ENSLOCP00000015274
ENSMODP00000003720	ENSLOCP00000012788
ENSMODP00000012464	ENSLOCP00000018404
ENSMODP00000026855	ENSLOCP00000001944
ENSMODP00000012483	ENSLOCP00000014421
ENSMODP00000004575	ENSLOCP00000012105
ENSMODP00000026539	ENSLOCP00000009728
ENSMODP00000020707	ENSLOCP00000009809
ENSMODP00000037209	ENSLOCP00000015260
ENSMODP00000004768	ENSLOCP00000002610
ENSMODP00000021650	ENSLOCP00000019058
ENSMODP00000005891	ENSLOCP00000016828
ENSMODP00000010976	ENSLOCP00000017507
ENSMODP00000007791	ENSLOCP00000020339
ENSMODP00000015722	ENSLOCP00000016949
ENSMODP00000017120	ENSLOCP00000005943
ENSMODP00000022073	ENSLOCP00000002387
ENSMODP00000019743	ENSLOCP00000005622
ENSMODP00000004805	ENSLOCP00000012204
ENSMODP00000011098	ENSLOCP00000001590
ENSMODP00000019187	ENSLOCP00000019605
ENSMODP00000001395	ENSLOCP00000012656
ENSMODP00000019719	ENSLOCP00000019196
ENSMODP00000020435	ENSLOCP00000003503
ENSMODP00000007438	ENSLOCP00000014971
ENSMODP00000009625	ENSLOCP00000005274
