ENSORLP00000017023	ENSMODP00000016222
ENSORLP00000000811	ENSMODP00000005643
ENSORLP00000015151	ENSMODP00000002270
ENSORLP00000014956	ENSMODP00000002561
ENSORLP00000020549	ENSMODP00000002561
ENSORLP00000014713	ENSMODP00000009463
ENSORLP00000014558	ENSMODP00000005927
ENSORLP00000010179	ENSMODP00000024027
ENSORLP00000007223	ENSMODP00000008095
ENSORLP00000006215	ENSMODP00000008095
ENSORLP00000022345	ENSMODP00000021801
ENSORLP00000003075	ENSMODP00000024609
ENSORLP00000004228	ENSMODP00000024173
ENSORLP00000017264	ENSMODP00000028249
ENSORLP00000019407	ENSMODP00000022136
ENSORLP00000020634	ENSMODP00000003242
ENSORLP00000008656	ENSMODP00000025773
ENSORLP00000018617	ENSMODP00000036015
ENSORLP00000008908	ENSMODP00000030641
ENSORLP00000011752	ENSMODP00000005304
ENSORLP00000011918	ENSMODP00000020382
ENSORLP00000024013	ENSMODP00000005124
ENSORLP00000011769	ENSMODP00000032525
ENSORLP00000018303	ENSMODP00000022163
ENSORLP00000020795	ENSMODP00000020953
ENSORLP00000000482	ENSMODP00000031707
ENSORLP00000012328	ENSMODP00000007792
ENSORLP00000022130	ENSMODP00000015990
ENSORLP00000021805	ENSMODP00000002562
ENSORLP00000000609	ENSMODP00000010334
ENSORLP00000005920	ENSMODP00000021643
ENSORLP00000007794	ENSMODP00000002723
ENSORLP00000002434	ENSMODP00000003570
ENSORLP00000014255	ENSMODP00000023866
ENSORLP00000004900	ENSMODP00000020972
ENSORLP00000011295	ENSMODP00000026388
ENSORLP00000001614	ENSMODP00000014831
ENSORLP00000016872	ENSMODP00000022588
ENSORLP00000018989	ENSMODP00000013307
ENSORLP00000007550	ENSMODP00000013307
ENSORLP00000004914	ENSMODP00000033491
ENSORLP00000020994	ENSMODP00000033491
ENSORLP00000001994	ENSMODP00000019616
ENSORLP00000022813	ENSMODP00000019188
ENSORLP00000006691	ENSMODP00000019188
ENSORLP00000016028	ENSMODP00000005475
ENSORLP00000005300	ENSMODP00000009994
ENSORLP00000009352	ENSMODP00000022371
ENSORLP00000003074	ENSMODP00000011041
ENSORLP00000017306	ENSMODP00000011039
ENSORLP00000006146	ENSMODP00000012196
ENSORLP00000025739	ENSMODP00000003656
ENSORLP00000014649	ENSMODP00000013054
ENSORLP00000021007	ENSMODP00000013054
ENSORLP00000014179	ENSMODP00000035379
ENSORLP00000022184	ENSMODP00000000452
ENSORLP00000013690	ENSMODP00000000452
ENSORLP00000000431	ENSMODP00000018859
ENSORLP00000020468	ENSMODP00000018859
ENSORLP00000007520	ENSMODP00000000469
ENSORLP00000019825	ENSMODP00000028908
ENSORLP00000003691	ENSMODP00000002563
ENSORLP00000015858	ENSMODP00000035688
ENSORLP00000019546	ENSMODP00000023213
ENSORLP00000012957	ENSMODP00000023428
ENSORLP00000003293	ENSMODP00000023428
ENSORLP00000004933	ENSMODP00000000249
ENSORLP00000014930	ENSMODP00000000479
ENSORLP00000005418	ENSMODP00000001016
ENSORLP00000008642	ENSMODP00000016123
ENSORLP00000019662	ENSMODP00000016123
ENSORLP00000000843	ENSMODP00000021880
ENSORLP00000006602	ENSMODP00000021880
ENSORLP00000007590	ENSMODP00000018797
ENSORLP00000020221	ENSMODP00000023334
ENSORLP00000002080	ENSMODP00000023334
ENSORLP00000022342	ENSMODP00000017975
ENSORLP00000022706	ENSMODP00000017975
ENSORLP00000002798	ENSMODP00000021307
ENSORLP00000024992	ENSMODP00000021307
ENSORLP00000021882	ENSMODP00000012044
ENSORLP00000009396	ENSMODP00000030207
ENSORLP00000014029	ENSMODP00000019613
ENSORLP00000002711	ENSMODP00000019109
ENSORLP00000006825	ENSMODP00000010652
ENSORLP00000015496	ENSMODP00000008555
ENSORLP00000003874	ENSMODP00000023830
ENSORLP00000017437	ENSMODP00000010813
ENSORLP00000010330	ENSMODP00000013424
ENSORLP00000016652	ENSMODP00000016279
ENSORLP00000019293	ENSMODP00000016279
ENSORLP00000023996	ENSMODP00000013384
ENSORLP00000010826	ENSMODP00000013384
ENSORLP00000013438	ENSMODP00000004565
ENSORLP00000013701	ENSMODP00000028423
ENSORLP00000005572	ENSMODP00000012942
ENSORLP00000021994	ENSMODP00000011716
ENSORLP00000015902	ENSMODP00000013466
ENSORLP00000004265	ENSMODP00000016015
ENSORLP00000007929	ENSMODP00000000437
ENSORLP00000020059	ENSMODP00000020014
ENSORLP00000013116	ENSMODP00000020014
ENSORLP00000016114	ENSMODP00000013715
ENSORLP00000011790	ENSMODP00000002105
ENSORLP00000008666	ENSMODP00000002105
ENSORLP00000025515	ENSMODP00000007274
ENSORLP00000008677	ENSMODP00000002115
ENSORLP00000011801	ENSMODP00000002115
ENSORLP00000020595	ENSMODP00000003752
ENSORLP00000020709	ENSMODP00000008475
ENSORLP00000011208	ENSMODP00000022909
ENSORLP00000024089	ENSMODP00000021212
ENSORLP00000018580	ENSMODP00000017819
ENSORLP00000017208	ENSMODP00000024318
ENSORLP00000003195	ENSMODP00000014146
ENSORLP00000021920	ENSMODP00000005376
ENSORLP00000005559	ENSMODP00000020621
ENSORLP00000008673	ENSMODP00000016034
ENSORLP00000019074	ENSMODP00000022491
ENSORLP00000007306	ENSMODP00000022004
ENSORLP00000021528	ENSMODP00000022004
ENSORLP00000011650	ENSMODP00000021415
ENSORLP00000011106	ENSMODP00000021415
ENSORLP00000017701	ENSMODP00000021822
ENSORLP00000023625	ENSMODP00000021414
ENSORLP00000004314	ENSMODP00000005123
ENSORLP00000006054	ENSMODP00000013725
ENSORLP00000017142	ENSMODP00000021523
ENSORLP00000016113	ENSMODP00000013320
ENSORLP00000021505	ENSMODP00000013320
ENSORLP00000021295	ENSMODP00000015379
ENSORLP00000000884	ENSMODP00000011548
ENSORLP00000007176	ENSMODP00000022037
ENSORLP00000021299	ENSMODP00000022037
ENSORLP00000003248	ENSMODP00000030807
ENSORLP00000018535	ENSMODP00000030807
ENSORLP00000002745	ENSMODP00000016719
ENSORLP00000008465	ENSMODP00000025787
ENSORLP00000020987	ENSMODP00000028759
ENSORLP00000010315	ENSMODP00000028759
ENSORLP00000020664	ENSMODP00000021852
ENSORLP00000010060	ENSMODP00000024163
ENSORLP00000022287	ENSMODP00000022841
ENSORLP00000018553	ENSMODP00000022841
ENSORLP00000018341	ENSMODP00000021988
ENSORLP00000013944	ENSMODP00000013582
ENSORLP00000016911	ENSMODP00000022436
ENSORLP00000012825	ENSMODP00000037855
ENSORLP00000023289	ENSMODP00000037855
ENSORLP00000003945	ENSMODP00000011440
ENSORLP00000013053	ENSMODP00000019202
ENSORLP00000012532	ENSMODP00000001457
ENSORLP00000020802	ENSMODP00000015719
ENSORLP00000006196	ENSMODP00000025762
ENSORLP00000006735	ENSMODP00000005094
ENSORLP00000002480	ENSMODP00000023625
ENSORLP00000002795	ENSMODP00000014093
ENSORLP00000005030	ENSMODP00000012594
ENSORLP00000012040	ENSMODP00000010237
ENSORLP00000016800	ENSMODP00000000934
ENSORLP00000013232	ENSMODP00000000934
ENSORLP00000021360	ENSMODP00000019976
ENSORLP00000017970	ENSMODP00000040702
ENSORLP00000019233	ENSMODP00000002766
ENSORLP00000009186	ENSMODP00000000399
ENSORLP00000003414	ENSMODP00000005825
ENSORLP00000012019	ENSMODP00000011531
ENSORLP00000008398	ENSMODP00000011033
ENSORLP00000002603	ENSMODP00000000838
ENSORLP00000016152	ENSMODP00000014368
ENSORLP00000006461	ENSMODP00000004844
ENSORLP00000017473	ENSMODP00000004844
ENSORLP00000012319	ENSMODP00000025340
ENSORLP00000021330	ENSMODP00000017239
ENSORLP00000012815	ENSMODP00000016300
ENSORLP00000002988	ENSMODP00000024624
ENSORLP00000024633	ENSMODP00000026280
ENSORLP00000015744	ENSMODP00000026280
ENSORLP00000000363	ENSMODP00000006642
ENSORLP00000006545	ENSMODP00000006642
ENSORLP00000017968	ENSMODP00000013456
ENSORLP00000013508	ENSMODP00000022110
ENSORLP00000005827	ENSMODP00000023187
ENSORLP00000015906	ENSMODP00000006952
ENSORLP00000007911	ENSMODP00000034906
ENSORLP00000017492	ENSMODP00000029642
ENSORLP00000022178	ENSMODP00000029642
ENSORLP00000023350	ENSMODP00000001893
ENSORLP00000001513	ENSMODP00000001893
ENSORLP00000017310	ENSMODP00000023242
ENSORLP00000005929	ENSMODP00000001219
ENSORLP00000017922	ENSMODP00000008501
ENSORLP00000000768	ENSMODP00000008501
ENSORLP00000002339	ENSMODP00000032729
ENSORLP00000002342	ENSMODP00000006029
ENSORLP00000012719	ENSMODP00000013337
ENSORLP00000020670	ENSMODP00000021849
ENSORLP00000019072	ENSMODP00000005066
ENSORLP00000006290	ENSMODP00000013770
ENSORLP00000001106	ENSMODP00000002547
ENSORLP00000011541	ENSMODP00000001534
ENSORLP00000024539	ENSMODP00000019745
ENSORLP00000010889	ENSMODP00000019494
ENSORLP00000010565	ENSMODP00000035126
ENSORLP00000006291	ENSMODP00000011937
ENSORLP00000024234	ENSMODP00000023649
ENSORLP00000022019	ENSMODP00000023649
ENSORLP00000005117	ENSMODP00000000328
ENSORLP00000013171	ENSMODP00000000328
ENSORLP00000017084	ENSMODP00000039408
ENSORLP00000011114	ENSMODP00000012595
ENSORLP00000018428	ENSMODP00000024807
ENSORLP00000021689	ENSMODP00000019585
ENSORLP00000012806	ENSMODP00000026347
ENSORLP00000012811	ENSMODP00000026346
ENSORLP00000012222	ENSMODP00000029187
ENSORLP00000004930	ENSMODP00000011626
ENSORLP00000003122	ENSMODP00000038904
ENSORLP00000008261	ENSMODP00000012579
ENSORLP00000014926	ENSMODP00000023619
ENSORLP00000000120	ENSMODP00000003794
ENSORLP00000025012	ENSMODP00000003794
ENSORLP00000008704	ENSMODP00000008393
ENSORLP00000004063	ENSMODP00000009029
ENSORLP00000012205	ENSMODP00000009029
ENSORLP00000018253	ENSMODP00000001300
ENSORLP00000012582	ENSMODP00000008368
ENSORLP00000015190	ENSMODP00000009421
ENSORLP00000016389	ENSMODP00000010403
ENSORLP00000013576	ENSMODP00000011986
ENSORLP00000013143	ENSMODP00000011986
ENSORLP00000002119	ENSMODP00000002576
ENSORLP00000006458	ENSMODP00000001721
ENSORLP00000025807	ENSMODP00000026291
ENSORLP00000013861	ENSMODP00000017128
ENSORLP00000022991	ENSMODP00000007108
ENSORLP00000013831	ENSMODP00000004867
ENSORLP00000017916	ENSMODP00000010692
ENSORLP00000004429	ENSMODP00000008673
ENSORLP00000022085	ENSMODP00000008673
ENSORLP00000007242	ENSMODP00000002763
ENSORLP00000011828	ENSMODP00000002763
ENSORLP00000022302	ENSMODP00000000301
ENSORLP00000009810	ENSMODP00000032191
ENSORLP00000015279	ENSMODP00000032191
ENSORLP00000020248	ENSMODP00000009501
ENSORLP00000003080	ENSMODP00000003910
ENSORLP00000003735	ENSMODP00000003910
ENSORLP00000005383	ENSMODP00000001101
ENSORLP00000006928	ENSMODP00000023734
ENSORLP00000011589	ENSMODP00000012726
ENSORLP00000023555	ENSMODP00000004406
ENSORLP00000023091	ENSMODP00000017551
ENSORLP00000010421	ENSMODP00000001455
ENSORLP00000019580	ENSMODP00000030254
ENSORLP00000006577	ENSMODP00000025939
ENSORLP00000019615	ENSMODP00000029725
ENSORLP00000019638	ENSMODP00000007595
ENSORLP00000023819	ENSMODP00000000448
ENSORLP00000004888	ENSMODP00000000581
ENSORLP00000011632	ENSMODP00000021756
ENSORLP00000000924	ENSMODP00000014791
ENSORLP00000003778	ENSMODP00000008892
ENSORLP00000016834	ENSMODP00000021930
ENSORLP00000020043	ENSMODP00000004307
ENSORLP00000001708	ENSMODP00000031416
ENSORLP00000017742	ENSMODP00000004279
ENSORLP00000009555	ENSMODP00000016550
ENSORLP00000018186	ENSMODP00000016550
ENSORLP00000004806	ENSMODP00000002057
ENSORLP00000004111	ENSMODP00000023903
ENSORLP00000017935	ENSMODP00000023903
ENSORLP00000021819	ENSMODP00000016112
ENSORLP00000025339	ENSMODP00000011712
ENSORLP00000020353	ENSMODP00000006821
ENSORLP00000021165	ENSMODP00000007341
ENSORLP00000017554	ENSMODP00000036418
ENSORLP00000006677	ENSMODP00000031883
ENSORLP00000009375	ENSMODP00000008755
ENSORLP00000017309	ENSMODP00000021714
ENSORLP00000018641	ENSMODP00000022716
ENSORLP00000005890	ENSMODP00000011249
ENSORLP00000014414	ENSMODP00000011702
ENSORLP00000009360	ENSMODP00000016105
ENSORLP00000022641	ENSMODP00000004548
ENSORLP00000020384	ENSMODP00000000178
ENSORLP00000011990	ENSMODP00000027542
ENSORLP00000020466	ENSMODP00000021395
ENSORLP00000004514	ENSMODP00000021395
ENSORLP00000017296	ENSMODP00000021711
ENSORLP00000014905	ENSMODP00000008261
ENSORLP00000007598	ENSMODP00000008261
ENSORLP00000019172	ENSMODP00000017293
ENSORLP00000015939	ENSMODP00000002996
ENSORLP00000004581	ENSMODP00000002996
ENSORLP00000004596	ENSMODP00000022804
ENSORLP00000015948	ENSMODP00000022804
ENSORLP00000019300	ENSMODP00000040099
ENSORLP00000013252	ENSMODP00000015049
ENSORLP00000019334	ENSMODP00000000136
ENSORLP00000008162	ENSMODP00000009833
ENSORLP00000020101	ENSMODP00000000410
ENSORLP00000008423	ENSMODP00000022549
ENSORLP00000005238	ENSMODP00000025381
ENSORLP00000002644	ENSMODP00000022552
ENSORLP00000009270	ENSMODP00000000623
ENSORLP00000017950	ENSMODP00000005965
ENSORLP00000006614	ENSMODP00000000937
ENSORLP00000021635	ENSMODP00000035585
ENSORLP00000019425	ENSMODP00000018160
ENSORLP00000007844	ENSMODP00000004313
ENSORLP00000016814	ENSMODP00000004249
ENSORLP00000003806	ENSMODP00000020356
ENSORLP00000020722	ENSMODP00000003924
ENSORLP00000005923	ENSMODP00000037223
ENSORLP00000013215	ENSMODP00000023811
ENSORLP00000014405	ENSMODP00000013896
ENSORLP00000024763	ENSMODP00000019379
ENSORLP00000013899	ENSMODP00000015068
ENSORLP00000021694	ENSMODP00000015068
ENSORLP00000015144	ENSMODP00000040581
ENSORLP00000005778	ENSMODP00000000143
ENSORLP00000023296	ENSMODP00000013666
ENSORLP00000005365	ENSMODP00000003297
ENSORLP00000011775	ENSMODP00000032532
ENSORLP00000014954	ENSMODP00000005883
ENSORLP00000017720	ENSMODP00000004209
ENSORLP00000002627	ENSMODP00000019311
ENSORLP00000025331	ENSMODP00000007439
ENSORLP00000004632	ENSMODP00000022689
ENSORLP00000008029	ENSMODP00000009014
ENSORLP00000002270	ENSMODP00000010999
ENSORLP00000002338	ENSMODP00000024289
ENSORLP00000014491	ENSMODP00000024289
ENSORLP00000015110	ENSMODP00000025903
ENSORLP00000009853	ENSMODP00000003590
ENSORLP00000006295	ENSMODP00000037274
ENSORLP00000011817	ENSMODP00000014386
ENSORLP00000012854	ENSMODP00000016277
ENSORLP00000011247	ENSMODP00000024593
ENSORLP00000001650	ENSMODP00000012015
ENSORLP00000006333	ENSMODP00000026268
ENSORLP00000011186	ENSMODP00000026268
ENSORLP00000022262	ENSMODP00000014292
ENSORLP00000014172	ENSMODP00000011856
ENSORLP00000019753	ENSMODP00000010718
ENSORLP00000020315	ENSMODP00000005938
ENSORLP00000019444	ENSMODP00000000563
ENSORLP00000012561	ENSMODP00000017785
ENSORLP00000012372	ENSMODP00000024110
ENSORLP00000013987	ENSMODP00000027725
ENSORLP00000001473	ENSMODP00000013246
ENSORLP00000007979	ENSMODP00000021193
ENSORLP00000014746	ENSMODP00000005484
ENSORLP00000006883	ENSMODP00000032514
ENSORLP00000004669	ENSMODP00000018198
ENSORLP00000002783	ENSMODP00000018198
ENSORLP00000005416	ENSMODP00000018796
ENSORLP00000011470	ENSMODP00000037026
ENSORLP00000008530	ENSMODP00000037026
ENSORLP00000010005	ENSMODP00000000717
ENSORLP00000016138	ENSMODP00000014686
ENSORLP00000022152	ENSMODP00000016150
ENSORLP00000013616	ENSMODP00000000153
ENSORLP00000019845	ENSMODP00000015953
ENSORLP00000001421	ENSMODP00000019118
ENSORLP00000021683	ENSMODP00000000274
ENSORLP00000007321	ENSMODP00000003057
ENSORLP00000011224	ENSMODP00000001583
ENSORLP00000017850	ENSMODP00000016915
ENSORLP00000002357	ENSMODP00000020592
ENSORLP00000006748	ENSMODP00000032798
ENSORLP00000002587	ENSMODP00000029853
ENSORLP00000021247	ENSMODP00000029853
ENSORLP00000005051	ENSMODP00000018200
ENSORLP00000003765	ENSMODP00000014920
ENSORLP00000007792	ENSMODP00000002092
ENSORLP00000000534	ENSMODP00000002092
ENSORLP00000025014	ENSMODP00000031808
ENSORLP00000023046	ENSMODP00000031808
ENSORLP00000004584	ENSMODP00000023332
ENSORLP00000023370	ENSMODP00000000470
ENSORLP00000005779	ENSMODP00000001945
ENSORLP00000019283	ENSMODP00000038015
ENSORLP00000001843	ENSMODP00000031529
ENSORLP00000000380	ENSMODP00000025350
ENSORLP00000016337	ENSMODP00000028132
ENSORLP00000011234	ENSMODP00000028132
ENSORLP00000004424	ENSMODP00000017212
ENSORLP00000010522	ENSMODP00000016878
ENSORLP00000013931	ENSMODP00000012674
ENSORLP00000000404	ENSMODP00000007356
ENSORLP00000010156	ENSMODP00000000841
ENSORLP00000006817	ENSMODP00000006275
ENSORLP00000013108	ENSMODP00000000638
ENSORLP00000011033	ENSMODP00000011165
ENSORLP00000010839	ENSMODP00000010254
ENSORLP00000018382	ENSMODP00000021020
ENSORLP00000012218	ENSMODP00000021020
ENSORLP00000017958	ENSMODP00000013732
ENSORLP00000000765	ENSMODP00000018665
ENSORLP00000022963	ENSMODP00000018665
ENSORLP00000005996	ENSMODP00000000696
ENSORLP00000012341	ENSMODP00000004802
ENSORLP00000008971	ENSMODP00000003405
ENSORLP00000012770	ENSMODP00000013195
ENSORLP00000011639	ENSMODP00000026495
ENSORLP00000014777	ENSMODP00000026620
ENSORLP00000011409	ENSMODP00000006868
ENSORLP00000009205	ENSMODP00000000517
ENSORLP00000006951	ENSMODP00000015558
ENSORLP00000002583	ENSMODP00000019641
ENSORLP00000023345	ENSMODP00000009652
ENSORLP00000007496	ENSMODP00000015248
ENSORLP00000014865	ENSMODP00000017234
ENSORLP00000005624	ENSMODP00000018653
ENSORLP00000025492	ENSMODP00000040055
ENSORLP00000013878	ENSMODP00000002305
ENSORLP00000001089	ENSMODP00000008158
ENSORLP00000001552	ENSMODP00000016543
ENSORLP00000017675	ENSMODP00000021028
ENSORLP00000006205	ENSMODP00000004935
ENSORLP00000004588	ENSMODP00000009157
ENSORLP00000006352	ENSMODP00000006875
ENSORLP00000010309	ENSMODP00000013643
ENSORLP00000005146	ENSMODP00000023317
ENSORLP00000012308	ENSMODP00000022857
ENSORLP00000011744	ENSMODP00000027851
ENSORLP00000014035	ENSMODP00000009797
ENSORLP00000020821	ENSMODP00000013278
ENSORLP00000012196	ENSMODP00000023457
ENSORLP00000015982	ENSMODP00000016662
ENSORLP00000022596	ENSMODP00000027120
ENSORLP00000009862	ENSMODP00000025432
ENSORLP00000006891	ENSMODP00000025432
ENSORLP00000012978	ENSMODP00000019909
ENSORLP00000002873	ENSMODP00000019909
ENSORLP00000003557	ENSMODP00000012067
ENSORLP00000024828	ENSMODP00000018294
ENSORLP00000007985	ENSMODP00000000804
ENSORLP00000021646	ENSMODP00000021122
ENSORLP00000006008	ENSMODP00000012356
ENSORLP00000004020	ENSMODP00000015429
ENSORLP00000025678	ENSMODP00000015429
ENSORLP00000019393	ENSMODP00000015514
ENSORLP00000020263	ENSMODP00000015514
ENSORLP00000020160	ENSMODP00000029130
ENSORLP00000020418	ENSMODP00000019547
ENSORLP00000017369	ENSMODP00000017809
ENSORLP00000010358	ENSMODP00000011099
ENSORLP00000010790	ENSMODP00000010129
ENSORLP00000018379	ENSMODP00000017529
ENSORLP00000008025	ENSMODP00000017003
ENSORLP00000004446	ENSMODP00000031686
ENSORLP00000024471	ENSMODP00000019731
ENSORLP00000021169	ENSMODP00000034085
ENSORLP00000001596	ENSMODP00000011522
ENSORLP00000008097	ENSMODP00000023987
ENSORLP00000000429	ENSMODP00000023987
ENSORLP00000004449	ENSMODP00000021381
ENSORLP00000020164	ENSMODP00000008088
ENSORLP00000010222	ENSMODP00000006150
ENSORLP00000005776	ENSMODP00000001206
ENSORLP00000010859	ENSMODP00000013327
ENSORLP00000018205	ENSMODP00000016553
ENSORLP00000009540	ENSMODP00000016553
ENSORLP00000017078	ENSMODP00000039257
ENSORLP00000023811	ENSMODP00000004501
ENSORLP00000017035	ENSMODP00000000334
ENSORLP00000020445	ENSMODP00000006782
ENSORLP00000001149	ENSMODP00000032061
ENSORLP00000019236	ENSMODP00000027954
ENSORLP00000008154	ENSMODP00000037282
ENSORLP00000007869	ENSMODP00000036805
ENSORLP00000006661	ENSMODP00000019134
ENSORLP00000000212	ENSMODP00000013470
ENSORLP00000004078	ENSMODP00000002174
ENSORLP00000000976	ENSMODP00000008681
ENSORLP00000020199	ENSMODP00000005870
ENSORLP00000007337	ENSMODP00000017355
ENSORLP00000001624	ENSMODP00000017355
ENSORLP00000018408	ENSMODP00000002716
ENSORLP00000004345	ENSMODP00000015896
ENSORLP00000010374	ENSMODP00000015896
ENSORLP00000001377	ENSMODP00000003265
ENSORLP00000019446	ENSMODP00000040727
ENSORLP00000011375	ENSMODP00000012517
ENSORLP00000003554	ENSMODP00000028807
ENSORLP00000015073	ENSMODP00000023937
ENSORLP00000005894	ENSMODP00000026540
ENSORLP00000005907	ENSMODP00000023652
ENSORLP00000019315	ENSMODP00000009129
ENSORLP00000024717	ENSMODP00000035176
ENSORLP00000013410	ENSMODP00000012657
ENSORLP00000020586	ENSMODP00000035948
ENSORLP00000020760	ENSMODP00000026679
ENSORLP00000019029	ENSMODP00000026679
ENSORLP00000007969	ENSMODP00000004216
ENSORLP00000001371	ENSMODP00000009872
ENSORLP00000019923	ENSMODP00000017019
ENSORLP00000000360	ENSMODP00000005420
ENSORLP00000010561	ENSMODP00000014333
ENSORLP00000015469	ENSMODP00000014333
ENSORLP00000014010	ENSMODP00000012383
ENSORLP00000011560	ENSMODP00000007138
ENSORLP00000015154	ENSMODP00000007138
ENSORLP00000012214	ENSMODP00000008758
ENSORLP00000011268	ENSMODP00000032264
ENSORLP00000000531	ENSMODP00000005300
ENSORLP00000020274	ENSMODP00000017656
ENSORLP00000006459	ENSMODP00000006119
ENSORLP00000018488	ENSMODP00000022074
ENSORLP00000004180	ENSMODP00000023936
ENSORLP00000009583	ENSMODP00000020893
ENSORLP00000025629	ENSMODP00000026325
ENSORLP00000018144	ENSMODP00000016382
ENSORLP00000006400	ENSMODP00000005885
ENSORLP00000003599	ENSMODP00000005885
ENSORLP00000020878	ENSMODP00000023743
ENSORLP00000012263	ENSMODP00000008720
ENSORLP00000007208	ENSMODP00000009840
ENSORLP00000022644	ENSMODP00000025789
ENSORLP00000019787	ENSMODP00000001116
ENSORLP00000024448	ENSMODP00000022486
ENSORLP00000024453	ENSMODP00000022485
ENSORLP00000010822	ENSMODP00000022700
ENSORLP00000020793	ENSMODP00000013356
ENSORLP00000019352	ENSMODP00000013356
ENSORLP00000008703	ENSMODP00000009651
ENSORLP00000014795	ENSMODP00000020837
ENSORLP00000021237	ENSMODP00000026870
ENSORLP00000017699	ENSMODP00000016973
ENSORLP00000010606	ENSMODP00000000779
ENSORLP00000006785	ENSMODP00000032836
ENSORLP00000020810	ENSMODP00000007554
ENSORLP00000005808	ENSMODP00000000167
ENSORLP00000012156	ENSMODP00000000167
ENSORLP00000014236	ENSMODP00000030329
ENSORLP00000013816	ENSMODP00000008314
ENSORLP00000009296	ENSMODP00000008314
ENSORLP00000014946	ENSMODP00000006785
ENSORLP00000012931	ENSMODP00000040912
ENSORLP00000006343	ENSMODP00000005525
ENSORLP00000021224	ENSMODP00000012633
ENSORLP00000021641	ENSMODP00000010861
ENSORLP00000018138	ENSMODP00000020914
ENSORLP00000019690	ENSMODP00000011787
ENSORLP00000019696	ENSMODP00000032320
ENSORLP00000017783	ENSMODP00000026251
ENSORLP00000007661	ENSMODP00000031602
ENSORLP00000012128	ENSMODP00000031602
ENSORLP00000002892	ENSMODP00000006003
ENSORLP00000011226	ENSMODP00000026396
ENSORLP00000024597	ENSMODP00000011185
ENSORLP00000002994	ENSMODP00000019716
ENSORLP00000025687	ENSMODP00000002650
ENSORLP00000015770	ENSMODP00000020770
ENSORLP00000011728	ENSMODP00000008321
ENSORLP00000004907	ENSMODP00000018098
ENSORLP00000014019	ENSMODP00000008252
ENSORLP00000015646	ENSMODP00000008252
ENSORLP00000004667	ENSMODP00000021769
ENSORLP00000007841	ENSMODP00000017934
ENSORLP00000008284	ENSMODP00000009326
ENSORLP00000019964	ENSMODP00000022913
ENSORLP00000006671	ENSMODP00000016067
ENSORLP00000003490	ENSMODP00000016067
ENSORLP00000007009	ENSMODP00000002590
ENSORLP00000010019	ENSMODP00000002934
ENSORLP00000015895	ENSMODP00000010989
ENSORLP00000022633	ENSMODP00000021979
ENSORLP00000003820	ENSMODP00000023398
ENSORLP00000016280	ENSMODP00000001384
ENSORLP00000009679	ENSMODP00000016487
ENSORLP00000010356	ENSMODP00000013997
ENSORLP00000012995	ENSMODP00000005214
ENSORLP00000023550	ENSMODP00000033556
ENSORLP00000016444	ENSMODP00000014936
ENSORLP00000023337	ENSMODP00000007058
ENSORLP00000010320	ENSMODP00000010872
ENSORLP00000006688	ENSMODP00000010872
ENSORLP00000021298	ENSMODP00000001517
ENSORLP00000005305	ENSMODP00000008043
ENSORLP00000020385	ENSMODP00000034162
ENSORLP00000024974	ENSMODP00000024271
ENSORLP00000023999	ENSMODP00000010678
ENSORLP00000010863	ENSMODP00000032479
ENSORLP00000003379	ENSMODP00000000110
ENSORLP00000017949	ENSMODP00000039215
ENSORLP00000018328	ENSMODP00000012111
ENSORLP00000013259	ENSMODP00000040478
ENSORLP00000001922	ENSMODP00000015628
ENSORLP00000006918	ENSMODP00000016735
ENSORLP00000021449	ENSMODP00000001431
ENSORLP00000004798	ENSMODP00000007209
ENSORLP00000010130	ENSMODP00000013400
ENSORLP00000022618	ENSMODP00000021893
ENSORLP00000020645	ENSMODP00000021853
ENSORLP00000010073	ENSMODP00000008954
ENSORLP00000017319	ENSMODP00000010909
ENSORLP00000011378	ENSMODP00000003488
ENSORLP00000002058	ENSMODP00000017542
ENSORLP00000002021	ENSMODP00000019904
ENSORLP00000010413	ENSMODP00000038341
ENSORLP00000000115	ENSMODP00000013357
ENSORLP00000011519	ENSMODP00000012606
ENSORLP00000017738	ENSMODP00000014422
ENSORLP00000010084	ENSMODP00000010048
ENSORLP00000005499	ENSMODP00000026310
ENSORLP00000024188	ENSMODP00000000562
ENSORLP00000010438	ENSMODP00000016024
ENSORLP00000012428	ENSMODP00000008565
ENSORLP00000009922	ENSMODP00000001031
ENSORLP00000019196	ENSMODP00000012103
ENSORLP00000024687	ENSMODP00000039126
ENSORLP00000004490	ENSMODP00000038058
ENSORLP00000018660	ENSMODP00000019497
ENSORLP00000015598	ENSMODP00000040550
ENSORLP00000022216	ENSMODP00000040550
ENSORLP00000003107	ENSMODP00000024398
ENSORLP00000012600	ENSMODP00000002593
ENSORLP00000014199	ENSMODP00000032786
ENSORLP00000008096	ENSMODP00000038514
ENSORLP00000005987	ENSMODP00000004449
ENSORLP00000006077	ENSMODP00000021186
ENSORLP00000009623	ENSMODP00000001156
ENSORLP00000018630	ENSMODP00000003896
ENSORLP00000025685	ENSMODP00000002664
ENSORLP00000003518	ENSMODP00000015604
ENSORLP00000021884	ENSMODP00000011669
ENSORLP00000006699	ENSMODP00000020139
ENSORLP00000020661	ENSMODP00000002860
ENSORLP00000013811	ENSMODP00000036319
ENSORLP00000012557	ENSMODP00000033872
ENSORLP00000016253	ENSMODP00000008148
ENSORLP00000022988	ENSMODP00000010794
