ENSGACP00000003450	ENSCAFP00000014731
ENSGACP00000008253	ENSCAFP00000042740
ENSGACP00000014025	ENSCAFP00000028058
ENSGACP00000017926	ENSCAFP00000033785
ENSGACP00000022100	ENSCAFP00000022584
ENSGACP00000013085	ENSCAFP00000037874
ENSGACP00000007386	ENSCAFP00000041075
ENSGACP00000020410	ENSCAFP00000041075
ENSGACP00000015584	ENSCAFP00000017473
ENSGACP00000004298	ENSCAFP00000017473
ENSGACP00000008353	ENSCAFP00000012989
ENSGACP00000006370	ENSCAFP00000026368
ENSGACP00000019698	ENSCAFP00000007541
ENSGACP00000021124	ENSCAFP00000010866
ENSGACP00000013336	ENSCAFP00000020417
ENSGACP00000011690	ENSCAFP00000016342
ENSGACP00000019948	ENSCAFP00000016342
ENSGACP00000013169	ENSCAFP00000027014
ENSGACP00000010876	ENSCAFP00000004461
ENSGACP00000009505	ENSCAFP00000004461
ENSGACP00000017522	ENSCAFP00000042874
ENSGACP00000015823	ENSCAFP00000042874
ENSGACP00000017495	ENSCAFP00000019510
ENSGACP00000016935	ENSCAFP00000019510
ENSGACP00000023711	ENSCAFP00000010096
ENSGACP00000012145	ENSCAFP00000016040
ENSGACP00000016966	ENSCAFP00000025048
ENSGACP00000007036	ENSCAFP00000027535
ENSGACP00000022469	ENSCAFP00000027803
ENSGACP00000005555	ENSCAFP00000008257
ENSGACP00000019923	ENSCAFP00000008257
ENSGACP00000003155	ENSCAFP00000030286
ENSGACP00000011268	ENSCAFP00000012865
ENSGACP00000020940	ENSCAFP00000004338
ENSGACP00000013711	ENSCAFP00000021920
ENSGACP00000007491	ENSCAFP00000021920
ENSGACP00000014495	ENSCAFP00000020479
ENSGACP00000008769	ENSCAFP00000010528
ENSGACP00000005331	ENSCAFP00000002282
ENSGACP00000011841	ENSCAFP00000002282
ENSGACP00000021125	ENSCAFP00000006042
ENSGACP00000007323	ENSCAFP00000003937
ENSGACP00000008105	ENSCAFP00000016027
ENSGACP00000009163	ENSCAFP00000017416
ENSGACP00000015592	ENSCAFP00000009217
ENSGACP00000011794	ENSCAFP00000024111
ENSGACP00000012861	ENSCAFP00000041330
ENSGACP00000006759	ENSCAFP00000041330
ENSGACP00000010604	ENSCAFP00000003808
ENSGACP00000008770	ENSCAFP00000003808
ENSGACP00000017692	ENSCAFP00000017937
ENSGACP00000000605	ENSCAFP00000017937
ENSGACP00000003213	ENSCAFP00000035860
ENSGACP00000011031	ENSCAFP00000035860
ENSGACP00000021779	ENSCAFP00000016927
ENSGACP00000011017	ENSCAFP00000023419
ENSGACP00000003214	ENSCAFP00000023419
ENSGACP00000018020	ENSCAFP00000007875
ENSGACP00000014576	ENSCAFP00000013248
ENSGACP00000017614	ENSCAFP00000019203
ENSGACP00000017925	ENSCAFP00000026175
ENSGACP00000004826	ENSCAFP00000014976
ENSGACP00000023724	ENSCAFP00000007169
ENSGACP00000008841	ENSCAFP00000003112
ENSGACP00000010680	ENSCAFP00000029255
ENSGACP00000023472	ENSCAFP00000024628
ENSGACP00000023472	ENSCAFP00000016934
ENSGACP00000017930	ENSCAFP00000000403
ENSGACP00000015542	ENSCAFP00000000403
ENSGACP00000012067	ENSCAFP00000015779
ENSGACP00000006756	ENSCAFP00000030483
ENSGACP00000004225	ENSCAFP00000006606
ENSGACP00000009655	ENSCAFP00000000245
ENSGACP00000001945	ENSCAFP00000015057
ENSGACP00000007399	ENSCAFP00000024843
ENSGACP00000025484	ENSCAFP00000007577
ENSGACP00000008103	ENSCAFP00000001504
ENSGACP00000017540	ENSCAFP00000001504
ENSGACP00000007413	ENSCAFP00000012674
ENSGACP00000017473	ENSCAFP00000002112
ENSGACP00000023140	ENSCAFP00000016211
ENSGACP00000011117	ENSCAFP00000008798
ENSGACP00000012616	ENSCAFP00000008798
ENSGACP00000014474	ENSCAFP00000019018
ENSGACP00000016233	ENSCAFP00000004540
ENSGACP00000012111	ENSCAFP00000004540
ENSGACP00000012253	ENSCAFP00000004467
ENSGACP00000007604	ENSCAFP00000017449
ENSGACP00000011747	ENSCAFP00000030785
ENSGACP00000024583	ENSCAFP00000010402
ENSGACP00000021734	ENSCAFP00000010402
ENSGACP00000027244	ENSCAFP00000009979
ENSGACP00000015749	ENSCAFP00000009979
ENSGACP00000025927	ENSCAFP00000016665
ENSGACP00000023942	ENSCAFP00000000346
ENSGACP00000024443	ENSCAFP00000006144
ENSGACP00000004061	ENSCAFP00000020720
ENSGACP00000027187	ENSCAFP00000009188
ENSGACP00000016121	ENSCAFP00000022743
ENSGACP00000012475	ENSCAFP00000022743
ENSGACP00000011028	ENSCAFP00000030624
ENSGACP00000006043	ENSCAFP00000021891
ENSGACP00000010550	ENSCAFP00000035137
ENSGACP00000014124	ENSCAFP00000005875
ENSGACP00000021110	ENSCAFP00000029678
ENSGACP00000000596	ENSCAFP00000037136
ENSGACP00000022782	ENSCAFP00000005384
ENSGACP00000026874	ENSCAFP00000029008
ENSGACP00000011345	ENSCAFP00000017800
ENSGACP00000017403	ENSCAFP00000013620
ENSGACP00000027640	ENSCAFP00000040405
ENSGACP00000016598	ENSCAFP00000021918
ENSGACP00000013193	ENSCAFP00000021918
ENSGACP00000008375	ENSCAFP00000027161
ENSGACP00000022996	ENSCAFP00000029306
ENSGACP00000020821	ENSCAFP00000013457
ENSGACP00000027001	ENSCAFP00000018655
ENSGACP00000026659	ENSCAFP00000014414
ENSGACP00000014114	ENSCAFP00000014414
ENSGACP00000018365	ENSCAFP00000017615
ENSGACP00000016016	ENSCAFP00000038422
ENSGACP00000027235	ENSCAFP00000009604
ENSGACP00000004122	ENSCAFP00000030150
ENSGACP00000023771	ENSCAFP00000030151
ENSGACP00000023898	ENSCAFP00000029837
ENSGACP00000004306	ENSCAFP00000029837
ENSGACP00000013238	ENSCAFP00000006275
ENSGACP00000007037	ENSCAFP00000024866
ENSGACP00000009196	ENSCAFP00000004102
ENSGACP00000022634	ENSCAFP00000024783
ENSGACP00000000322	ENSCAFP00000027907
ENSGACP00000015087	ENSCAFP00000015678
ENSGACP00000014513	ENSCAFP00000000305
ENSGACP00000020174	ENSCAFP00000032037
ENSGACP00000017552	ENSCAFP00000020283
ENSGACP00000009935	ENSCAFP00000000237
ENSGACP00000002784	ENSCAFP00000008287
ENSGACP00000012148	ENSCAFP00000005057
ENSGACP00000012139	ENSCAFP00000005060
ENSGACP00000012891	ENSCAFP00000039695
ENSGACP00000017505	ENSCAFP00000016162
ENSGACP00000023819	ENSCAFP00000037526
ENSGACP00000023528	ENSCAFP00000018306
ENSGACP00000025820	ENSCAFP00000018306
ENSGACP00000014446	ENSCAFP00000021870
ENSGACP00000003763	ENSCAFP00000021870
ENSGACP00000017855	ENSCAFP00000029644
ENSGACP00000019205	ENSCAFP00000029644
ENSGACP00000008937	ENSCAFP00000001713
ENSGACP00000003142	ENSCAFP00000013814
ENSGACP00000009984	ENSCAFP00000022420
ENSGACP00000007237	ENSCAFP00000025167
ENSGACP00000013753	ENSCAFP00000000380
ENSGACP00000002791	ENSCAFP00000041269
ENSGACP00000012810	ENSCAFP00000024921
ENSGACP00000003031	ENSCAFP00000014125
ENSGACP00000017879	ENSCAFP00000038197
ENSGACP00000020655	ENSCAFP00000008225
ENSGACP00000000392	ENSCAFP00000008225
ENSGACP00000003157	ENSCAFP00000012211
ENSGACP00000002828	ENSCAFP00000017107
ENSGACP00000025624	ENSCAFP00000007064
ENSGACP00000016227	ENSCAFP00000007064
ENSGACP00000025318	ENSCAFP00000002156
ENSGACP00000009733	ENSCAFP00000002156
ENSGACP00000025814	ENSCAFP00000031044
ENSGACP00000013206	ENSCAFP00000000946
ENSGACP00000027520	ENSCAFP00000025939
ENSGACP00000017353	ENSCAFP00000026270
ENSGACP00000007319	ENSCAFP00000026270
ENSGACP00000017735	ENSCAFP00000004380
ENSGACP00000011923	ENSCAFP00000015442
ENSGACP00000008743	ENSCAFP00000015442
ENSGACP00000001874	ENSCAFP00000015379
ENSGACP00000018937	ENSCAFP00000017194
ENSGACP00000018824	ENSCAFP00000017194
ENSGACP00000005417	ENSCAFP00000036795
ENSGACP00000024940	ENSCAFP00000036795
ENSGACP00000015565	ENSCAFP00000038623
ENSGACP00000020989	ENSCAFP00000029584
ENSGACP00000016189	ENSCAFP00000013678
ENSGACP00000003926	ENSCAFP00000009247
ENSGACP00000014699	ENSCAFP00000008859
ENSGACP00000025172	ENSCAFP00000008859
ENSGACP00000025941	ENSCAFP00000004720
ENSGACP00000024768	ENSCAFP00000027128
ENSGACP00000023839	ENSCAFP00000040146
ENSGACP00000023219	ENSCAFP00000012718
ENSGACP00000022260	ENSCAFP00000012356
ENSGACP00000007173	ENSCAFP00000019271
ENSGACP00000021237	ENSCAFP00000004107
ENSGACP00000000535	ENSCAFP00000015214
ENSGACP00000018282	ENSCAFP00000030219
ENSGACP00000000033	ENSCAFP00000012808
ENSGACP00000010370	ENSCAFP00000014197
ENSGACP00000023516	ENSCAFP00000008035
ENSGACP00000016382	ENSCAFP00000024185
ENSGACP00000014652	ENSCAFP00000023918
ENSGACP00000017877	ENSCAFP00000029643
ENSGACP00000013154	ENSCAFP00000021434
ENSGACP00000011949	ENSCAFP00000017804
ENSGACP00000027451	ENSCAFP00000017804
ENSGACP00000021029	ENSCAFP00000011771
ENSGACP00000017743	ENSCAFP00000022440
ENSGACP00000012899	ENSCAFP00000022440
ENSGACP00000009382	ENSCAFP00000019424
ENSGACP00000018995	ENSCAFP00000007947
ENSGACP00000010396	ENSCAFP00000025284
ENSGACP00000017653	ENSCAFP00000023813
ENSGACP00000002181	ENSCAFP00000038683
ENSGACP00000015012	ENSCAFP00000000386
ENSGACP00000018640	ENSCAFP00000024250
ENSGACP00000005708	ENSCAFP00000010363
ENSGACP00000017307	ENSCAFP00000025521
ENSGACP00000018450	ENSCAFP00000018805
ENSGACP00000019915	ENSCAFP00000018805
ENSGACP00000001085	ENSCAFP00000021097
ENSGACP00000027314	ENSCAFP00000021097
ENSGACP00000015860	ENSCAFP00000021509
ENSGACP00000016429	ENSCAFP00000010522
ENSGACP00000019957	ENSCAFP00000017270
ENSGACP00000004165	ENSCAFP00000017270
ENSGACP00000020071	ENSCAFP00000028888
ENSGACP00000023162	ENSCAFP00000012271
ENSGACP00000011608	ENSCAFP00000014052
ENSGACP00000013019	ENSCAFP00000007593
ENSGACP00000026891	ENSCAFP00000007593
ENSGACP00000018284	ENSCAFP00000016094
ENSGACP00000003070	ENSCAFP00000015248
ENSGACP00000009145	ENSCAFP00000027436
ENSGACP00000006645	ENSCAFP00000031095
ENSGACP00000022748	ENSCAFP00000011429
ENSGACP00000014176	ENSCAFP00000028654
ENSGACP00000005355	ENSCAFP00000036046
ENSGACP00000020604	ENSCAFP00000036046
ENSGACP00000006633	ENSCAFP00000018620
ENSGACP00000002200	ENSCAFP00000017612
ENSGACP00000018240	ENSCAFP00000018360
ENSGACP00000017039	ENSCAFP00000040776
ENSGACP00000000100	ENSCAFP00000040776
ENSGACP00000009047	ENSCAFP00000021115
ENSGACP00000026716	ENSCAFP00000022465
ENSGACP00000019784	ENSCAFP00000025517
ENSGACP00000021380	ENSCAFP00000011755
ENSGACP00000013558	ENSCAFP00000011755
ENSGACP00000006525	ENSCAFP00000030943
ENSGACP00000000297	ENSCAFP00000002164
ENSGACP00000020302	ENSCAFP00000008897
ENSGACP00000009209	ENSCAFP00000009895
ENSGACP00000001414	ENSCAFP00000040084
ENSGACP00000009280	ENSCAFP00000001757
ENSGACP00000007942	ENSCAFP00000029839
ENSGACP00000017885	ENSCAFP00000029636
ENSGACP00000014804	ENSCAFP00000008605
ENSGACP00000003202	ENSCAFP00000021166
ENSGACP00000018518	ENSCAFP00000016160
ENSGACP00000025614	ENSCAFP00000024579
ENSGACP00000009919	ENSCAFP00000026656
ENSGACP00000006104	ENSCAFP00000027162
ENSGACP00000023497	ENSCAFP00000027162
ENSGACP00000001155	ENSCAFP00000015483
ENSGACP00000025226	ENSCAFP00000037628
ENSGACP00000020150	ENSCAFP00000038890
ENSGACP00000024720	ENSCAFP00000026634
ENSGACP00000022999	ENSCAFP00000029281
ENSGACP00000013057	ENSCAFP00000039968
ENSGACP00000015763	ENSCAFP00000019775
ENSGACP00000019895	ENSCAFP00000012583
ENSGACP00000004478	ENSCAFP00000012583
ENSGACP00000022692	ENSCAFP00000020432
ENSGACP00000015502	ENSCAFP00000009251
ENSGACP00000011134	ENSCAFP00000022940
ENSGACP00000012652	ENSCAFP00000006601
ENSGACP00000026894	ENSCAFP00000006601
ENSGACP00000005789	ENSCAFP00000016718
ENSGACP00000018101	ENSCAFP00000027819
ENSGACP00000026829	ENSCAFP00000027819
ENSGACP00000016955	ENSCAFP00000025014
ENSGACP00000009265	ENSCAFP00000018718
ENSGACP00000007600	ENSCAFP00000039272
ENSGACP00000001677	ENSCAFP00000015650
ENSGACP00000002037	ENSCAFP00000015650
ENSGACP00000000491	ENSCAFP00000037417
ENSGACP00000026541	ENSCAFP00000036581
ENSGACP00000023695	ENSCAFP00000040503
ENSGACP00000023820	ENSCAFP00000013148
ENSGACP00000003084	ENSCAFP00000021263
ENSGACP00000011360	ENSCAFP00000021263
ENSGACP00000011142	ENSCAFP00000028310
ENSGACP00000006208	ENSCAFP00000015388
ENSGACP00000024229	ENSCAFP00000023416
ENSGACP00000018699	ENSCAFP00000018072
ENSGACP00000016629	ENSCAFP00000019700
ENSGACP00000026107	ENSCAFP00000018831
ENSGACP00000027432	ENSCAFP00000009924
ENSGACP00000027029	ENSCAFP00000029045
ENSGACP00000006776	ENSCAFP00000004375
ENSGACP00000017590	ENSCAFP00000004375
ENSGACP00000008457	ENSCAFP00000008880
ENSGACP00000002059	ENSCAFP00000015065
ENSGACP00000007070	ENSCAFP00000023775
ENSGACP00000001524	ENSCAFP00000023775
ENSGACP00000018536	ENSCAFP00000016192
ENSGACP00000022775	ENSCAFP00000011181
ENSGACP00000027405	ENSCAFP00000009370
ENSGACP00000018207	ENSCAFP00000027304
ENSGACP00000004018	ENSCAFP00000032856
ENSGACP00000020962	ENSCAFP00000032856
ENSGACP00000012709	ENSCAFP00000015524
ENSGACP00000015181	ENSCAFP00000005719
ENSGACP00000006988	ENSCAFP00000014272
ENSGACP00000013064	ENSCAFP00000014272
ENSGACP00000011035	ENSCAFP00000008265
ENSGACP00000014895	ENSCAFP00000024272
ENSGACP00000023134	ENSCAFP00000030200
ENSGACP00000011358	ENSCAFP00000016005
ENSGACP00000026552	ENSCAFP00000026921
ENSGACP00000003924	ENSCAFP00000039259
ENSGACP00000015892	ENSCAFP00000018790
ENSGACP00000003433	ENSCAFP00000018790
ENSGACP00000012672	ENSCAFP00000030532
ENSGACP00000003731	ENSCAFP00000020190
ENSGACP00000020189	ENSCAFP00000020190
ENSGACP00000016502	ENSCAFP00000008898
ENSGACP00000013976	ENSCAFP00000008677
ENSGACP00000000323	ENSCAFP00000006361
ENSGACP00000000293	ENSCAFP00000023878
ENSGACP00000024785	ENSCAFP00000028164
ENSGACP00000022756	ENSCAFP00000011227
ENSGACP00000007510	ENSCAFP00000007697
ENSGACP00000005778	ENSCAFP00000007702
ENSGACP00000003810	ENSCAFP00000000801
ENSGACP00000006808	ENSCAFP00000007381
ENSGACP00000010749	ENSCAFP00000011793
ENSGACP00000018778	ENSCAFP00000022009
ENSGACP00000021461	ENSCAFP00000003370
ENSGACP00000015639	ENSCAFP00000002728
ENSGACP00000003952	ENSCAFP00000010651
ENSGACP00000022936	ENSCAFP00000027597
ENSGACP00000015344	ENSCAFP00000000523
ENSGACP00000008840	ENSCAFP00000001204
ENSGACP00000026315	ENSCAFP00000035853
ENSGACP00000002008	ENSCAFP00000009014
ENSGACP00000020264	ENSCAFP00000009014
ENSGACP00000024487	ENSCAFP00000024607
ENSGACP00000016443	ENSCAFP00000015809
ENSGACP00000001603	ENSCAFP00000017765
ENSGACP00000004400	ENSCAFP00000007888
ENSGACP00000002449	ENSCAFP00000035502
ENSGACP00000017795	ENSCAFP00000015819
ENSGACP00000008577	ENSCAFP00000003279
ENSGACP00000022211	ENSCAFP00000030865
ENSGACP00000022306	ENSCAFP00000042228
ENSGACP00000010264	ENSCAFP00000042228
ENSGACP00000005959	ENSCAFP00000001990
ENSGACP00000006597	ENSCAFP00000024255
ENSGACP00000010692	ENSCAFP00000013629
ENSGACP00000026519	ENSCAFP00000006994
ENSGACP00000008682	ENSCAFP00000016459
ENSGACP00000005161	ENSCAFP00000031768
ENSGACP00000007388	ENSCAFP00000031768
ENSGACP00000018795	ENSCAFP00000011262
ENSGACP00000017675	ENSCAFP00000011262
ENSGACP00000014721	ENSCAFP00000017362
ENSGACP00000014244	ENSCAFP00000007312
ENSGACP00000017970	ENSCAFP00000018618
ENSGACP00000005675	ENSCAFP00000034783
ENSGACP00000015972	ENSCAFP00000034783
ENSGACP00000019484	ENSCAFP00000034902
ENSGACP00000012200	ENSCAFP00000018766
ENSGACP00000013135	ENSCAFP00000042944
ENSGACP00000008314	ENSCAFP00000012613
ENSGACP00000012097	ENSCAFP00000005070
ENSGACP00000016905	ENSCAFP00000006422
ENSGACP00000021543	ENSCAFP00000012487
ENSGACP00000018244	ENSCAFP00000012487
ENSGACP00000019901	ENSCAFP00000018934
ENSGACP00000022460	ENSCAFP00000023048
ENSGACP00000006180	ENSCAFP00000023283
ENSGACP00000027231	ENSCAFP00000006305
ENSGACP00000017006	ENSCAFP00000042127
ENSGACP00000013149	ENSCAFP00000021924
ENSGACP00000004520	ENSCAFP00000015559
ENSGACP00000027452	ENSCAFP00000017824
ENSGACP00000011960	ENSCAFP00000017824
ENSGACP00000004441	ENSCAFP00000006923
ENSGACP00000026588	ENSCAFP00000016524
ENSGACP00000025338	ENSCAFP00000006202
ENSGACP00000017793	ENSCAFP00000030405
ENSGACP00000017329	ENSCAFP00000012834
ENSGACP00000023189	ENSCAFP00000015986
ENSGACP00000023779	ENSCAFP00000028176
ENSGACP00000019973	ENSCAFP00000022237
ENSGACP00000023037	ENSCAFP00000018294
ENSGACP00000020897	ENSCAFP00000031216
ENSGACP00000017336	ENSCAFP00000021154
ENSGACP00000005991	ENSCAFP00000008466
ENSGACP00000011961	ENSCAFP00000012759
ENSGACP00000027416	ENSCAFP00000001297
ENSGACP00000012191	ENSCAFP00000007104
ENSGACP00000011751	ENSCAFP00000024254
ENSGACP00000008009	ENSCAFP00000024254
ENSGACP00000008289	ENSCAFP00000038416
ENSGACP00000025880	ENSCAFP00000017840
ENSGACP00000009155	ENSCAFP00000010409
ENSGACP00000007501	ENSCAFP00000009096
ENSGACP00000024109	ENSCAFP00000004511
ENSGACP00000020799	ENSCAFP00000011487
ENSGACP00000006537	ENSCAFP00000001726
ENSGACP00000025821	ENSCAFP00000018286
ENSGACP00000024304	ENSCAFP00000041711
ENSGACP00000018840	ENSCAFP00000015326
ENSGACP00000005377	ENSCAFP00000023948
ENSGACP00000026799	ENSCAFP00000020557
ENSGACP00000008045	ENSCAFP00000021261
ENSGACP00000015512	ENSCAFP00000040391
ENSGACP00000000754	ENSCAFP00000040391
ENSGACP00000009564	ENSCAFP00000028562
ENSGACP00000012896	ENSCAFP00000011018
ENSGACP00000018088	ENSCAFP00000005790
ENSGACP00000021688	ENSCAFP00000024552
ENSGACP00000017445	ENSCAFP00000041939
ENSGACP00000009690	ENSCAFP00000014772
ENSGACP00000024244	ENSCAFP00000014772
ENSGACP00000014476	ENSCAFP00000011620
ENSGACP00000017021	ENSCAFP00000000882
ENSGACP00000025619	ENSCAFP00000000882
ENSGACP00000025783	ENSCAFP00000026476
ENSGACP00000018317	ENSCAFP00000002486
ENSGACP00000017361	ENSCAFP00000001419
ENSGACP00000018062	ENSCAFP00000004755
ENSGACP00000020130	ENSCAFP00000014048
ENSGACP00000012509	ENSCAFP00000019069
ENSGACP00000018471	ENSCAFP00000027790
ENSGACP00000014129	ENSCAFP00000036623
ENSGACP00000026513	ENSCAFP00000009967
ENSGACP00000017404	ENSCAFP00000002797
ENSGACP00000018165	ENSCAFP00000014827
ENSGACP00000018510	ENSCAFP00000005369
ENSGACP00000018515	ENSCAFP00000036666
ENSGACP00000001839	ENSCAFP00000038621
ENSGACP00000025523	ENSCAFP00000025009
ENSGACP00000012970	ENSCAFP00000015455
ENSGACP00000026097	ENSCAFP00000020641
ENSGACP00000009954	ENSCAFP00000025013
ENSGACP00000018668	ENSCAFP00000040257
ENSGACP00000021805	ENSCAFP00000040257
ENSGACP00000014181	ENSCAFP00000003872
ENSGACP00000004299	ENSCAFP00000006750
ENSGACP00000014369	ENSCAFP00000006750
ENSGACP00000006237	ENSCAFP00000008171
ENSGACP00000002260	ENSCAFP00000024164
ENSGACP00000021060	ENSCAFP00000024164
ENSGACP00000023831	ENSCAFP00000024163
ENSGACP00000006965	ENSCAFP00000019177
ENSGACP00000011463	ENSCAFP00000000611
ENSGACP00000018198	ENSCAFP00000023609
ENSGACP00000004301	ENSCAFP00000037303
ENSGACP00000001254	ENSCAFP00000005173
ENSGACP00000019479	ENSCAFP00000020684
ENSGACP00000007449	ENSCAFP00000001384
ENSGACP00000024316	ENSCAFP00000041590
ENSGACP00000019498	ENSCAFP00000020782
ENSGACP00000024755	ENSCAFP00000034454
ENSGACP00000018636	ENSCAFP00000021710
ENSGACP00000014813	ENSCAFP00000024807
ENSGACP00000012940	ENSCAFP00000024807
ENSGACP00000018529	ENSCAFP00000016916
ENSGACP00000024145	ENSCAFP00000025633
ENSGACP00000024440	ENSCAFP00000029690
ENSGACP00000001938	ENSCAFP00000040466
ENSGACP00000006224	ENSCAFP00000040466
ENSGACP00000011863	ENSCAFP00000008865
ENSGACP00000010599	ENSCAFP00000006631
ENSGACP00000004863	ENSCAFP00000021491
ENSGACP00000005287	ENSCAFP00000013335
ENSGACP00000004652	ENSCAFP00000000006
ENSGACP00000004483	ENSCAFP00000014330
ENSGACP00000023677	ENSCAFP00000024864
ENSGACP00000002254	ENSCAFP00000016648
ENSGACP00000018806	ENSCAFP00000016630
ENSGACP00000016946	ENSCAFP00000010728
ENSGACP00000015043	ENSCAFP00000006300
ENSGACP00000005117	ENSCAFP00000001248
ENSGACP00000011266	ENSCAFP00000033578
ENSGACP00000010662	ENSCAFP00000008470
ENSGACP00000019727	ENSCAFP00000041404
ENSGACP00000002940	ENSCAFP00000041404
ENSGACP00000022320	ENSCAFP00000034146
ENSGACP00000016051	ENSCAFP00000006055
ENSGACP00000011864	ENSCAFP00000041357
ENSGACP00000009673	ENSCAFP00000002013
ENSGACP00000021277	ENSCAFP00000006093
ENSGACP00000020609	ENSCAFP00000011107
ENSGACP00000011319	ENSCAFP00000028323
ENSGACP00000021496	ENSCAFP00000031885
ENSGACP00000014713	ENSCAFP00000037876
ENSGACP00000018767	ENSCAFP00000001801
ENSGACP00000017272	ENSCAFP00000000264
ENSGACP00000014491	ENSCAFP00000000296
ENSGACP00000003668	ENSCAFP00000011719
ENSGACP00000005501	ENSCAFP00000038096
ENSGACP00000003808	ENSCAFP00000042455
ENSGACP00000004396	ENSCAFP00000017970
ENSGACP00000004308	ENSCAFP00000022573
ENSGACP00000010443	ENSCAFP00000012860
ENSGACP00000022735	ENSCAFP00000037611
ENSGACP00000020470	ENSCAFP00000012415
ENSGACP00000019099	ENSCAFP00000006957
ENSGACP00000012078	ENSCAFP00000023021
ENSGACP00000019681	ENSCAFP00000042521
ENSGACP00000012185	ENSCAFP00000006969
ENSGACP00000005671	ENSCAFP00000020864
ENSGACP00000015027	ENSCAFP00000009790
ENSGACP00000025152	ENSCAFP00000042403
ENSGACP00000027215	ENSCAFP00000013012
ENSGACP00000023573	ENSCAFP00000024271
ENSGACP00000004951	ENSCAFP00000039760
ENSGACP00000003458	ENSCAFP00000013821
ENSGACP00000007960	ENSCAFP00000024099
ENSGACP00000003479	ENSCAFP00000019352
ENSGACP00000022496	ENSCAFP00000022263
ENSGACP00000026186	ENSCAFP00000009203
ENSGACP00000005348	ENSCAFP00000003355
ENSGACP00000021898	ENSCAFP00000039403
ENSGACP00000016916	ENSCAFP00000011391
ENSGACP00000010976	ENSCAFP00000003775
ENSGACP00000005711	ENSCAFP00000010130
ENSGACP00000004496	ENSCAFP00000021204
ENSGACP00000025594	ENSCAFP00000024547
ENSGACP00000020198	ENSCAFP00000009630
ENSGACP00000023991	ENSCAFP00000024719
ENSGACP00000006246	ENSCAFP00000019512
ENSGACP00000013276	ENSCAFP00000018180
ENSGACP00000026483	ENSCAFP00000010864
ENSGACP00000013384	ENSCAFP00000004612
ENSGACP00000011576	ENSCAFP00000006878
ENSGACP00000000058	ENSCAFP00000002787
ENSGACP00000015768	ENSCAFP00000024984
ENSGACP00000004506	ENSCAFP00000012381
ENSGACP00000005880	ENSCAFP00000012191
ENSGACP00000002795	ENSCAFP00000004688
ENSGACP00000026277	ENSCAFP00000010400
ENSGACP00000007866	ENSCAFP00000004379
ENSGACP00000011227	ENSCAFP00000025547
ENSGACP00000014608	ENSCAFP00000000327
ENSGACP00000008028	ENSCAFP00000011032
ENSGACP00000009057	ENSCAFP00000011032
ENSGACP00000019425	ENSCAFP00000019862
ENSGACP00000006710	ENSCAFP00000019862
ENSGACP00000023901	ENSCAFP00000029838
ENSGACP00000021583	ENSCAFP00000029122
ENSGACP00000016188	ENSCAFP00000010020
ENSGACP00000023247	ENSCAFP00000010020
ENSGACP00000016650	ENSCAFP00000017245
ENSGACP00000021837	ENSCAFP00000014518
ENSGACP00000024331	ENSCAFP00000024492
ENSGACP00000007029	ENSCAFP00000041192
ENSGACP00000021533	ENSCAFP00000015378
ENSGACP00000012372	ENSCAFP00000015378
ENSGACP00000024214	ENSCAFP00000024740
ENSGACP00000011090	ENSCAFP00000027324
ENSGACP00000026558	ENSCAFP00000014212
ENSGACP00000013855	ENSCAFP00000014212
ENSGACP00000004675	ENSCAFP00000016036
ENSGACP00000012315	ENSCAFP00000003227
ENSGACP00000027370	ENSCAFP00000008187
ENSGACP00000017196	ENSCAFP00000007451
ENSGACP00000005284	ENSCAFP00000012493
ENSGACP00000005283	ENSCAFP00000024476
ENSGACP00000017040	ENSCAFP00000038426
ENSGACP00000022453	ENSCAFP00000021479
ENSGACP00000010404	ENSCAFP00000025015
ENSGACP00000001265	ENSCAFP00000002483
ENSGACP00000023120	ENSCAFP00000016333
ENSGACP00000012072	ENSCAFP00000022864
ENSGACP00000015623	ENSCAFP00000040725
ENSGACP00000001925	ENSCAFP00000019277
ENSGACP00000009306	ENSCAFP00000033984
ENSGACP00000004841	ENSCAFP00000037445
ENSGACP00000016710	ENSCAFP00000028695
ENSGACP00000014562	ENSCAFP00000008588
ENSGACP00000012791	ENSCAFP00000008588
ENSGACP00000010469	ENSCAFP00000023586
ENSGACP00000014777	ENSCAFP00000028990
ENSGACP00000013467	ENSCAFP00000022410
ENSGACP00000021892	ENSCAFP00000036530
ENSGACP00000011635	ENSCAFP00000028339
ENSGACP00000027165	ENSCAFP00000009849
ENSGACP00000012853	ENSCAFP00000023013
ENSGACP00000015599	ENSCAFP00000003965
ENSGACP00000009111	ENSCAFP00000003965
ENSGACP00000003655	ENSCAFP00000013591
ENSGACP00000022605	ENSCAFP00000025318
ENSGACP00000020380	ENSCAFP00000029391
ENSGACP00000002804	ENSCAFP00000016960
ENSGACP00000002082	ENSCAFP00000012705
ENSGACP00000022721	ENSCAFP00000004913
ENSGACP00000003871	ENSCAFP00000011097
ENSGACP00000004729	ENSCAFP00000005711
ENSGACP00000013134	ENSCAFP00000005711
ENSGACP00000016053	ENSCAFP00000022728
ENSGACP00000019416	ENSCAFP00000029861
ENSGACP00000018866	ENSCAFP00000029276
ENSGACP00000006296	ENSCAFP00000005546
ENSGACP00000000094	ENSCAFP00000003325
ENSGACP00000002078	ENSCAFP00000003325
ENSGACP00000027458	ENSCAFP00000020205
